"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Artur Jerzy DUNIN";"Dominik Jan SANKOWSKI"
"89e4-c113-e861-1379-0d8a-30c0-2e62-eb8b";"106101";"23";"13";"miasto";"stały";"Przedszkole Miejskie nr 123, ul. Rojna 24, 91-134 Łódź";"m. Łódź";"Łódź";"łódzkie";"986";"1086";"207";"779";"1";"5";"1";"1";"0";"0";"0";"0";"1";"780";"1";"0";"780";"28";"9";"19";"0";"752";"469";"283"
"e5b9-e2e7-4ac4-1e00-ec1a-387b-7217-d9e8";"106101";"23";"14";"miasto";"stały";"Dom Dziennego Pobytu dla Osób Niepełnosprawnych, ul. Rojna 18A, 91-128 Łódź";"m. Łódź";"Łódź";"łódzkie";"1900";"2076";"543";"1357";"0";"3";"1";"1";"1";"0";"0";"0";"0";"1357";"0";"0";"1357";"59";"15";"44";"0";"1298";"830";"468"
"ab2c-a384-b4f0-90b9-14d8-d7fe-ff67-abc9";"106101";"23";"15";"miasto";"stały";"Szkoła Podstawowa nr 182 im. Tadeusza Zawadzkiego ""Zośki"", ul. Łanowa 16, 91-103 Łódź";"m. Łódź";"Łódź";"łódzkie";"2512";"2784";"621";"1891";"1";"8";"1";"1";"0";"0";"0";"0";"1";"1891";"1";"1";"1890";"70";"16";"54";"0";"1820";"1140";"680"
"10a6-cd50-0e64-8ee2-6f33-3781-e979-e1d6";"106101";"23";"16";"miasto";"stały";"Centrum Twórczości ""Lutnia"" Bałuckiego Ośrodka Kultury, ul. Łanowa 14, 91-103 Łódź";"m. Łódź";"Łódź";"łódzkie";"1087";"1210";"243";"844";"0";"12";"0";"0";"0";"0";"0";"0";"0";"837";"0";"0";"837";"29";"10";"19";"0";"808";"508";"300"
"23f7-035d-1955-b6a7-68fd-371c-a2b4-d368";"106101";"23";"17";"miasto";"stały";"Szkoła Podstawowa nr 182, im. Tadeusza Zawadzkiego „Zośki”, ul. Traktorowa 35, 91-117 Łódź";"m. Łódź";"Łódź";"łódzkie";"1459";"1619";"298";"1161";"1";"3";"0";"0";"0";"0";"0";"0";"0";"1161";"0";"0";"1161";"41";"5";"36";"0";"1120";"724";"396"
"ad96-89c1-d991-44d8-2a55-1523-b831-5a96";"106101";"23";"18";"miasto";"stały";"Szkoła Podstawowa Specjalna nr 168, ul. Plantowa 7, 91-104 Łódź";"m. Łódź";"Łódź";"łódzkie";"1710";"1884";"402";"1308";"5";"2";"0";"0";"0";"0";"0";"0";"0";"1308";"0";"0";"1308";"50";"34";"16";"0";"1258";"838";"420"
"133e-bba7-4e66-74ae-88b4-5bec-4f49-b03f";"106101";"23";"19";"miasto";"stały";"Szkoła Podstawowa nr 56 im. Bronisława Czecha, ul. Turoszowska 10, 91-025 Łódź";"m. Łódź";"Łódź";"łódzkie";"2338";"2584";"679";"1657";"0";"8";"0";"0";"0";"0";"0";"0";"0";"1658";"0";"0";"1658";"71";"26";"45";"0";"1587";"1006";"581"
"75a1-9897-4205-46cc-4ec9-35de-630d-8a16";"106101";"23";"20";"miasto";"stały";"Szkoła Podstawowa nr 56 im. Bronisława Czecha, ul. Turoszowska 10, 91-025 Łódź";"m. Łódź";"Łódź";"łódzkie";"1927";"2121";"509";"1418";"2";"3";"0";"0";"0";"0";"0";"0";"0";"1418";"0";"0";"1418";"50";"13";"37";"0";"1368";"863";"505"
"0703-38f8-7fce-3933-894e-012f-3479-887c";"106101";"23";"21";"miasto";"stały";"Zespół Szkół Rzemiosła im. Jana Kilińskiego, ul. Żubardzka 26, 91-032 Łódź";"m. Łódź";"Łódź";"łódzkie";"2650";"2893";"479";"2171";"4";"22";"0";"0";"0";"0";"0";"0";"0";"2171";"0";"0";"2171";"59";"16";"43";"0";"2112";"1620";"492"
"38c3-2338-331c-8cc5-0642-1470-8305-4d16";"106101";"23";"22";"miasto";"stały";"Szkoła Podstawowa nr 122, ul. Jesionowa 38, 91-363 Łódź";"m. Łódź";"Łódź";"łódzkie";"2689";"2957";"640";"2049";"1";"14";"1";"1";"0";"0";"0";"0";"1";"2050";"1";"0";"2050";"65";"22";"43";"0";"1985";"1271";"714"
"09d9-8689-2a78-7c33-c0f9-3940-0cfd-8709";"106101";"23";"23";"miasto";"stały";"Szkoła Podstawowa nr 122, ul. Jesionowa 38, 91-363 Łódź";"m. Łódź";"Łódź";"łódzkie";"2345";"2545";"380";"1965";"4";"12";"0";"0";"0";"0";"0";"0";"0";"1965";"0";"4";"1961";"53";"17";"36";"0";"1908";"1413";"495"
"a7fd-1e00-8aa5-1666-b2da-c681-5623-0c85";"106101";"23";"24";"miasto";"stały";"Zespół Szkół Ogólnokształcących nr 4 im. Ireny Sendlerowej, ul. Stawowa 28, 91-358 Łódź";"m. Łódź";"Łódź";"łódzkie";"2551";"2788";"458";"2093";"7";"10";"0";"0";"0";"0";"0";"0";"0";"2093";"0";"0";"2093";"68";"23";"45";"0";"2025";"1328";"697"
"8cf3-eefc-cd2c-27e9-c924-8105-a1a4-3d66";"106101";"23";"25";"miasto";"stały";"Zespół Szkół Ogólnokształcących nr 4 im. Ireny Sendlerowej, ul. Stawowa 28, 91-358 Łódź";"m. Łódź";"Łódź";"łódzkie";"1458";"1589";"190";"1268";"0";"12";"1";"1";"0";"1";"0";"0";"0";"1268";"0";"0";"1268";"35";"10";"25";"0";"1233";"922";"311"
"e9ef-137e-7b3c-626d-17f7-9fad-ea41-3179";"106101";"23";"26";"miasto";"stały";"Przedszkole LOKOMOTYWA, ul. Kruszynowa 14, 91-356 Łódź";"m. Łódź";"Łódź";"łódzkie";"2729";"2973";"396";"2333";"0";"14";"0";"0";"0";"0";"0";"0";"0";"2331";"0";"0";"2331";"77";"20";"57";"0";"2254";"1626";"628"
"1ce2-619c-b962-9af7-35d0-c667-49c7-f930";"106101";"23";"27";"miasto";"stały";"Szkoła Podstawowa nr 206 im. Łódzkich Włókniarek, ul. Łozowa 9, 91-496 Łódź";"m. Łódź";"Łódź";"łódzkie";"2330";"2580";"368";"1962";"0";"15";"0";"0";"0";"0";"0";"0";"0";"1962";"0";"1";"1961";"62";"26";"36";"0";"1899";"1265";"634"
"e7aa-7415-97e6-ae74-e863-9438-a363-76d4";"106101";"23";"28";"miasto";"stały";"Szkoła Podstawowa nr 184 im. Ludwika Waryńskiego, ul. Syrenki 19A, 91-496 Łódź";"m. Łódź";"Łódź";"łódzkie";"1600";"1800";"251";"1349";"0";"4";"1";"1";"0";"0";"0";"0";"1";"1350";"1";"0";"1350";"29";"4";"25";"0";"1321";"842";"479"
"9488-4acd-07c2-633e-f259-9d42-f62a-03e0";"106101";"23";"29";"miasto";"stały";"Szkoła Podstawowa nr 184 im. Ludwika Waryńskiego, ul. Syrenki 19A, 91-496 Łódź";"m. Łódź";"Łódź";"łódzkie";"2254";"2455";"372";"1882";"1";"9";"1";"1";"0";"0";"0";"0";"1";"1880";"1";"0";"1880";"37";"12";"25";"0";"1843";"1217";"626"
"0fd2-3b2a-dbe2-b77e-9636-6062-9cea-2c83";"106101";"23";"30";"miasto";"stały";"Szkoła Podstawowa nr 184 im. Ludwika Waryńskiego, ul. Syrenki 19A, 91-496 Łódź";"m. Łódź";"Łódź";"łódzkie";"1553";"1698";"258";"1295";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1295";"0";"0";"1295";"39";"6";"33";"0";"1256";"788";"468"
"1ed3-471d-9467-9e14-2deb-a265-1ffb-1b23";"106101";"23";"31";"miasto";"stały";"Przedszkole Miejskie nr 231, ul. Syrenki 19A, 91-496 Łódź";"m. Łódź";"Łódź";"łódzkie";"1333";"1451";"254";"1079";"0";"4";"0";"0";"0";"0";"0";"0";"0";"1079";"0";"0";"1079";"46";"11";"35";"0";"1033";"637";"396"
"ffb6-8b24-a832-e83f-671e-2d93-d796-d8be";"106101";"23";"32";"miasto";"stały";"Szkoła Podstawowa nr 206 im. Łódzkich Włókniarek, ul. Łozowa 9, 91-496 Łódź";"m. Łódź";"Łódź";"łódzkie";"2330";"2530";"360";"1969";"1";"13";"0";"0";"0";"0";"0";"0";"0";"1969";"0";"0";"1969";"45";"15";"30";"0";"1924";"1317";"607"
"ca51-3300-b427-c387-59bd-56e5-9d69-00a8";"106101";"23";"33";"miasto";"stały";"Szkoła Podstawowa nr 166 im. 19 Stycznia, ul. Szamotulska 1/7, 91-037 Łódź";"m. Łódź";"Łódź";"łódzkie";"2679";"3027";"542";"2027";"4";"19";"1";"1";"0";"0";"0";"0";"1";"2116";"1";"0";"2116";"65";"10";"55";"0";"2051";"1361";"690"
"5afb-fbe3-8be9-0ec2-bbe6-9ede-4f8b-ce30";"106101";"23";"34";"miasto";"stały";"Zespół Szkół Samochodowych, ul. Limanowskiego 124A, 91-041 Łódź";"m. Łódź";"Łódź";"łódzkie";"1890";"2073";"431";"1459";"2";"8";"0";"0";"0";"0";"0";"0";"0";"1459";"0";"0";"1459";"43";"6";"37";"0";"1416";"961";"455"
"f22e-c68d-c7ad-9abc-b6d4-dcef-d81c-fe57";"106101";"23";"35";"miasto";"stały";"Zespół Szkół Samochodowych, ul. Wojciecha Kilara 3/5, 91-335 Łódź";"m. Łódź";"Łódź";"łódzkie";"1683";"1831";"534";"1149";"0";"4";"0";"0";"0";"0";"0";"0";"0";"1139";"0";"0";"1139";"27";"5";"22";"0";"1112";"750";"362"
"672f-8c46-2f31-94e3-1fe1-b871-2e01-22d4";"106101";"23";"36";"miasto";"stały";"Zespół Szkół Ekonomiczno-Turystyczno-Hotelarskich im. Władysława Grabskiego, ul. Drewnowska 171, 91-008 Łódź";"m. Łódź";"Łódź";"łódzkie";"760";"850";"176";"584";"0";"7";"0";"0";"0";"0";"0";"0";"0";"583";"0";"0";"583";"26";"12";"14";"0";"557";"331";"226"
"29ec-50e5-fc1a-262e-ae9a-3f5f-0003-3591";"106101";"23";"37";"miasto";"stały";"Zespół Szkół Ekonomiczno-Turystyczno-Hotelarskich im. Władysława Grabskiego, ul. Drewnowska 171, 91-008 Łódź";"m. Łódź";"Łódź";"łódzkie";"960";"1071";"280";"680";"0";"5";"0";"0";"0";"0";"0";"0";"0";"680";"0";"0";"680";"25";"8";"17";"0";"655";"430";"225"
"313d-9175-ced1-5fac-878f-3ffe-0330-6e91";"106101";"23";"38";"miasto";"stały";"Szkoła Podstawowa nr 35 im. Mariana Piechala, ul. Generała Tadeusza Kutrzeby 4, 91-013 Łódź";"m. Łódź";"Łódź";"łódzkie";"2129";"2345";"529";"1600";"2";"14";"0";"0";"0";"0";"0";"0";"0";"1594";"0";"0";"1594";"60";"15";"45";"0";"1534";"1023";"511"
"0f57-695b-c9e6-7a2e-7262-abbf-c64c-67eb";"106101";"23";"39";"miasto";"stały";"Szkoła Podstawowa nr 35 im. Mariana Piechala, ul. Generała Tadeusza Kutrzeby 4, 91-016 Łódź";"m. Łódź";"Łódź";"łódzkie";"1395";"1535";"406";"989";"1";"8";"1";"1";"0";"0";"0";"0";"1";"985";"1";"0";"985";"28";"5";"23";"0";"957";"640";"317"
"436d-9123-4c47-976d-0d4a-3cc4-7145-fbdb";"106101";"23";"40";"miasto";"stały";"Szkoła Podstawowa nr 54 im. Kornela Makuszyńskiego, ul. Wróbla 5, 91-050 Łódź";"m. Łódź";"Łódź";"łódzkie";"1956";"2145";"672";"1283";"0";"8";"0";"0";"0";"0";"0";"0";"0";"1284";"0";"0";"1284";"47";"14";"33";"0";"1237";"771";"466"
"2fe7-b7f4-80d6-21e1-ae98-3ae3-77e2-c72f";"106101";"23";"41";"miasto";"stały";"Szkoła Podstawowa nr 54 im. Kornela Makuszyńskiego, ul. Wróbla 5, 91-050 Łódź";"m. Łódź";"Łódź";"łódzkie";"1488";"1638";"674";"814";"1";"6";"0";"0";"0";"0";"0";"0";"0";"814";"0";"0";"814";"32";"14";"18";"0";"782";"452";"330"
"ad68-4cfa-a995-1662-c68a-1d3a-1a9c-86f1";"106101";"23";"42";"miasto";"stały";"Zespół Szkół Ponadpodstawowych nr 5 im. Króla Bolesława Chrobrego, ul. Drewnowska 88, 91-008 Łódź";"m. Łódź";"Łódź";"łódzkie";"400";"461";"159";"241";"2";"14";"0";"0";"0";"0";"0";"0";"0";"241";"0";"0";"241";"5";"1";"4";"0";"236";"146";"90"
"779e-addb-7437-155e-6514-9f94-e7c3-8ccd";"106101";"23";"43";"miasto";"stały";"Szkoła Podstawowa nr 24, ul. Ciesielska 14A, 91-308 Łódź";"m. Łódź";"Łódź";"łódzkie";"1370";"1522";"459";"911";"2";"3";"0";"0";"0";"0";"0";"0";"0";"911";"0";"0";"911";"31";"15";"16";"0";"880";"544";"336"
"1a07-3583-256a-07a7-fa7f-bb7b-99d5-7358";"106101";"23";"44";"miasto";"stały";"Przedszkole Miejskie nr 44, ul. Sędziowska 18A, 91-304 Łódź";"m. Łódź";"Łódź";"łódzkie";"2098";"2292";"476";"1622";"0";"11";"0";"0";"0";"0";"0";"0";"0";"1622";"0";"0";"1622";"54";"5";"49";"0";"1568";"1091";"477"
"119d-1007-be41-c369-b009-ac92-b8e6-9828";"106101";"23";"45";"miasto";"stały";"Szkoła Podstawowa nr 55 im. Eugeniusza Lokajskiego, ul. Mackiewicza 9, 91-349 Łódź";"m. Łódź";"Łódź";"łódzkie";"2416";"2667";"483";"1933";"2";"5";"1";"1";"0";"0";"0";"0";"1";"1934";"1";"0";"1934";"44";"9";"35";"0";"1890";"1296";"594"
"a19e-ab00-b3ea-0e03-7c88-6611-8662-fc0a";"106101";"23";"46";"miasto";"stały";"Szkoła Podstawowa nr 65 im. Juliusza Słowackiego, ul. Pojezierska 10, 91-322 Łódź";"m. Łódź";"Łódź";"łódzkie";"1560";"1728";"299";"1261";"2";"15";"0";"0";"0";"0";"0";"0";"0";"1260";"0";"0";"1260";"45";"6";"39";"0";"1215";"839";"376"
"2ab3-18fc-8c91-c66b-29b0-f3e7-b0f6-d42c";"106101";"23";"47";"miasto";"stały";"Szkoła Podstawowa nr 65 im. Juliusza Słowackiego, ul. Pojezierska 10, 91-322 Łódź";"m. Łódź";"Łódź";"łódzkie";"2408";"2631";"555";"1852";"4";"8";"1";"1";"0";"0";"0";"0";"1";"1851";"1";"1";"1850";"45";"2";"43";"0";"1805";"1195";"610"
"7475-52c4-f757-0cfc-b14f-f111-6aa2-af99";"106101";"23";"48";"miasto";"stały";"Przedszkole Miejskie nr 202, ul. Sędziowska 8/10, 91-304 Łódź";"m. Łódź";"Łódź";"łódzkie";"1655";"1836";"273";"1382";"3";"11";"0";"0";"0";"0";"0";"0";"0";"1382";"0";"1";"1381";"38";"7";"31";"0";"1343";"917";"426"
"eb69-d283-6253-32bd-86a3-7f17-c180-adb6";"106101";"23";"49";"miasto";"stały";"Przedszkole Miejskie nr 149, ul. Murarska 42, 91-469 Łódź";"m. Łódź";"Łódź";"łódzkie";"1629";"1787";"327";"1302";"2";"9";"0";"0";"0";"0";"0";"0";"0";"1302";"0";"0";"1302";"31";"20";"11";"0";"1271";"821";"450"
"0846-9d12-7e83-937d-af1d-2155-f8a8-5fb8";"106101";"23";"50";"miasto";"stały";"Szkoła Podstawowa nr 101 im. Jana Kochanowskiego, ul. Wspólna 5/7, 91-464 Łódź";"m. Łódź";"Łódź";"łódzkie";"2170";"2420";"439";"1731";"3";"7";"0";"0";"0";"0";"0";"0";"0";"1731";"0";"0";"1731";"46";"13";"33";"0";"1685";"1170";"515"
"1420-e612-ce9b-96a2-ca92-0d08-fa0f-76f6";"106101";"23";"51";"miasto";"stały";"Szkoła Podstawowa nr 101 im. Jana Kochanowskiego, ul. Wspólna 5/7, 91-464 Łódź";"m. Łódź";"Łódź";"łódzkie";"1541";"1670";"301";"1240";"2";"8";"0";"0";"0";"0";"0";"0";"0";"1238";"0";"0";"1238";"39";"9";"30";"0";"1199";"846";"353"
"1a45-fbfa-f027-304c-f5bf-b94f-9db8-0b89";"106101";"23";"52";"miasto";"stały";"Przedszkole Miejskie nr 176, ul. Blacharska 21, 91-470 Łódź";"m. Łódź";"Łódź";"łódzkie";"1780";"2000";"510";"1270";"1";"13";"0";"0";"0";"0";"0";"0";"0";"1270";"0";"0";"1270";"85";"44";"41";"0";"1185";"776";"409"
"3895-6493-fe40-f562-76b2-bb3b-9363-a589";"106101";"23";"53";"miasto";"stały";"Szkoła Podstawowa nr 45 im. Jana Matejki, ul. Bojowników Getta Warszawskiego 3, 91-431 Łódź";"m. Łódź";"Łódź";"łódzkie";"1123";"1236";"346";"777";"0";"6";"0";"0";"0";"0";"0";"0";"0";"777";"0";"0";"777";"30";"6";"24";"0";"747";"511";"236"
"f114-90b2-f974-3430-7c9e-67c1-dbc5-c26e";"106101";"23";"54";"miasto";"stały";"XIII Liceum Ogólnokształcące im. Marii Piotrowiczowej, ul. Eliasza Chaima Majzela 4, 91-430 Łódź";"m. Łódź";"Łódź";"łódzkie";"2290";"2543";"786";"1503";"3";"12";"0";"0";"0";"0";"0";"0";"0";"1502";"0";"0";"1502";"58";"12";"46";"0";"1444";"945";"499"
"dd84-6c9b-bfc2-c65a-5e90-e3b4-a1aa-a206";"106101";"23";"55";"miasto";"stały";"Szkoła Podstawowa nr 30 im. rtm. Witolda Pileckiego, ul. Rysownicza 1/3, 91-855 Łódź";"m. Łódź";"Łódź";"łódzkie";"2297";"2521";"628";"1669";"0";"8";"0";"0";"0";"0";"0";"0";"0";"1667";"0";"0";"1667";"41";"6";"35";"0";"1626";"1028";"598"
