"Kod TERYT";"Rodzaj jednostki";"Gmina";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów z różnych list";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok nazwiska kandydata na liście, której rejestracja została unieważniona";"Liczba głosów ważnych oddanych łącznie na wszystkie listy kandydatów";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI - ZPOW-601-6/19";"Jagna Kinga MARCZUŁAJTIS-WALCZAK - nr na liście 1";"Andrzej Stanisław CZERWIŃSKI - nr na liście 2";"Marta Halina FOGLER - nr na liście 3";"Witold Zygmunt KOCHAN - nr na liście 4";"Elżbieta Joanna RUCHAŁA - nr na liście 5";"Piotr Tomasz MUSIAŁ - nr na liście 6";"Waldemar Paweł OLSZYŃSKI - nr na liście 7";"Sylwia Beata LEHNER - nr na liście 8";"Marek Józef JANCZAK - nr na liście 9";"Jan Bolesław KARPIEL - nr na liście 10";"Janusz Ryszard CYMER - nr na liście 11";"Maria Anna SPRAWKA-BAZYDŁO - nr na liście 12";"Halina Maria WĄSOWSKA-SCHIRMER - nr na liście 13";"Bogusław Tadeusz PACHNIOWSKI - nr na liście 14";"Barbara Grażyna CICHAŃSKA - nr na liście 15";"Andrzej LOREK - nr na liście 16";"Stanisław PATER - nr na liście 17";"Danuta Anna BALCERZYK - nr na liście 18";"Jacek Józef GWÓŹDŹ - nr na liście 19";"Jerzy Stanisław MAJKA - nr na liście 20";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ - ZPOW-601-5/19";"Andrzej SKUPIEŃ - nr na liście 1";"Rafał Grzegorz GŁĄB - nr na liście 2";"Marzena Maria MATONOG - nr na liście 3";"Kamil Józef WOJTYCZKA - nr na liście 4";"Halina Sylwia MAŚLANKA - nr na liście 5";"Krystian Wojciech LACHNER - nr na liście 6";"Alicja Barbara BALCERAK - nr na liście 7";"Radosław Ryszard LAZAR - nr na liście 8";"Ryszard Jakub WILK - nr na liście 9";"Radosław Maria CZOSNOWSKI - nr na liście 10";"Mariusz Stanisław BOŻYK - nr na liście 11";"Sylwester Andrzej MATUSIK - nr na liście 12";"Marcin Jan MAZGAJ - nr na liście 13";"Marcin KRÓL - nr na liście 14";"Wojciech Piotr JASKÓŁKA - nr na liście 15";"Karolina Agnieszka FLOREK - nr na liście 16";"Maria Magdalena LIS - nr na liście 17";"Małgorzata Stanisława TYLISZCZAK-SŁYŚ - nr na liście 18";"Barbara Maria SZTERLEJA-BELDA - nr na liście 19";"Stanisław DOBROWOLSKI - nr na liście 20";"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE - ZPOW-601-19/19";"Urszula Teresa NOWOGÓRSKA - nr na liście 1";"Józefa KOLBRECKA - nr na liście 2";"Iwona Agnieszka TUMIDAJEWICZ - nr na liście 3";"Anatol KRYGOWSKI - nr na liście 4";"Małgorzata Krystyna PÓŁCHŁOPEK - nr na liście 5";"Katarzyna Maria KIEŁBASA - nr na liście 6";"Grzegorz BARAN - nr na liście 7";"Przemysław Marcin PALUCH - nr na liście 8";"Maria Barbara BIAŁOŃ - nr na liście 9";"Andrzej BARNA - nr na liście 10";"Mirosław Stanisław JANUS - nr na liście 11";"Maria BĄK - nr na liście 12";"Irena Barbara POPŁAWSKA - nr na liście 13";"Wioletta Dorota GRABSKA - nr na liście 14";"Krzysztof FILAS - nr na liście 15";"Maria TYLKA - nr na liście 16";"Hubert Jan RAPCIAK - nr na liście 17";"Małgorzata WÓJCIAK - nr na liście 18";"Rafał Marcin CZARNECKI - nr na liście 19";"Stanisław Wojciech PASOŃ - nr na liście 20";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ - ZPOW-601-9/19";"Arkadiusz MULARCZYK - nr na liście 1";"Anna PALUCH - nr na liście 2";"Barbara Halina BARTUŚ - nr na liście 3";"Wiesław Stanisław JANCZYK - nr na liście 4";"Edward SIARKA - nr na liście 5";"Józef Krzysztof LEŚNIAK - nr na liście 6";"Jan Wiesław DUDA - nr na liście 7";"Jan PICZURA - nr na liście 8";"Andrzej Józef GUT-MOSTOWY - nr na liście 9";"Grzegorz Janusz BIEDROŃ - nr na liście 10";"Patryk Tomasz WICHER - nr na liście 11";"Elżbieta Joanna ZIELIŃSKA - nr na liście 12";"Zofia NIKA - nr na liście 13";"Ewa FILIPIAK - nr na liście 14";"Grażyna Katarzyna TYLKA - nr na liście 15";"Tomasz Stanisław WALICKI - nr na liście 16";"Marta ADAMCZYK - nr na liście 17";"Zygmunt Jan PARUCH - nr na liście 18";"Bartosz LEKSANDER - nr na liście 19";"Marcin Marian ZUBEK - nr na liście 20";"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ - ZPOW-601-1/19";"Jakub Józef BOCHEŃSKI - nr na liście 1";"Barbara Aleksandra ŻYTKOWICZ - nr na liście 2";"Zuzanna Katarzyna JAKOWICKA - nr na liście 3";"Henryk PLATO - nr na liście 4";"Beata Katarzyna CZERSKA - nr na liście 5";"Marzena Beata DRZEWIŃSKA - nr na liście 6";"Eugeniusz ORZECHOWSKI - nr na liście 7";"Grażyna CEMPA-PULIT - nr na liście 8";"Jolanta Maria REICHERT - nr na liście 9";"Stanisław GĄSIENICA-DANIEL - nr na liście 10";"Maria Jolanta ALCHOWŚKA - nr na liście 11";"Iwona Anna SMOLEŃ - nr na liście 12";"Łukasz KOŁODZIEJ - nr na liście 13";"Bartosz Czesław KĘSKA - nr na liście 14";"Jolanta Aleksandra ŻYLIŃSKA - nr na liście 15";"Krzysztof DŁUGOSZ - nr na liście 16";"Danuta PIOTROWSKA - nr na liście 17";"Magdalena MAJERCZAK-KIESZKOWSKA - nr na liście 18";"Dorota Ewa SZLAGOWSKA-BUDACZ - nr na liście 19";"Liczba obwodów"
"120501";"gmina miejska";"m. Gorlice";"gorlicki";"małopolskie";20631;21968;7849;12782;20;96;8;8;0;0;0;0;8;12790;8;0;12790;201;160;41;0;12589;3464;640;143;14;2409;154;14;5;4;2;4;2;3;43;2;1;0;7;3;2;12;733;360;34;9;11;20;5;27;8;117;14;4;17;11;26;5;18;10;0;4;33;1147;160;12;394;378;11;10;19;9;23;14;3;9;5;27;5;3;1;5;9;50;6013;1617;137;2584;51;40;27;99;9;44;30;138;1140;9;15;8;17;12;9;4;23;1232;678;42;42;379;11;6;10;4;2;8;0;3;6;1;9;4;7;4;16;22
"120502";"gmina miejsko-wiejska";"gm. Biecz";"gorlicki";"małopolskie";12382;13416;4888;7494;14;28;3;3;0;0;0;0;3;7496;3;0;7496;85;48;37;0;7411;687;263;40;6;269;41;5;3;4;4;4;1;2;26;0;6;1;3;1;5;3;419;191;30;10;15;15;3;9;2;63;12;10;9;7;10;3;10;9;1;1;9;890;104;6;550;104;6;5;13;3;15;6;0;5;2;0;3;2;1;3;8;54;4977;1375;70;2345;159;70;46;91;14;32;45;101;531;14;10;10;8;13;6;8;29;438;217;21;33;105;3;4;3;6;3;2;3;9;8;2;5;2;3;2;7;12
"120503";"gmina miejsko-wiejska";"gm. Bobowa";"gorlicki";"małopolskie";6813;7372;2371;4442;4;29;0;0;0;0;0;0;0;4442;0;0;4442;68;44;24;0;4374;301;121;54;5;78;18;2;5;0;1;4;2;0;1;0;3;1;2;0;2;2;290;114;27;5;9;8;1;7;3;74;3;1;9;4;10;1;5;4;1;0;4;308;114;4;52;28;0;16;7;9;5;2;4;2;1;6;3;2;2;7;7;37;3337;755;39;1734;26;11;32;57;2;27;20;65;135;26;5;5;384;3;3;3;5;138;85;2;8;10;1;2;1;7;2;1;1;3;2;0;1;2;7;1;2;7
"120504";"gmina wiejska";"gm. Gorlice";"gorlicki";"małopolskie";12648;13672;4659;7989;7;47;2;2;0;0;0;0;2;7991;2;0;7991;91;65;26;0;7900;1018;250;46;9;598;55;12;3;5;1;2;4;2;14;1;2;3;1;0;4;6;528;226;32;12;10;12;5;19;9;78;17;1;41;9;19;3;5;5;2;0;23;856;102;9;346;231;7;13;19;6;18;8;4;7;4;8;3;3;0;10;5;53;5019;1064;102;2050;54;44;32;109;8;46;43;96;1284;12;8;5;16;20;9;4;13;479;272;24;28;93;5;4;3;4;5;4;0;3;6;3;5;2;10;3;5;11
"120505";"gmina wiejska";"gm. Lipinki";"gorlicki";"małopolskie";5033;5447;1896;3137;2;10;0;0;0;0;0;0;0;3137;0;0;3137;40;28;12;0;3097;296;71;14;5;151;30;6;5;1;1;0;1;2;3;0;0;0;2;3;0;1;171;82;8;5;7;6;2;11;4;18;1;2;2;4;8;2;2;4;0;1;2;309;24;2;173;74;1;1;2;0;1;7;1;2;1;2;1;3;1;2;0;11;2185;482;43;1033;26;26;10;39;2;14;13;39;422;4;4;0;3;7;1;2;15;136;76;10;4;22;2;3;3;0;0;1;1;5;1;1;4;2;1;0;0;7
"120506";"gmina wiejska";"gm. Łużna";"gorlicki";"małopolskie";6030;6605;2234;3796;8;17;0;0;0;0;0;0;0;3796;0;0;3796;60;34;26;0;3736;334;114;33;4;134;21;5;0;2;1;2;0;0;3;0;4;0;4;2;3;2;254;109;8;2;4;10;6;7;2;59;3;1;9;3;8;2;6;2;1;6;6;398;98;7;90;76;6;7;15;2;7;6;3;4;1;7;3;1;3;2;3;57;2590;593;45;1342;18;18;31;56;6;18;15;81;297;4;6;4;20;6;21;3;6;160;89;13;3;22;3;3;1;1;1;1;1;4;3;1;3;3;0;3;5;9
"120507";"gmina wiejska";"gm. Moszczenica";"gorlicki";"małopolskie";3567;3832;1418;2149;8;11;0;0;0;0;0;0;0;2149;0;0;2149;18;13;5;0;2131;151;42;5;0;75;9;1;0;0;1;0;0;1;15;0;0;0;0;0;0;2;139;52;9;7;4;2;0;1;5;22;1;0;5;4;8;0;8;3;3;0;5;176;28;3;49;48;1;3;6;3;2;3;0;1;1;4;0;2;1;1;1;19;1595;444;29;642;14;30;11;77;5;46;10;38;226;2;5;1;1;7;1;0;6;70;38;1;4;10;1;0;3;0;2;1;0;1;2;0;4;0;1;1;1;3
"120508";"gmina wiejska";"gm. Ropa";"gorlicki";"małopolskie";3783;4139;1299;2484;14;15;0;0;0;0;0;0;0;2483;0;0;2483;37;25;12;0;2446;199;71;14;3;85;17;0;0;0;0;0;0;0;1;0;7;0;1;0;0;0;152;65;7;1;1;4;4;8;2;26;2;0;8;2;5;4;6;1;0;1;5;264;23;1;23;33;4;0;1;2;121;25;0;2;1;2;0;2;0;1;5;18;1746;572;20;776;41;12;18;42;4;25;10;52;107;8;12;3;15;17;8;1;3;85;52;5;8;9;1;1;0;1;1;1;0;0;0;2;1;1;0;0;2;5
"120509";"gmina wiejska";"gm. Sękowa";"gorlicki";"małopolskie";3708;4022;1418;2290;1;55;0;0;0;0;0;0;0;2290;0;0;2290;33;21;12;0;2257;397;79;22;4;257;17;3;3;0;4;2;1;0;1;0;0;0;1;0;1;2;113;46;11;4;1;9;1;9;1;19;1;1;0;0;3;0;2;3;0;0;2;335;80;2;123;74;2;0;3;3;7;14;1;2;1;0;1;0;1;4;1;16;1255;322;14;578;9;3;8;23;2;8;13;21;243;1;1;2;1;2;1;1;2;157;95;7;8;19;3;5;1;2;0;2;1;2;2;1;1;3;1;0;4;6
"120510";"gmina wiejska";"gm. Uście Gorlickie";"gorlicki";"małopolskie";4867;5519;1896;2971;2;236;0;0;0;0;0;0;0;2971;0;0;2971;61;45;16;0;2910;513;195;43;6;212;26;5;2;0;2;1;0;1;7;0;4;1;2;0;2;4;199;92;9;3;4;8;3;3;0;20;5;0;27;6;7;2;4;1;0;0;5;412;86;4;37;56;3;8;14;5;4;125;3;7;1;2;1;2;1;5;5;43;1530;401;60;767;17;15;21;40;3;24;16;49;76;0;10;3;4;8;1;7;8;256;148;26;14;31;4;5;1;0;4;3;0;1;3;0;2;1;2;1;10;10
"120701";"gmina miejska";"m. Limanowa";"limanowski";"małopolskie";11063;11762;3445;7618;12;86;1;1;1;0;0;0;0;7617;0;0;7617;52;19;33;0;7565;1076;375;243;22;8;90;294;6;2;4;10;3;2;0;1;3;0;2;2;3;6;615;252;25;20;44;19;13;10;2;35;14;8;8;18;102;7;23;4;1;1;9;959;835;3;12;9;2;11;15;8;3;1;5;5;9;3;3;4;3;6;7;15;4463;1022;118;70;763;52;662;57;12;68;1296;70;39;19;140;9;2;19;16;8;21;452;318;22;26;7;9;1;7;4;3;7;2;12;2;3;1;4;5;1;18;15
