"Kod TERYT";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Arkadiusz Stanisław CIACH";"Wiesław Józef DOBKOWSKI";"Stanisław WITASZCZYK";"Liczba obwodów"
"100100";"bełchatowski";"łódzkie";83034;88570;26450;56583;43;199;2;2;0;0;0;0;2;56579;2;4;56575;1733;596;1137;0;54842;11921;33634;9287;72
"101000";"piotrkowski";"łódzkie";66700;72679;22560;44138;48;244;3;3;0;0;0;0;3;44136;3;0;44136;962;252;710;0;43174;7335;27875;7964;78
"101200";"radomszczański";"łódzkie";83610;91149;30875;52735;74;316;3;3;0;0;0;0;3;52732;3;1;52731;1430;447;983;0;51301;12588;25470;13243;89
"106200";"Piotrków Trybunalski";"łódzkie";53700;57059;17290;36410;55;167;5;5;0;0;0;0;5;36411;5;2;36409;899;323;576;0;35510;12564;15833;7113;41
