"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Aleksander August POCIEJ";"Piotr Zbigniew RADZISZEWSKI"
"537f-3ef0-16f4-c1ac-bd51-5d57-6f66-ef86";"146506";"45";"209";"miasto";"stały";"Instytut Chemii UW, Ochota ul. L. Pasteura 1, 02-093 Warszawa";"Ochota";"Warszawa";"mazowieckie";"790";"893";"129";"661";"0";"18";"0";"0";"0";"0";"0";"0";"0";"661";"0";"2";"659";"27";"4";"23";"0";"632";"412";"220"
"3cd4-278a-10c8-885c-f196-c1be-5d6f-de1d";"146506";"45";"210";"miasto";"stały";"Ośrodek Kultury Ochoty pawilon ""Pod Okiem"", Ochota ul. Grójecka 79, 02-094 Warszawa";"Ochota";"Warszawa";"mazowieckie";"1154";"1384";"206";"948";"4";"35";"1";"1";"0";"0";"0";"0";"1";"948";"1";"0";"948";"27";"9";"18";"0";"921";"580";"341"
"3a55-f248-45fa-d6c4-7a87-98ac-90c1-9368";"146506";"45";"211";"miasto";"stały";"Urząd m. st. Warszawy, Ochota pl. Starynkiewicza 7/9, 02-015 Warszawa";"Ochota";"Warszawa";"mazowieckie";"1204";"1407";"162";"1042";"1";"54";"0";"0";"0";"0";"0";"0";"0";"1039";"0";"0";"1039";"34";"11";"23";"0";"1005";"657";"348"
"4894-8eab-4f7b-5ff2-4e9e-8e6b-7a7e-23c9";"146506";"45";"212";"miasto";"stały";"XIV LO im. Stanisława Staszica, Ochota ul. Nowowiejska 37A, 02-010 Warszawa";"Ochota";"Warszawa";"mazowieckie";"990";"1121";"79";"911";"4";"32";"0";"0";"0";"0";"0";"0";"0";"910";"0";"0";"910";"33";"13";"20";"0";"877";"685";"192"
"7125-8ac9-e145-2473-42d8-4e16-d522-5928";"146506";"45";"213";"miasto";"stały";"VII Liceum Ogólnokształcące im. Juliusza Słowackiego, Ochota ul. Wawelska 46, 02-067 Warszawa";"Ochota";"Warszawa";"mazowieckie";"1260";"1363";"160";"1100";"4";"17";"3";"3";"0";"0";"0";"0";"3";"1103";"3";"0";"1103";"29";"7";"22";"0";"1074";"809";"265"
"4d95-dbd4-1f75-2bbd-f1c2-47e8-ef76-c6ae";"146506";"45";"214";"miasto";"stały";"Prywatna Szkoła Podstawowa im. Jana Brzechwy, Ochota ul. Harfowa 2, 02-384 Warszawa";"Ochota";"Warszawa";"mazowieckie";"1610";"1759";"146";"1462";"0";"43";"1";"1";"0";"0";"0";"0";"1";"1465";"1";"0";"1465";"42";"15";"27";"0";"1423";"1123";"300"
"da01-ddb5-6292-655e-c771-953c-50b0-281a";"146506";"45";"215";"miasto";"stały";"Prywatna Szkoła Podstawowa im. Jana Brzechwy, Ochota ul. Przy Parku 36, 02-384 Warszawa";"Ochota";"Warszawa";"mazowieckie";"1710";"1840";"142";"1568";"0";"63";"0";"0";"0";"0";"0";"0";"0";"1567";"0";"0";"1567";"41";"18";"23";"0";"1526";"1239";"287"
"1b1c-9251-32e8-06f4-fc01-cb38-fe1d-1b45";"146506";"45";"216";"miasto";"stały";"XLVIII LO im Edwarda Dembowskiego, Ochota ul. Szczęśliwicka 50/54, 02-353 Warszawa";"Ochota";"Warszawa";"mazowieckie";"1250";"1390";"115";"1135";"4";"25";"1";"1";"0";"0";"0";"0";"1";"1135";"1";"0";"1135";"30";"10";"20";"0";"1105";"909";"196"
"68c2-e014-5741-6c82-443e-c85e-0bf0-be38";"146506";"45";"217";"miasto";"stały";"XLVIII LO im Edwarda Dembowskiego, Ochota ul. Szczęśliwicka 50/54, 02-353 Warszawa";"Ochota";"Warszawa";"mazowieckie";"1631";"1886";"128";"1503";"2";"2";"0";"0";"0";"0";"0";"0";"0";"1503";"0";"0";"1503";"57";"18";"39";"0";"1446";"994";"452"
"85a0-a640-87e5-7598-83c4-369c-8f32-6a81";"146506";"45";"218";"miasto";"stały";"Zespół Szkół nr 4, Ochota ul. Szczęśliwicka 46, 02-353 Warszawa";"Ochota";"Warszawa";"mazowieckie";"1596";"1949";"78";"1518";"3";"68";"0";"0";"0";"0";"0";"0";"0";"1518";"0";"0";"1518";"61";"20";"41";"0";"1457";"1078";"379"
"0091-812c-7f99-6e4f-c9de-c572-fa1c-aebf";"146506";"45";"219";"miasto";"stały";"SZPZLO, Ochota ul. Szczęśliwicka 36, 02-353 Warszawa";"Ochota";"Warszawa";"mazowieckie";"1211";"1259";"259";"952";"1";"57";"0";"0";"0";"0";"0";"0";"0";"952";"0";"0";"952";"43";"8";"35";"0";"909";"633";"276"
"2eb1-09f0-a785-742b-4772-02ca-8b15-96b7";"146506";"45";"220";"miasto";"stały";"Szkoła Podstawowa z Oddziałami Integracyjnymi nr 61, Ochota ul. Białobrzeska 27, 02-340 Warszawa";"Ochota";"Warszawa";"mazowieckie";"1570";"1891";"336";"1234";"1";"27";"0";"0";"0";"0";"0";"0";"0";"1222";"0";"0";"1222";"43";"19";"24";"0";"1179";"745";"434"
"236d-78ff-a647-2381-c4c9-4646-c40f-e5e5";"146506";"45";"221";"miasto";"stały";"Szkoła Podstawowa z Oddziałami Integracyjnymi nr 61, Ochota ul. Białobrzeska 27, 02-340 Warszawa";"Ochota";"Warszawa";"mazowieckie";"1957";"2238";"297";"1660";"3";"20";"0";"0";"0";"0";"0";"0";"0";"1660";"0";"0";"1660";"45";"18";"27";"0";"1615";"1114";"501"
"a1c1-b262-f041-2a09-b88f-04f0-1ca5-dae6";"146506";"45";"222";"miasto";"stały";"Urząd Dzielnicy Ochota m. st. Warszawy, Ochota ul. Białobrzeska 26, 02-365 Warszawa";"Ochota";"Warszawa";"mazowieckie";"1379";"1592";"250";"1129";"1";"28";"2";"2";"0";"0";"0";"0";"2";"1131";"2";"0";"1131";"39";"16";"23";"0";"1092";"698";"394"
"19d4-2217-6bd5-3d6b-7096-1125-c6fc-fa2c";"146506";"45";"223";"miasto";"stały";"Młodzieżowy Dom Kultury ""Ochota"", Ochota ul. Rokosowska 10, 02-348 Warszawa";"Ochota";"Warszawa";"mazowieckie";"1130";"1305";"222";"908";"1";"19";"0";"0";"0";"0";"0";"0";"0";"908";"0";"0";"908";"27";"13";"14";"0";"881";"580";"301"
"e57b-30e6-28fc-478d-cc4e-67f5-922a-f555";"146506";"45";"224";"miasto";"stały";"Szkoła Podstawowa nr 175, Ochota ul. Trzech Budrysów 32, 02-381 Warszawa";"Ochota";"Warszawa";"mazowieckie";"1731";"1976";"229";"1502";"2";"23";"1";"1";"0";"0";"0";"0";"1";"1503";"1";"0";"1503";"43";"19";"24";"0";"1460";"978";"482"
"2728-40f6-8621-1332-5b08-9af7-4df8-3880";"146506";"45";"225";"miasto";"stały";"Zespół Szkół nr 26, Ochota ul. S. Skarżyńskiego 8, 02-377 Warszawa";"Ochota";"Warszawa";"mazowieckie";"910";"1026";"101";"809";"2";"20";"0";"0";"0";"0";"0";"0";"0";"809";"0";"0";"809";"28";"11";"17";"0";"781";"481";"300"
"460b-edff-f651-1777-a23d-d795-3566-db9e";"146506";"45";"226";"miasto";"stały";"Zespół Szkół nr 26, Ochota ul. S. Skarżyńskiego 8, 02-377 Warszawa";"Ochota";"Warszawa";"mazowieckie";"740";"865";"125";"615";"0";"4";"0";"0";"0";"0";"0";"0";"0";"615";"0";"0";"615";"26";"12";"14";"0";"589";"369";"220"
"9b49-4508-8c10-bf79-5c60-34b5-2ea3-1380";"146506";"45";"227";"miasto";"stały";"Dom Pomocy Społecznej dla Kombatantów, Ochota ul. Dickensa 25, 02-382 Warszawa";"Ochota";"Warszawa";"mazowieckie";"1171";"1317";"160";"1011";"0";"9";"0";"0";"0";"0";"0";"0";"0";"1011";"0";"0";"1011";"26";"6";"20";"0";"985";"655";"330"
"138f-d93d-2350-bdf0-11c4-2426-223e-c63a";"146506";"45";"228";"miasto";"stały";"Zespół Szkół nr 26, Ochota ul. Urbanistów 3, 02-397 Warszawa";"Ochota";"Warszawa";"mazowieckie";"1500";"1752";"253";"1247";"1";"13";"1";"1";"0";"0";"0";"0";"1";"1248";"1";"0";"1248";"39";"9";"30";"0";"1209";"806";"403"
"35d5-eb4c-83a4-f7d6-09f8-1022-a375-8141";"146506";"45";"229";"miasto";"stały";"Szkoła Podstawowa z Oddziałami Integracyjnymi nr 280, Ochota ul. Gorlicka 3, 02-130 Warszawa";"Ochota";"Warszawa";"mazowieckie";"1232";"1429";"140";"1092";"3";"28";"0";"0";"0";"0";"0";"0";"0";"1092";"0";"0";"1092";"55";"22";"33";"0";"1037";"650";"387"
"de0b-ab6f-51c4-c521-6b1d-0ab1-3e90-157a";"146506";"45";"230";"miasto";"stały";"Szkoła Podstawowa z Oddziałami Integracyjnymi nr 280, Ochota ul. Gorlicka 3, 02-130 Warszawa";"Ochota";"Warszawa";"mazowieckie";"1539";"1720";"172";"1367";"4";"27";"0";"0";"0";"0";"0";"0";"0";"1365";"0";"0";"1365";"38";"12";"26";"0";"1327";"852";"475"
"3796-d65f-ace0-dbdb-6452-de2f-44dd-2257";"146506";"45";"231";"miasto";"stały";"Urząd Dzielnicy Ochota m. st. Warszawy, Ochota Pawińskiego 30, 02-106 Warszawa";"Ochota";"Warszawa";"mazowieckie";"1150";"1267";"226";"924";"3";"10";"0";"0";"0";"0";"0";"0";"0";"924";"0";"0";"924";"35";"4";"31";"0";"889";"618";"271"
"fbfc-5083-192d-4ffe-0f87-8d94-f2be-5c75";"146506";"45";"232";"miasto";"stały";"Prywatna Szkoła Podstawowa im. Jana Brzechwy, Ochota ul. Harfowa 2, 02-397 Warszawa";"Ochota";"Warszawa";"mazowieckie";"2440";"2752";"145";"2295";"2";"50";"0";"0";"0";"0";"0";"0";"0";"2271";"0";"0";"2271";"58";"14";"44";"0";"2213";"1737";"476"
"f748-535f-12b6-0a93-dd25-1eff-c88b-2064";"146506";"45";"233";"miasto";"stały";"Szkoła Podstawowa nr 264, Ochota ul. W. Skorochód Majewskiego 17, 02-104 Warszawa";"Ochota";"Warszawa";"mazowieckie";"1477";"1680";"303";"1174";"4";"21";"0";"0";"0";"0";"0";"0";"0";"1174";"0";"0";"1174";"44";"14";"30";"0";"1130";"680";"450"
"cec0-bc25-2657-b121-71d7-39e8-01d9-1ce1";"146506";"45";"234";"miasto";"stały";"Szkoła Podstawowa nr 152, Ochota ul. Powstańców Wielkopolskich 4, 02-398 Warszawa";"Ochota";"Warszawa";"mazowieckie";"1080";"1250";"203";"877";"3";"24";"0";"0";"0";"0";"0";"0";"0";"877";"0";"0";"877";"30";"8";"22";"0";"847";"472";"375"
"5826-e773-5c48-849f-2805-16cf-3cbb-4920";"146506";"45";"235";"miasto";"stały";"Szkoła Podstawowa nr 264, Ochota ul. W. Skorochód Majewskiego 17, 02-104 Warszawa";"Ochota";"Warszawa";"mazowieckie";"1661";"1991";"218";"1443";"3";"23";"0";"0";"0";"0";"0";"0";"0";"1443";"0";"2";"1441";"64";"17";"47";"0";"1377";"876";"501"
"1aad-7e94-3920-c4c4-e234-de4b-14c1-435b";"146506";"45";"236";"miasto";"stały";"Szkoła Podstawowa nr 10, Ochota ul. Jasielska 49/53, 02-128 Warszawa";"Ochota";"Warszawa";"mazowieckie";"1812";"2073";"199";"1613";"4";"19";"1";"1";"0";"0";"0";"0";"1";"1614";"1";"0";"1614";"51";"24";"27";"0";"1563";"1072";"491"
"fd33-efd5-8cc2-107b-7bda-c9f3-6ead-3ddc";"146506";"45";"237";"miasto";"stały";"CLX LO im. Gen. Dyw. Stefana Roweckiego ""Grota"", Ochota ul. J. Siemieńskiego 6, 02-106 Warszawa";"Ochota";"Warszawa";"mazowieckie";"1378";"1636";"279";"1099";"3";"28";"0";"0";"0";"0";"0";"0";"0";"1099";"0";"0";"1099";"21";"9";"12";"0";"1078";"671";"407"
"c071-1889-fd7a-ca44-b8d4-c4b8-010e-13fe";"146506";"45";"238";"miasto";"stały";"SZPZLO Warszawa Ochota, Ochota ul. Sanocka 6, 02-110 Warszawa";"Ochota";"Warszawa";"mazowieckie";"2056";"2393";"220";"1836";"5";"32";"1";"1";"0";"0";"0";"0";"1";"1837";"1";"3";"1834";"64";"12";"52";"0";"1770";"1166";"604"
"09e2-bda9-f231-11d7-bd68-23d3-44fc-c0c2";"146506";"45";"239";"miasto";"stały";"Szkoła Podstawowa nr 10, Ochota ul. Jasielska 49/53, 02-128 Warszawa";"Ochota";"Warszawa";"mazowieckie";"1250";"1479";"90";"1160";"5";"33";"0";"0";"0";"0";"0";"0";"0";"1157";"0";"0";"1157";"35";"10";"25";"0";"1122";"771";"351"
"5c15-a2dd-fa96-bf9b-cf06-7ad0-92ca-9fcd";"146506";"45";"240";"miasto";"stały";"Przedszkole nr 255, Ochota ul. W. Korotyńskiego 3, 02-121 Warszawa";"Ochota";"Warszawa";"mazowieckie";"1628";"1668";"266";"1362";"1";"30";"0";"0";"0";"0";"0";"0";"0";"1361";"0";"0";"1361";"52";"18";"34";"0";"1309";"910";"399"
"5e75-e264-ac6f-7d1b-e210-8f07-5268-e522";"146506";"45";"241";"miasto";"stały";"Szkoła Podstawowa z Oddziałami Integracyjnymi nr 280, Ochota ul. Gorlicka 3, 02-130 Warszawa";"Ochota";"Warszawa";"mazowieckie";"1340";"1553";"154";"1186";"0";"24";"0";"0";"0";"0";"0";"0";"0";"1188";"0";"2";"1186";"39";"8";"31";"0";"1147";"773";"374"
"94a8-c164-6f5e-f4ae-8148-69b4-ca14-e9f4";"146506";"45";"1116";"miasto";"zakład leczniczy";"Centrum Onkologii-Instytut im. M. Skłodowskiej-Curie, Ochota Wawelska 15B, 02-061 Warszawa";"Ochota";"Warszawa";"mazowieckie";"90";"63";"39";"51";"0";"4";"0";"0";"0";"0";"0";"0";"0";"51";"0";"0";"51";"0";"0";"0";"0";"51";"13";"38"
"b73f-9c26-2a01-b642-f452-76e3-8fb2-8d2f";"146506";"45";"1117";"miasto";"zakład leczniczy";"Szpital Kliniczny Dzieciątka Jezus, Ochota W. H. Lindleya 4, 02-005 Warszawa";"Ochota";"Warszawa";"mazowieckie";"470";"197";"361";"109";"0";"5";"0";"0";"0";"0";"0";"0";"0";"109";"0";"0";"109";"8";"0";"8";"0";"101";"58";"43"
"5f85-43b7-08ab-3692-3543-019a-5a50-283b";"146506";"45";"1118";"miasto";"zakład leczniczy";"Samodzielny Publiczny Centralny Szpital Kliniczny, Ochota S. Banacha 1A, 02-097 Warszawa";"Ochota";"Warszawa";"mazowieckie";"1036";"557";"788";"248";"0";"24";"0";"0";"0";"0";"0";"0";"0";"248";"0";"0";"248";"14";"1";"13";"0";"234";"131";"103"
"1784-8e7b-f611-5d4d-c487-a48c-bd72-5ed5";"146506";"45";"1119";"miasto";"zakład leczniczy";"Wojewódzki Szpital Chirurgii Urazowej Św. Anny SPZOZ, Ochota Barska 16/20, 02-315 Warszawa";"Ochota";"Warszawa";"mazowieckie";"175";"82";"107";"68";"0";"2";"0";"0";"0";"0";"0";"0";"0";"68";"0";"0";"68";"1";"0";"1";"0";"67";"26";"41"
"192e-7070-118a-cb32-36ce-b14a-9a8d-0d0c";"146506";"45";"1120";"miasto";"zakład leczniczy";"Uniwersyteckie Centrum Zdrowia Kobiety i Noworodka, Ochota pl. S. Starynkiewicza 1/3, 02-015 Warszawa";"Ochota";"Warszawa";"mazowieckie";"40";"50";"14";"26";"0";"7";"0";"0";"0";"0";"0";"0";"0";"26";"0";"0";"26";"1";"1";"0";"0";"25";"17";"8"
"dca3-80f5-1e75-74c4-a201-bed7-880a-1f4d";"146506";"45";"1121";"miasto";"dom pomocy społecznej";"Dom Pomocy Społecznej ""Chemik"", Ochota W. Korotyńskiego 10, 02-121 Warszawa";"Ochota";"Warszawa";"mazowieckie";"88";"92";"20";"68";"0";"2";"0";"0";"0";"0";"0";"0";"0";"68";"0";"0";"68";"4";"1";"3";"0";"64";"25";"39"
"021c-0f52-fa34-cbcd-cfb3-22b3-e23b-9fd0";"146512";"45";"681";"miasto";"stały";"Szkoła Podstawowa Nr 383, ul. Warszawska 63, 02-495 Warszawa";"Ursus";"Warszawa";"mazowieckie";"1720";"1914";"289";"1431";"2";"11";"0";"0";"0";"0";"0";"0";"0";"1431";"0";"2";"1429";"36";"11";"25";"0";"1393";"790";"603"
"34d3-3364-f867-b2b6-9faa-f752-e2ba-1f93";"146512";"45";"682";"miasto";"stały";"Szkoła Podstawowa Nr 383, ul. Warszawska 63, 02-495 Warszawa";"Ursus";"Warszawa";"mazowieckie";"1890";"2111";"220";"1670";"2";"11";"0";"0";"0";"0";"0";"0";"0";"1670";"0";"0";"1670";"43";"9";"34";"0";"1627";"1013";"614"
"36d2-538e-071a-9cde-1adc-a83f-15c7-d8b0";"146512";"45";"683";"miasto";"stały";"Przedszkole 168, ul. Zagłoby 27, 02-495 Warszawa";"Ursus";"Warszawa";"mazowieckie";"2931";"3164";"591";"2340";"3";"23";"0";"0";"0";"0";"0";"0";"0";"2338";"0";"0";"2338";"63";"31";"32";"0";"2275";"1256";"1019"
"b527-1bfe-a9a5-9634-1f41-4a66-c5f4-4002";"146512";"45";"684";"miasto";"stały";"Przedszkole 137, ul. Zagłoby 11, 02-495 Warszawa";"Ursus";"Warszawa";"mazowieckie";"850";"929";"152";"698";"0";"5";"0";"0";"0";"0";"0";"0";"0";"697";"0";"0";"697";"17";"8";"9";"0";"680";"327";"353"
"4ea8-2ef6-7e39-4a36-894f-a9ee-9db9-98b7";"146512";"45";"685";"miasto";"stały";"Szkoła Podstawowa Nr 11, ul. M. Keniga 20, 02-495 Warszawa";"Ursus";"Warszawa";"mazowieckie";"2940";"3282";"592";"2348";"0";"16";"0";"0";"0";"0";"0";"0";"0";"2345";"0";"0";"2345";"60";"9";"51";"0";"2285";"1192";"1093"
"2fdd-ce22-0c9d-f32c-17fa-40d4-8b61-57ec";"146512";"45";"686";"miasto";"stały";"Szkoła Podstawowa Nr 2, ul. Orłów Piastowskich 47, 02-496 Warszawa";"Ursus";"Warszawa";"mazowieckie";"2123";"2496";"82";"2041";"1";"21";"0";"0";"0";"0";"0";"0";"0";"2040";"0";"0";"2040";"51";"24";"27";"0";"1989";"1230";"759"
"78ad-63fc-2e68-b1a0-b295-8971-aa1d-a9ce";"146512";"45";"687";"miasto";"stały";"Przychodnia Rejonowa, ul. S. Wojciechowskiego 58, 02-495 Warszawa";"Ursus";"Warszawa";"mazowieckie";"1370";"1662";"31";"1339";"2";"26";"1";"1";"0";"0";"0";"0";"1";"1318";"1";"0";"1318";"48";"22";"26";"0";"1270";"840";"430"
"f2c7-1992-9c6d-ff98-e7ec-00b1-7d24-2ce2";"146512";"45";"688";"miasto";"stały";"Szkoła Podstawowa Nr 382, ul. Konińska 2, 02-495 Warszawa";"Ursus";"Warszawa";"mazowieckie";"1740";"1932";"304";"1434";"5";"2";"0";"0";"0";"0";"0";"0";"0";"1434";"0";"0";"1434";"43";"18";"25";"0";"1391";"834";"557"
"0842-08d7-13ec-7ef5-68e2-a85e-6562-a948";"146512";"45";"689";"miasto";"stały";"Szkoła Podstawowa Nr 382, ul. Konińska 2, 02-495 Warszawa";"Ursus";"Warszawa";"mazowieckie";"1611";"1765";"281";"1330";"0";"20";"0";"0";"0";"0";"0";"0";"0";"1330";"0";"0";"1330";"44";"20";"24";"0";"1286";"755";"531"
"62ad-a15c-c59c-09bc-3de4-2bcb-a983-1414";"146512";"45";"690";"miasto";"stały";"Szkoła Podstawowa Nr 4, ul. W. Sławka 9, 02-495 Warszawa";"Ursus";"Warszawa";"mazowieckie";"1060";"1164";"280";"780";"2";"8";"0";"0";"0";"0";"0";"0";"0";"780";"0";"0";"780";"31";"7";"24";"0";"749";"395";"354"
"1ef0-2b19-cfa2-19f4-0388-0257-aed0-939e";"146512";"45";"691";"miasto";"stały";"Liceum Ogólnokształcące Nr 56, ul. Dzieci Warszawy 42, 02-495 Warszawa";"Ursus";"Warszawa";"mazowieckie";"1688";"1908";"199";"1489";"0";"23";"0";"0";"0";"0";"0";"0";"0";"1489";"0";"0";"1489";"43";"15";"28";"0";"1446";"931";"515"
"8169-f52a-caa1-82aa-55dc-147e-402d-7f09";"146512";"45";"692";"miasto";"stały";"Zakład Remontów i Konserwacji Dróg, ul. Kompanii Kordian 44, 02-495 Warszawa";"Ursus";"Warszawa";"mazowieckie";"1740";"2160";"134";"1606";"0";"14";"1";"1";"0";"0";"0";"0";"1";"1607";"1";"0";"1607";"47";"9";"38";"0";"1560";"865";"695"
"434d-4187-54c3-723a-7aea-45a0-7326-f937";"146512";"45";"693";"miasto";"stały";"Szkoła Podstawowa Nr 381, ul. M. Drzymały 1, 02-495 Warszawa";"Ursus";"Warszawa";"mazowieckie";"1785";"1954";"256";"1529";"0";"6";"0";"0";"0";"0";"0";"0";"0";"1529";"0";"0";"1529";"40";"10";"30";"0";"1489";"825";"664"
"f441-7f62-349e-a20b-a037-3a0c-903c-b964";"146512";"45";"694";"miasto";"stały";"Dom Kultury ""Kolorowa"", ul. gen. K. Sosnkowskiego 16, 02-495 Warszawa";"Ursus";"Warszawa";"mazowieckie";"1970";"2207";"324";"1646";"0";"15";"0";"0";"0";"0";"0";"0";"0";"1646";"0";"0";"1646";"75";"34";"41";"0";"1571";"894";"677"
"dfea-122f-b8e1-587c-6028-4d2b-3420-ddbf";"146512";"45";"695";"miasto";"stały";"Przedszkole nr 418, ul. Dzieci Warszawy 42 5, 02-495 Warszawa";"Ursus";"Warszawa";"mazowieckie";"1560";"1831";"71";"1489";"2";"15";"0";"0";"0";"0";"0";"0";"0";"1489";"0";"0";"1489";"48";"25";"23";"0";"1441";"1041";"400"
"5646-8af0-b559-e5a8-e104-8ace-af40-1ee7";"146512";"45";"696";"miasto";"stały";"Zespół Szkół Nr 42, Dzieci Warszawy 42, 02-495 Warszawa";"Ursus";"Warszawa";"mazowieckie";"1903";"1999";"192";"1711";"1";"44";"0";"0";"0";"0";"0";"0";"0";"1711";"0";"0";"1711";"45";"16";"29";"0";"1666";"1279";"387"
"4cef-6aad-27ea-b22c-29c3-562f-d362-4104";"146512";"45";"697";"miasto";"stały";"Przedszkole 413, ul. Górna Droga 10, 02-495 Warszawa";"Ursus";"Warszawa";"mazowieckie";"1004";"1175";"64";"940";"0";"12";"0";"0";"0";"0";"0";"0";"0";"940";"0";"0";"940";"24";"9";"15";"0";"916";"670";"246"
"70fb-f458-3e34-5cc8-68f3-c50f-3aea-cfa0";"146512";"45";"698";"miasto";"stały";"Przedszkole 137, ul. Zagłoby 11, 02-495 Warszawa";"Ursus";"Warszawa";"mazowieckie";"1408";"1554";"244";"1164";"4";"6";"0";"0";"0";"0";"0";"0";"0";"1164";"0";"0";"1164";"32";"28";"4";"0";"1132";"546";"586"
"e859-b172-4127-e61f-2a97-4748-d14f-6f23";"146512";"45";"699";"miasto";"stały";"Szkoła Podstawowa Nr 14, ul. gen. K. Sosnkowskiego 10, 02-495 Warszawa";"Ursus";"Warszawa";"mazowieckie";"2450";"2951";"41";"2407";"0";"33";"0";"0";"0";"0";"0";"0";"0";"2402";"0";"0";"2402";"71";"39";"32";"0";"2331";"1582";"749"
"3ebf-620e-412e-64b5-ed46-ac4c-45c5-fcce";"146512";"45";"700";"miasto";"stały";"Szkoła Podstawowa Nr 2, ul. Orłów Piastowskich 47, 02-496 Warszawa";"Ursus";"Warszawa";"mazowieckie";"1319";"1506";"68";"1251";"1";"16";"0";"0";"0";"0";"0";"0";"0";"1251";"0";"0";"1251";"36";"11";"25";"0";"1215";"765";"450"
"646c-5ccf-c7ab-2134-e6dd-6450-c767-5411";"146512";"45";"701";"miasto";"stały";"Szkoła Podstawowa Nr 360, ul. Dzieci Warszawy 42 42, 02-495 Warszawa";"Ursus";"Warszawa";"mazowieckie";"2210";"2644";"49";"2161";"4";"40";"0";"0";"0";"0";"0";"0";"0";"2161";"0";"0";"2161";"67";"17";"50";"0";"2094";"1510";"584"
"7a47-3e24-c7bd-068a-4287-6425-042c-01e4";"146512";"45";"702";"miasto";"stały";"""Acherówka"", ul. W. Sławka 2, 02-495 Warszawa";"Ursus";"Warszawa";"mazowieckie";"1841";"2110";"220";"1621";"1";"19";"0";"0";"0";"0";"0";"0";"0";"1621";"0";"0";"1621";"47";"19";"28";"0";"1574";"1019";"555"
"ac40-7212-63cf-c76f-21ec-35da-1b42-3e7c";"146517";"45";"651";"miasto";"stały";"Miejsce Aktywności Lokalnej, Włochy ul. Rejonowa 6/8, 02-441 Warszawa";"Włochy";"Warszawa";"mazowieckie";"1278";"1503";"128";"1150";"0";"13";"1";"1";"1";"0";"0";"0";"0";"1148";"0";"0";"1148";"28";"22";"6";"0";"1120";"697";"423"
"2485-0ae6-278c-40b8-9450-00c9-0d46-6ddc";"146517";"45";"652";"miasto";"stały";"Biblioteka Publiczna, Włochy ul. Ks. Juliana Chrościckiego 2, 02-421 Warszawa";"Włochy";"Warszawa";"mazowieckie";"904";"1010";"133";"771";"1";"18";"0";"0";"0";"0";"0";"0";"0";"771";"0";"0";"771";"18";"3";"15";"0";"753";"481";"272"
"44ca-e1a1-d8ae-e18e-ec92-83ab-c776-196a";"146517";"45";"653";"miasto";"stały";"Zespół Szkół Ogólnokształcących nr 17, Włochy ul. Promienista 12A, 02-428 Warszawa";"Włochy";"Warszawa";"mazowieckie";"900";"1007";"165";"735";"3";"9";"0";"0";"0";"0";"0";"0";"0";"735";"0";"0";"735";"18";"7";"11";"0";"717";"424";"293"
"9f90-8270-98c7-c5ee-92f8-2021-2844-072a";"146517";"45";"654";"miasto";"stały";"Szkoła Podstawowa Nr 66, Włochy ul. Przepiórki 16/18, 02-407 Warszawa";"Włochy";"Warszawa";"mazowieckie";"749";"823";"125";"624";"2";"4";"0";"0";"0";"0";"0";"0";"0";"624";"0";"0";"624";"25";"9";"16";"0";"599";"351";"248"
"2b74-1ab5-a68d-e003-a358-1ef1-6fc2-140e";"146517";"45";"655";"miasto";"stały";"Artystyczny Dom Animacji ""ADA"", Włochy ul. Ks. Juliana Chrościckiego 14, 02-421 Warszawa";"Włochy";"Warszawa";"mazowieckie";"2039";"2356";"122";"1918";"0";"35";"0";"0";"0";"0";"0";"0";"0";"1915";"0";"0";"1915";"56";"22";"34";"0";"1859";"1264";"595"
"c81d-b845-f429-cd0e-001b-6cb4-0771-003d";"146517";"45";"656";"miasto";"stały";"CLIX Liceum Ogólnokształcące, Włochy ul. Solipska 17/19, 02-482 Warszawa";"Włochy";"Warszawa";"mazowieckie";"1192";"1311";"61";"1130";"0";"31";"0";"0";"0";"0";"0";"0";"0";"1131";"0";"0";"1131";"32";"15";"17";"0";"1099";"797";"302"
