"Kod TERYT";"Rodzaj jednostki";"Gmina";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów z różnych list";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok nazwiska kandydata na liście, której rejestracja została unieważniona";"Liczba głosów ważnych oddanych łącznie na wszystkie listy kandydatów";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI - ZPOW-601-6/19";"Riad HAIDAR - nr na liście 1";"Stanisław ŻMIJAN - nr na liście 2";"Kornelia Konstancja WRÓBLEWSKA - nr na liście 3";"Krzysztof GRABCZUK - nr na liście 4";"Małgorzata GROMADZKA - nr na liście 5";"Rafał Mariusz ZWOLAK - nr na liście 6";"Mariusz GRAD - nr na liście 7";"Tomasz Wojciech ANTONIUK - nr na liście 8";"Tomasz Józef PAŃCZYK - nr na liście 9";"Kamil JÓŹWIK - nr na liście 10";"Magdalena ZAJĄC - nr na liście 11";"Grażyna Bogumiła LAMCZYK - nr na liście 12";"Mariusz Stanisław KOWALEWSKI - nr na liście 13";"Bożena Stanisława KIELISZEK-WASIOŁEK - nr na liście 14";"Katarzyna Ewa PIETRASZKIEWICZ - nr na liście 15";"Barbara Stefania ŻBIKOWSKA - nr na liście 16";"Karolina Anna HUKIEWICZ - nr na liście 17";"Kamila ĆWIKLIŃSKA - nr na liście 18";"Katarzyna Weronika PELC - nr na liście 19";"Anna Maria KOLASIŃSKA - nr na liście 20";"Wioleta ZARĘBSKA - nr na liście 21";"Antoni RUSINEK - nr na liście 22";"Jan Józef MUSOLF - nr na liście 23";"Piotr Jacek ZYGARSKI - nr na liście 24";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ - ZPOW-601-5/19";"Witold Sławomir TUMANOWICZ - nr na liście 1";"Wiktor KASPRZAK - nr na liście 2";"Marcin Piotr IWANOWSKI - nr na liście 3";"Stanisław BĄK - nr na liście 4";"Agnieszka Maria GOCEL - nr na liście 5";"Beata Małgorzata BIELECKA - nr na liście 6";"Agnieszka Monika MARCINIUK - nr na liście 7";"Kamil KUBICA - nr na liście 8";"Ewelina Agata KUPISZ - nr na liście 9";"Michał MAZUREK - nr na liście 10";"Łukasz BANASZCZUK - nr na liście 11";"Kamil CZERWIENIEC - nr na liście 12";"Agnieszka Monika PAWLAK - nr na liście 13";"Agnieszka NAGRODZKA - nr na liście 14";"Dorota Anna WÓJCIK - nr na liście 15";"Zbigniew Marek SADOCHA - nr na liście 16";"Daniel REKUTA - nr na liście 17";"Anna MEKLER - nr na liście 18";"Justyna Elżbieta MULAWA - nr na liście 19";"Kamil KĘDZIERAWSKI - nr na liście 20";"Edyta TARNOWSKA - nr na liście 21";"Łukasz BATALIŃSKI - nr na liście 22";"Bartłomiej WITKOWSKI - nr na liście 23";"Artur Wojciech SOBICH - nr na liście 24";"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE - ZPOW-601-19/19";"Jarosław SACHAJKO - nr na liście 1";"Arkadiusz Tomasz BRATKOWSKI - nr na liście 2";"Przemysław LITWINIUK - nr na liście 3";"Wiesław Marian RÓŻYŃSKI - nr na liście 4";"Kazimierz SMAL - nr na liście 5";"Andrzej ROMAŃCZUK - nr na liście 6";"Anna SZYMALA - nr na liście 7";"Jan Franciszek KOWALCZYK - nr na liście 8";"Anna WIŚNIEWSKA - nr na liście 9";"Sławomir Jan SUSZCZYŃSKI - nr na liście 10";"Marzena Jolanta MALESA - nr na liście 11";"Agnieszka Renata CZUBA - nr na liście 12";"Karolina PIWKO - nr na liście 13";"Teodora WYPYCH - nr na liście 14";"Ryszard Zbigniew STANIBUŁA - nr na liście 15";"Mirosława Teresa FORNAL - nr na liście 16";"Irena KAMIŃSKA - nr na liście 17";"Teresa NOWAK - nr na liście 18";"Bartosz KOCZKODAJ - nr na liście 19";"Anna Bożena DZIUBA - nr na liście 20";"Grzegorz SIEMAKOWICZ - nr na liście 21";"Marek WILBIK - nr na liście 22";"Sławomir Paweł NOSEK - nr na liście 23";"Janusz ZIELIŃSKI - nr na liście 24";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ - ZPOW-601-9/19";"Jacek Robert SASIN - nr na liście 1";"Sławomir ZAWIŚLAK - nr na liście 2";"Marcin Kamil DUSZEK - nr na liście 3";"Teresa HAŁAS - nr na liście 4";"Tomasz Andrzej ZIELIŃSKI - nr na liście 5";"Dariusz Paweł STEFANIUK - nr na liście 6";"Marcin ROMANOWSKI - nr na liście 7";"Lucjan CICHOSZ - nr na liście 8";"Zdzisław SZWED - nr na liście 9";"Leszek Marcin SKIBA - nr na liście 10";"Maria GMYZ - nr na liście 11";"Robert GMITRUCZUK - nr na liście 12";"Beata Małgorzata STRZAŁKA - nr na liście 13";"Krzysztof Jan GAŁASZKIEWICZ - nr na liście 14";"Konrad Bernard SAWICKI - nr na liście 15";"Anna KUSIAK-JANIEC - nr na liście 16";"Jerzy Ryszard SZWAJ - nr na liście 17";"Barbara Aldona BARSZCZEWSKA - nr na liście 18";"Iwona CHMIELEWSKA - nr na liście 19";"Mariusz Artur ZAŃKO - nr na liście 20";"Halina CZARNECKA - nr na liście 21";"Stanisław MISZTAL - nr na liście 22";"Agnieszka PIEKARSKA - nr na liście 23";"Anna DĄBROWSKA-BANASZEK - nr na liście 24";"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ - ZPOW-601-1/19";"Monika Jolanta PAWŁOWSKA - nr na liście 1";"Piotr Edward SZELĄG - nr na liście 2";"Bolesław Borys BORYSIUK - nr na liście 3";"Sławomir ROGALA - nr na liście 4";"Michał Reoland GOŁOŚ - nr na liście 5";"Anna Jadwiga CZOBODZIŃSKA-PRZYBYSŁAWSKA - nr na liście 6";"Gerard WASZKIEWICZ - nr na liście 7";"Łucja Jadwiga PAMULSKA - nr na liście 8";"Patrycja Anna DOBOSZ-FURMAN - nr na liście 9";"Magdalena Małgorzata KAMOLA - nr na liście 10";"Ewa Monika BARTOSZEWSKA-WIC - nr na liście 11";"Grażyna Zofia MACERONI - nr na liście 12";"Aldona Wioleta TROJNIEL-GOŹDZIOŁKO - nr na liście 13";"Zbigniew LITWINIEC - nr na liście 14";"Jacek Michał MALCZEWSKI - nr na liście 15";"Justyna JASEK-KOSOBUCKA - nr na liście 16";"Monika KAPŁON - nr na liście 17";"Jacek Tomasz CHĘĆ - nr na liście 18";"Magdalena Aleksandra TABOR - nr na liście 19";"Jan Bolesław KUROWSKI - nr na liście 20";"Stanisław ŻUKOWSKI - nr na liście 21";"Katarzyna Małgorzata KOZICKA - nr na liście 22";"Mateusz Maciej ROCZON - nr na liście 23";"Bogdan Antoni KIEŁBASA - nr na liście 24";"KOMITET WYBORCZY WYBORCÓW KOALICJA BEZPARTYJNI I SAMORZĄDOWCY - ZPOW-601-10/19";"Jan KOKOT - nr na liście 1";"Ewa Małgorzata KOZIARA - nr na liście 2";"Rafał Mirosław ŁUKASIK - nr na liście 3";"Dariusz LANGA - nr na liście 4";"Arkadiusz CHIBOWSKI - nr na liście 5";"Beata RYPINA - nr na liście 6";"Damian Jarosław LEWCZUK - nr na liście 7";"Justyna Renata JÓŹWIK - nr na liście 8";"Dorota WYSOKIŃSKA - nr na liście 9";"Przemysław POPIELEC - nr na liście 10";"Marek CELIŃSKI - nr na liście 11";"Lidia Elżbieta WASĄG - nr na liście 12";"Kamil SOKOŁOWSKI - nr na liście 13";"Ewelina Ilona WOCH - nr na liście 14";"Anna Maria BODNAR - nr na liście 15";"Agnieszka ZALEWSKA - nr na liście 16";"Rafał KOWALIK - nr na liście 17";"Liczba obwodów"
"060101";"gmina miejska";"m. Międzyrzec Podlaski";"bialski";"lubelskie";12255;13259;4261;7994;13;50;1;1;1;0;0;0;0;7993;0;0;7993;87;52;35;0;7906;1582;895;447;198;9;3;2;2;1;2;7;2;1;2;2;0;0;0;2;2;0;0;0;1;4;427;198;42;41;18;4;16;22;24;3;8;6;3;3;2;4;0;1;5;3;2;4;1;3;14;772;33;11;650;3;0;5;16;3;11;0;1;0;12;1;1;1;2;3;4;1;1;3;2;8;4685;1437;20;2678;24;12;198;21;7;5;7;2;34;14;3;11;0;2;122;15;3;10;2;8;50;346;171;18;58;2;5;2;5;6;3;0;2;1;3;18;10;1;12;5;9;1;2;2;0;10;94;12;1;2;5;33;1;1;9;4;2;3;5;0;3;0;8;5;11
"060102";"gmina miejska";"m. Terespol";"bialski";"lubelskie";4162;4441;1514;2648;2;16;1;1;0;0;0;0;1;2648;1;2;2646;45;29;16;0;2601;783;584;151;28;2;4;0;3;0;0;3;3;0;0;1;1;1;0;1;0;0;0;0;1;0;172;81;11;28;4;1;5;1;12;3;5;3;0;2;1;1;0;0;0;2;1;2;0;4;5;149;28;5;68;2;2;1;3;1;6;4;3;0;3;0;0;2;2;3;1;0;8;0;1;6;1283;509;3;140;7;9;367;7;1;3;3;1;21;6;1;3;0;0;111;2;50;2;2;3;32;187;107;18;9;3;5;3;3;1;3;7;2;0;3;2;2;0;2;0;2;3;3;1;1;7;27;5;8;0;0;0;2;0;1;0;2;1;0;2;1;0;3;2;3
"060103";"gmina wiejska";"gm. Biała Podlaska";"bialski";"lubelskie";10219;11172;3465;6753;6;56;0;0;0;0;0;0;0;6754;0;0;6754;92;70;22;0;6662;1581;1413;73;32;12;2;2;1;3;0;5;2;0;1;1;27;2;0;0;0;2;0;0;0;3;435;181;21;96;9;3;13;12;27;5;10;8;2;5;3;3;1;1;5;0;5;2;3;7;13;610;78;10;368;2;7;6;6;2;3;19;12;3;15;1;2;0;0;2;3;1;39;24;0;7;3657;1090;27;710;30;18;1410;67;3;10;8;4;42;19;5;12;4;4;93;18;4;4;5;18;52;275;159;7;39;5;4;2;7;3;2;3;2;1;5;2;3;1;4;2;3;5;4;2;0;10;104;14;27;4;0;4;10;25;2;5;2;1;0;0;2;1;3;4;15
"060104";"gmina wiejska";"gm. Drelów";"bialski";"lubelskie";3980;4228;1736;2244;4;7;0;0;0;0;0;0;0;2244;0;2;2242;46;28;18;0;2196;215;140;28;10;1;2;0;0;2;0;25;2;0;1;0;0;0;0;2;0;0;0;0;1;1;123;59;6;11;2;6;10;2;8;0;4;2;0;2;0;1;0;0;1;1;1;1;2;2;2;321;21;4;256;3;1;2;14;0;1;5;0;0;7;0;1;0;0;1;0;1;1;2;0;1;1461;452;17;494;11;7;354;10;2;7;2;2;15;2;2;7;1;1;33;11;2;6;0;7;16;54;26;5;4;0;0;1;0;2;1;1;0;0;0;5;0;0;2;1;1;0;1;1;0;3;22;1;1;1;3;3;1;3;1;2;1;0;0;0;0;1;3;1;5
"060105";"gmina wiejska";"gm. Janów Podlaski";"bialski";"lubelskie";3792;4289;1358;2434;8;136;0;0;0;0;0;0;0;2433;0;0;2433;41;23;18;0;2392;522;456;22;23;1;3;1;2;0;0;0;2;0;3;2;4;0;0;2;0;0;1;0;0;0;128;63;5;13;6;1;4;4;11;2;5;6;0;1;0;0;0;0;0;0;0;2;0;1;4;271;47;7;170;3;2;5;5;2;2;1;3;2;1;1;2;0;0;2;1;0;8;4;0;3;1341;506;9;220;11;11;419;31;4;4;1;1;36;8;2;8;5;1;30;4;5;1;1;2;21;100;58;5;10;2;1;2;0;3;1;1;0;2;1;4;2;0;2;0;1;0;2;1;0;2;30;6;9;1;1;0;3;3;2;0;0;1;0;0;0;0;2;2;5
"060106";"gmina wiejska";"gm. Kodeń";"bialski";"lubelskie";2845;3062;1156;1689;5;36;0;0;0;0;0;0;0;1688;0;0;1688;42;26;16;0;1646;315;269;19;10;2;4;0;0;0;0;0;4;0;1;0;4;0;0;0;0;1;0;0;0;1;77;40;5;7;0;1;6;4;5;1;2;3;0;0;1;0;0;0;0;0;1;0;0;0;1;187;17;3;122;2;1;7;8;5;3;4;2;0;5;0;0;0;1;2;0;1;3;0;1;0;982;253;8;69;3;8;83;7;1;2;2;2;120;4;1;9;2;2;14;2;373;1;2;2;12;73;39;3;20;0;3;0;0;0;0;1;0;0;1;1;0;0;0;0;1;0;1;1;0;2;12;3;1;3;0;0;1;0;0;1;0;1;1;1;0;0;0;0;6
"060107";"gmina wiejska";"gm. Konstantynów";"bialski";"lubelskie";3010;3281;1156;1854;4;58;0;0;0;0;0;0;0;1854;0;0;1854;43;33;10;0;1811;391;363;7;6;5;2;0;1;0;0;0;1;0;0;0;3;0;0;0;0;1;1;0;0;1;104;36;7;7;1;2;7;2;11;2;1;21;0;2;0;0;1;0;1;0;0;0;0;1;2;166;29;9;97;1;2;1;4;1;1;0;3;2;2;0;0;0;1;0;1;1;5;6;0;0;1056;324;13;225;5;5;382;15;2;4;4;5;20;3;0;2;2;0;14;6;6;2;0;6;11;63;29;5;10;3;1;1;2;0;0;1;0;2;1;3;0;0;0;1;0;0;2;0;0;2;31;1;19;0;3;0;3;0;0;2;0;0;0;0;0;0;1;2;5
"060108";"gmina wiejska";"gm. Leśna Podlaska";"bialski";"lubelskie";3122;3422;1208;1914;4;9;1;1;0;0;0;0;1;1915;1;0;1915;40;27;13;0;1875;308;272;15;11;1;0;0;1;1;1;3;2;0;0;0;0;0;0;0;0;0;0;0;0;1;82;39;5;10;4;1;1;2;5;2;3;6;0;0;0;0;0;1;0;0;0;3;0;0;0;138;15;3;76;3;1;5;5;1;3;1;7;0;2;1;0;0;1;2;0;1;2;7;0;2;1260;466;12;205;10;6;428;8;5;9;4;4;11;5;2;3;4;3;28;7;1;2;2;6;29;67;30;5;10;5;2;1;1;1;0;2;0;0;2;0;0;0;1;2;0;0;0;1;0;4;20;2;4;0;0;0;3;2;0;1;1;0;0;0;1;0;2;4;4
"060109";"gmina wiejska";"gm. Łomazy";"bialski";"lubelskie";3762;4084;1486;2276;5;21;0;0;0;0;0;0;0;2275;0;0;2275;34;26;8;0;2241;333;298;9;9;1;0;1;4;0;0;0;0;1;1;1;0;0;0;0;0;0;7;0;0;1;102;40;9;19;0;1;10;2;6;0;2;4;2;2;1;0;0;1;0;0;0;0;0;1;2;360;32;2;82;1;0;3;3;0;2;2;1;0;5;0;0;0;0;0;1;3;0;215;0;8;1359;483;7;228;20;8;416;26;2;3;4;0;35;2;0;2;2;5;33;5;14;7;5;9;43;71;23;3;13;1;4;2;1;1;4;0;2;0;3;0;0;0;0;0;3;10;0;0;0;1;16;3;6;0;1;1;1;0;0;0;0;1;0;0;0;0;1;2;7
"060110";"gmina wiejska";"gm. Międzyrzec Podlaski";"bialski";"lubelskie";7410;8143;2601;4809;2;30;0;0;0;0;0;0;0;4809;0;0;4809;80;57;23;0;4729;450;241;77;118;2;0;1;0;0;0;4;1;0;0;2;0;1;1;1;0;0;1;0;0;0;267;120;22;20;14;7;6;8;18;9;11;5;2;9;0;0;2;3;2;0;1;1;1;1;5;569;39;8;460;4;2;2;8;6;9;3;1;4;4;1;1;0;3;3;2;0;0;4;0;5;3305;908;22;1796;23;10;280;54;0;7;6;1;9;4;2;6;4;4;53;35;3;5;4;9;60;96;47;4;4;4;4;4;2;2;2;1;0;0;2;5;1;0;4;0;2;1;0;3;2;2;42;8;2;2;0;14;0;1;4;4;0;0;1;1;0;0;2;3;12
"060111";"gmina wiejska";"gm. Piszczac";"bialski";"lubelskie";5322;5750;2318;3004;7;11;0;0;0;0;0;0;0;3004;0;0;3004;55;42;13;0;2949;461;409;31;6;1;0;0;0;0;0;0;3;0;1;0;2;1;0;0;1;5;1;0;0;0;143;61;6;30;6;3;5;5;11;1;0;1;1;6;0;0;0;1;1;0;1;1;0;1;2;245;37;6;138;1;3;4;1;1;4;9;1;4;8;1;0;0;1;0;1;1;2;16;0;6;1970;905;21;226;19;9;541;27;6;3;3;6;14;6;4;3;1;2;50;9;33;3;8;9;62;108;47;2;6;0;2;2;3;3;0;2;0;1;2;3;0;2;2;0;1;26;1;1;0;2;22;5;3;1;0;2;1;0;1;1;1;0;1;2;0;1;2;1;6
