"Kod TERYT";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Władysław KOZAKIEWICZ";"Piotr ROMAN";"Rafał Józef ŚLUSARZ";"Liczba obwodów"
"020100";"bolesławiecki";"dolnośląskie";63756;69098;25143;38611;22;206;4;4;0;1;0;0;3;38605;3;3;38602;636;159;477;0;37966;9569;15634;12763;64
"021000";"lubański";"dolnośląskie";39559;43635;15796;23763;29;534;0;0;0;0;0;0;0;23761;0;0;23761;462;101;361;0;23299;10367;3810;9122;41
"021200";"lwówecki";"dolnośląskie";33518;36318;14721;18797;25;233;0;0;0;0;0;0;0;18797;0;0;18797;404;77;327;0;18393;7012;3481;7900;40
"022500";"zgorzelecki";"dolnośląskie";65497;71395;26420;39074;44;451;1;1;0;0;0;0;1;39072;1;3;39069;840;213;627;0;38229;16581;6013;15635;83
