"Kod TERYT";"Rodzaj jednostki";"Gmina";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Adam Andrzej KOŚMIDER";"Mariusz Kazimierz TRAWKA";"Wojciech Stanisław ZIEMNIAK";"Liczba obwodów"
"300401";"gmina miejsko-wiejska";"gm. Borek Wielkopolski";"gostyński";"wielkopolskie";5378;5875;2354;3024;3;5;0;0;0;0;0;0;0;3024;0;0;3024;56;8;48;0;2968;1492;307;1169;5
"300402";"gmina miejsko-wiejska";"gm. Gostyń";"gostyński";"wielkopolskie";20166;21834;7115;13051;16;54;0;0;0;0;0;0;0;13051;0;0;13051;293;83;210;0;12758;5211;1397;6150;23
"300403";"gmina miejsko-wiejska";"gm. Krobia";"gostyński";"wielkopolskie";9270;10100;4019;5251;8;15;0;0;0;0;0;0;0;5249;0;0;5249;99;31;68;0;5150;2653;496;2001;9
"300404";"gmina wiejska";"gm. Pępowo";"gostyński";"wielkopolskie";4290;4696;1527;2763;3;5;0;0;0;0;0;0;0;2762;0;0;2762;75;16;59;0;2687;1458;241;988;4
"300405";"gmina wiejska";"gm. Piaski";"gostyński";"wielkopolskie";6318;6813;2500;3818;1;7;0;0;0;0;0;0;0;3817;0;0;3817;103;32;71;0;3714;1746;364;1604;8
"300406";"gmina miejsko-wiejska";"gm. Pogorzela";"gostyński";"wielkopolskie";3590;3918;1617;1973;0;3;1;1;0;0;0;0;1;1974;1;0;1974;62;13;49;0;1912;942;179;791;4
"300407";"gmina miejsko-wiejska";"gm. Poniec";"gostyński";"wielkopolskie";5574;6067;2546;3028;5;3;0;0;0;0;0;0;0;3027;0;0;3027;102;32;70;0;2925;1490;288;1147;5
"301101";"gmina miejska";"m. Kościan";"kościański";"wielkopolskie";17795;18789;5521;12274;8;58;7;7;2;0;0;0;5;12278;5;0;12278;264;83;181;0;12014;3552;1052;7410;14
"301102";"gmina miejsko-wiejska";"gm. Czempiń";"kościański";"wielkopolskie";8231;9035;2937;5294;6;23;1;1;0;0;0;0;1;5294;1;0;5294;107;24;83;0;5187;1725;400;3062;6
"301103";"gmina wiejska";"gm. Kościan";"kościański";"wielkopolskie";11409;12442;4114;7295;3;15;0;0;0;0;0;0;0;7295;0;0;7295;193;50;143;0;7102;2744;664;3694;11
