"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Waldemar BONKOWSKI";"Dariusz DRELICH";"Stanisław Józef LAMCZYK"
"82a8-c87b-7041-6128-e8fd-d013-aa29-6660";"220108";"63";"1";"wieś";"stały";"Świetlica Wiejska w Studzienicach, ul. Brzozowa 5, 77-143 Studzienice";"gm. Studzienice";"bytowski";"pomorskie";"1293";"1397";"465";"828";"0";"11";"0";"0";"0";"0";"0";"0";"0";"828";"0";"0";"828";"13";"3";"10";"0";"815";"105";"359";"351"
"5b8d-d088-9cd5-7475-73d8-d045-e5de-dbfd";"220108";"63";"2";"wieś";"stały";"Świetlica Wiejska w Półcznie, Półczno 6, 77-125 Półczno";"gm. Studzienice";"bytowski";"pomorskie";"592";"647";"210";"382";"1";"1";"0";"0";"0";"0";"0";"0";"0";"382";"0";"0";"382";"4";"0";"4";"0";"378";"47";"186";"145"
"7610-0414-a995-f08c-5014-d677-a981-828e";"220108";"63";"3";"wieś";"stały";"Centrum Kultury i Biblioteka Gminy Studzienice Ugoszcz, Ugoszcz 12b, 77-142 Ugoszcz";"gm. Studzienice";"bytowski";"pomorskie";"743";"801";"280";"463";"0";"3";"0";"0";"0";"0";"0";"0";"0";"463";"0";"0";"463";"15";"10";"5";"0";"448";"69";"182";"197"
"a5fc-f437-7937-e5d0-2230-c703-c11b-3fc1";"220109";"63";"1";"wieś";"stały";"Urząd Gminy Trzebielino, Wiejska 15, 77-235 Trzebielino";"gm. Trzebielino";"bytowski";"pomorskie";"1202";"1273";"553";"649";"2";"8";"0";"0";"0";"0";"0";"0";"0";"649";"0";"0";"649";"22";"2";"20";"0";"627";"71";"266";"290"
"2804-de6f-2e4c-d8cf-8adf-f0ee-1a4d-f2b3";"220109";"63";"2";"wieś";"stały";"Biblioteka Gminna Filia w Suchorzu, Suchorze Lipowa 2, 77-235 Trzebielino";"gm. Trzebielino";"bytowski";"pomorskie";"1432";"1558";"751";"681";"1";"5";"0";"0";"0";"0";"0";"0";"0";"681";"0";"0";"681";"13";"3";"10";"0";"668";"98";"270";"300"
"a9e1-858c-8168-8593-4746-bc63-4ba0-83e9";"220109";"63";"3";"wieś";"zakład leczniczy";"Chrześcijański Ośrodek dla Osób Uzależnionych ""TEEN CHALLENGE"" w Broczynie, Broczyna 11, 77-235 Trzebielino";"gm. Trzebielino";"bytowski";"pomorskie";"24";"19";"17";"7";"0";"0";"0";"0";"0";"0";"0";"0";"0";"7";"0";"0";"7";"0";"0";"0";"0";"7";"0";"7";"0"
"d1a3-ada6-3f58-2978-e74f-66b6-e49d-08bf";"220110";"63";"1";"wieś";"stały";"Zespół Szkół, ul. ks. Jana Hinza 1, 77-133 Tuchomie";"gm. Tuchomie";"bytowski";"pomorskie";"1012";"1095";"464";"548";"0";"0";"0";"0";"0";"0";"0";"0";"0";"548";"0";"0";"548";"8";"1";"7";"0";"540";"81";"202";"257"
"ef46-621d-2abd-ae92-947d-cfe4-8f9f-5320";"220110";"63";"2";"wieś";"stały";"Gminny Ośrodek Kultury, ul. Jana III Sobieskiego 18, 77-133 Tuchomie";"gm. Tuchomie";"bytowski";"pomorskie";"952";"1008";"491";"461";"0";"3";"0";"0";"0";"0";"0";"0";"0";"461";"0";"0";"461";"10";"3";"7";"0";"451";"58";"215";"178"
"01dc-b421-80b8-86e7-7fa4-4e2f-7ee0-d609";"220110";"63";"3";"wieś";"stały";"Wiejski Ośrodek Kultury, Trzebiatkowa 37, 77-134 Tuchomie";"gm. Tuchomie";"bytowski";"pomorskie";"642";"659";"306";"336";"0";"1";"0";"0";"0";"0";"0";"0";"0";"336";"0";"0";"336";"5";"1";"4";"0";"331";"46";"173";"112"
"73e8-c109-f959-97cb-10a9-a3ee-6c4c-b638";"220110";"63";"4";"wieś";"stały";"Wiejski Ośrodek Kultury, Kramarzyny ul. Leśna 1, 77-135 Tuchomie";"gm. Tuchomie";"bytowski";"pomorskie";"493";"501";"233";"260";"0";"0";"0";"0";"0";"0";"0";"0";"0";"260";"0";"0";"260";"8";"3";"5";"0";"252";"31";"116";"105"
"c566-325a-0543-22ee-d247-3415-58df-110a";"220201";"63";"1";"miasto";"stały";"Szkoła Podstawowa nr 7, ul. Tuwima 2, 89-600 Chojnice";"m. Chojnice";"chojnicki";"pomorskie";"1450";"1576";"393";"1057";"0";"8";"0";"0";"0";"0";"0";"0";"0";"1057";"0";"0";"1057";"25";"10";"15";"0";"1032";"118";"373";"541"
"b810-4caa-257d-e4b9-5be6-6cc0-bd9a-6a82";"220201";"63";"2";"miasto";"stały";"Szkoła Podstawowa nr 1, ul. 31 Stycznia 21, 89-600 Chojnice";"m. Chojnice";"chojnicki";"pomorskie";"1200";"1301";"488";"712";"2";"15";"1";"1";"0";"0";"0";"0";"1";"713";"1";"0";"713";"6";"2";"4";"0";"707";"92";"245";"370"
"b15d-5d9f-c153-ad64-ff2c-b534-76bc-c117";"220201";"63";"3";"miasto";"stały";"Zespół Szkół Specjalnych, ul. Jana Pawła II 11, 89-600 Chojnice";"m. Chojnice";"chojnicki";"pomorskie";"1300";"1376";"468";"832";"1";"2";"0";"0";"0";"0";"0";"0";"0";"832";"0";"0";"832";"11";"2";"9";"0";"821";"97";"313";"411"
"3af3-4186-a5e6-1a25-3bae-614a-26ae-cd6b";"220201";"63";"4";"miasto";"stały";"Zakład Produkcji Materiałów Budowlanych inż. Kazimierz Ginter, ul. Kolejowa 4, 89-600 Chojnice";"m. Chojnice";"chojnicki";"pomorskie";"802";"808";"292";"510";"0";"3";"0";"0";"0";"0";"0";"0";"0";"510";"0";"0";"510";"9";"4";"5";"0";"501";"64";"204";"233"
"c147-e6d2-b547-71ce-6783-2eb8-ddc3-2ae5";"220201";"63";"5";"miasto";"stały";"Szkoła Podstawowa nr 3, ul. Dworcowa 6, 89-600 Chojnice";"m. Chojnice";"chojnicki";"pomorskie";"1561";"1642";"661";"900";"1";"6";"0";"0";"0";"0";"0";"0";"0";"899";"0";"0";"899";"17";"2";"15";"0";"882";"108";"326";"448"
"6325-13de-05c0-2823-dc83-d880-2a25-f8cb";"220201";"63";"6";"miasto";"stały";"Zespół Szkół Ponadgimnazjalnych nr 2, ul. Angowicka 45, 89-600 Chojnice";"m. Chojnice";"chojnicki";"pomorskie";"1803";"1907";"765";"1038";"0";"9";"0";"0";"0";"0";"0";"0";"0";"1038";"0";"0";"1038";"35";"13";"22";"0";"1003";"123";"355";"525"
"a57a-bb64-db70-2955-84b8-566e-91a4-5d80";"220201";"63";"7";"miasto";"stały";"Miejskie Wodociągi Spółka z o. o., Pl. Piastowski 27a, 89-600 Chojnice";"m. Chojnice";"chojnicki";"pomorskie";"1550";"1647";"446";"1104";"1";"2";"0";"0";"0";"0";"0";"0";"0";"1104";"0";"0";"1104";"24";"14";"10";"0";"1080";"110";"393";"577"
"7e3f-3c27-4391-dd23-29e0-02de-fb74-92e0";"220201";"63";"8";"miasto";"stały";"Szkoła Podstawowa nr 1, ul. Szpitalna 3, 89-600 Chojnice";"m. Chojnice";"chojnicki";"pomorskie";"1154";"1201";"519";"635";"3";"4";"0";"0";"0";"0";"0";"0";"0";"635";"0";"0";"635";"11";"3";"8";"0";"624";"74";"245";"305"
"d943-91f5-c546-fed8-ffd8-67ca-5a51-383a";"220201";"63";"9";"miasto";"stały";"Zespół Szkół, ul. Nowe Miasto 4 - 6, 89-600 Chojnice";"m. Chojnice";"chojnicki";"pomorskie";"1109";"1161";"508";"601";"0";"14";"0";"0";"0";"0";"0";"0";"0";"601";"0";"0";"601";"9";"2";"7";"0";"592";"45";"235";"312"
"480f-91d0-d855-39e3-51a5-12e7-7252-c4e3";"220201";"63";"10";"miasto";"stały";"Szkoła Podstawowa nr 8, ul. Młodzieżowa 44, 89-600 Chojnice";"m. Chojnice";"chojnicki";"pomorskie";"905";"943";"330";"575";"0";"5";"0";"0";"0";"0";"0";"0";"0";"574";"0";"0";"574";"13";"5";"8";"0";"561";"53";"226";"282"
"c9e4-7a2b-e3ed-17df-78b8-8a67-b76a-c22f";"220201";"63";"11";"miasto";"stały";"Hala Widowiskowo-Sportowa ""Centrum Park"", ul. Wagnera 3, 89-600 Chojnice";"m. Chojnice";"chojnicki";"pomorskie";"1050";"1076";"339";"711";"0";"0";"0";"0";"0";"0";"0";"0";"0";"711";"0";"0";"711";"22";"4";"18";"0";"689";"68";"244";"377"
"d1e1-0d20-8fc2-9bc1-e6fe-a1a9-54db-98b0";"220201";"63";"12";"miasto";"stały";"Technikum nr 2, ul. Dworcowa 1, 89-600 Chojnice";"m. Chojnice";"chojnicki";"pomorskie";"1350";"1428";"562";"788";"1";"9";"0";"0";"0";"0";"0";"0";"0";"788";"0";"0";"788";"14";"2";"12";"0";"774";"90";"275";"409"
"0067-537e-18dd-d29d-2274-b31b-2222-e7ab";"220201";"63";"13";"miasto";"stały";"Powiatowa Bursa dla Młodzieży Szkolnej, ul. Świętopełka 1, 89-600 Chojnice";"m. Chojnice";"chojnicki";"pomorskie";"1600";"1680";"556";"1044";"1";"5";"0";"0";"0";"0";"0";"0";"0";"1044";"0";"0";"1044";"25";"3";"22";"0";"1019";"112";"345";"562"
"1e38-6c05-8dd5-1af0-b4a7-7483-5229-b217";"220201";"63";"14";"miasto";"stały";"Szkoła Podstawowa nr 5, ul. Wicka Rogali 18, 89-600 Chojnice";"m. Chojnice";"chojnicki";"pomorskie";"1410";"1484";"479";"931";"0";"8";"0";"0";"0";"0";"0";"0";"0";"931";"0";"0";"931";"19";"9";"10";"0";"912";"92";"347";"473"
"6119-4679-96be-83cd-ed00-404a-2b8b-f817";"220201";"63";"15";"miasto";"stały";"Zespół Szkół Ponadgimnazjalnych nr 1, ul. Kościerska 11, 89-600 Chojnice";"m. Chojnice";"chojnicki";"pomorskie";"1555";"1586";"541";"1014";"6";"8";"0";"0";"0";"0";"0";"0";"0";"1014";"0";"0";"1014";"13";"3";"10";"0";"1001";"100";"356";"545"
"7d41-d54d-12d6-321f-0640-5ac9-4d90-1328";"220201";"63";"16";"miasto";"stały";"Budynek socjalny Boiska Nowych Nadziei ""Modrak"", ul. Bałtycka 1, 89-600 Chojnice";"m. Chojnice";"chojnicki";"pomorskie";"1418";"1516";"431";"987";"0";"5";"0";"0";"0";"0";"0";"0";"0";"987";"0";"0";"987";"24";"9";"15";"0";"963";"103";"290";"570"
"68ea-1594-c0f4-fc59-a2fa-9b60-0c1a-9fe3";"220201";"63";"17";"miasto";"stały";"Świetlica Osiedlowa, ul. Jabłoniowa 43, 89-600 Chojnice";"m. Chojnice";"chojnicki";"pomorskie";"1424";"1508";"445";"979";"0";"6";"0";"0";"0";"0";"0";"0";"0";"979";"0";"0";"979";"19";"3";"16";"0";"960";"127";"351";"482"
"eba9-9b76-da7d-e1a9-959d-cc87-32d2-c641";"220201";"63";"18";"miasto";"stały";"Przedszkole Niepubliczne z Grupą Żłobkową ""MISIOWA AKADEMIA"", ul. Kard. Stefana Wyszyńskiego 8, 89-600 Chojnice";"m. Chojnice";"chojnicki";"pomorskie";"1606";"1739";"523";"1083";"0";"3";"0";"0";"0";"0";"0";"0";"0";"1082";"0";"0";"1082";"24";"5";"19";"0";"1058";"129";"344";"585"
"bb1f-fe9f-881d-2048-57e4-f687-6aa0-2ce9";"220201";"63";"19";"miasto";"stały";"Żłobek Miejski, ul. Młodzieżowa 7, 89-604 Chojnice";"m. Chojnice";"chojnicki";"pomorskie";"1202";"1297";"406";"796";"1";"9";"0";"0";"0";"0";"0";"0";"0";"796";"0";"0";"796";"13";"7";"6";"0";"783";"80";"285";"418"
"c4a5-8670-3f00-d586-530d-56e6-364a-1b72";"220201";"63";"20";"miasto";"stały";"Sala konferencyjna Szpitala Specjalistycznego im. J. K. Łukowicza, ul. Leśna 10, 89-600 Chojnice";"m. Chojnice";"chojnicki";"pomorskie";"1305";"1414";"375";"930";"0";"5";"0";"0";"0";"0";"0";"0";"0";"930";"0";"0";"930";"18";"2";"16";"0";"912";"101";"298";"513"
"3693-52f9-e1e4-26fe-581b-6a84-9349-af02";"220201";"63";"21";"miasto";"stały";"Szkoła Podstawowa nr 7, ul. Tuwima 2, 89-600 Chojnice";"m. Chojnice";"chojnicki";"pomorskie";"1403";"1471";"449";"954";"0";"0";"0";"0";"0";"0";"0";"0";"0";"954";"0";"0";"954";"31";"26";"5";"0";"923";"94";"368";"461"
"11e7-db00-3618-dd4f-6bd7-f2f4-b718-e354";"220201";"63";"22";"miasto";"zakład leczniczy";"Świetlica Szpitala Specjalistycznego im. J. K. Łukowicza, ul. Leśna 10, 89-600 Chojnice";"m. Chojnice";"chojnicki";"pomorskie";"303";"179";"253";"50";"0";"0";"0";"0";"0";"0";"0";"0";"0";"50";"0";"0";"50";"2";"0";"2";"0";"48";"5";"21";"22"
"8026-3a48-dd5a-1302-3ff2-3d8e-31c3-d673";"220201";"63";"23";"miasto";"dom pomocy społecznej";"Dom Pomocy Społecznej, ul. Leśna 12, 89-600 Chojnice";"m. Chojnice";"chojnicki";"pomorskie";"108";"63";"66";"42";"0";"0";"0";"0";"0";"0";"0";"0";"0";"42";"0";"0";"42";"3";"0";"3";"0";"39";"10";"18";"11"
"bcaf-4f58-584d-66ee-6e97-50d7-3956-59a2";"220201";"63";"24";"miasto";"oddział zewnętrzny zakładu karnego";"Zakład Karny w Koronowie Oddział Zewnętrzny w Chojnicach, ul. Pietruszkowa 4, 89-600 Chojnice";"m. Chojnice";"chojnicki";"pomorskie";"132";"122";"70";"62";"0";"0";"0";"0";"0";"0";"0";"0";"0";"62";"0";"0";"62";"2";"1";"1";"0";"60";"16";"16";"28"
"a423-4dfb-c87b-f457-514a-410d-1a6e-7973";"220202";"63";"1";"miasto";"stały";"Centrum Kultury i Biblioteki im. Jana Karnowskiego, ul. Dworcowa 18, 89-632 Brusy";"gm. Brusy";"chojnicki";"pomorskie";"805";"854";"234";"571";"2";"2";"0";"0";"0";"0";"0";"0";"0";"571";"0";"0";"571";"9";"1";"8";"0";"562";"52";"256";"254"
"e71c-52f1-85fd-b8b7-d65b-ad19-ed8f-fe34";"220202";"63";"2";"miasto";"stały";"Szkoła Podstawowa Nr 2, ul. Ogrodowa 2, 89-632 Brusy";"gm. Brusy";"chojnicki";"pomorskie";"802";"832";"240";"562";"0";"2";"10";"10";"7";"0";"0";"0";"3";"565";"3";"0";"565";"3";"0";"3";"0";"562";"44";"222";"296"
"c226-4f95-f07e-41aa-88fd-91e8-0de8-0b4e";"220202";"63";"3";"miasto";"stały";"Szkoła Podstawowa Nr 2, ul. Ogrodowa 2, 89-632 Brusy";"gm. Brusy";"chojnicki";"pomorskie";"604";"642";"169";"435";"1";"3";"0";"0";"0";"0";"0";"0";"0";"435";"0";"0";"435";"7";"2";"5";"0";"428";"46";"187";"195"
"af34-cc23-977b-c8c9-6789-ab39-5027-edc4";"220202";"63";"4";"miasto";"stały";"Ochotnicza Straż Pożarna, ul. Gdańska 1B, 89-632 Brusy";"gm. Brusy";"chojnicki";"pomorskie";"704";"760";"186";"518";"0";"3";"0";"0";"0";"0";"0";"0";"0";"518";"0";"0";"518";"4";"2";"2";"0";"514";"61";"228";"225"
"5339-1898-a211-2e1e-b999-4250-1c4c-8a96";"220202";"63";"5";"miasto";"stały";"Szkoła Podstawowa im. Jana Pawła II, ul. Ogrodowa 2, 89-632 Brusy";"gm. Brusy";"chojnicki";"pomorskie";"656";"676";"230";"426";"0";"0";"0";"0";"0";"0";"0";"0";"0";"426";"0";"0";"426";"8";"6";"2";"0";"418";"58";"174";"186"
"376d-38ee-f255-0e73-2e56-15f7-dc3c-ab93";"220202";"63";"6";"wieś";"stały";"Urząd Miejski, ul. Na Zaborach 1, 89-632 Brusy";"gm. Brusy";"chojnicki";"pomorskie";"1250";"1371";"457";"793";"2";"4";"0";"0";"0";"0";"0";"0";"0";"793";"0";"0";"793";"13";"3";"10";"0";"780";"77";"412";"291"
"5b67-a7e7-0c07-eecf-b0a1-3f7e-136f-5c3d";"220202";"63";"7";"wieś";"stały";"Szkoła Podstawowa im. Kard. Stefana Wyszyńskiego, ul. Kard. St. Wyszyńskiego 15, 89-634 Leśno";"gm. Brusy";"chojnicki";"pomorskie";"1357";"1466";"449";"908";"1";"14";"0";"0";"0";"0";"0";"0";"0";"908";"0";"0";"908";"12";"1";"11";"0";"896";"93";"549";"254"
"dc5f-a5d2-3f59-7945-7aab-beda-0229-14ea";"220202";"63";"8";"wieś";"stały";"Szkoła Podstawowa im. Tajnej Organizacji Wojskowej ""Gryf Pomorski"", Lubnia ul. Szkolna 13, 89-632 Brusy";"gm. Brusy";"chojnicki";"pomorskie";"902";"964";"338";"564";"0";"3";"0";"0";"0";"0";"0";"0";"0";"564";"0";"0";"564";"13";"1";"12";"0";"551";"76";"298";"177"
"1c54-5a19-3fed-6390-c379-7223-bfcb-ff8b";"220202";"63";"9";"wieś";"stały";"Szkoła Podstawowa, Zalesie Gdańska 26, 89-632 Brusy";"gm. Brusy";"chojnicki";"pomorskie";"450";"473";"212";"238";"0";"0";"0";"0";"0";"0";"0";"0";"0";"238";"0";"0";"238";"1";"0";"1";"0";"237";"27";"142";"68"
"7ea0-f9ab-e66b-3eaf-fb40-a522-7f40-ae68";"220202";"63";"10";"wieś";"stały";"Szkoła Podstawowa im. Ks. Kanonika Bolesława Śledzia, Kosobudy ul. Szkolna 20, 89-632 Brusy";"gm. Brusy";"chojnicki";"pomorskie";"850";"921";"255";"595";"2";"1";"0";"0";"0";"0";"0";"0";"0";"595";"0";"0";"595";"8";"4";"4";"0";"587";"57";"341";"189"
"4474-0502-c3a6-0ee4-79ab-5059-cbc2-4e6e";"220202";"63";"11";"wieś";"stały";"Szkoła Podstawowa, Męcikał ul. Szkolna 7, 89-632 Brusy";"gm. Brusy";"chojnicki";"pomorskie";"557";"616";"178";"379";"0";"0";"0";"0";"0";"0";"0";"0";"0";"379";"0";"0";"379";"11";"5";"6";"0";"368";"45";"137";"186"
"3ad9-79eb-bd27-e13d-7dc2-e8bd-aefb-7562";"220202";"63";"12";"wieś";"stały";"Szkoła Podstawowa im. Stanisława Sikorskiego, Wielkie Chełmy 35, 89-632 Brusy";"gm. Brusy";"chojnicki";"pomorskie";"508";"545";"230";"278";"0";"4";"0";"0";"0";"0";"0";"0";"0";"278";"0";"0";"278";"5";"2";"3";"0";"273";"34";"136";"103"
"614d-c870-ab83-56e3-e17b-8681-a0c1-ebb2";"220202";"63";"13";"wieś";"stały";"Szkoła Podstawowa im. bł. Ks. Józefa Jankowskiego, Czyczkowy ul. Główna 46, 89-632 Brusy";"gm. Brusy";"chojnicki";"pomorskie";"600";"648";"224";"376";"0";"0";"0";"0";"0";"0";"0";"0";"0";"376";"0";"0";"376";"4";"2";"2";"0";"372";"31";"201";"140"
"3e83-1568-4b00-81c0-5262-9a13-abb8-ddd2";"220203";"63";"1";"wieś";"stały";"Wiejski Dom Kultury w Swornegaciach, ul. Mestwina 10, 89-608 Swornegacie";"gm. Chojnice";"chojnicki";"pomorskie";"951";"1032";"362";"589";"0";"33";"0";"0";"0";"0";"0";"0";"0";"589";"0";"0";"589";"11";"5";"6";"0";"578";"80";"215";"283"
"bad9-2523-52f1-d627-4a63-2a9d-41f2-c71b";"220203";"63";"2";"wieś";"stały";"Szkoła Podstawowa w Charzykowach, ul. Szkolna 1, 89-606 Charzykowy";"gm. Chojnice";"chojnicki";"pomorskie";"1548";"1647";"447";"1101";"2";"27";"0";"0";"0";"0";"0";"0";"0";"1101";"0";"0";"1101";"17";"4";"13";"0";"1084";"88";"273";"723"
"ef80-4a6f-09b2-549a-fcfd-12d2-0765-ed1f";"220203";"63";"3";"wieś";"stały";"Świetlica Wiejska w Chojniczkach, Chojniczki ul. Chojnicka 76, 89-606 Charzykowy";"gm. Chojnice";"chojnicki";"pomorskie";"851";"903";"235";"616";"0";"8";"0";"0";"0";"0";"0";"0";"0";"616";"0";"0";"616";"14";"4";"10";"0";"602";"82";"170";"350"
"b97b-a600-4ccd-fe26-7466-8a1d-b403-2187";"220203";"63";"4";"wieś";"stały";"Świetlica Wiejska w Kłodawie, Kłodawa 4, 89-632 Brusy";"gm. Chojnice";"chojnicki";"pomorskie";"856";"883";"310";"546";"1";"3";"0";"0";"0";"0";"0";"0";"0";"546";"0";"0";"546";"11";"2";"9";"0";"535";"51";"255";"229"
"0bff-9188-9ad6-4050-5045-34ce-3fe0-314d";"220203";"63";"5";"wieś";"stały";"Świetlica Wiejska w Krojantach, Krojanty ul. 18 Pułku Ułanów Pomorskich 11, 89-641 Nowa Cerkiew";"gm. Chojnice";"chojnicki";"pomorskie";"998";"1070";"340";"658";"0";"33";"0";"0";"0";"0";"0";"0";"0";"658";"0";"0";"658";"13";"5";"8";"0";"645";"75";"248";"322"
"1d6f-5b34-0a4f-3622-b3ab-04fa-9833-e11e";"220203";"63";"6";"wieś";"stały";"Szkoła Podstawowa w Nowej Cerkwi, ul. Szkolna 11, 89-641 Nowa Cerkiew";"gm. Chojnice";"chojnicki";"pomorskie";"1095";"1185";"457";"638";"0";"1";"0";"0";"0";"0";"0";"0";"0";"636";"0";"0";"636";"16";"5";"11";"0";"620";"61";"380";"179"
"d159-1a11-2df7-deb6-e4c0-58a5-9eea-7038";"220203";"63";"7";"wieś";"stały";"Szkoła Podstawowa w Pawłowie, Pawłowo ul. Tucholska 16, 89-620 Chojnice";"gm. Chojnice";"chojnicki";"pomorskie";"1097";"1174";"382";"715";"1";"2";"0";"0";"0";"0";"0";"0";"0";"715";"0";"0";"715";"13";"3";"10";"0";"702";"107";"347";"248"
"2484-faf9-32fb-8149-26aa-4654-3174-b025";"220203";"63";"8";"wieś";"stały";"Wiejski Dom Kultury w Silnie, Silno ul. Główna 49, 89-620 Chojnice";"gm. Chojnice";"chojnicki";"pomorskie";"1099";"1160";"472";"627";"0";"2";"0";"0";"0";"0";"0";"0";"0";"627";"0";"0";"627";"15";"2";"13";"0";"612";"83";"301";"228"
"cea0-f023-cab0-c4a9-8941-b701-4f9e-7dd1";"220203";"63";"9";"wieś";"stały";"Szkoła Podstawowa w Ostrowitem, Ostrowite ul. Szkolna 3, 89-620 Chojnice";"gm. Chojnice";"chojnicki";"pomorskie";"702";"755";"375";"327";"0";"0";"0";"0";"0";"0";"0";"0";"0";"327";"0";"0";"327";"12";"2";"10";"0";"315";"50";"114";"151"
"4fec-af80-89ad-c7b7-8d1f-cde4-bb74-1774";"220203";"63";"10";"wieś";"stały";"Szkoła Podstawowa w Lichnowach, Lichnowy ul. Szkolna 15, 89-620 Chojnice";"gm. Chojnice";"chojnicki";"pomorskie";"1053";"1130";"487";"566";"0";"1";"0";"0";"0";"0";"0";"0";"0";"566";"0";"0";"566";"10";"2";"8";"0";"556";"73";"210";"273"
"f9dc-5111-f6fa-e3fb-a9d7-bd55-e75b-4a24";"220203";"63";"11";"wieś";"stały";"Szkoła Podstawowa w Ostrowitem, Sławęcin ul. Szkolna 11, 89-620 Chojnice";"gm. Chojnice";"chojnicki";"pomorskie";"598";"636";"272";"326";"0";"0";"0";"0";"0";"0";"0";"0";"0";"326";"0";"0";"326";"8";"1";"7";"0";"318";"51";"166";"101"
"7bd7-e9c1-609b-c580-4a4a-a7e4-3b1b-8d94";"220203";"63";"12";"wieś";"stały";"Szkoła Podstawowa w Ogorzelinach, ul. Obkaska 3, 89-665 Ogorzeliny";"gm. Chojnice";"chojnicki";"pomorskie";"856";"894";"394";"462";"0";"2";"0";"0";"0";"0";"0";"0";"0";"462";"0";"0";"462";"11";"1";"10";"0";"451";"74";"202";"175"
"b4c7-0c16-f0fe-f0db-edbd-3023-1f89-912a";"220203";"63";"13";"wieś";"stały";"Świetlica Wiejska w Nowym Dworze, Nowy Dwór 19/2, 89-665 Ogorzeliny";"gm. Chojnice";"chojnicki";"pomorskie";"600";"625";"330";"270";"0";"0";"0";"0";"0";"0";"0";"0";"0";"270";"0";"0";"270";"14";"3";"11";"0";"256";"34";"142";"80"
"dc3e-4ea1-aac3-0aff-99ea-997a-f496-6fd8";"220203";"63";"14";"wieś";"stały";"Szkoła Podstawowa w Nieżychowicach, Nieżychowice 55, 89-620 Chojnice";"gm. Chojnice";"chojnicki";"pomorskie";"1049";"1157";"428";"621";"0";"0";"0";"0";"0";"0";"0";"0";"0";"621";"0";"0";"621";"9";"4";"5";"0";"612";"78";"275";"259"
"5d98-4104-dfad-d564-89cf-12a7-6043-121b";"220204";"63";"1";"miasto";"stały";"Szkoła Podstawowa Nr 1, ul. Dworcowa 8, 89-650 Czersk";"gm. Czersk";"chojnicki";"pomorskie";"1494";"1603";"584";"910";"1";"5";"0";"0";"0";"0";"0";"0";"0";"910";"0";"0";"910";"18";"8";"10";"0";"892";"116";"418";"358"
"7dbf-58fa-5359-45fa-7b0d-970a-4184-9e2f";"220204";"63";"2";"miasto";"stały";"Szkoła Podstawowa Nr 2, ul. Kościuszki 6, 89-650 Czersk";"gm. Czersk";"chojnicki";"pomorskie";"1699";"1833";"632";"1067";"3";"7";"0";"0";"0";"0";"0";"0";"0";"1067";"0";"0";"1067";"19";"7";"12";"0";"1048";"120";"541";"387"
"dd2a-eae6-661a-4806-4b30-94fd-e6be-cf95";"220204";"63";"3";"miasto";"stały";"Remiza OSP, ul. Starogardzka 42, 89-650 Czersk";"gm. Czersk";"chojnicki";"pomorskie";"1750";"1861";"642";"1108";"3";"2";"0";"0";"0";"0";"0";"0";"0";"1108";"0";"0";"1108";"14";"4";"10";"0";"1094";"154";"540";"400"
"5a1e-eb2f-34b0-a4f2-58bd-d80f-c22a-0db2";"220204";"63";"4";"miasto";"stały";"Ośrodek Kultury, ul. Szkolna 11, 89-650 Czersk";"gm. Czersk";"chojnicki";"pomorskie";"2000";"2165";"878";"1122";"1";"4";"0";"0";"0";"0";"0";"0";"0";"1122";"0";"0";"1122";"14";"3";"11";"0";"1108";"168";"550";"390"
"03f5-9e29-9865-ed5f-d43b-a964-3b38-50e2";"220204";"63";"5";"wieś";"stały";"Liceum Ogólnokształcące im. Wincentego Pola, ul. Szkolna 3, 89-650 Czersk";"gm. Czersk";"chojnicki";"pomorskie";"800";"872";"378";"422";"1";"2";"0";"0";"0";"0";"0";"0";"0";"422";"0";"0";"422";"5";"1";"4";"0";"417";"40";"281";"96"
