"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Waldemar BONKOWSKI";"Dariusz DRELICH";"Stanisław Józef LAMCZYK"
"0dcd-482c-eb70-011e-b5e4-d446-02ab-cd6b";"220102";"63";"8";"miasto";"stały";"Ośrodek Profilaktyki I Edukacji, ul. Miła 26, 77-100 Bytów";"gm. Bytów";"bytowski";"pomorskie";"1450";"1544";"600";"850";"0";"0";"0";"0";"0";"0";"0";"0";"0";"850";"0";"0";"850";"16";"6";"10";"0";"834";"90";"329";"415"
"4e17-e4c8-73a7-b9d2-e859-9d9d-6b90-6fc8";"220102";"63";"9";"miasto";"stały";"Starostwo Powiatowe, ul. Ks. dr. Bolesława Domańskiego 2, 77-100 Bytów";"gm. Bytów";"bytowski";"pomorskie";"1159";"1238";"361";"798";"1";"4";"0";"0";"0";"0";"0";"0";"0";"797";"0";"0";"797";"18";"6";"12";"0";"779";"85";"281";"413"
"446a-533c-9b5c-70ca-52c0-ef6a-b956-d025";"220102";"63";"10";"miasto";"stały";"Szkoła Podstawowa Nr 2, ul. Ks. dr. Bolesława Domańskiego 13, 77-100 Bytów";"gm. Bytów";"bytowski";"pomorskie";"1108";"1136";"378";"730";"0";"0";"0";"0";"0";"0";"0";"0";"0";"730";"0";"0";"730";"11";"3";"8";"0";"719";"105";"274";"340"
"eb3e-6531-9b9b-a9d3-f0c1-3fdf-4e8d-2fdf";"220102";"63";"11";"wieś";"stały";"Szkoła Podstawowa, Gostkowo 20, 77-114 Gostkowo";"gm. Bytów";"bytowski";"pomorskie";"750";"775";"365";"385";"0";"0";"0";"0";"0";"0";"0";"0";"0";"385";"0";"0";"385";"6";"3";"3";"0";"379";"48";"204";"127"
"ab4f-d7a4-df9a-42f8-dd85-07c5-d963-6654";"220102";"63";"12";"wieś";"stały";"Szkoła Podstawowa, ul. Gdańska 33, 77-121 Pomysk Wielki";"gm. Bytów";"bytowski";"pomorskie";"859";"889";"369";"490";"1";"4";"0";"0";"0";"0";"0";"0";"0";"489";"0";"0";"489";"14";"4";"10";"0";"475";"71";"210";"194"
"a5f8-ea8b-f53d-00f0-ae10-aae4-f4d1-95a0";"220102";"63";"13";"wieś";"stały";"Szkoła Podstawowa Nr 2, ul. Ks. dr. Bolesława Domańskiego 13, 77-100 Bytów";"gm. Bytów";"bytowski";"pomorskie";"900";"932";"228";"672";"0";"1";"0";"0";"0";"0";"0";"0";"0";"670";"0";"0";"670";"12";"4";"8";"0";"658";"76";"163";"419"
"4c4f-1f41-66d9-8842-4aa3-4981-50ac-be54";"220102";"63";"14";"wieś";"stały";"Świetlica wiejska, Mądrzechowo ul. Brylantowa 6, 77-100 Bytów";"gm. Bytów";"bytowski";"pomorskie";"600";"610";"230";"370";"0";"4";"0";"0";"0";"0";"0";"0";"0";"370";"0";"0";"370";"8";"3";"5";"0";"362";"44";"131";"187"
"d89b-bb2f-2d01-0745-2643-8eb9-4b59-89e4";"220102";"63";"15";"wieś";"stały";"Świetlica wiejska, Ząbinowice 19, 77-100 Bytów";"gm. Bytów";"bytowski";"pomorskie";"301";"307";"131";"170";"1";"4";"0";"0";"0";"0";"0";"0";"0";"170";"0";"0";"170";"4";"1";"3";"0";"166";"25";"85";"56"
"5193-2c64-86ca-d912-a110-b5ad-afa2-e5ca";"220102";"63";"16";"wieś";"stały";"Bytowskie Centrum Kultury, ul. Wojska Polskiego 12, 77-100 Bytów";"gm. Bytów";"bytowski";"pomorskie";"550";"570";"222";"328";"0";"3";"0";"0";"0";"0";"0";"0";"0";"328";"0";"0";"328";"6";"3";"3";"0";"322";"41";"105";"176"
"0cd0-aa16-2e0f-e23d-ea68-b826-a3c9-279e";"220102";"63";"17";"wieś";"stały";"Świetlica wiejska, Udorpie 12, 77-100 Bytów";"gm. Bytów";"bytowski";"pomorskie";"754";"782";"300";"454";"0";"4";"0";"0";"0";"0";"0";"0";"0";"454";"0";"0";"454";"8";"1";"7";"0";"446";"68";"183";"195"
