"Kod TERYT";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Andrzej Franciszek LASAK";"Jacek Władysław WŁOSOWICZ";"Liczba obwodów"
"260100";"buski";"świętokrzyskie";56117;60128;22398;33719;81;1419;1;1;0;0;0;0;1;33716;1;1;33715;973;300;673;0;32742;13314;19428;64
"260200";"jędrzejowski";"świętokrzyskie";63901;69211;24477;39423;58;266;1;1;0;0;0;0;1;39421;1;0;39421;1102;287;815;0;38319;13239;25080;75
"260300";"kazimierski";"świętokrzyskie";25930;28056;12321;13609;22;60;2;2;0;0;0;0;2;13609;2;0;13609;298;64;234;0;13311;4703;8608;31
"260500";"konecki";"świętokrzyskie";61116;66021;24255;36861;88;208;0;0;0;0;0;0;0;36859;0;0;36859;1150;321;829;0;35709;13010;22699;75
"260800";"pińczowski";"świętokrzyskie";30791;33198;13244;17547;42;142;1;1;0;0;0;0;1;17545;1;2;17543;542;149;393;0;17001;6541;10460;35
"261200";"staszowski";"świętokrzyskie";54258;58592;21920;32336;42;158;1;1;0;0;0;0;1;32337;1;4;32333;995;267;728;0;31338;9995;21343;70
"261300";"włoszczowski";"świętokrzyskie";34155;37218;12734;21421;21;150;1;1;0;0;0;0;1;21417;1;0;21417;533;154;379;0;20884;7181;13703;39
