"Kod TERYT";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Radosław SAŁATA";"Michał SEWERYŃSKI";"Andrzej URBANIAK";"Jacek WALCZAK";"Liczba obwodów"
"100900";"pajęczański";"łódzkie";38387;41709;13365;25024;61;117;0;0;0;0;0;0;0;25021;0;0;25021;616;159;457;0;24405;2684;14562;1361;5798;39
"101400";"sieradzki";"łódzkie";87450;94385;31084;56367;35;290;1;1;0;0;0;0;1;56357;1;0;56357;1050;308;742;0;55307;6257;28613;2179;18258;93
"101700";"wieluński";"łódzkie";56266;61107;19570;36694;31;226;0;0;0;0;0;0;0;36690;0;1;36689;845;210;635;0;35844;3757;18447;2687;10953;79
"101800";"wieruszowski";"łódzkie";30691;33681;11177;19513;21;75;0;0;0;0;0;0;0;19512;0;0;19512;429;99;330;0;19083;2337;9958;1079;5709;38
"101900";"zduńskowolski";"łódzkie";47576;51806;15596;31995;34;133;1;0;0;0;0;0;0;31989;0;15;31974;502;127;375;0;31472;3567;15126;1156;11623;42
