"Kod TERYT";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Lidia BŁĄDEK";"Marzena KARDASIŃSKA";"Janina Zofia SAGATOWSKA";"Liczba obwodów"
"180800";"leżajski";"podkarpackie";50951;54805;19095;31855;79;144;1;1;0;0;0;0;1;31850;1;3;31847;675;191;484;0;31172;5678;2343;23151;54
"181200";"niżański";"podkarpackie";49576;53574;20878;28697;51;127;1;1;0;0;0;0;1;28695;1;0;28695;693;196;497;0;28002;7011;2649;18342;71
"181800";"stalowowolski";"podkarpackie";77404;83200;30265;47138;85;209;5;5;0;0;0;0;5;47130;5;1;47129;981;279;702;0;46148;12995;5430;27723;80
"182000";"tarnobrzeski";"podkarpackie";39781;43113;16117;23663;40;119;1;1;0;0;0;0;1;23662;1;0;23662;487;139;348;0;23175;5656;1981;15538;49
"186400";"Tarnobrzeg";"podkarpackie";34385;36999;12602;21783;25;114;1;1;0;0;0;0;1;21778;1;1;21777;465;184;281;0;21312;9216;2247;9849;34
