"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Włodzimierz BERNACKI";"Mirosław Adam CHODUR";"Wojciech KOZAK";"Artur Stanisław KOZIOŁ"
"f48d-8f77-e3ce-db25-5a1e-42d2-7c7c-7c66";"120101";"34";"11";"miasto";"stały";"Bursa Szkolna im. Polski Niepodległej w Bochni, ul. Kazimierza Wielkiego 67, 32-700 Bochnia";"m. Bochnia";"bocheński";"małopolskie";"1322";"1455";"372";"950";"3";"3";"0";"0";"0";"0";"0";"0";"0";"950";"0";"0";"950";"19";"9";"10";"0";"931";"438";"110";"139";"244"
"ad42-7033-3b26-cd38-bac3-d4d7-0037-6814";"120101";"34";"12";"miasto";"stały";"Szkoła Podstawowa nr 5 im. Jana Matejki w Bochni, ul. Kazimierza Wielkiego 71, 32-700 Bochnia";"m. Bochnia";"bocheński";"małopolskie";"1837";"2026";"478";"1359";"0";"10";"0";"0";"0";"0";"0";"0";"0";"1359";"0";"0";"1359";"34";"8";"26";"0";"1325";"631";"144";"211";"339"
"3a70-7f53-b301-9cad-b2db-d097-b273-efaf";"120101";"34";"13";"miasto";"stały";"Zespół Szkół nr 1 w Bochni, ul. Windakiewicza 23, 32-700 Bochnia";"m. Bochnia";"bocheński";"małopolskie";"1091";"1170";"332";"759";"0";"3";"0";"0";"0";"0";"0";"0";"0";"759";"0";"0";"759";"12";"5";"7";"0";"747";"378";"83";"110";"176"
"6c8a-3712-7499-6a55-7058-533a-066c-6aa3";"120101";"34";"14";"miasto";"stały";"Miejskie Przedszkole nr 1 w Bochni, ul. gen. Tadeusza Jakubowskiego 12, 32-700 Bochnia";"m. Bochnia";"bocheński";"małopolskie";"1348";"1449";"384";"964";"3";"2";"0";"0";"0";"0";"0";"0";"0";"964";"0";"2";"962";"13";"3";"10";"0";"949";"436";"93";"137";"283"
"938c-b6a5-57ea-5214-810b-1444-b476-8556";"120101";"34";"15";"miasto";"stały";"Szkoła Podstawowa nr 7 im. Jana Pawła II w Bochni, ul. gen. Tadeusza Jakubowskiego 12, 32-700 Bochnia";"m. Bochnia";"bocheński";"małopolskie";"1133";"1213";"336";"797";"1";"1";"0";"0";"0";"0";"0";"0";"0";"797";"0";"0";"797";"9";"4";"5";"0";"788";"394";"80";"109";"205"
"f106-6f11-c587-5385-981d-0d77-0dd4-0df2";"120101";"34";"16";"miasto";"zakład leczniczy";"Szpital Powiatowy w Bochni, ul. Krakowska 31, 32-700 Bochnia";"m. Bochnia";"bocheński";"małopolskie";"100";"97";"73";"27";"0";"1";"0";"0";"0";"0";"0";"0";"0";"27";"0";"0";"27";"0";"0";"0";"0";"27";"19";"1";"2";"5"
"1962-e182-b11a-62d2-4d57-2108-1a21-5666";"120101";"34";"17";"miasto";"dom pomocy społecznej";"Dom Pomocy Społecznej w Bochni (świetlica DPS), ul. Karolina 14F, 32-700 Bochnia";"m. Bochnia";"bocheński";"małopolskie";"100";"105";"65";"35";"0";"1";"0";"0";"0";"0";"0";"0";"0";"35";"0";"0";"35";"6";"0";"6";"0";"29";"23";"1";"2";"3"
"a674-818b-de0e-24fe-931d-f399-0246-6786";"120102";"34";"1";"wieś";"stały";"Zespół Szkół Gminnych w Proszówkach-Szkoła Podstawowa, Proszówki 365, 32-700 Bochnia";"gm. Bochnia";"bocheński";"małopolskie";"1404";"1543";"415";"989";"1";"2";"0";"0";"0";"0";"0";"0";"0";"989";"0";"0";"989";"31";"3";"28";"0";"958";"540";"83";"142";"193"
"b88f-b073-4a81-0e57-4e94-745b-24fe-ca0a";"120102";"34";"2";"wieś";"stały";"Świetlica Wiejska w Cikowicach, Cikowice 69, 32-700 Bochnia";"gm. Bochnia";"bocheński";"małopolskie";"626";"689";"171";"455";"0";"2";"0";"0";"0";"0";"0";"0";"0";"455";"0";"0";"455";"9";"1";"8";"0";"446";"230";"39";"82";"95"
"d801-2708-5e36-5aec-b3dd-da4a-4052-026c";"120102";"34";"3";"wieś";"stały";"Świetlica Wiejska w Łapczycy, Łapczyca 496, 32-744 Łapczyca";"gm. Bochnia";"bocheński";"małopolskie";"1509";"1660";"476";"1033";"0";"4";"0";"0";"0";"0";"0";"0";"0";"1033";"0";"0";"1033";"29";"5";"24";"0";"1004";"666";"75";"133";"130"
"59c6-3357-a64f-7295-39ef-12a1-bf93-1abe";"120102";"34";"4";"wieś";"stały";"Zespół Szkół Gminnych im. Jana Pawła II w Nieszkowicach Małych, Nieszkowice Małe 112, 32-744 Łapczyca";"gm. Bochnia";"bocheński";"małopolskie";"931";"1012";"291";"640";"0";"0";"0";"0";"0";"0";"0";"0";"0";"640";"0";"0";"640";"17";"6";"11";"0";"623";"350";"68";"118";"87"
"de66-bd96-5275-094d-8649-bf6a-c9f6-c365";"120102";"34";"5";"wieś";"stały";"Galeria Wiejska w Chełmie, Chełm 75, 32-744 Łapczyca";"gm. Bochnia";"bocheński";"małopolskie";"1039";"1151";"287";"752";"0";"5";"0";"0";"0";"0";"0";"0";"0";"752";"0";"0";"752";"14";"1";"13";"0";"738";"437";"52";"97";"152"
"7fdb-d1a9-34a9-b4ad-cc08-607b-4718-3a10";"120102";"34";"6";"wieś";"stały";"Zespół Szkół Gminnych im. Lotników Polskich w Nieszkowicach Wielkich, Nieszkowice Wielkie 67, 32-700 Bochnia";"gm. Bochnia";"bocheński";"małopolskie";"1174";"1295";"392";"782";"0";"4";"0";"0";"0";"0";"0";"0";"0";"782";"0";"0";"782";"11";"0";"11";"0";"771";"511";"85";"91";"84"
"458d-6250-1c30-6d90-7b5e-0a40-050e-720f";"120102";"34";"7";"wieś";"stały";"Zespół Szkół Gminnych im. Henryka Sienkiewicza w Bogucicach-Szkoła Podstawowa, Bogucice 83, 32-711 Bogucice";"gm. Bochnia";"bocheński";"małopolskie";"696";"764";"224";"472";"0";"2";"0";"0";"0";"0";"0";"0";"0";"472";"0";"0";"472";"8";"0";"8";"0";"464";"313";"33";"62";"56"
"6841-44c5-57a1-cac4-ee1a-856d-1916-422f";"120102";"34";"8";"wieś";"stały";"Gminne Przedszkole w Bogucicach-Oddział w Cerekwi, Cerekiew 7, 32-711 Bogucice";"gm. Bochnia";"bocheński";"małopolskie";"444";"477";"155";"289";"0";"0";"0";"0";"0";"0";"0";"0";"0";"289";"0";"0";"289";"5";"3";"2";"0";"284";"196";"14";"39";"35"
"5ec1-159a-4424-ede5-d787-98a9-bced-8ca7";"120102";"34";"9";"wieś";"stały";"Zespół Szkół Gminnych im. Mikołaja Kopernika w Gawłowie, Gawłów 64, 32-711 Bogucice";"gm. Bochnia";"bocheński";"małopolskie";"1319";"1439";"460";"859";"0";"2";"0";"0";"0";"0";"0";"0";"0";"858";"0";"0";"858";"21";"6";"15";"0";"837";"558";"76";"95";"108"
"1564-5acf-ade9-e894-e64d-caa1-1c87-9610";"120102";"34";"10";"wieś";"stały";"Świetlica Wiejska w Gierczycach, Gierczyce 16, 32-744 Łapczyca";"gm. Bochnia";"bocheński";"małopolskie";"782";"859";"287";"495";"2";"3";"0";"0";"0";"0";"0";"0";"0";"495";"0";"0";"495";"9";"2";"7";"0";"486";"261";"43";"86";"96"
"301c-e0ce-305a-5c52-99bc-53fc-21c1-d0b9";"120102";"34";"11";"wieś";"stały";"Świetlica Wiejska w Brzeźnicy, Brzeźnica 168, 32-700 Bochnia";"gm. Bochnia";"bocheński";"małopolskie";"886";"972";"317";"569";"0";"3";"0";"0";"0";"0";"0";"0";"0";"569";"0";"0";"569";"10";"4";"6";"0";"559";"359";"64";"62";"74"
"7c4e-d5cd-949c-8fe8-fb81-7676-95d6-4183";"120102";"34";"12";"wieś";"stały";"Świetlica Wiejska w Gorzkowie, Gorzków 7, 32-700 Bochnia";"gm. Bochnia";"bocheński";"małopolskie";"356";"386";"87";"269";"0";"0";"0";"0";"0";"0";"0";"0";"0";"269";"0";"0";"269";"2";"2";"0";"0";"267";"134";"22";"51";"60"
"c03b-304a-0470-4d9b-80e2-0506-df85-cb79";"120102";"34";"13";"wieś";"stały";"Szkoła Podstawowa im. Króla Kazimierza Wielkiego w Damienicach, Damienice 11, 32-700 Bochnia";"gm. Bochnia";"bocheński";"małopolskie";"680";"742";"212";"468";"0";"3";"0";"0";"0";"0";"0";"0";"0";"468";"0";"0";"468";"6";"0";"6";"0";"462";"312";"38";"52";"60"
"e6af-bad7-dc07-a372-c30d-f058-4590-f3d0";"120102";"34";"14";"wieś";"stały";"Zespół Szkół Gminnych im. Adama Mickiewicza w Baczkowie-Szkoła Podstawowa, Baczków 23, 32-708 Dziewin";"gm. Bochnia";"bocheński";"małopolskie";"688";"745";"208";"480";"0";"0";"0";"0";"0";"0";"0";"0";"0";"480";"0";"0";"480";"11";"3";"8";"0";"469";"315";"22";"64";"68"
"62bd-71d7-3863-f665-a22d-9099-2dc0-3752";"120102";"34";"15";"wieś";"stały";"Wiejski Dom Ludowy w Pogwizdowie, Pogwizdów 218, 32-700 Bochnia";"gm. Bochnia";"bocheński";"małopolskie";"608";"674";"218";"390";"0";"3";"0";"0";"0";"0";"0";"0";"0";"390";"0";"0";"390";"12";"4";"8";"0";"378";"275";"33";"37";"33"
"3798-02d1-45c0-3bc4-ca88-28ea-3bf9-fa35";"120102";"34";"16";"wieś";"stały";"Zespół Szkół Gminnych im. Henryka Sienkiewicza w Stanisławicach, Stanisławice 346, 32-015 Kłaj";"gm. Bochnia";"bocheński";"małopolskie";"1015";"1099";"324";"691";"0";"8";"0";"0";"0";"0";"0";"0";"0";"691";"0";"0";"691";"18";"8";"10";"0";"673";"365";"39";"112";"157"
"5c17-b212-18ab-142e-ce38-7864-2420-777b";"120103";"34";"1";"wieś";"stały";"Urząd Gminy w Drwini, Drwinia 57, 32-709 Drwinia";"gm. Drwinia";"bocheński";"małopolskie";"987";"1076";"324";"663";"0";"4";"0";"0";"0";"0";"0";"0";"0";"663";"0";"0";"663";"8";"2";"6";"0";"655";"502";"37";"63";"53"
"1975-e482-f33c-8f3a-c47d-bc45-3b8c-3359";"120103";"34";"2";"wieś";"stały";"Gminne Centrum Kultury i Promocji w Grobli, Grobla 155, 32-709  Drwinia";"gm. Drwinia";"bocheński";"małopolskie";"1078";"1188";"294";"784";"0";"0";"0";"0";"0";"0";"0";"0";"0";"784";"0";"0";"784";"15";"4";"11";"0";"769";"561";"34";"111";"63"
"67db-11af-7210-89a2-3e19-ded6-5b8b-6c66";"120103";"34";"3";"wieś";"stały";"Zespół Szkolno-Przedszkolny w Świniarach, Świniary 74, 32-709 Drwinia";"gm. Drwinia";"bocheński";"małopolskie";"641";"695";"196";"445";"1";"0";"0";"0";"0";"0";"0";"0";"0";"445";"0";"0";"445";"4";"2";"2";"0";"441";"342";"30";"43";"26"
"9cc6-eea6-d30d-4627-51e8-3170-ca37-68af";"120103";"34";"4";"wieś";"stały";"Zespół Szkolno-Przedszkolny w Mikluszowicach, Mikluszowice 228, 32-708 Dziewin";"gm. Drwinia";"bocheński";"małopolskie";"1234";"1334";"359";"875";"4";"7";"0";"0";"0";"0";"0";"0";"0";"875";"0";"0";"875";"8";"2";"6";"0";"867";"673";"49";"80";"65"
"066b-7838-424f-6dc9-4daa-de29-a440-8e5b";"120103";"34";"5";"wieś";"stały";"Zespół Szkolno-Przedszkolny w Dziewinie, Dziewin 231, 32-708 Dziewin";"gm. Drwinia";"bocheński";"małopolskie";"815";"887";"295";"520";"0";"2";"0";"0";"0";"0";"0";"0";"0";"520";"0";"0";"520";"13";"5";"8";"0";"507";"322";"39";"72";"74"
"9d91-0dad-475d-67bc-d082-b6c8-e8f9-a420";"120103";"34";"6";"wieś";"zakład leczniczy";"Placówka Całodobowej Opieki Dom Opieki Jestem w Grobli, Grobla 229, 32-709 Drwinia";"gm. Drwinia";"bocheński";"małopolskie";"70";"62";"38";"32";"0";"0";"0";"0";"0";"0";"0";"0";"0";"32";"0";"0";"32";"0";"0";"0";"0";"32";"12";"0";"2";"18"
"4c33-2761-0066-b540-9071-4ba9-a129-3ef5";"120104";"34";"1";"wieś";"stały";"Ośrodek Edukacji Ekologicznej w Borównej, Borówna 117, 32-724 Lipnica Murowana";"gm. Lipnica Murowana";"bocheński";"małopolskie";"230";"255";"100";"130";"1";"0";"0";"0";"0";"0";"0";"0";"0";"130";"0";"0";"130";"2";"0";"2";"0";"128";"85";"14";"16";"13"
