"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Janusz Lucjan BARGIEŁ";"Marek PĘK"
"1351-b982-a917-5f43-e482-f893-907b-d740";"120601";"31";"1";"wieś";"stały";"Urząd Gminy Czernichów, ul. Gminna 1, 32-070 Czernichów";"gm. Czernichów";"krakowski";"małopolskie";"1509";"1661";"486";"1023";"3";"9";"0";"0";"0";"0";"0";"0";"0";"1023";"0";"0";"1023";"40";"8";"32";"0";"983";"465";"518"
"ddcb-bb01-e645-f82c-f7c7-33a4-be71-43ed";"120601";"31";"2";"wieś";"stały";"Szkoła Podstawowa w Kłokoczynie, Kłokoczyn 175, 32-070 Czernichów";"gm. Czernichów";"krakowski";"małopolskie";"280";"312";"90";"190";"0";"0";"0";"0";"0";"0";"0";"0";"0";"190";"0";"0";"190";"6";"3";"3";"0";"184";"56";"128"
"720a-c04d-248f-1501-451a-8b8c-7b12-0dc7";"120601";"31";"3";"wieś";"stały";"Dworek Matejkówka w Przegini Narodowej, Przeginia Narodowa 100, 32-070 Czernichów";"gm. Czernichów";"krakowski";"małopolskie";"500";"557";"118";"382";"2";"1";"1";"1";"0";"0";"0";"0";"1";"383";"1";"0";"383";"9";"0";"9";"0";"374";"121";"253"
"b504-3595-5126-6d9a-0e3f-74e4-a4c9-a5b2";"120601";"31";"4";"wieś";"stały";"Remiza OSP w Zagaciu, Zagacie ul. Strażacka 36, 32-070 Czernichów";"gm. Czernichów";"krakowski";"małopolskie";"579";"634";"195";"384";"0";"0";"0";"0";"0";"0";"0";"0";"0";"384";"0";"0";"384";"11";"2";"9";"0";"373";"139";"234"
"a23d-528e-a0be-5012-4072-58e6-4012-d7d6";"120601";"31";"5";"wieś";"stały";"Szkoła Podstawowa w Kamieniu, ul. Piaski 2A, 32-071 Kamień";"gm. Czernichów";"krakowski";"małopolskie";"1121";"1234";"493";"628";"0";"1";"0";"0";"0";"0";"0";"0";"0";"628";"0";"0";"628";"20";"2";"18";"0";"608";"221";"387"
"3a3d-2367-b736-7839-b7fa-d71e-57e7-c323";"120601";"31";"6";"wieś";"stały";"Szkoła Podstawowa w Rusocicach, Rusocice ul. Krakowska 100, 32-071 Kamień";"gm. Czernichów";"krakowski";"małopolskie";"862";"949";"317";"545";"0";"0";"0";"0";"0";"0";"0";"0";"0";"545";"0";"0";"545";"12";"4";"8";"0";"533";"135";"398"
"566c-bd60-f909-a542-208e-8267-9db8-e458";"120601";"31";"7";"wieś";"stały";"Remiza OSP w Rybnej, ul. Aleksandry Polańskiej 2, 32-061 Rybna";"gm. Czernichów";"krakowski";"małopolskie";"2000";"2217";"592";"1408";"1";"3";"0";"0";"0";"0";"0";"0";"0";"1408";"0";"0";"1408";"39";"11";"28";"0";"1369";"570";"799"
"fec2-7209-a66f-a630-ff9b-9ec3-240b-2b1a";"120601";"31";"8";"wieś";"stały";"Szkoła Podstawowa w Nowej Wsi Szlacheckiej, Nowa Wieś Szlachecka ul. Szkolna 2, 32-060 Liszki";"gm. Czernichów";"krakowski";"małopolskie";"571";"636";"160";"411";"0";"1";"0";"0";"0";"0";"0";"0";"0";"411";"0";"0";"411";"7";"2";"5";"0";"404";"91";"313"
"cfe8-8401-e217-480e-99e3-5dd0-3c78-e01e";"120601";"31";"9";"wieś";"stały";"Zespół Szkolno-Przedszkolny z Oddziałami Integracyjnymi w Przegini Duchownej, Przeginia Duchowna 70, 32-061 Rybna";"gm. Czernichów";"krakowski";"małopolskie";"880";"979";"243";"637";"0";"1";"0";"0";"0";"0";"0";"0";"0";"637";"0";"0";"637";"14";"1";"13";"0";"623";"223";"400"
"5281-1584-9b6d-e6cd-5dc6-4b77-431c-559a";"120601";"31";"10";"wieś";"stały";"Szkoła Podstawowa w Wołowicach, Wołowice 10, 32-070 Czernichów";"gm. Czernichów";"krakowski";"małopolskie";"1160";"1269";"364";"796";"0";"3";"0";"0";"0";"0";"0";"0";"0";"795";"0";"0";"795";"29";"4";"25";"0";"766";"349";"417"
