"Kod TERYT";"Rodzaj jednostki";"Gmina";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Leszek Henryk BUBEL";"Andrzej MACIEJEWSKI";"Lidia Ewa STAROŃ";"Jarosław Marek SŁOMA";"Liczba obwodów"
"281407";"gmina wiejska";"gm. Jonkowo";"olsztyński";"warmińsko-mazurskie";5250;5752;1941;3309;1;26;0;0;0;0;0;0;0;3309;0;0;3309;46;16;30;0;3263;90;467;1819;887;6
"281408";"gmina wiejska";"gm. Kolno";"olsztyński";"warmińsko-mazurskie";2347;2566;1216;1131;1;8;0;0;0;0;0;0;0;1131;0;0;1131;38;3;35;0;1093;45;160;725;163;3
"281409";"gmina miejsko-wiejska";"gm. Olsztynek";"olsztyński";"warmińsko-mazurskie";9713;10764;4419;5294;8;65;0;0;0;0;0;0;0;5292;0;0;5292;107;15;92;0;5185;206;717;3097;1165;19
"281410";"gmina wiejska";"gm. Purda";"olsztyński";"warmińsko-mazurskie";6166;6749;2531;3635;0;47;0;0;0;0;0;0;0;3633;0;1;3632;59;8;51;0;3573;106;419;2140;908;6
"281411";"gmina wiejska";"gm. Stawiguda";"olsztyński";"warmińsko-mazurskie";7107;7998;1575;5533;3;91;2;2;2;0;0;0;0;5532;0;0;5532;95;14;81;0;5437;152;533;2948;1804;9
"281412";"gmina wiejska";"gm. Świątki";"olsztyński";"warmińsko-mazurskie";2848;3133;1458;1390;1;8;0;0;0;0;0;0;0;1390;0;0;1390;38;5;33;0;1352;69;210;830;243;6
"281701";"gmina miejska";"m. Szczytno";"szczycieński";"warmińsko-mazurskie";17136;18384;6274;10860;20;124;0;0;0;0;0;0;0;10861;0;0;10861;184;42;142;0;10677;339;1393;6431;2514;20
"281702";"gmina wiejska";"gm. Dźwierzuty";"szczycieński";"warmińsko-mazurskie";4827;5328;2497;2330;2;37;0;0;0;0;0;0;0;2330;0;0;2330;82;7;75;0;2248;128;371;1330;419;5
"281703";"gmina wiejska";"gm. Jedwabno";"szczycieński";"warmińsko-mazurskie";2754;3090;1345;1409;1;38;0;0;0;0;0;0;0;1409;0;0;1409;33;4;29;0;1376;52;249;770;305;4
"281704";"gmina miejsko-wiejska";"gm. Pasym";"szczycieński";"warmińsko-mazurskie";3870;4303;1735;2135;0;50;0;0;0;0;0;0;0;2135;0;0;2135;47;5;42;0;2088;78;268;1373;369;8
"281705";"gmina wiejska";"gm. Rozogi";"szczycieński";"warmińsko-mazurskie";4080;4445;2046;2034;6;24;0;0;0;0;0;0;0;2033;0;1;2032;85;6;79;0;1947;125;497;1101;224;7
"281706";"gmina wiejska";"gm. Szczytno";"szczycieński";"warmińsko-mazurskie";8991;9820;3875;5116;1;22;0;0;0;0;0;0;0;5116;0;0;5116;129;35;94;0;4987;208;758;2950;1071;11
"281707";"gmina wiejska";"gm. Świętajno";"szczycieński";"warmińsko-mazurskie";4329;4803;1930;2399;1;72;1;1;1;0;0;0;0;2399;0;0;2399;75;8;67;0;2324;123;460;1375;366;7
"281708";"gmina miejsko-wiejska";"gm. Wielbark";"szczycieński";"warmińsko-mazurskie";4618;5080;2459;2159;1;19;0;0;0;0;0;0;0;2159;0;0;2159;76;3;73;0;2083;138;459;1105;381;6
"286201";"gmina miejska";"m. Olsztyn";"Olsztyn";"warmińsko-mazurskie";118831;129939;31602;87214;103;950;12;11;1;0;0;0;10;87207;10;6;87201;1224;342;882;0;85977;2397;8854;50670;24056;101
