"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Tomasz Paweł GRODZKI";"Małgorzata Anna JACYNA-WITT"
"041e-14d1-c708-a836-e3f5-4e22-47cf-c11a";"326201";"97";"133";"miasto";"stały";"Szkoła Podstawowa Nr 48, ul. Czorsztyńska 35, 71-201 Szczecin";"m. Szczecin";"Szczecin";"zachodniopomorskie";"1526";"1683";"363";"1163";"0";"9";"0";"0";"0";"0";"0";"0";"0";"1162";"0";"0";"1162";"34";"15";"19";"0";"1128";"830";"298"
"d7f2-0d43-311f-8beb-4693-00f8-246d-bf33";"326201";"97";"134";"miasto";"stały";"Szkoła Podstawowa Nr 48, ul. Czorsztyńska 35, 71-201 Szczecin";"m. Szczecin";"Szczecin";"zachodniopomorskie";"1630";"1883";"152";"1478";"0";"8";"0";"0";"0";"0";"0";"0";"0";"1478";"0";"0";"1478";"61";"23";"38";"0";"1417";"1057";"360"
"bea6-8eec-92f2-68a0-25ac-0ced-501d-1afc";"326201";"97";"135";"miasto";"stały";"Szkoła Podstawowa Nr 48, ul. Czorsztyńska 35, 71-201 Szczecin";"m. Szczecin";"Szczecin";"zachodniopomorskie";"1614";"1784";"329";"1284";"1";"12";"0";"0";"0";"0";"0";"0";"0";"1284";"0";"0";"1284";"51";"8";"43";"0";"1233";"847";"386"
"d9ef-6223-5bb1-8b6b-96c6-318f-1cd0-5299";"326201";"97";"136";"miasto";"stały";"Zespół Szkół Ogólnokształcących Nr 4, ul. Romera 2, 71-246 Szczecin";"m. Szczecin";"Szczecin";"zachodniopomorskie";"1800";"1945";"315";"1485";"1";"15";"0";"0";"0";"0";"0";"0";"0";"1485";"0";"0";"1485";"44";"12";"32";"0";"1441";"1052";"389"
"f027-6e18-29e0-8299-e449-e222-12ad-35fe";"326201";"97";"137";"miasto";"stały";"Zespół Szkół Samochodowych, ul. Klonowica 14, 71-244 Szczecin";"m. Szczecin";"Szczecin";"zachodniopomorskie";"890";"968";"259";"631";"0";"7";"0";"0";"0";"0";"0";"0";"0";"631";"0";"0";"631";"21";"6";"15";"0";"610";"476";"134"
"d18b-8be4-a593-5a47-e2c2-d610-8fa8-77a9";"326201";"97";"138";"miasto";"stały";"Przedszkole Publiczne Nr 58, ul. Marlicza 26, 71-246 Szczecin";"m. Szczecin";"Szczecin";"zachodniopomorskie";"1570";"1531";"472";"1098";"1";"8";"0";"0";"0";"0";"0";"0";"0";"1098";"0";"0";"1098";"40";"11";"29";"0";"1058";"678";"380"
"25ca-09da-4114-e821-3c07-5d98-63da-1048";"326201";"97";"139";"miasto";"stały";"Szkoła Podstawowa Nr 45 z Oddziałami Integracyjnymi, ul. Zawadzkiego 75, 71-246 Szczecin";"m. Szczecin";"Szczecin";"zachodniopomorskie";"1650";"1812";"374";"1276";"0";"11";"0";"0";"0";"0";"0";"0";"0";"1276";"0";"0";"1276";"27";"11";"16";"0";"1249";"818";"431"
"5f4b-77c3-79d2-63a3-5724-38cc-fcb5-6e1e";"326201";"97";"140";"miasto";"stały";"Szkoła Podstawowa Nr 45 z Oddziałami Integracyjnymi, ul. Zawadzkiego 75, 71-246 Szczecin";"m. Szczecin";"Szczecin";"zachodniopomorskie";"1649";"1808";"407";"1242";"1";"6";"0";"0";"0";"0";"0";"0";"0";"1240";"0";"0";"1240";"47";"13";"34";"0";"1193";"831";"362"
"331f-abf4-f070-2881-b3e3-19a4-0448-5547";"326201";"97";"141";"miasto";"stały";"Tramwaje Szczecińskie Sp. z o. o. (Budynek Zarządu), ul. Klonowica 5, 71-241 Szczecin";"m. Szczecin";"Szczecin";"zachodniopomorskie";"1785";"1980";"353";"1432";"4";"21";"0";"0";"0";"0";"0";"0";"0";"1432";"0";"0";"1432";"58";"16";"42";"0";"1374";"978";"396"
"b3b5-46a1-e033-7b0f-04c1-50ac-ae8a-8ef3";"326201";"97";"142";"miasto";"stały";"Szkoła Podstawowa Nr 53, ul. Budzysza Wosia 8 - 9, 71-273 Szczecin";"m. Szczecin";"Szczecin";"zachodniopomorskie";"820";"884";"291";"529";"3";"3";"0";"0";"0";"0";"0";"0";"0";"529";"0";"0";"529";"12";"4";"8";"0";"517";"315";"202"
"b794-e2ed-d48e-f550-d1dd-eec7-01f5-1c8e";"326201";"97";"143";"miasto";"stały";"Zachodniopomorski Uniwersytet Technologiczny Wydział Ekonomiczny, ul. Janickiego 31, 71-270 Szczecin";"m. Szczecin";"Szczecin";"zachodniopomorskie";"1459";"1608";"444";"1011";"0";"9";"0";"0";"0";"0";"0";"0";"0";"1011";"0";"0";"1011";"43";"15";"28";"0";"968";"623";"345"
"9429-6558-0e68-e773-68b4-9f0c-86e8-7ba8";"326201";"97";"144";"miasto";"stały";"Zespół Szkół Samochodowych, ul. Klonowica 14, 71-244 Szczecin";"m. Szczecin";"Szczecin";"zachodniopomorskie";"1242";"1375";"287";"955";"1";"5";"0";"0";"0";"0";"0";"0";"0";"955";"0";"0";"955";"21";"8";"13";"0";"934";"652";"282"
"db77-d270-f26d-61f1-d8f8-13bd-317c-2c37";"326201";"97";"145";"miasto";"stały";"Szkoła Podstawowa Nr 3, ul. Reymonta 23, 71-276 Szczecin";"m. Szczecin";"Szczecin";"zachodniopomorskie";"1280";"1376";"262";"1018";"1";"4";"0";"0";"0";"0";"0";"0";"0";"1018";"0";"0";"1018";"30";"10";"20";"0";"988";"746";"242"
"1691-7315-6de7-4a5e-0caa-7d80-98e6-8898";"326201";"97";"146";"miasto";"stały";"Uniwersytet Szczeciński Wydział Nauk Ekonomicznych i Zarządzania, ul. Mickiewicza 64, 71-101 Szczecin";"m. Szczecin";"Szczecin";"zachodniopomorskie";"1200";"1316";"285";"915";"3";"6";"0";"0";"0";"0";"0";"0";"0";"915";"0";"0";"915";"26";"7";"19";"0";"889";"611";"278"
"f8a5-3ce6-b29c-9ac4-809a-2ee6-16c1-cd30";"326201";"97";"147";"miasto";"stały";"Szkoła Podstawowa Nr 3, ul. Reymonta 23, 71-276 Szczecin";"m. Szczecin";"Szczecin";"zachodniopomorskie";"1380";"1498";"320";"1053";"0";"3";"0";"0";"0";"0";"0";"0";"0";"1053";"0";"0";"1053";"24";"3";"21";"0";"1029";"790";"239"
"b368-94ec-fb54-8a4d-ecdd-4328-c061-9609";"326201";"97";"148";"miasto";"stały";"Liceum Ogólnokształcące z Oddziałami Integracyjnymi, al. Wojska Polskiego 119, 70-490 Szczecin";"m. Szczecin";"Szczecin";"zachodniopomorskie";"1328";"1475";"254";"1074";"0";"10";"0";"0";"0";"0";"0";"0";"0";"1073";"0";"0";"1073";"40";"18";"22";"0";"1033";"762";"271"
"728c-128b-395c-9c0b-cdea-cc06-f7f9-5af8";"326201";"97";"149";"miasto";"stały";"Liceum Ogólnokształcące z Oddziałami Integracyjnymi, al. Wojska Polskiego 119, 70-490 Szczecin";"m. Szczecin";"Szczecin";"zachodniopomorskie";"987";"1104";"241";"746";"0";"14";"0";"0";"0";"0";"0";"0";"0";"746";"0";"0";"746";"32";"6";"26";"0";"714";"496";"218"
"5560-58c7-1ea7-38c4-4525-6fb4-9dbc-5a9c";"326201";"97";"150";"miasto";"stały";"Rada Osiedla Pogodno, ul. Krasickiego 6, 71-333 Szczecin";"m. Szczecin";"Szczecin";"zachodniopomorskie";"1526";"1634";"300";"1226";"6";"13";"0";"0";"0";"0";"0";"0";"0";"1226";"0";"0";"1226";"44";"29";"15";"0";"1182";"883";"299"
"3f89-b4ae-43ac-7286-07cc-af86-b58f-b9d9";"326201";"97";"151";"miasto";"stały";"Publiczna Szkoła Podstawowa „Na Głębokiem”, ul. Jaworowa 41, 71-382 Szczecin";"m. Szczecin";"Szczecin";"zachodniopomorskie";"840";"903";"149";"688";"1";"3";"0";"0";"0";"0";"0";"0";"0";"689";"0";"1";"688";"26";"4";"22";"0";"662";"468";"194"
"1597-4be7-c63c-b7c5-fede-e751-5a1a-21a0";"326201";"97";"152";"miasto";"stały";"Szkoła Podstawowa Nr 68, ul. Zakole 1a, 70-454 Szczecin";"m. Szczecin";"Szczecin";"zachodniopomorskie";"1870";"2025";"394";"1476";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1476";"0";"0";"1476";"54";"12";"42";"0";"1422";"877";"545"
"875d-0898-3ba3-5d04-a738-64a3-03ae-ab13";"326201";"97";"153";"miasto";"stały";"Szkoła Podstawowa Nr 68, ul. Zakole 1a, 70-454 Szczecin";"m. Szczecin";"Szczecin";"zachodniopomorskie";"1890";"2091";"355";"1535";"1";"9";"0";"0";"0";"0";"0";"0";"0";"1533";"0";"0";"1533";"48";"13";"35";"0";"1485";"1064";"421"
"f526-3168-ea15-7ba4-af1a-8eac-3485-ee05";"326201";"97";"154";"miasto";"stały";"Dom Akademicki Arkona, ul. Chopina 61, 71-450 Szczecin";"m. Szczecin";"Szczecin";"zachodniopomorskie";"1666";"1855";"405";"1261";"1";"22";"0";"0";"0";"0";"0";"0";"0";"1258";"0";"0";"1258";"59";"21";"38";"0";"1199";"761";"438"
"22eb-a823-02b7-e36b-7b6e-ad8b-6c36-5b5b";"326201";"97";"155";"miasto";"stały";"Szkoła Podstawowa Nr 7, ul. Wojciechowskiego 50, 71-476 Szczecin";"m. Szczecin";"Szczecin";"zachodniopomorskie";"1664";"1912";"480";"1184";"1";"4";"0";"0";"0";"0";"0";"0";"0";"1184";"0";"0";"1184";"39";"17";"22";"0";"1145";"734";"411"
"8b1c-9d3e-56a2-16c2-8069-53a1-ae9f-adb1";"326201";"97";"156";"miasto";"stały";"Szkoła Podstawowa Nr 7, ul. Wojciechowskiego 50, 71-476 Szczecin";"m. Szczecin";"Szczecin";"zachodniopomorskie";"1249";"1339";"239";"1008";"2";"10";"0";"0";"0";"0";"0";"0";"0";"1008";"0";"0";"1008";"36";"10";"26";"0";"972";"634";"338"
"3429-f3eb-7f6c-05b8-5ce8-15ab-b25f-d5a4";"326201";"97";"157";"miasto";"stały";"Zespół Szkół Elektryczno-Elektronicznych, ul. Racibora 60, 71-631 Szczecin";"m. Szczecin";"Szczecin";"zachodniopomorskie";"772";"834";"280";"492";"0";"8";"0";"0";"0";"0";"0";"0";"0";"492";"0";"0";"492";"13";"7";"6";"0";"479";"258";"221"
"a06f-4644-86af-e61a-b3b1-c1c0-772f-b9a2";"326201";"97";"158";"miasto";"stały";"Szkoła Podstawowa Nr 11, ul. Dubois 38, 71-610 Szczecin";"m. Szczecin";"Szczecin";"zachodniopomorskie";"1540";"1709";"565";"975";"1";"16";"0";"0";"0";"0";"0";"0";"0";"975";"0";"0";"975";"41";"5";"36";"0";"934";"547";"387"
"7357-f68b-b2fb-c2b3-7ad4-20ad-4a37-11a5";"326201";"97";"159";"miasto";"stały";"Szkoła Podstawowa Nr 11, ul. Emilii Plater 20, 71-632 Szczecin";"m. Szczecin";"Szczecin";"zachodniopomorskie";"1784";"2007";"574";"1210";"1";"20";"0";"0";"0";"0";"0";"0";"0";"1209";"0";"0";"1209";"50";"10";"40";"0";"1159";"713";"446"
"b51e-93fe-d73f-503e-535b-d38a-fa59-ebda";"326201";"97";"160";"miasto";"stały";"Przedszkole Publiczne Nr 73, ul. Ceglana 4, 71-636 Szczecin";"m. Szczecin";"Szczecin";"zachodniopomorskie";"1428";"1621";"296";"1132";"1";"2";"0";"0";"0";"0";"0";"0";"0";"1132";"0";"0";"1132";"44";"15";"29";"0";"1088";"656";"432"
"0862-f7c5-9e40-0f04-05ae-baa4-51b6-38cc";"326201";"97";"161";"miasto";"stały";"Szkoła Podstawowa Nr 11, ul. Dubois 38, 71-610 Szczecin";"m. Szczecin";"Szczecin";"zachodniopomorskie";"1935";"2140";"702";"1233";"3";"8";"0";"0";"0";"0";"0";"0";"0";"1233";"0";"0";"1233";"30";"7";"23";"0";"1203";"747";"456"
"0161-cfb3-35ac-86f5-3c95-c067-cc6d-9625";"326201";"97";"162";"miasto";"stały";"Filia Przedszkola Publicznego Nr 50, ul. Junacka 13, 70-494 Szczecin";"m. Szczecin";"Szczecin";"zachodniopomorskie";"2390";"2626";"351";"2018";"0";"12";"0";"0";"0";"0";"0";"0";"0";"2018";"0";"0";"2018";"54";"19";"35";"0";"1964";"1435";"529"
"021b-cd20-160d-44d3-b74d-3e23-ac08-b782";"326201";"97";"163";"miasto";"stały";"Przychodnia Zdrowia, ul. Łucznicza 64, 71-504 Szczecin";"m. Szczecin";"Szczecin";"zachodniopomorskie";"1150";"1259";"283";"867";"1";"7";"0";"0";"0";"0";"0";"0";"0";"866";"0";"0";"866";"23";"9";"14";"0";"843";"548";"295"
"83dc-7145-b318-55e9-3f1a-171e-1158-3dc9";"326201";"97";"164";"miasto";"stały";"Przychodnia Zdrowia, ul. Łucznicza 64, 71-504 Szczecin";"m. Szczecin";"Szczecin";"zachodniopomorskie";"1470";"1605";"393";"1077";"0";"12";"0";"0";"0";"0";"0";"0";"0";"1077";"0";"0";"1077";"39";"18";"21";"0";"1038";"635";"403"
"1ff7-7a05-9b7e-6be5-a5ce-d4f4-7ad2-0b65";"326201";"97";"165";"miasto";"stały";"Rada Osiedla Warszewo, ul. Szczecińska 12, 71-786 Szczecin";"m. Szczecin";"Szczecin";"zachodniopomorskie";"2030";"2215";"352";"1678";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1678";"0";"0";"1678";"55";"13";"42";"0";"1623";"1205";"418"
"b2d5-ffa2-a676-70dc-ef7c-699d-e809-8264";"326201";"97";"166";"miasto";"stały";"Sala Gimnastyczna, ul. Szczecińska 12, 71-786 Szczecin";"m. Szczecin";"Szczecin";"zachodniopomorskie";"2120";"2394";"222";"1898";"0";"20";"0";"0";"0";"0";"0";"0";"0";"1898";"0";"0";"1898";"60";"22";"38";"0";"1838";"1449";"389"
"5a16-70fb-72f7-8991-e025-f3d8-a747-1573";"326201";"97";"167";"miasto";"stały";"Szkoła Podstawowa Nr 7, ul. Złotowska 86, 71-795 Szczecin";"m. Szczecin";"Szczecin";"zachodniopomorskie";"1209";"1373";"122";"1087";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1087";"0";"0";"1087";"22";"9";"13";"0";"1065";"824";"241"
"8f0d-bea2-0258-7fc4-1380-f9cd-0528-2698";"326201";"97";"168";"miasto";"stały";"Szkoła Podstawowa Nr 7, ul. Złotowska 86, 71-795 Szczecin";"m. Szczecin";"Szczecin";"zachodniopomorskie";"1400";"1520";"216";"1184";"1";"7";"0";"0";"0";"0";"0";"0";"0";"1184";"0";"0";"1184";"45";"0";"45";"0";"1139";"780";"359"
"22d5-b388-3b78-903b-91a2-e3c2-93e7-3c6a";"326201";"97";"169";"miasto";"stały";"Szkoła Podstawowa Nr 7, ul. Złotowska 86, 71-795 Szczecin";"m. Szczecin";"Szczecin";"zachodniopomorskie";"1250";"1382";"137";"1113";"1";"7";"0";"0";"0";"0";"0";"0";"0";"1110";"0";"0";"1110";"31";"7";"24";"0";"1079";"830";"249"
"b4f6-5ae8-1ecf-0807-a286-2bef-c31c-dc19";"326201";"97";"170";"miasto";"stały";"Szkoła Podstawowa Nr 35, ul. Świętoborzyców 40 Blok A1 (Aula), 71-665 Szczecin";"m. Szczecin";"Szczecin";"zachodniopomorskie";"1916";"2118";"388";"1528";"3";"12";"0";"0";"0";"0";"0";"0";"0";"1526";"0";"0";"1526";"49";"20";"29";"0";"1477";"967";"510"
"dff2-5e59-d13d-4be6-51aa-93bb-75c7-b4da";"326201";"97";"171";"miasto";"stały";"Szkoła Podstawowa Nr 35, ul. Świętoborzyców 40 (Hala Sportowa), 71-665 Szczecin";"m. Szczecin";"Szczecin";"zachodniopomorskie";"1923";"2094";"413";"1510";"4";"12";"0";"0";"0";"0";"0";"0";"0";"1509";"0";"0";"1509";"66";"26";"40";"0";"1443";"908";"535"
"f511-7cb7-cdb4-7361-abbb-2a3a-aab0-2456";"326201";"97";"172";"miasto";"stały";"Przedszkole Publiczne Nr 59, ul. Księżnej Zofii 3, 71-665 Szczecin";"m. Szczecin";"Szczecin";"zachodniopomorskie";"1743";"1912";"340";"1403";"0";"5";"0";"0";"0";"0";"0";"0";"0";"1403";"0";"0";"1403";"42";"14";"28";"0";"1361";"895";"466"
"c49b-1b4b-8c11-3e17-7ff2-ba85-dff1-041b";"326201";"97";"173";"miasto";"stały";"Przedszkole Publiczne Nr 59, ul. Księżnej Zofii 3, 71-665 Szczecin";"m. Szczecin";"Szczecin";"zachodniopomorskie";"1179";"1287";"240";"939";"1";"10";"0";"0";"0";"0";"0";"0";"0";"939";"0";"0";"939";"46";"5";"41";"0";"893";"568";"325"
"cedd-b69e-7695-93c3-b22b-c0e2-f648-c781";"326201";"97";"174";"miasto";"stały";"Przedszkole Publiczne Nr 14, ul. Biskupa Bandurskiego 56, 71-685 Szczecin";"m. Szczecin";"Szczecin";"zachodniopomorskie";"2122";"2269";"509";"1613";"1";"7";"0";"0";"0";"0";"0";"0";"0";"1612";"0";"0";"1612";"45";"14";"31";"0";"1567";"1002";"565"
"04a1-a382-c868-5a4c-4e09-48ef-ac70-d673";"326201";"97";"175";"miasto";"stały";"Szkoła Podstawowa Nr 18, ul. Komuny Paryskiej 20, 71-681 Szczecin";"m. Szczecin";"Szczecin";"zachodniopomorskie";"1552";"1704";"527";"1025";"1";"11";"0";"0";"0";"0";"0";"0";"0";"1022";"0";"0";"1022";"44";"9";"35";"0";"978";"606";"372"
"1ca0-7684-37dd-9873-c308-fc2b-a226-6a8e";"326201";"97";"176";"miasto";"stały";"Szkoła Podstawowa Nr 18, ul. Komuny Paryskiej 20, 71-681 Szczecin";"m. Szczecin";"Szczecin";"zachodniopomorskie";"1222";"1324";"372";"848";"1";"5";"0";"0";"0";"0";"0";"0";"0";"850";"0";"0";"850";"37";"27";"10";"0";"813";"497";"316"
"8d79-6ff7-0200-ef04-7974-3f89-1e1a-d8f1";"326201";"97";"177";"miasto";"stały";"Szkoła Podstawowa Nr 18, ul. Komuny Paryskiej 20, 71-681 Szczecin";"m. Szczecin";"Szczecin";"zachodniopomorskie";"1540";"1692";"477";"1063";"1";"5";"0";"0";"0";"0";"0";"0";"0";"1063";"0";"0";"1063";"46";"8";"38";"0";"1017";"592";"425"
"0c7e-68c2-d42a-bfa2-9cd6-3f13-493c-02fc";"326201";"97";"178";"miasto";"stały";"Szkoła Podstawowa Nr 18, ul. Komuny Paryskiej 20, 71-681 Szczecin";"m. Szczecin";"Szczecin";"zachodniopomorskie";"1757";"1934";"548";"1209";"4";"5";"0";"0";"0";"0";"0";"0";"0";"1208";"0";"0";"1208";"42";"7";"35";"0";"1166";"686";"480"
"3be3-bf1c-55d3-cf67-cd19-61a8-6d0e-d9cd";"326201";"97";"179";"miasto";"stały";"Żłobek Nr 9 ""Tęczowa Sowa"", ul. Łączna 22, 71-781 Szczecin";"m. Szczecin";"Szczecin";"zachodniopomorskie";"1055";"1017";"270";"785";"0";"14";"0";"0";"0";"0";"0";"0";"0";"782";"0";"0";"782";"30";"14";"16";"0";"752";"537";"215"
"8519-153b-a024-7deb-b04a-cc9b-7a98-6663";"326201";"97";"180";"miasto";"stały";"Szkoła Podstawowa Nr 42, ul. Hoża 25, 71-699 Szczecin";"m. Szczecin";"Szczecin";"zachodniopomorskie";"2074";"2103";"638";"1434";"2";"4";"0";"0";"0";"0";"0";"0";"0";"1433";"0";"5";"1428";"55";"7";"48";"0";"1373";"870";"503"
"287a-b8b8-344a-f493-0321-92f9-34ae-9f64";"326201";"97";"181";"miasto";"stały";"Dom Pomocy Społecznej – Dom Kombatanta, ul. Krucza 17, 71-747 Szczecin";"m. Szczecin";"Szczecin";"zachodniopomorskie";"1829";"1921";"404";"1425";"1";"13";"0";"0";"0";"0";"0";"0";"0";"1425";"0";"0";"1425";"53";"39";"14";"0";"1372";"889";"483"
"916b-fd24-3eb3-8d64-768a-6aab-88b0-ea4d";"326201";"97";"182";"miasto";"stały";"Ośrodek Szkolno-Wychowawczy dla Dzieci Słabosłyszących, ul. Grzymińska 6, 71-711 Szczecin";"m. Szczecin";"Szczecin";"zachodniopomorskie";"1582";"1766";"447";"1135";"0";"15";"0";"0";"0";"0";"0";"0";"0";"1135";"0";"0";"1135";"46";"21";"25";"0";"1089";"760";"329"
"632c-a7ef-1d0f-d40b-b9bb-dd2c-dde1-b3dd";"326201";"97";"183";"miasto";"stały";"XVIII Liceum Ogólnokształcące, ul. Hoża 3, 71-699 Szczecin";"m. Szczecin";"Szczecin";"zachodniopomorskie";"880";"1174";"187";"693";"2";"6";"0";"0";"0";"0";"0";"0";"0";"693";"0";"0";"693";"30";"9";"21";"0";"663";"387";"276"
"cf16-08e0-36c7-7848-4225-b0c0-bba0-b774";"326201";"97";"184";"miasto";"stały";"Tramwaje Szczecińskie Sp. z o. o., ul. Wiszesława 18, 71-751 Szczecin";"m. Szczecin";"Szczecin";"zachodniopomorskie";"732";"820";"318";"414";"0";"4";"0";"0";"0";"0";"0";"0";"0";"414";"0";"0";"414";"22";"6";"16";"0";"392";"256";"136"
"01b3-284d-9c98-65cd-daa2-e529-fe94-c269";"326201";"97";"185";"miasto";"stały";"Szkoła Podstawowa Nr 14, ul. Strzałowska 27A, 71-730 Szczecin";"m. Szczecin";"Szczecin";"zachodniopomorskie";"670";"670";"272";"398";"2";"3";"0";"0";"0";"0";"0";"0";"0";"398";"0";"0";"398";"12";"12";"0";"0";"386";"209";"177"
"49af-f0b9-3011-9d72-7e8d-3493-1797-4645";"326201";"97";"186";"miasto";"stały";"Szkoła Podstawowa Nr 14, ul. Strzałowska 27A, 71-730 Szczecin";"m. Szczecin";"Szczecin";"zachodniopomorskie";"1780";"1963";"396";"1384";"2";"15";"0";"0";"0";"0";"0";"0";"0";"1384";"0";"0";"1384";"38";"10";"28";"0";"1346";"871";"475"
"e0d9-0344-6db1-2603-ff51-f4d4-f03c-35b5";"326201";"97";"187";"miasto";"stały";"Specjalny Ośrodek Szkolno – Wychowawczy Nr 1, ul. Policka 3, 71-857 Szczecin";"m. Szczecin";"Szczecin";"zachodniopomorskie";"1725";"1874";"325";"1400";"1";"6";"0";"0";"0";"0";"0";"0";"0";"1400";"0";"0";"1400";"36";"25";"11";"0";"1364";"992";"372"
"6d7e-af28-2447-73dc-75e6-aa09-83c7-f6bb";"326201";"97";"188";"miasto";"stały";"Środowiskowa Placówka Edukacyjno-Wychowawcza Nr 1, ul. Koszalińska 13, 71-734 Szczecin";"m. Szczecin";"Szczecin";"zachodniopomorskie";"790";"866";"376";"414";"0";"3";"0";"0";"0";"0";"0";"0";"0";"414";"0";"0";"414";"7";"0";"7";"0";"407";"211";"196"
"c2fe-3342-2b69-c471-91a9-ebfe-b1ce-7580";"326201";"97";"189";"miasto";"stały";"Szkoła Podstawowa Nr 9, ul. Dąbrówki 10, 71-826 Szczecin";"m. Szczecin";"Szczecin";"zachodniopomorskie";"1860";"2118";"595";"1265";"0";"6";"0";"0";"0";"0";"0";"0";"0";"1265";"0";"0";"1265";"46";"21";"25";"0";"1219";"739";"480"
"2058-8d6b-3d54-3f15-5c83-9f45-5d9b-54cc";"326201";"97";"190";"miasto";"stały";"Szkoła Podstawowa Nr 9, ul. Dąbrówki 10, 71-826 Szczecin";"m. Szczecin";"Szczecin";"zachodniopomorskie";"1040";"1130";"649";"391";"0";"2";"0";"0";"0";"0";"0";"0";"0";"391";"0";"0";"391";"18";"11";"7";"0";"373";"202";"171"
"0e90-07af-a889-9957-6d4b-a0d5-6ea5-4784";"326201";"97";"191";"miasto";"stały";"Dom Kultury „Klub Skolwin”, ul. Stołczyńska 163, 71-870 Szczecin";"m. Szczecin";"Szczecin";"zachodniopomorskie";"1118";"1220";"478";"640";"0";"3";"0";"0";"0";"0";"0";"0";"0";"639";"0";"0";"639";"18";"1";"17";"0";"621";"292";"329"
"ad1d-6db5-8429-b624-0f29-9a63-b4f4-b4dd";"326201";"97";"192";"miasto";"stały";"Młodzieżowy Ośrodek Wychowawczy, ul. Kamienna 22, 71-833 Szczecin";"m. Szczecin";"Szczecin";"zachodniopomorskie";"998";"1107";"334";"664";"0";"0";"0";"0";"0";"0";"0";"0";"0";"664";"0";"0";"664";"21";"9";"12";"0";"643";"385";"258"
"4587-8d56-e648-41a9-5ec1-794d-ac50-c0d8";"326201";"97";"193";"miasto";"zakład leczniczy";"S. P. Wojewódzki Szpital Zespolony, ul. Arkońska 4, 71-455 Szczecin";"m. Szczecin";"Szczecin";"zachodniopomorskie";"301";"157";"144";"157";"0";"7";"0";"0";"0";"0";"0";"0";"0";"157";"0";"0";"157";"6";"2";"4";"0";"151";"76";"75"
"48dc-8979-5df4-24fb-3b36-510a-1fc3-fb1e";"326201";"97";"194";"miasto";"dom pomocy społecznej";"Dom Pomocy Społecznej, ul. Broniewskiego 4/6, 71-460 Szczecin";"m. Szczecin";"Szczecin";"zachodniopomorskie";"40";"23";"20";"20";"0";"0";"0";"0";"0";"0";"0";"0";"0";"20";"0";"0";"20";"2";"0";"2";"0";"18";"5";"13"
"d6a4-7377-73ed-4a3d-cddb-dabb-3eda-3642";"326201";"97";"195";"miasto";"zakład leczniczy";"S. P. Wojewódzki Szpital Zespolony, ul. Sokołowskiego 11, 70-899 Szczecin";"m. Szczecin";"Szczecin";"zachodniopomorskie";"351";"156";"213";"138";"0";"8";"0";"0";"0";"0";"0";"0";"0";"138";"0";"0";"138";"2";"0";"2";"0";"136";"75";"61"
"268c-d157-0630-cac3-e271-8526-943f-c04c";"326201";"97";"196";"miasto";"zakład leczniczy";"S. P. Specjalistyczny Zakład Opieki Zdrowotnej ""Zdroje"", ul. Mączna 4, 70-780 Szczecin";"m. Szczecin";"Szczecin";"zachodniopomorskie";"100";"98";"25";"75";"0";"5";"0";"0";"0";"0";"0";"0";"0";"75";"0";"0";"75";"5";"1";"4";"0";"70";"32";"38"
"a71f-2cee-648d-5328-4242-5b77-fa36-57a8";"326201";"97";"197";"miasto";"zakład leczniczy";"S. P. Szpital Kliniczny Nr 2, ul. Powstańców Wielkopolskich 72, 70-111 Szczecin";"m. Szczecin";"Szczecin";"zachodniopomorskie";"200";"161";"73";"127";"0";"0";"0";"0";"0";"0";"0";"0";"0";"127";"0";"0";"127";"7";"1";"6";"0";"120";"59";"61"
"6aca-76d4-a7ec-195a-ca74-3f66-2253-8042";"326201";"97";"198";"miasto";"zakład leczniczy";"S. P. Zakład Opieki Zdrowotnej MSWiA, ul. Jagiellońska 44, 70-382 Szczecin";"m. Szczecin";"Szczecin";"zachodniopomorskie";"100";"76";"67";"33";"0";"1";"0";"0";"0";"0";"0";"0";"0";"33";"0";"0";"33";"0";"0";"0";"0";"33";"18";"15"
