"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Tomasz Paweł GRODZKI";"Małgorzata Anna JACYNA-WITT"
"8a76-b857-2957-494a-6811-c307-7d8b-61fb";"326201";"97";"103";"miasto";"stały";"Izba Skarbowa, ul. Roosevelta 1, 71-616 Szczecin";"m. Szczecin";"Szczecin";"zachodniopomorskie";"652";"751";"175";"477";"0";"16";"0";"0";"0";"0";"0";"0";"0";"477";"0";"0";"477";"15";"0";"15";"0";"462";"289";"173"
"2dec-8302-8338-0771-207e-972d-e1bf-4bbc";"326201";"97";"104";"miasto";"stały";"V Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi, ul. Ofiar Oswięcimia 14, 71-537 Szczecin";"m. Szczecin";"Szczecin";"zachodniopomorskie";"2000";"2198";"453";"1547";"1";"15";"0";"0";"0";"0";"0";"0";"0";"1542";"0";"0";"1542";"52";"21";"31";"0";"1490";"1026";"464"
"09a9-e38d-5e62-d5ca-6159-1fd5-56c6-a50f";"326201";"97";"105";"miasto";"stały";"Szkoła Podstawowa Nr 56, ul. Malczewskiego 22, 71-612 Szczecin";"m. Szczecin";"Szczecin";"zachodniopomorskie";"1225";"1354";"312";"913";"2";"11";"0";"0";"0";"0";"0";"0";"0";"911";"0";"0";"911";"29";"7";"22";"0";"882";"572";"310"
"1925-09d0-2df5-92fe-14e1-f48d-c955-1b2f";"326201";"97";"106";"miasto";"stały";"II Liceum Ogólnokształcące, ul. H. Pobożnego 2, 70-507 Szczecin";"m. Szczecin";"Szczecin";"zachodniopomorskie";"800";"910";"154";"645";"2";"21";"0";"0";"0";"0";"0";"0";"0";"645";"0";"0";"645";"24";"6";"18";"0";"621";"406";"215"
"af6b-c94d-5083-21ce-9f6c-8984-cd1f-f510";"326201";"97";"107";"miasto";"stały";"Przedszkole Publiczne Nr 65, ul. J. Ch. Paska 34, 71-622 Szczecin";"m. Szczecin";"Szczecin";"zachodniopomorskie";"1923";"2083";"624";"1299";"0";"17";"0";"0";"0";"0";"0";"0";"0";"1299";"0";"0";"1299";"41";"15";"26";"0";"1258";"774";"484"
"cdb5-9fcb-09db-0bfe-3404-e888-109c-996e";"326201";"97";"108";"miasto";"stały";"Technikum Technologii Cyfrowych, ul. Niemierzyńska 17, 71-441 Szczecin";"m. Szczecin";"Szczecin";"zachodniopomorskie";"1338";"1466";"559";"779";"0";"5";"0";"0";"0";"0";"0";"0";"0";"779";"0";"0";"779";"26";"7";"19";"0";"753";"453";"300"
"ba1f-738a-a67d-1fed-1527-195d-14d3-f90e";"326201";"97";"109";"miasto";"stały";"Zespół Szkół Ogólnokształcących Nr 7, ul. Unisławy 26, 71-413 Szczecin";"m. Szczecin";"Szczecin";"zachodniopomorskie";"1279";"1413";"453";"826";"0";"10";"0";"0";"0";"0";"0";"0";"0";"826";"0";"0";"826";"24";"5";"19";"0";"802";"553";"249"
"995b-5dae-361c-b2e6-956f-4b88-8043-9f08";"326201";"97";"110";"miasto";"stały";"Szkoła Podstawowa Nr 69, ul. Zamoyskiego 2, 71-444 Szczecin";"m. Szczecin";"Szczecin";"zachodniopomorskie";"1675";"1840";"472";"1203";"0";"7";"0";"0";"0";"0";"0";"0";"0";"1203";"0";"0";"1203";"51";"11";"40";"0";"1152";"715";"437"
"d2f8-d8d2-9cdc-af20-8f80-7f80-b70c-e5d5";"326201";"97";"111";"miasto";"stały";"Szkoła Podstawowa Nr 69, ul. Zamoyskiego 2, 71-444 Szczecin";"m. Szczecin";"Szczecin";"zachodniopomorskie";"1400";"1539";"626";"774";"0";"2";"0";"0";"0";"0";"0";"0";"0";"774";"0";"0";"774";"33";"9";"24";"0";"741";"460";"281"
"579b-0d4b-2bda-fd26-a5ab-a630-ed96-9a58";"326201";"97";"112";"miasto";"stały";"Zespół Szkół Ogólnokształcących Nr 7, ul. Unisławy 26, 71-413 Szczecin";"m. Szczecin";"Szczecin";"zachodniopomorskie";"1000";"1092";"224";"776";"7";"10";"0";"0";"0";"0";"0";"0";"0";"776";"0";"0";"776";"26";"11";"15";"0";"750";"543";"207"
