"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Artur Ryszard PIEGDOŃ";"Sławomir SADOWSKI";"Jerzy WCISŁA"
"5f1f-1a5f-79c8-c6ce-9c61-2ec9-d543-cf6e";"280101";"84";"1";"miasto";"stały";"Bartoszycki Dom Kultury, ul. Boh. Warszawy 11, 11-200 Bartoszyce";"m. Bartoszyce";"bartoszycki";"warmińsko-mazurskie";"1501";"1510";"662";"839";"1";"15";"0";"0";"0";"0";"0";"0";"0";"839";"0";"0";"839";"26";"17";"9";"0";"813";"140";"303";"370"
"195f-b28c-1e80-33e6-2637-5208-abcc-1434";"280101";"84";"2";"miasto";"stały";"Zespół Szkolno-Przedszkolny Nr 1, ul. Nowowiejskiego 31, 11-200 Bartoszyce";"m. Bartoszyce";"bartoszycki";"warmińsko-mazurskie";"1742";"1874";"657";"1085";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1085";"0";"0";"1085";"24";"6";"18";"0";"1061";"197";"428";"436"
"7200-6435-08bb-e245-2b09-15e1-74c4-3c91";"280101";"84";"3";"miasto";"stały";"Sala gimnastyczna Szkoła Podstawowa Nr 1, ul. Mierosławskiego 1, 11-200 Bartoszyce";"m. Bartoszyce";"bartoszycki";"warmińsko-mazurskie";"1889";"2026";"737";"1152";"1";"2";"0";"0";"0";"0";"0";"0";"0";"1152";"0";"0";"1152";"33";"2";"31";"0";"1119";"210";"456";"453"
"2b89-53fd-1872-c7d6-d1ec-cff7-27f6-a947";"280101";"84";"4";"miasto";"stały";"Filia Miejskiej Biblioteki Publicznej, ul. Ogrodowa 1a, 11-200 Bartoszyce";"m. Bartoszyce";"bartoszycki";"warmińsko-mazurskie";"1599";"1723";"527";"1072";"2";"9";"0";"0";"0";"0";"0";"0";"0";"1072";"0";"0";"1072";"35";"2";"33";"0";"1037";"172";"464";"401"
"3de1-1c01-03f3-7ae4-fdc9-1a41-eb69-eb63";"280101";"84";"5";"miasto";"stały";"Szkoła Podstawowa Nr 1, ul. Traugutta 23, 11-200 Bartoszyce";"m. Bartoszyce";"bartoszycki";"warmińsko-mazurskie";"1544";"1630";"736";"808";"0";"7";"0";"0";"0";"0";"0";"0";"0";"808";"0";"0";"808";"20";"9";"11";"0";"788";"127";"288";"373"
"cf69-0704-e7f9-cc1c-8af0-b285-e424-39de";"280101";"84";"6";"miasto";"stały";"Zespół Szkół Ponadgimnazjalnych Nr 2, ul. Słowackiego 1, 11-200 Bartoszyce";"m. Bartoszyce";"bartoszycki";"warmińsko-mazurskie";"1808";"1966";"694";"1114";"0";"9";"0";"0";"0";"0";"0";"0";"0";"1114";"0";"0";"1114";"44";"5";"39";"0";"1070";"169";"377";"524"
"b8cf-7d04-839f-f88d-64ac-1f53-473a-e8d1";"280101";"84";"7";"miasto";"stały";"Szkoła Podstawowa Nr 3, ul. Andrzeja Witolda Wajdy 18, 11-200 Bartoszyce";"m. Bartoszyce";"bartoszycki";"warmińsko-mazurskie";"1719";"1853";"610";"1109";"2";"10";"0";"0";"0";"0";"0";"0";"0";"1109";"0";"0";"1109";"34";"5";"29";"0";"1075";"175";"393";"507"
"91bf-2e46-a429-dd1f-b913-ad03-2238-fe51";"280101";"84";"8";"miasto";"stały";"Przedszkole Integracyjne Nr 4, ul. Generała Bema 49, 11-200 Bartoszyce";"m. Bartoszyce";"bartoszycki";"warmińsko-mazurskie";"2084";"2247";"807";"1277";"0";"4";"0";"0";"0";"0";"0";"0";"0";"1277";"0";"0";"1277";"34";"2";"32";"0";"1243";"197";"519";"527"
"d401-a0cc-f900-2e07-688e-041c-c7d8-064a";"280101";"84";"9";"miasto";"stały";"Sala gimnastyczna Szkoła Podstawowa Nr 7, ul. Generała Bema 35, 11-200 Bartoszyce";"m. Bartoszyce";"bartoszycki";"warmińsko-mazurskie";"438";"470";"166";"272";"0";"4";"0";"0";"0";"0";"0";"0";"0";"272";"0";"0";"272";"6";"0";"6";"0";"266";"44";"123";"99"
"db04-2c91-8426-b1ed-dd82-fd66-c007-4714";"280101";"84";"10";"miasto";"stały";"Mała sala gimnastyczna Szkoła Podstawowa Nr 7 w Bartoszycach, ul. Generała Bema 35, 11-200 Bartoszyce";"m. Bartoszyce";"bartoszycki";"warmińsko-mazurskie";"1785";"1847";"671";"1114";"2";"3";"0";"0";"0";"0";"0";"0";"0";"1114";"0";"0";"1114";"12";"3";"9";"0";"1102";"195";"429";"478"
