"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Antoni SZYMAŃSKI";"Ryszard Jan ŚWILSKI"
"15fb-e7b3-84b1-a15b-98f3-f2e4-105d-6fe7";"220401";"66";"1";"miasto";"stały";"Filia Żłobka Miejskiego nr 1 ""Króla Maciusia"" w Pruszczu Gdańskim, ul. Eugeniusza Romera 1, 83-000 Pruszcz Gdański";"m. Pruszcz Gdański";"gdański";"pomorskie";"1447";"1482";"348";"1099";"1";"6";"0";"0";"0";"0";"0";"0";"0";"1099";"0";"0";"1099";"37";"11";"26";"0";"1062";"246";"816"
"db5b-61db-9a5c-218a-f00e-6e90-fe13-6d4d";"220401";"66";"2";"miasto";"stały";"Szkoła Podstawowa Nr 2, ul. Tysiąclecia 5, 83-000 Pruszcz Gdański";"m. Pruszcz Gdański";"gdański";"pomorskie";"971";"1068";"235";"736";"3";"9";"0";"0";"0";"0";"0";"0";"0";"736";"0";"0";"736";"14";"6";"8";"0";"722";"229";"493"
"602f-d4eb-f045-bb91-aa35-1312-1540-fa37";"220401";"66";"3";"miasto";"stały";"Pedagogiczna Biblioteka Wojewódzka w Gdańsku Filia w Pruszczu Gdańskim, ul. Obrońców Pokoju 6, 83-000 Pruszcz Gdański";"m. Pruszcz Gdański";"gdański";"pomorskie";"1840";"2024";"436";"1404";"4";"6";"1";"1";"0";"0";"0";"0";"1";"1405";"1";"1";"1404";"44";"8";"36";"0";"1360";"371";"989"
"a1c2-ca4d-781e-700f-7ba2-c039-c741-f364";"220401";"66";"4";"miasto";"stały";"Miejski Ośrodek Pomocy Społecznej, ul. Niepodległości 9, 83-000 Pruszcz Gdański";"m. Pruszcz Gdański";"gdański";"pomorskie";"770";"845";"252";"518";"3";"3";"0";"0";"0";"0";"0";"0";"0";"518";"0";"0";"518";"12";"6";"6";"0";"506";"168";"338"
"7287-2380-8284-ec80-4ff3-47cb-a0cf-3ce5";"220401";"66";"5";"miasto";"stały";"Przedszkole Publiczne Nr 3 im. Kubusia Puchatka, ul. Niepodległości 10, 83-000 Pruszcz Gdański";"m. Pruszcz Gdański";"gdański";"pomorskie";"1740";"1896";"455";"1285";"5";"5";"0";"0";"0";"0";"0";"0";"0";"1285";"0";"0";"1285";"36";"9";"27";"0";"1249";"366";"883"
"bdc9-935b-5599-87a0-7821-bc9c-9f70-1d9d";"220401";"66";"6";"miasto";"stały";"Centrum Kultury i Sportu, ul. Fryderyka Chopina 34, 83-000 Pruszcz Gdański";"m. Pruszcz Gdański";"gdański";"pomorskie";"1019";"1152";"264";"755";"1";"3";"0";"0";"0";"0";"0";"0";"0";"755";"0";"0";"755";"20";"10";"10";"0";"735";"206";"529"
"944a-8e57-8f9d-279e-ef1a-b3fc-022c-e9b1";"220401";"66";"7";"miasto";"stały";"Szkoła Podstawowa Nr 3, ul. Jana Matejki 1, 83-000 Pruszcz Gdański";"m. Pruszcz Gdański";"gdański";"pomorskie";"1610";"1772";"396";"1214";"1";"4";"0";"0";"0";"0";"0";"0";"0";"1213";"0";"0";"1213";"27";"6";"21";"0";"1186";"356";"830"
"00f4-f9fb-7e0d-50e5-4819-dc05-7bf6-6e02";"220401";"66";"8";"miasto";"stały";"Szkoła Podstawowa Nr 3, ul. Jana Matejki 1, 83-000 Pruszcz Gdański";"m. Pruszcz Gdański";"gdański";"pomorskie";"720";"794";"255";"465";"0";"8";"0";"0";"0";"0";"0";"0";"0";"465";"0";"0";"465";"16";"8";"8";"0";"449";"189";"260"
"9515-a8ff-6544-e1d6-abd2-e0dd-15c7-7844";"220401";"66";"9";"miasto";"stały";"Kasyno Wojskowe, ul. Dywizjonu 303 nr 3, 83-000 Pruszcz Gdański";"m. Pruszcz Gdański";"gdański";"pomorskie";"750";"771";"162";"588";"0";"6";"0";"0";"0";"0";"0";"0";"0";"588";"0";"0";"588";"7";"1";"6";"0";"581";"114";"467"
"e2e8-0c19-0709-9189-211b-d37b-ff1b-ad65";"220401";"66";"10";"miasto";"stały";"Zespół Szkół Ogólnokształcących Nr 1, ul. Juliana Ursyna Niemcewicza 1, 83-000 Pruszcz Gdański";"m. Pruszcz Gdański";"gdański";"pomorskie";"1001";"1092";"271";"730";"3";"11";"0";"0";"0";"0";"0";"0";"0";"730";"0";"0";"730";"26";"6";"20";"0";"704";"201";"503"
