"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Marek Eryk MARTYNOWSKI";"Waldemar PAWLAK"
"ec9f-85c9-a41a-0b44-ae68-b075-d83f-2c35";"140401";"38";"12";"miasto";"stały";"Hala Sportowa MOSiR, ul. Kutnowska 7a, 09-500 Gostynin";"m. Gostynin";"gostyniński";"mazowieckie";"1590";"1724";"539";"1051";"1";"4";"0";"0";"0";"0";"0";"0";"0";"1051";"0";"0";"1051";"22";"9";"13";"0";"1029";"433";"596"
"fae4-5a48-b110-b1e0-c0e3-0705-942c-5911";"140401";"38";"13";"miasto";"stały";"Miejskie Centrum Kultury, ul. 18 Stycznia 2, 09-500 Gostynin";"m. Gostynin";"gostyniński";"mazowieckie";"1518";"1652";"571";"947";"2";"14";"1";"1";"0";"0";"0";"0";"1";"948";"1";"0";"948";"21";"7";"14";"0";"927";"466";"461"
"315b-c56e-44c8-683a-61f0-fc7e-2b04-34ed";"140401";"38";"14";"miasto";"zakład leczniczy";"Wojewódzki Samodzielny Zespół Publicznych Zakładów Opieki Zdrowotnej im. prof. Eugeniusza Wilczkowskiego, ul. Zalesie 1, 09-500 Gostynin";"m. Gostynin";"gostyniński";"mazowieckie";"294";"269";"217";"77";"0";"0";"0";"0";"0";"0";"0";"0";"0";"77";"0";"0";"77";"4";"0";"4";"0";"73";"49";"24"
"78be-9240-b541-8efe-c0ca-2511-4fec-70d0";"140401";"38";"15";"miasto";"dom pomocy społecznej";"Powiatowy Dom Pomocy Społecznej w Czarnowie Filia w Gostyninie, ul. 3 Maja 47, 09-500 Gostynin";"m. Gostynin";"gostyniński";"mazowieckie";"55";"55";"8";"47";"0";"0";"0";"0";"0";"0";"0";"0";"0";"47";"0";"0";"47";"9";"1";"8";"0";"38";"22";"16"
"a492-906e-1e14-e201-8e51-62a8-cc2b-54fd";"140401";"38";"16";"miasto";"zakład karny";"Krajowy Ośrodek Zapobiegania Zachowaniom Dyssocjalnym, ul. Zalesie 1 A, 09-500 Gostynin";"m. Gostynin";"gostyniński";"mazowieckie";"71";"61";"38";"33";"0";"1";"0";"0";"0";"0";"0";"0";"0";"33";"0";"0";"33";"0";"0";"0";"0";"33";"11";"22"
"2caf-2a4f-1fb5-ce43-9e75-629e-7fef-9f0a";"140402";"38";"1";"wieś";"stały";"Szkoła Podstawowa w Sierakówku, Sierakówek 1, 09-500 Gostynin";"gm. Gostynin";"gostyniński";"mazowieckie";"730";"809";"261";"469";"0";"0";"0";"0";"0";"0";"0";"0";"0";"469";"0";"0";"469";"9";"5";"4";"0";"460";"216";"244"
"fc2d-bcd8-f1b8-2853-c683-5730-13a5-fbda";"140402";"38";"2";"wieś";"stały";"Szkoła Podstawowa w Zwoleniu, Zwoleń 35, 09-500 Gostynin";"gm. Gostynin";"gostyniński";"mazowieckie";"560";"615";"245";"315";"0";"0";"0";"0";"0";"0";"0";"0";"0";"315";"0";"0";"315";"14";"3";"11";"0";"301";"211";"90"
"3899-95f2-898e-69a4-a0cc-a793-9ad8-6a55";"140402";"38";"3";"wieś";"stały";"Szkoła Podstawowa w Lucieniu, Lucień 50, 09-500 Gostynin";"gm. Gostynin";"gostyniński";"mazowieckie";"1200";"1324";"555";"645";"1";"7";"0";"0";"0";"0";"0";"0";"0";"644";"0";"0";"644";"30";"7";"23";"0";"614";"384";"230"
"bfa0-343a-9bd5-c4da-2c3f-6d61-366e-3e9c";"140402";"38";"4";"wieś";"stały";"Remiza OSP w Skrzanach, Skrzany 27, 09-500 Gostynin";"gm. Gostynin";"gostyniński";"mazowieckie";"600";"664";"281";"319";"0";"1";"0";"0";"0";"0";"0";"0";"0";"319";"0";"0";"319";"7";"1";"6";"0";"312";"204";"108"
"b3c2-5b0b-cf80-1bdc-b052-a987-d33f-1d51";"140402";"38";"5";"wieś";"stały";"Szkoła Podstawowa w Emilianowie, Stefanów 38, 09-500 Gostynin";"gm. Gostynin";"gostyniński";"mazowieckie";"1349";"1463";"451";"898";"0";"3";"0";"0";"0";"0";"0";"0";"0";"898";"0";"0";"898";"31";"18";"13";"0";"867";"487";"380"
"809b-6363-5eee-f80e-5c56-82cf-94c0-f027";"140402";"38";"6";"wieś";"stały";"Szkoła Podstawowa w Białotarsku, Białotarsk 34, 09-500 Gostynin";"gm. Gostynin";"gostyniński";"mazowieckie";"1070";"1175";"528";"542";"1";"2";"0";"0";"0";"0";"0";"0";"0";"542";"0";"0";"542";"19";"5";"14";"0";"523";"326";"197"
"f4b2-5d3d-3fe2-5e29-ea8f-e753-8224-7aca";"140402";"38";"7";"wieś";"stały";"Szkoła Podstawowa w Teodorowie, Krzywie 47, 09-500 Gostynin";"gm. Gostynin";"gostyniński";"mazowieckie";"579";"645";"227";"352";"1";"0";"0";"0";"0";"0";"0";"0";"0";"352";"0";"0";"352";"6";"0";"6";"0";"346";"235";"111"
"e0f3-43b4-8763-5aef-2c28-d7f3-ed26-b561";"140402";"38";"8";"wieś";"stały";"Szkoła Podstawowa w Solcu, Solec 6, 09-500 Gostynin";"gm. Gostynin";"gostyniński";"mazowieckie";"480";"536";"170";"310";"0";"4";"0";"0";"0";"0";"0";"0";"0";"310";"0";"0";"310";"9";"1";"8";"0";"301";"200";"101"
"b8e3-7c80-9d7f-51f9-1531-d77e-a769-5b91";"140402";"38";"9";"wieś";"stały";"Remiza OSP w Kozicach, Kozice 5b, 09-500 Gostynin";"gm. Gostynin";"gostyniński";"mazowieckie";"540";"594";"206";"334";"0";"0";"0";"0";"0";"0";"0";"0";"0";"334";"0";"0";"334";"13";"3";"10";"0";"321";"171";"150"
"34df-32f9-fda1-511e-0ba2-07fe-7b98-4e00";"140402";"38";"10";"wieś";"stały";"Szkoła Podstawowa w Sokołowie, Sokołów 10, 09-500 Gostynin";"gm. Gostynin";"gostyniński";"mazowieckie";"920";"1034";"481";"439";"0";"1";"0";"0";"0";"0";"0";"0";"0";"439";"0";"0";"439";"23";"8";"15";"0";"416";"238";"178"
"aa67-60db-5ec4-f5e7-89d2-aa58-959a-9e6b";"140402";"38";"11";"wieś";"stały";"Remiza OSP w Gorzewie, Gorzewo 44a, 09-500 Gostynin";"gm. Gostynin";"gostyniński";"mazowieckie";"750";"819";"274";"476";"1";"6";"0";"0";"0";"0";"0";"0";"0";"476";"0";"0";"476";"11";"7";"4";"0";"465";"268";"197"
"a570-c5bc-8712-9094-6a98-bb0c-83ba-a645";"140402";"38";"12";"wieś";"zakład leczniczy";"Szpital ARION Med sp. z o. o. Zespół Opieki Zdrowotnej, Gorzewo ul. Kruk 5, 09-500 Gostynin";"gm. Gostynin";"gostyniński";"mazowieckie";"250";"182";"142";"108";"0";"5";"0";"0";"0";"0";"0";"0";"0";"108";"0";"0";"108";"6";"0";"6";"0";"102";"69";"33"
"b045-9f00-ab32-ddb9-e793-eb34-f4e4-7f96";"140402";"38";"13";"wieś";"dom pomocy społecznej";"Dom Pomocy Społecznej w Rogożewku, Rogożewek 32A, 09-500 Gostynin";"gm. Gostynin";"gostyniński";"mazowieckie";"40";"40";"14";"26";"0";"0";"0";"0";"0";"0";"0";"0";"0";"26";"0";"0";"26";"5";"0";"5";"0";"21";"9";"12"
"22ca-ad54-6b5e-8ab3-4695-c37f-e5b4-f1be";"140403";"38";"1";"wieś";"stały";"Urząd Gminy w Pacynie, ul. Wyzwolenia 7, 09-541 Pacyna";"gm. Pacyna";"gostyniński";"mazowieckie";"652";"719";"251";"401";"0";"7";"0";"0";"0";"0";"0";"0";"0";"401";"0";"0";"401";"17";"5";"12";"0";"384";"199";"185"
"ee92-98ff-ac5b-00f8-0216-469d-6832-d2f1";"140403";"38";"2";"wieś";"stały";"Szkoła Podstawowa w Pacynie, ul. Kopycińskiego 5, 09-541 Pacyna";"gm. Pacyna";"gostyniński";"mazowieckie";"770";"847";"306";"464";"0";"0";"0";"0";"0";"0";"0";"0";"0";"464";"0";"0";"464";"18";"3";"15";"0";"446";"296";"150"
"206c-d6ad-93f6-b07d-4c53-bd6d-361c-3b4d";"140403";"38";"3";"wieś";"stały";"Świetlica Wiejska w Podczachach, Podczachy 16, 09-541 Pacyna";"gm. Pacyna";"gostyniński";"mazowieckie";"642";"708";"283";"359";"0";"2";"0";"0";"0";"0";"0";"0";"0";"359";"0";"0";"359";"12";"2";"10";"0";"347";"183";"164"
"bb6c-f00a-1fc3-e19e-ff78-38a4-5752-19ae";"140403";"38";"4";"wieś";"stały";"Przedszkole Samorządowe w Skrzeszewach, Skrzeszewy 21, 09-541 Pacyna";"gm. Pacyna";"gostyniński";"mazowieckie";"562";"622";"218";"344";"3";"0";"0";"0";"0";"0";"0";"0";"0";"344";"0";"0";"344";"4";"3";"1";"0";"340";"233";"107"
