"Kod TERYT";"Rodzaj jednostki";"Gmina";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Dorota Irvina ARCISZEWSKA-MIELEWCZYK";"Kazimierz Mariusz KLEINA";"Liczba obwodów"
"220801";"gmina miejska";"m. Lębork";"lęborski";"pomorskie";24488;25975;8612;15874;17;98;3;3;0;0;0;0;3;15871;3;0;15871;564;194;370;0;15307;5501;9806;23
"220802";"gmina miejska";"m. Łeba";"lęborski";"pomorskie";2805;3181;760;2045;2;249;0;0;0;0;0;0;0;2044;0;0;2044;70;27;43;0;1974;681;1293;3
"220803";"gmina wiejska";"gm. Cewice";"lęborski";"pomorskie";4952;5321;1954;2998;0;12;0;0;0;0;0;0;0;2999;0;0;2999;98;23;75;0;2901;1413;1488;4
"220804";"gmina wiejska";"gm. Nowa Wieś Lęborska";"lęborski";"pomorskie";9492;10136;3771;5721;5;27;0;0;0;0;0;0;0;5721;0;0;5721;176;51;125;0;5545;2434;3111;13
"220805";"gmina wiejska";"gm. Wicko";"lęborski";"pomorskie";4156;4476;1983;2173;1;12;0;0;0;0;0;0;0;2173;0;0;2173;69;22;47;0;2104;809;1295;3
"221201";"gmina miejska";"m. Ustka";"słupski";"pomorskie";11350;12773;3504;7846;13;748;1;1;0;0;0;0;1;7846;1;0;7846;241;57;184;0;7605;2865;4740;9
"221202";"gmina wiejska";"gm. Damnica";"słupski";"pomorskie";4309;4579;2138;2171;7;5;0;0;0;0;0;0;0;2170;0;0;2170;63;11;52;0;2107;1015;1092;3
"221203";"gmina wiejska";"gm. Dębnica Kaszubska";"słupski";"pomorskie";6746;7278;3303;3443;3;18;0;0;0;0;0;0;0;3443;0;0;3443;113;25;88;0;3330;1473;1857;7
"221204";"gmina wiejska";"gm. Główczyce";"słupski";"pomorskie";6605;6827;3639;2966;3;6;0;0;0;0;0;0;0;2966;0;0;2966;89;10;79;0;2877;1323;1554;15
"221205";"gmina miejsko-wiejska";"gm. Kępice";"słupski";"pomorskie";6747;6846;3545;3202;0;8;0;0;0;0;0;0;0;3202;0;0;3202;124;27;97;0;3078;1232;1846;15
