"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Grzegorz CZELEJ";"Paweł Adam GÓRNIK";"Krzysztof Zbigniew KAMIŃSKI"
"d160-fa9b-2319-1451-23d3-838a-a570-b905";"060503";"15";"5";"wieś";"stały";"Remiza OSP w Zdzisławicach, Zdzisławice 51, 23-304 Dzwola";"gm. Dzwola";"janowski";"lubelskie";"367";"397";"131";"236";"0";"1";"0";"0";"0";"0";"0";"0";"0";"236";"0";"0";"236";"3";"2";"1";"0";"233";"186";"21";"26"
"9a70-37b6-5474-d2b0-5ae6-72f0-9233-60f9";"060504";"15";"1";"wieś";"stały";"Gminne Centrum Kultury i Promocji w Godziszowie, Godziszów, Godziszów Trzeci 124a, 23-302 Godziszów";"gm. Godziszów";"janowski";"lubelskie";"1507";"1621";"427";"1079";"11";"2";"0";"0";"0";"0";"0";"0";"0";"1079";"0";"0";"1079";"13";"8";"5";"0";"1066";"918";"70";"78"
"b6e8-a7c9-355f-8db8-2d2a-800b-b058-347f";"060504";"15";"2";"wieś";"stały";"Publiczna Szkoła Podstawowa w Andrzejowie, Andrzejów 163, 23-302 Godziszów";"gm. Godziszów";"janowski";"lubelskie";"468";"520";"122";"346";"0";"0";"0";"0";"0";"0";"0";"0";"0";"346";"0";"0";"346";"14";"10";"4";"0";"332";"273";"23";"36"
"de99-4445-0bfa-5d2e-46f3-7b21-11ef-b7f0";"060504";"15";"3";"wieś";"stały";"Publiczna Szkoła Podstawowa w Piłatce, Piłatka 84, 23-302 Godziszów";"gm. Godziszów";"janowski";"lubelskie";"239";"265";"50";"189";"0";"1";"0";"0";"0";"0";"0";"0";"0";"189";"0";"0";"189";"9";"1";"8";"0";"180";"155";"14";"11"
"610f-2156-2836-2722-3ba4-0359-6cf0-bb23";"060504";"15";"4";"wieś";"stały";"Gminne Centrum Kultury i Promocji w Godziszowie oddział w Zdziłowicach, Zdziłowice, Zdziłowice Drugie 109, 23-306 Zdziłowice";"gm. Godziszów";"janowski";"lubelskie";"1063";"1160";"217";"846";"15";"4";"0";"0";"0";"0";"0";"0";"0";"846";"0";"0";"846";"12";"2";"10";"0";"834";"733";"30";"71"
"10cc-8e4b-4880-82dc-d236-62b2-58d2-72db";"060504";"15";"5";"wieś";"stały";"Publiczna Szkoła Podstawowa w Wólce Ratajskiej, Wólka Ratajska 146, 23-302 Godziszów";"gm. Godziszów";"janowski";"lubelskie";"1050";"1145";"243";"807";"2";"4";"0";"0";"0";"0";"0";"0";"0";"807";"0";"0";"807";"24";"14";"10";"0";"783";"697";"39";"47"
"31c8-b091-70bb-4435-c0bd-49ef-37e8-62b5";"060505";"15";"1";"miasto";"stały";"Janowski Ośrodek Kultury, ul. Jana Pawła II 3, 23-300 Janów Lubelski";"gm. Janów Lubelski";"janowski";"lubelskie";"1670";"1776";"564";"1105";"3";"6";"0";"0";"0";"0";"0";"0";"0";"1104";"0";"0";"1104";"21";"7";"14";"0";"1083";"729";"79";"275"
"5e9f-45b8-12cc-ebfd-73f5-44f2-29c3-1c1a";"060505";"15";"2";"miasto";"stały";"Zespół Szkół Technicznych w Janowie Lubelskim, ul. Ogrodowa 20, 23-300 Janów Lubelski";"gm. Janów Lubelski";"janowski";"lubelskie";"1355";"1440";"517";"838";"1";"1";"0";"0";"0";"0";"0";"0";"0";"838";"0";"0";"838";"20";"11";"9";"0";"818";"505";"61";"252"
"663d-f315-e2ad-66dc-09d3-f95c-74b4-a26c";"060505";"15";"3";"miasto";"stały";"Ośrodek Pomocy Społecznej, ul. Bohaterów Porytowego Wzgórza 23, 23-300 Janów Lubelski";"gm. Janów Lubelski";"janowski";"lubelskie";"1659";"1746";"560";"1099";"1";"8";"0";"0";"0";"0";"0";"0";"0";"1099";"0";"0";"1099";"19";"19";"0";"0";"1080";"644";"81";"355"
"df7d-59c9-8646-a655-68f5-af26-b339-f4ba";"060505";"15";"4";"miasto";"stały";"Dom Pomocy Społecznej, ul. Wiejska 12, 23-300 Janów Lubelski";"gm. Janów Lubelski";"janowski";"lubelskie";"1395";"1479";"581";"814";"1";"4";"0";"0";"0";"0";"0";"0";"0";"814";"0";"0";"814";"15";"6";"9";"0";"799";"466";"85";"248"
"188e-5bd8-7c3f-9c5a-e070-d616-426e-3ff0";"060505";"15";"5";"miasto";"stały";"Liceum Ogólnokształcące im. Bohaterów Porytowego Wzgórza, ul. Jana Pawła II 1, 23-300 Janów Lubelski";"gm. Janów Lubelski";"janowski";"lubelskie";"1722";"1867";"500";"1222";"2";"16";"0";"0";"0";"0";"0";"0";"0";"1220";"0";"0";"1220";"22";"5";"17";"0";"1198";"846";"64";"288"
"76e1-3675-33fb-da60-b011-c8ff-aad9-5faa";"060505";"15";"6";"miasto";"stały";"Gminna Spółdzielnia ""Samopomoc Chłopska"", ul. Lubelska 1, 23-300 Janów Lubelski";"gm. Janów Lubelski";"janowski";"lubelskie";"1838";"1975";"667";"1171";"1";"10";"0";"0";"0";"0";"0";"0";"0";"1171";"0";"0";"1171";"34";"9";"25";"0";"1137";"785";"99";"253"
"71a9-6dce-ace4-7b02-7ab0-4810-59e7-f87c";"060505";"15";"7";"wieś";"stały";"Szkoła Podstawowa w Łążku Ordynackim, Łążek Ordynacki 205, 23-300 Janów Lubelski";"gm. Janów Lubelski";"janowski";"lubelskie";"375";"408";"179";"196";"4";"0";"0";"0";"0";"0";"0";"0";"0";"196";"0";"0";"196";"5";"1";"4";"0";"191";"149";"16";"26"
