"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów z różnych list";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok nazwiska kandydata na liście, której rejestracja została unieważniona";"Liczba głosów ważnych oddanych łącznie na wszystkie listy kandydatów";"Lista nr 1 - KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE - ZPOW-601-19/19";"Krzysztof Michał PASZYK - nr na liście 1";"Błażej Łukasz PARDA - nr na liście 2";"Tadeusz Krzysztof TETERUS - nr na liście 3";"Jarosław Zygmunt MACIEJEWSKI - nr na liście 4";"Tomasz Bronisław KRANC - nr na liście 5";"Marcin PISZCZEK - nr na liście 6";"Agnieszka LINKIEWICZ-MENDEL - nr na liście 7";"Józef Kazimierz KWAŚNIEWICZ - nr na liście 8";"Anna KORPIK - nr na liście 9";"Julian Marian HERMASZCZUK - nr na liście 10";"Jolanta Jadwiga LUBIŃSKA - nr na liście 11";"Małgorzata Anna BEJMA - nr na liście 12";"Lucyna Hanna NAWROT - nr na liście 13";"Sławomira Jadwiga KRÓL - nr na liście 14";"Daniel SZTYCH - nr na liście 15";"Maria Teresa GALAS - nr na liście 16";"Radosław Paweł ŁANOSZKA - nr na liście 17";"Bartłomiej Wojciech GÓRNY - nr na liście 18";"Lista nr 2 - KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ - ZPOW-601-9/19";"Krzysztof Władysław CZARNECKI - nr na liście 1";"Marta Ryszarda KUBIAK - nr na liście 2";"Grzegorz PIECHOWIAK - nr na liście 3";"Marcin Bartosz PORZUCEK - nr na liście 4";"Michał Witold ZIELIŃSKI - nr na liście 5";"Dorota BANAŚ - nr na liście 6";"Bogdan Włodzimierz FLEMING - nr na liście 7";"Danuta Maria NIJAKA - nr na liście 8";"Maja Małgorzata JANKOWSKA - nr na liście 9";"Józef FELCYN - nr na liście 10";"Maria Lidia MILER - nr na liście 11";"Robert Piotr KASPRZAK - nr na liście 12";"Andrzej Janusz OKPISZ - nr na liście 13";"Rafał PRĘTKOWSKI - nr na liście 14";"Wiesław PIETRUCZUK - nr na liście 15";"Emilia MUZYKA - nr na liście 16";"Maria Joanna KARDASZ - nr na liście 17";"Krzysztof Jakub BŁASZCZYK - nr na liście 18";"Lista nr 3 - KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ - ZPOW-601-1/19";"Dariusz Marian STANDERSKI - nr na liście 1";"Romuald Kazimierz AJCHLER - nr na liście 2";"Kamil Bartosz BOCIAN - nr na liście 3";"Agnieszka Magdalena GRZECHOWIAK - nr na liście 4";"Katarzyna JÓZEFOWSKA - nr na liście 5";"Anna Elżbieta WILK-BARAN - nr na liście 6";"Jacek Tadeusz FLIEGER - nr na liście 7";"Karolina SMYKOWSKA - nr na liście 8";"Stanisław Tomasz ŚLIWAK - nr na liście 9";"Paulina BIRULA - nr na liście 10";"Andrzej MELIŃSKI - nr na liście 11";"Natalia Ewa MINGE - nr na liście 12";"Maksym KAPLANSKYY - nr na liście 13";"Patrycja Monika BUŚKO - nr na liście 14";"Marta Grażyna BILON - nr na liście 15";"Jakub Paweł MIĘSIKOWSKI - nr na liście 16";"Hanna MAŃKOWSKA - nr na liście 17";"Adam Roman CUKIER - nr na liście 18";"Lista nr 4 - KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ - ZPOW-601-5/19";"Adam URBAŃSKI - nr na liście 1";"Jerzy Józef MOEGLICH - nr na liście 2";"Patrycja Martyna STEMPNIAK - nr na liście 3";"Małgorzata JĘDRYCH - nr na liście 4";"Agata Jadwiga OSTASZEWSKA - nr na liście 5";"Radosław MUSIAŁ - nr na liście 6";"Justyna Tamara WIATR - nr na liście 7";"Marcin Marian MAHSEL - nr na liście 8";"Radosław KOS - nr na liście 9";"Weronika DOMAGAŁA - nr na liście 10";"Daniel WŁUDARCZAK - nr na liście 11";"Adam FELDMANN - nr na liście 12";"Lista nr 5 - KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI - ZPOW-601-6/19";"Maria Małgorzata JANYSKA - nr na liście 1";"Jakub Adam RUTNICKI - nr na liście 2";"Iwona Maria KAMIŃSKA-LECH - nr na liście 3";"Zbigniew Czesław AJCHLER - nr na liście 4";"Killion Munzele MUNYAMA - nr na liście 5";"Henryk Marian SZOPIŃSKI - nr na liście 6";"Dorota Ewa TUŁODZIECKA-ADAMS - nr na liście 7";"Janusz MROZKOWIAK - nr na liście 8";"Karolina URYZAJ - nr na liście 9";"Krzysztof POSZWA - nr na liście 10";"Artur Łukasz WRÓBLEWSKI - nr na liście 11";"Tomasz Marek WOJCIECHOWSKI - nr na liście 12";"Lidia NOWAKOWSKA - nr na liście 13";"Arkadiusz Jerzy DOLECKI - nr na liście 14";"Magdalena SROKA - nr na liście 15";"Agnieszka Małgorzata KOWALSKA - nr na liście 16";"Maria Małgorzata JEWSZEL-CHABERSKA - nr na liście 17";"Rafał Maciej LIPSKI - nr na liście 18"
"6743-7ce8-8b6d-6751-4c08-9507-3d2c-ca60";"300101";"38";"1";"miasto";"stały";"""Dzienny Dom Senior-Wigor"" (budynek Dworca PKP), ul. Dworcowa 1, 64-800 Chodzież";"m. Chodzież";"chodzieski";"wielkopolskie";"2001";"2158";"560";"1441";"1";"11";"0";"0";"0";"0";"0";"0";"0";"1441";"0";"0";"1441";"8";"3";"5";"0";"1433";"187";"27";"33";"2";"3";"1";"29";"2";"3";"3";"71";"2";"3";"1";"2";"0";"1";"1";"3";"392";"93";"24";"37";"142";"0";"9";"1";"0";"5";"0";"0";"0";"0";"0";"75";"1";"4";"1";"247";"73";"58";"21";"11";"3";"6";"1";"21";"7";"5";"2";"12";"3";"5";"2";"1";"8";"8";"81";"41";"11";"6";"3";"5";"7";"3";"0";"1";"2";"0";"2";"526";"291";"53";"11";"11";"29";"8";"0";"0";"2";"3";"0";"2";"8";"0";"1";"51";"0";"56"
"4dec-0421-4461-7b82-137b-780b-acef-3586";"300101";"38";"2";"miasto";"stały";"Szkoła Podstawowa nr 1 (budynek hali sportowej), ul. Ignacego Jana Paderewskiego 13, 64-800 Chodzież";"m. Chodzież";"chodzieski";"wielkopolskie";"1760";"1903";"487";"1273";"0";"16";"0";"0";"0";"0";"0";"0";"0";"1273";"0";"0";"1273";"25";"16";"9";"0";"1248";"136";"19";"18";"3";"3";"2";"17";"3";"0";"3";"57";"0";"1";"3";"4";"2";"1";"0";"0";"317";"65";"25";"18";"106";"1";"13";"0";"0";"7";"1";"1";"2";"0";"0";"58";"6";"8";"6";"218";"67";"71";"15";"15";"5";"2";"3";"16";"2";"6";"1";"3";"0";"0";"1";"0";"6";"5";"69";"31";"10";"3";"5";"5";"3";"3";"0";"0";"5";"0";"4";"508";"275";"52";"21";"28";"19";"3";"1";"3";"3";"5";"0";"3";"7";"3";"3";"45";"1";"36"
"6658-f7fb-51eb-aeca-2cfb-14a9-9489-3bdb";"300101";"38";"3";"miasto";"stały";"Miejski Ośrodek Rozwiązywania Problemów Alkoholowych, ul. Władysława Reymonta 12, 64-800 Chodzież";"m. Chodzież";"chodzieski";"wielkopolskie";"1786";"1892";"479";"1307";"4";"3";"0";"0";"0";"0";"0";"0";"0";"1307";"0";"0";"1307";"7";"0";"7";"0";"1300";"136";"30";"17";"6";"3";"3";"11";"0";"1";"5";"49";"3";"1";"2";"1";"0";"0";"0";"4";"333";"81";"30";"22";"118";"1";"22";"2";"2";"5";"1";"3";"3";"4";"1";"26";"4";"5";"3";"221";"70";"61";"22";"20";"6";"4";"2";"11";"0";"1";"2";"2";"0";"0";"0";"4";"8";"8";"72";"36";"1";"6";"5";"1";"5";"3";"1";"0";"8";"0";"6";"538";"298";"57";"19";"29";"30";"2";"2";"0";"2";"5";"2";"3";"5";"1";"3";"40";"1";"39"
"98e4-c64d-001c-41ab-e50b-0889-adb7-2c31";"300101";"38";"4";"miasto";"stały";"Zespół Szkół im. Hipolita Cegielskiego, ul. Prymasa Stefana Wyszyńskiego 2, 64-800 Chodzież";"m. Chodzież";"chodzieski";"wielkopolskie";"1636";"1784";"544";"1092";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1092";"0";"0";"1092";"8";"4";"4";"0";"1084";"99";"16";"13";"1";"0";"3";"11";"2";"0";"2";"39";"4";"2";"0";"2";"1";"1";"1";"1";"335";"88";"31";"19";"125";"2";"16";"0";"2";"9";"0";"3";"2";"0";"0";"28";"5";"0";"5";"187";"61";"48";"10";"14";"3";"5";"0";"16";"3";"3";"4";"3";"0";"1";"2";"1";"9";"4";"62";"31";"3";"4";"7";"1";"1";"1";"0";"3";"7";"2";"2";"401";"204";"60";"25";"17";"5";"6";"3";"1";"0";"0";"0";"5";"3";"0";"2";"38";"0";"32"
"4b92-1c7f-d015-f9c4-884d-05d1-7b3b-a3e7";"300101";"38";"5";"miasto";"stały";"I Liceum Ogólnokształcące im. św. Barbary, ul. Stefana Żeromskiego 11, 64-800 Chodzież";"m. Chodzież";"chodzieski";"wielkopolskie";"1650";"1796";"541";"1109";"1";"2";"0";"0";"0";"0";"0";"0";"0";"1109";"0";"0";"1109";"20";"9";"11";"0";"1089";"124";"12";"11";"1";"3";"4";"18";"3";"3";"0";"52";"3";"3";"5";"0";"2";"2";"0";"2";"273";"75";"18";"17";"110";"2";"15";"1";"4";"6";"0";"2";"1";"0";"0";"11";"4";"1";"6";"201";"55";"47";"19";"13";"8";"7";"1";"13";"6";"2";"4";"2";"0";"4";"3";"2";"6";"9";"61";"26";"3";"7";"4";"4";"1";"3";"0";"6";"4";"0";"3";"430";"207";"45";"16";"27";"24";"4";"5";"4";"3";"5";"0";"0";"11";"1";"6";"38";"0";"34"
"f16c-bb4f-1447-3b8b-4f69-5b84-0200-c272";"300101";"38";"6";"miasto";"stały";"Szkoła Podstawowa nr 1 im. Stanisława Staszica (sala gimnastyczna), ul. Stanisława Staszica 19, 64-800 Chodzież";"m. Chodzież";"chodzieski";"wielkopolskie";"1635";"1797";"525";"1110";"3";"8";"0";"0";"0";"0";"0";"0";"0";"1110";"0";"0";"1110";"23";"10";"13";"0";"1087";"138";"23";"24";"0";"2";"3";"13";"1";"0";"0";"59";"3";"0";"1";"4";"0";"1";"2";"2";"275";"67";"19";"19";"91";"4";"23";"1";"2";"8";"0";"2";"4";"0";"1";"21";"4";"1";"8";"182";"47";"66";"4";"15";"6";"3";"1";"14";"1";"3";"4";"7";"1";"1";"1";"2";"4";"2";"74";"29";"6";"6";"3";"8";"6";"1";"0";"1";"7";"3";"4";"418";"195";"46";"14";"14";"11";"7";"1";"4";"2";"1";"1";"2";"2";"2";"1";"91";"0";"24"
"4c28-3c84-a288-44bb-8b60-2e66-764d-d2bf";"300101";"38";"7";"miasto";"stały";"Chodzieski Dom Kultury im. Stanisława Moniuszki, ul. Strzelecka 15, 64-800 Chodzież";"m. Chodzież";"chodzieski";"wielkopolskie";"1040";"1103";"293";"747";"1";"1";"0";"0";"0";"0";"0";"0";"0";"747";"0";"0";"747";"8";"5";"3";"0";"739";"91";"10";"14";"2";"0";"0";"7";"4";"0";"4";"41";"0";"4";"2";"0";"0";"0";"0";"3";"193";"56";"15";"18";"69";"1";"5";"0";"1";"3";"2";"0";"1";"0";"1";"17";"1";"2";"1";"123";"29";"31";"10";"8";"3";"1";"0";"28";"0";"2";"0";"4";"0";"2";"1";"0";"2";"2";"46";"18";"2";"1";"4";"1";"3";"5";"3";"1";"7";"1";"0";"286";"175";"16";"9";"18";"12";"1";"0";"1";"1";"2";"0";"2";"1";"1";"1";"23";"1";"22"
"1611-f966-3aff-b632-ee20-6451-2aa6-7f64";"300101";"38";"8";"miasto";"stały";"Szkoła Podstawowa Nr 3 im. Powstańców Wielkopolskich, ul. Jana Kochanowskiego 1, 64-800 Chodzież";"m. Chodzież";"chodzieski";"wielkopolskie";"1870";"2027";"541";"1329";"1";"4";"0";"0";"0";"0";"0";"0";"0";"1329";"0";"0";"1329";"8";"4";"4";"0";"1321";"123";"22";"30";"1";"4";"0";"11";"4";"0";"1";"42";"2";"2";"0";"2";"0";"0";"0";"2";"376";"111";"37";"29";"109";"1";"27";"2";"1";"5";"3";"6";"0";"0";"1";"36";"5";"1";"2";"214";"73";"57";"12";"10";"10";"3";"1";"16";"2";"6";"5";"4";"3";"1";"1";"1";"4";"5";"89";"43";"4";"8";"3";"0";"4";"1";"1";"2";"10";"1";"12";"519";"299";"44";"21";"18";"21";"13";"0";"2";"2";"4";"4";"5";"7";"0";"5";"37";"0";"37"
"26a7-c067-7739-1e0c-f8de-d9ac-0802-6d59";"300101";"38";"9";"miasto";"dom pomocy społecznej";"Budynek Domu Pomocy Społecznej, ul. Ujska 47, 64-800 Chodzież";"m. Chodzież";"chodzieski";"wielkopolskie";"105";"101";"68";"37";"0";"0";"0";"0";"0";"0";"0";"0";"0";"37";"0";"0";"37";"5";"5";"0";"0";"32";"5";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"1";"0";"0";"0";"15";"6";"1";"0";"2";"1";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"5";"0";"0";"1";"0";"0";"0";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"2";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"5";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"3";"0";"0"
"5124-bf48-73b8-314b-1d67-5e64-fc54-53e6";"300101";"38";"10";"miasto";"zakład leczniczy";"Budynek Szpitala Powiatowego, ul. Stefana Żeromskiego 29, 64-800 Chodzież";"m. Chodzież";"chodzieski";"wielkopolskie";"70";"56";"33";"37";"0";"3";"0";"0";"0";"0";"0";"0";"0";"37";"0";"0";"37";"0";"0";"0";"0";"37";"6";"2";"0";"1";"0";"0";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"14";"5";"2";"2";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"7";"0";"3";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"10";"7";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
