"Kod TERYT";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Władysław KOMARNICKI";"Janusz MAKSYMOWICZ";"Marek Tomasz SURMACZ";"Anna SYNOWIEC";"Liczba obwodów"
"080100";"gorzowski";"lubuskie";49777;54478;18797;30979;23;171;1;1;0;0;0;0;1;30975;1;4;30971;542;144;398;0;30429;12069;1339;8553;8468;61
"080300";"międzyrzecki";"lubuskie";41832;45660;16396;25431;27;241;2;2;0;0;0;0;2;25434;2;33;25401;524;131;393;0;24877;11451;1295;7429;4702;55
"080500";"słubicki";"lubuskie";32733;35997;13293;19435;13;223;0;0;0;0;0;0;0;19439;0;4;19435;391;109;282;0;19044;9167;1013;5291;3573;35
"080600";"strzelecko-drezdenecki";"lubuskie";35094;38522;15365;19729;20;122;2;2;0;0;0;0;2;19730;2;1;19729;356;93;263;0;19373;7557;1000;6254;4562;40
"080700";"sulęciński";"lubuskie";25236;27277;11147;14088;21;115;1;1;0;0;0;0;1;14086;1;2;14084;290;64;226;0;13794;6004;673;4805;2312;36
"086100";"Gorzów Wielkopolski";"lubuskie";85698;93039;28110;57587;56;367;5;5;1;0;0;0;4;57567;4;3;57564;945;336;609;0;56619;23050;3034;15730;14805;68
