"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Przemysław Jacek BŁASZCZYK";"Krzysztof Mariusz DEBICH";"Dariusz Andrzej PIGŁOWSKI"
"0269-19db-744e-c9cc-e5f5-22d0-5ee9-9cab";"100201";"25";"1";"miasto";"stały";"Kutnowski Dom Kultury w Kutnie, ul. Żółkiewskiego 4, 99-300 Kutno";"m. Kutno";"kutnowski";"łódzkie";"1104";"1211";"313";"791";"3";"7";"0";"0";"0";"0";"0";"0";"0";"791";"0";"0";"791";"23";"5";"18";"0";"768";"320";"349";"99"
"234e-009c-09e5-6209-c96a-7836-4b07-fcc0";"100201";"25";"2";"miasto";"stały";"Centrum Teatru, Muzyki i Tańca w Kutnie, ul. Teatralna 1, 99-300 Kutno";"m. Kutno";"kutnowski";"łódzkie";"1405";"1527";"658";"747";"0";"6";"0";"0";"0";"0";"0";"0";"0";"747";"0";"0";"747";"19";"11";"8";"0";"728";"332";"304";"92"
"816f-9db5-936c-bd4d-169e-6848-1462-d28c";"100201";"25";"3";"miasto";"stały";"Zespół Szkół Nr 1 im. St. Staszica w Kutnie, ul. Oporowska 7, 99-300 Kutno";"m. Kutno";"kutnowski";"łódzkie";"1413";"1528";"460";"953";"1";"1";"0";"0";"0";"0";"0";"0";"0";"953";"0";"0";"953";"23";"8";"15";"0";"930";"365";"440";"125"
"99e6-24a3-7545-360b-c534-9ec0-6e1e-ba34";"100201";"25";"4";"miasto";"stały";"Świetlica RSM ""Pionier"" w Kutnie, ul. Staszica 21, 99-300 Kutno";"m. Kutno";"kutnowski";"łódzkie";"1286";"1380";"486";"800";"1";"2";"0";"0";"0";"0";"0";"0";"0";"800";"0";"0";"800";"15";"4";"11";"0";"785";"393";"299";"93"
"02cf-9460-7bbd-ceae-73f8-8611-b21b-9519";"100201";"25";"5";"miasto";"stały";"Zespół Szkół Nr 3 im. Władysława Grabskiego w Kutnie, ul. Kościuszki 24, 99-300 Kutno";"m. Kutno";"kutnowski";"łódzkie";"1021";"1100";"362";"658";"1";"2";"0";"0";"0";"0";"0";"0";"0";"659";"0";"0";"659";"13";"3";"10";"0";"646";"265";"309";"72"
"0ed4-03cf-0022-91ce-c37a-bc3e-aa6f-70e3";"100201";"25";"6";"miasto";"stały";"I Liceum Ogólnokształcące im. Gen. J. H. Dąbrowskiego w Kutnie, ul. Generała Dąbrowskiego 1, 99-300 Kutno";"m. Kutno";"kutnowski";"łódzkie";"1384";"1484";"442";"942";"2";"5";"0";"0";"0";"0";"0";"0";"0";"941";"0";"0";"941";"16";"5";"11";"0";"925";"367";"454";"104"
"9836-e4aa-8588-f021-b33b-a8a3-044d-aad2";"100201";"25";"7";"miasto";"stały";"Szkoła Podstawowa Nr 2 im. Marszałka Józefa Piłsudskiego w Kutnie, ul. Staszica 6, 99-300 Kutno";"m. Kutno";"kutnowski";"łódzkie";"1124";"1198";"352";"772";"1";"1";"0";"0";"0";"0";"0";"0";"0";"772";"0";"0";"772";"12";"4";"8";"0";"760";"346";"332";"82"
"f06d-6e08-db9d-36f7-c9dd-a835-025e-27ec";"100201";"25";"8";"miasto";"stały";"Przedszkole Miejskie Nr 17 ""NIEZAPOMINAJKA"" w Kutnie, ul. Józefa Wybickiego 1, 99-300 Kutno";"m. Kutno";"kutnowski";"łódzkie";"1019";"1110";"338";"681";"4";"5";"1";"1";"0";"0";"0";"0";"1";"682";"1";"0";"682";"17";"5";"12";"0";"665";"319";"260";"86"
"7918-290a-ab46-84f0-c9ac-6411-c511-7dab";"100201";"25";"9";"miasto";"stały";"Przedszkole Miejskie Nr 17 ""NIEZAPOMINAJKA"" w Kutnie, ul. Józefa Wybickiego 1, 99-300 Kutno";"m. Kutno";"kutnowski";"łódzkie";"1375";"1480";"388";"987";"0";"1";"0";"0";"0";"0";"0";"0";"0";"987";"0";"0";"987";"25";"4";"21";"0";"962";"416";"430";"116"
"021c-c213-2c80-fa34-b18f-382b-c909-7c04";"100201";"25";"10";"miasto";"stały";"Szkoła Podstawowa Nr 1 im. Tadeusza Kościuszki w Kutnie, ul. Kanclerza Andrzeja Zamoyskiego 1, 99-300 Kutno";"m. Kutno";"kutnowski";"łódzkie";"1687";"1827";"496";"1191";"3";"8";"0";"0";"0";"0";"0";"0";"0";"1188";"0";"0";"1188";"27";"6";"21";"0";"1161";"536";"453";"172"
"eb16-e34b-eedf-608b-ec08-8928-c572-3efa";"100201";"25";"11";"miasto";"stały";"II Liceum Ogólnokształcące im. J. Kasprowicza w Kutnie, ul. Stefana Okrzei 1A, 99-300 Kutno";"m. Kutno";"kutnowski";"łódzkie";"967";"1039";"502";"465";"1";"2";"0";"0";"0";"0";"0";"0";"0";"465";"0";"0";"465";"17";"3";"14";"0";"448";"211";"169";"68"
"4ab6-3702-0cde-e748-ca80-6a45-aa7a-6d2c";"100201";"25";"12";"miasto";"stały";"Budynek Parafii pw. Matki Bożej Wspomożenia Wiernych w Kutnie, ul. Jesienna 2, 99-300 Kutno";"m. Kutno";"kutnowski";"łódzkie";"1266";"1377";"403";"863";"1";"5";"0";"0";"0";"0";"0";"0";"0";"863";"0";"0";"863";"29";"11";"18";"0";"834";"448";"294";"92"
"0eb3-c706-bb23-a8f4-0a60-43e8-b8cd-f0d5";"100201";"25";"13";"miasto";"stały";"Szkoła Podstawowa Nr 1 im. Tadeusza Kościuszki w Kutnie, ul. Kanclerza Andrzeja Zamoyskiego 1, 99-300 Kutno";"m. Kutno";"kutnowski";"łódzkie";"812";"880";"391";"421";"2";"1";"1";"1";"0";"0";"0";"0";"1";"421";"1";"0";"421";"13";"6";"7";"0";"408";"191";"162";"55"
"115b-988e-b63f-79d1-f89e-da2b-5789-f82d";"100201";"25";"14";"miasto";"stały";"Szkoła Podstawowa Nr 5 im. Henryka Sienkiewicza w Kutnie, ul. Łęczycka 11, 99-300 Kutno";"m. Kutno";"kutnowski";"łódzkie";"1744";"1882";"636";"1108";"3";"4";"0";"0";"0";"0";"0";"0";"0";"1108";"0";"0";"1108";"28";"4";"24";"0";"1080";"495";"467";"118"
"6ae8-949f-3f9c-0146-693e-872f-30a5-f3f9";"100201";"25";"15";"miasto";"stały";"Zakłady Przemysłu Odzieżowego EMKON Sp. z o. o. w Kutnie, ul. 1 Maja 26a, 99-300 Kutno";"m. Kutno";"kutnowski";"łódzkie";"1642";"1773";"659";"983";"2";"0";"0";"0";"0";"0";"0";"0";"0";"979";"0";"0";"979";"33";"10";"23";"0";"946";"494";"372";"80"
"2830-4c10-eca7-0ae8-bd4d-1768-9ab8-cbb9";"100201";"25";"16";"miasto";"stały";"Szkoła Podstawowa Nr 4 im. Mikołaja Kopernika w Kutnie, ul. Narutowicza 22, 99-300 Kutno";"m. Kutno";"kutnowski";"łódzkie";"699";"756";"342";"357";"0";"1";"0";"0";"0";"0";"0";"0";"0";"357";"0";"0";"357";"6";"0";"6";"0";"351";"152";"148";"51"
"7bc7-2a5c-ea6d-02cd-3f87-ed1a-7181-0285";"100201";"25";"17";"miasto";"stały";"Szkoła Podstawowa Nr 6 im. Marii Skłodowskiej-Curie w Kutnie, ul. Łąkoszyńska 9, 99-300 Kutno";"m. Kutno";"kutnowski";"łódzkie";"1456";"1590";"447";"1009";"0";"6";"0";"0";"0";"0";"0";"0";"0";"1007";"0";"0";"1007";"22";"3";"19";"0";"985";"474";"385";"126"
"8218-1cfa-b541-a9ab-9b07-3550-0719-9861";"100201";"25";"18";"miasto";"stały";"Szkoła Podstawowa Nr 6 im. Marii Skłodowskiej-Curie w Kutnie, ul. Łąkoszyńska 9, 99-300 Kutno";"m. Kutno";"kutnowski";"łódzkie";"1525";"1854";"335";"1190";"2";"6";"1";"1";"0";"0";"0";"0";"1";"1191";"1";"0";"1191";"18";"8";"10";"0";"1173";"493";"563";"117"
"b670-3b66-65c5-f15d-ed07-4259-ea42-3345";"100201";"25";"19";"miasto";"stały";"Przedszkole Miejskie Nr 15 ""Bajka"" w Kutnie, ul. Władysława Jagiełły 4a, 99-300 Kutno";"m. Kutno";"kutnowski";"łódzkie";"1238";"1348";"297";"941";"1";"8";"1";"1";"0";"0";"0";"0";"1";"942";"1";"0";"942";"22";"2";"20";"0";"920";"386";"449";"85"
"718c-082d-8e9b-d169-d5f5-dd60-3be3-64e5";"100201";"25";"20";"miasto";"stały";"Bosch Service Zachorscy Autoryzowany Serwis Samochodowy w Kutnie, ul. Józefów 26, 99-300 Kutno";"m. Kutno";"kutnowski";"łódzkie";"390";"426";"228";"162";"0";"0";"0";"0";"0";"0";"0";"0";"0";"162";"0";"0";"162";"4";"1";"3";"0";"158";"88";"49";"21"
