"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Ewa Maria GAWĘDA";"Marek Henryk MIGALSKI"
"c5f0-70b5-ffb0-86b2-ba89-0ec0-7e55-5e85";"241101";"72";"11";"miasto";"stały";"Szkoła Podstawowa Nr 15 - wejście boczne, do sali gimnastycznej, ul. Juliusza Słowackiego 48, 47-400 Racibórz";"m. Racibórz";"raciborski";"śląskie";"1154";"1216";"424";"730";"0";"2";"0";"0";"0";"0";"0";"0";"0";"730";"0";"0";"730";"22";"6";"16";"0";"708";"310";"398"
"2192-1707-f0fa-67ff-91a2-cc2f-b51d-9913";"241101";"72";"12";"miasto";"stały";"Szkoła Podstawowa Nr 18 - wejście boczne, ul. Ocicka 52, 47-400 Racibórz";"m. Racibórz";"raciborski";"śląskie";"1550";"1658";"507";"1043";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1043";"0";"0";"1043";"27";"4";"23";"0";"1016";"445";"571"
"b200-741f-be9d-0bfe-1c9b-63a6-ebc6-3656";"241101";"72";"13";"miasto";"stały";"Szkoła Podstawowa Nr 18, ul. Żorska 2, 47-400 Racibórz";"m. Racibórz";"raciborski";"śląskie";"1450";"1539";"554";"896";"0";"3";"0";"0";"0";"0";"0";"0";"0";"896";"0";"0";"896";"21";"7";"14";"0";"875";"375";"500"
"2be0-c258-a317-6ace-81e4-b95f-7c0f-39c8";"241101";"72";"14";"miasto";"stały";"Szkoła Podstawowa Nr 18, ul. Ocicka 52, 47-400 Racibórz";"m. Racibórz";"raciborski";"śląskie";"1650";"1767";"645";"1005";"5";"6";"1";"1";"0";"0";"0";"0";"1";"1006";"1";"0";"1006";"21";"5";"16";"0";"985";"445";"540"
"0fb3-2170-dd0a-a964-6aa0-f68a-1005-7f1a";"241101";"72";"15";"miasto";"stały";"Szkoła Podstawowa Nr 13, ul. ks. Stanisława Staszica 12, 47-400 Racibórz";"m. Racibórz";"raciborski";"śląskie";"1854";"1878";"830";"1024";"0";"10";"0";"0";"0";"0";"0";"0";"0";"1024";"0";"0";"1024";"47";"17";"30";"0";"977";"361";"616"
"1f71-d25c-4313-129e-6d71-ea82-8237-a433";"241101";"72";"16";"miasto";"stały";"Szkoła Podstawowa Nr 4, ul. Jana Kasprowicza 4, 47-400 Racibórz";"m. Racibórz";"raciborski";"śląskie";"1403";"1494";"580";"823";"1";"3";"0";"0";"0";"0";"0";"0";"0";"823";"0";"0";"823";"42";"23";"19";"0";"781";"331";"450"
"4ed6-e2f5-9fc1-1b81-92ae-95f0-c3e1-a40a";"241101";"72";"17";"miasto";"stały";"Szkoła Podstawowa Nr 4, ul. Jana Kasprowicza 4, 47-400 Racibórz";"m. Racibórz";"raciborski";"śląskie";"1503";"1562";"680";"823";"2";"6";"0";"0";"0";"0";"0";"0";"0";"823";"0";"0";"823";"33";"8";"25";"0";"790";"308";"482"
"7779-fa68-53dd-d183-f512-eb51-8e5b-a6ff";"241101";"72";"18";"miasto";"stały";"Zespół Szkół Ekonomicznych, ul. Gimnazjalna 3, 47-400 Racibórz";"m. Racibórz";"raciborski";"śląskie";"1604";"1706";"698";"906";"4";"5";"0";"0";"0";"0";"0";"0";"0";"906";"0";"0";"906";"30";"19";"11";"0";"876";"372";"504"
"46d0-fc5d-853b-017c-ce4b-7df1-45ea-8fa9";"241101";"72";"19";"miasto";"stały";"Zespół Szkół Ogólnokształcących Mistrzostwa Sportowego-Budynek A, ul. Kozielska 19, 47-400 Racibórz";"m. Racibórz";"raciborski";"śląskie";"1953";"2116";"995";"958";"0";"0";"2";"2";"1";"0";"0";"0";"1";"959";"1";"0";"959";"33";"11";"22";"0";"926";"460";"466"
"3490-fa9a-ee2e-df7f-b3f7-4d61-cb4d-b34c";"241101";"72";"20";"miasto";"stały";"Centrum Kształcenia Zawodowego i Ustawicznego Nr 1, ul. Wileńska 6, 47-400 Racibórz";"m. Racibórz";"raciborski";"śląskie";"1600";"1694";"575";"1025";"2";"5";"0";"0";"0";"0";"0";"0";"0";"1025";"0";"0";"1025";"41";"9";"32";"0";"984";"390";"594"
