"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Ewa Maria GAWĘDA";"Marek Henryk MIGALSKI"
"1e5f-a87a-5b55-a7b3-25a9-653a-e01f-5bd5";"241104";"72";"7";"wieś";"stały";"Szkoła Podstawowa im. mjr Henryka Sucharskiego w Chałupkach, ul. Szkolna 7, 47-460 Chałupki";"gm. Krzyżanowice";"raciborski";"śląskie";"1251";"1333";"619";"632";"1";"8";"0";"0";"0";"0";"0";"0";"0";"632";"0";"0";"632";"17";"6";"11";"0";"615";"283";"332"
"e07a-73d4-37e1-c2f9-2b64-ed93-e3fa-6a5e";"241105";"72";"1";"miasto";"stały";"Szkoła Podstawowa w Kuźni Raciborskiej, ul. Piaskowa 28, 47-420 Kuźnia Raciborska";"gm. Kuźnia Raciborska";"raciborski";"śląskie";"1183";"1212";"639";"544";"0";"2";"0";"0";"0";"0";"0";"0";"0";"544";"0";"0";"544";"27";"7";"20";"0";"517";"207";"310"
"fdfc-42b4-08bd-3ee7-6b81-2212-fb91-3a51";"241105";"72";"2";"miasto";"stały";"Szkoła Podstawowa w Kuźni Raciborskiej, ul. Piaskowa 28, 47-420 Kuźnia Raciborska";"gm. Kuźnia Raciborska";"raciborski";"śląskie";"1155";"1237";"612";"543";"2";"3";"0";"0";"0";"0";"0";"0";"0";"543";"0";"0";"543";"23";"3";"20";"0";"520";"211";"309"
"5390-b586-c113-8d6a-8d67-ab2b-8d90-ba51";"241105";"72";"3";"miasto";"stały";"Miejski Ośrodek Kultury, Sportu i Rekreacji, ul. Klasztorna 9, 47-420 Kuźnia Raciborska";"gm. Kuźnia Raciborska";"raciborski";"śląskie";"1455";"1535";"803";"652";"0";"2";"0";"0";"0";"0";"0";"0";"0";"652";"0";"0";"652";"15";"11";"4";"0";"637";"272";"365"
"6c38-d537-32c4-fc6a-527b-53e6-b248-1926";"241105";"72";"4";"wieś";"stały";"Wiejski Ośrodek Kultury w Turzu, Turze ul. Raciborska 43, 47-420 Kuźnia Raciborska";"gm. Kuźnia Raciborska";"raciborski";"śląskie";"1882";"1989";"1098";"784";"1";"1";"0";"0";"0";"0";"0";"0";"0";"784";"0";"0";"784";"18";"3";"15";"0";"766";"344";"422"
"9c24-aa98-515e-b1d3-1588-71ae-3a82-5834";"241105";"72";"5";"wieś";"stały";"Szkoła Podstawowa, ul. Rogera 2, 47-430 Rudy";"gm. Kuźnia Raciborska";"raciborski";"śląskie";"2101";"2306";"928";"1173";"0";"7";"0";"0";"0";"0";"0";"0";"0";"1173";"0";"0";"1173";"40";"10";"30";"0";"1133";"517";"616"
"cd06-bc2e-f1fa-86d8-06bb-e4b4-5eef-1059";"241105";"72";"6";"wieś";"stały";"Szkoła Podstawowa, ul. Rogera 2, 47-430 Rudy";"gm. Kuźnia Raciborska";"raciborski";"śląskie";"833";"864";"405";"428";"0";"11";"0";"0";"0";"0";"0";"0";"0";"428";"0";"0";"428";"12";"4";"8";"0";"416";"253";"163"
"8208-e68c-c0b4-621d-e1ac-782a-339c-c812";"241106";"72";"1";"wieś";"stały";"SALA GIMNASTYCZNA przy Zespole Szkolno-Przedszkolnym, Babice ul. Wiejska 68, 47-440 Nędza";"gm. Nędza";"raciborski";"śląskie";"650";"661";"312";"338";"0";"2";"0";"0";"0";"0";"0";"0";"0";"338";"0";"0";"338";"13";"5";"8";"0";"325";"180";"145"
"add6-442c-fb12-c5ea-a5dc-7589-9edb-f149";"241106";"72";"2";"wieś";"stały";"SALA GIMNASTYCZNA przy Zespole Szkolno-Przedszkolnym, Górki Śląskie ul. Ofiar Oświęcimskich 57, 47-440 Nędza";"gm. Nędza";"raciborski";"śląskie";"750";"796";"272";"478";"0";"1";"0";"0";"0";"0";"0";"0";"0";"477";"0";"0";"477";"18";"3";"15";"0";"459";"212";"247"
"7d59-0517-f696-04e2-2f0d-afa0-37e6-259e";"241106";"72";"3";"wieś";"stały";"SALA GIMNASTYCZNA przy Zespole Szkolno-Przedszkolnym, Zawada Książęca ul. Szkolna 2, 47-440 Nędza";"gm. Nędza";"raciborski";"śląskie";"897";"982";"526";"371";"1";"1";"0";"0";"0";"0";"0";"0";"0";"371";"0";"0";"371";"15";"4";"11";"0";"356";"194";"162"
"b60a-d502-a972-0940-f68d-41b5-d1a9-3cc1";"241106";"72";"4";"wieś";"stały";"Sala przy GOSiR, ul. Sportowa 10, 47-440 Nędza";"gm. Nędza";"raciborski";"śląskie";"852";"904";"465";"387";"0";"2";"0";"0";"0";"0";"0";"0";"0";"386";"0";"0";"386";"12";"4";"8";"0";"374";"188";"186"
"bedd-bbee-52fe-6a48-f46a-e819-4503-67fa";"241106";"72";"5";"wieś";"stały";"SALA przy OSP, ul. Strażacka 2, 47-440 Nędza";"gm. Nędza";"raciborski";"śląskie";"750";"766";"453";"297";"0";"0";"0";"0";"0";"0";"0";"0";"0";"297";"0";"0";"297";"7";"2";"5";"0";"290";"135";"155"
"a380-3d0e-fee5-2aab-ed41-1b2d-73dd-bc59";"241106";"72";"6";"wieś";"stały";"STRAŻNICA OSP, Szymocice ul. Gliwicka 20, 47-440 Nędza";"gm. Nędza";"raciborski";"śląskie";"302";"245";"148";"154";"0";"0";"0";"0";"0";"0";"0";"0";"0";"154";"0";"0";"154";"5";"2";"3";"0";"149";"69";"80"
"a518-82c4-45d2-b959-1fe4-f034-807e-79af";"241106";"72";"7";"wieś";"stały";"SALA przy Szkole Podstawowej, ul. Leśna 2, 47-440 Nędza";"gm. Nędza";"raciborski";"śląskie";"949";"986";"444";"505";"1";"4";"0";"0";"0";"0";"0";"0";"0";"505";"0";"0";"505";"8";"0";"8";"0";"497";"265";"232"
"e7bb-e60c-24db-8f00-98cd-e91d-624d-8da1";"241106";"72";"8";"wieś";"stały";"Przedszkole, Łęg ul. Wyzwolenia 8, 47-440 Nędza";"gm. Nędza";"raciborski";"śląskie";"401";"348";"256";"145";"0";"0";"0";"0";"0";"0";"0";"0";"0";"145";"0";"0";"145";"5";"0";"5";"0";"140";"71";"69"
"2c42-33f0-4b64-1f24-d18c-8cfa-cf44-3929";"241107";"72";"1";"wieś";"stały";"Centrum Społeczno-Kulturalne w Pietrowicach Wielkich, ul. 1 Maja 8b, 47-480 Pietrowice Wielkie";"gm. Pietrowice Wielkie";"raciborski";"śląskie";"1950";"2137";"942";"1008";"2";"5";"0";"0";"0";"0";"0";"0";"0";"1008";"0";"0";"1008";"27";"6";"21";"0";"981";"499";"482"
"82d7-c25b-c54b-d09f-701c-52c9-0ede-7e71";"241107";"72";"2";"wieś";"stały";"Zespół Szkolno-Przedszkolny w Pawłowie, Pawłów ul. Pietrowicka 16, 47-480 Pietrowice Wielkie";"gm. Pietrowice Wielkie";"raciborski";"śląskie";"850";"885";"464";"386";"0";"0";"0";"0";"0";"0";"0";"0";"0";"386";"0";"0";"386";"5";"0";"5";"0";"381";"205";"176"
"1bd6-e7d4-1243-6fb4-d4b0-ae65-2fcb-45ca";"241107";"72";"3";"wieś";"stały";"Zespół Szkolno-Przedszkolny w Krowiarkach, Krowiarki ul. Szkolna 19, 47-480 Pietrowice Wielkie";"gm. Pietrowice Wielkie";"raciborski";"śląskie";"750";"812";"459";"291";"0";"0";"0";"0";"0";"0";"0";"0";"0";"291";"0";"0";"291";"8";"0";"8";"0";"283";"163";"120"
"10f7-2f42-e5a0-1e07-d404-8c98-0b3c-1f75";"241107";"72";"4";"wieś";"stały";"Wiejskie Centrum Kultury, Maków ul. Szkolna 1, 47-480 Pietrowice Wielkie";"gm. Pietrowice Wielkie";"raciborski";"śląskie";"500";"512";"287";"213";"0";"0";"0";"0";"0";"0";"0";"0";"0";"213";"0";"0";"213";"5";"1";"4";"0";"208";"116";"92"
"9e63-605f-a69a-604b-8dc5-2235-eb88-94a8";"241107";"72";"5";"wieś";"stały";"Świetlica Wiejska w Cyprzanowie, Cyprzanów ul. Janowska 33, 47-480 Pietrowice Wielkie";"gm. Pietrowice Wielkie";"raciborski";"śląskie";"550";"581";"319";"231";"0";"1";"0";"0";"0";"0";"0";"0";"0";"231";"0";"0";"231";"5";"2";"3";"0";"226";"122";"104"
"4f6f-cd1c-0865-ed9e-9b24-728e-83dc-5012";"241107";"72";"6";"wieś";"stały";"Zespół Szkolno-Przedszkolny w Samborowicach, Samborowice ul. Szkolna 1, 47-470 Krzanowice";"gm. Pietrowice Wielkie";"raciborski";"śląskie";"500";"510";"280";"220";"0";"1";"0";"0";"0";"0";"0";"0";"0";"220";"0";"0";"220";"4";"0";"4";"0";"216";"122";"94"
"0b0d-32e3-ebfe-1cf6-db1c-236f-f48f-52b9";"241108";"72";"1";"wieś";"stały";"Gminne Centrum Informacji, ul. Mickiewicza 2, 47-411 Rudnik";"gm. Rudnik";"raciborski";"śląskie";"1053";"1119";"526";"527";"2";"0";"0";"0";"0";"0";"0";"0";"0";"527";"0";"0";"527";"16";"4";"12";"0";"511";"274";"237"
"f0b2-6d28-8e9a-eeb8-ad8a-abcb-9783-07bd";"241108";"72";"2";"wieś";"stały";"Szkoła Podstawowa, Gamów ul. Długa 48, 47-411 Rudnik";"gm. Rudnik";"raciborski";"śląskie";"405";"346";"224";"181";"0";"0";"0";"0";"0";"0";"0";"0";"0";"181";"0";"0";"181";"0";"0";"0";"0";"181";"136";"45"
"aa62-8bee-a5d3-d451-6543-05a6-4407-a70d";"241108";"72";"3";"wieś";"stały";"Szkoła Podstawowa, Szonowice ul. Marii Konopnickiej 2, 47-411 Rudnik";"gm. Rudnik";"raciborski";"śląskie";"801";"853";"473";"328";"0";"1";"0";"0";"0";"0";"0";"0";"0";"327";"0";"0";"327";"7";"2";"5";"0";"320";"185";"135"
"f5eb-57a0-d48d-2f7c-e059-cfa4-fdd9-29f7";"241108";"72";"4";"wieś";"stały";"Górnośląskie Centrum Kultury i Spotkań im. J. v. Eichendorffa (budynek byłej szkoły), Łubowice ul. Zamkowa 1, 47-411 Rudnik";"gm. Rudnik";"raciborski";"śląskie";"1200";"1271";"633";"567";"1";"2";"1";"1";"0";"0";"0";"0";"1";"568";"1";"0";"568";"13";"3";"10";"0";"555";"324";"231"
"fd61-5b6b-1304-28a0-57f6-8510-c012-3f21";"241108";"72";"5";"wieś";"stały";"Dom Kultury, Sławików ul. Parkowa 1, 47-411 Rudnik";"gm. Rudnik";"raciborski";"śląskie";"500";"506";"343";"157";"0";"0";"0";"0";"0";"0";"0";"0";"0";"156";"0";"0";"156";"1";"0";"1";"0";"155";"96";"59"
"31d6-877e-aa02-df37-cea0-8170-83de-a977";"241501";"72";"1";"miasto";"stały";"Miejski Ośrodek Kultury, Traugutta 1, 44-370 Pszów";"m. Pszów";"wodzisławski";"śląskie";"2100";"2251";"705";"1395";"1";"4";"0";"0";"0";"0";"0";"0";"0";"1394";"0";"0";"1394";"50";"29";"21";"0";"1344";"710";"634"
"697c-c478-affa-54a8-8d41-c966-c90f-df98";"241501";"72";"2";"miasto";"stały";"Gościniec Pszowski, Traugutta 48, 44-370 Pszów";"m. Pszów";"wodzisławski";"śląskie";"1797";"1921";"890";"907";"1";"4";"0";"0";"0";"0";"0";"0";"0";"907";"0";"0";"907";"22";"9";"13";"0";"885";"531";"354"
"80f8-ff90-2195-03f3-606f-e443-e5d2-f0c9";"241501";"72";"3";"miasto";"stały";"Szkoła Podstawowa nr 4, Niepodległości 99, 44-370 Pszów";"m. Pszów";"wodzisławski";"śląskie";"2199";"2355";"659";"1540";"4";"3";"0";"0";"0";"0";"0";"0";"0";"1539";"0";"2";"1537";"62";"29";"33";"0";"1475";"834";"641"
"254c-4403-df0d-05d2-772b-04ec-8a3b-c4ea";"241501";"72";"4";"miasto";"stały";"Szkoła Podstawowa Nr 2, K. Miarki 16, 44-370 Pszów";"m. Pszów";"wodzisławski";"śląskie";"1949";"2088";"831";"1118";"3";"3";"0";"0";"0";"0";"0";"0";"0";"1118";"0";"0";"1118";"46";"24";"22";"0";"1072";"727";"345"
"615d-ff1c-3c22-24d0-9ef5-eed0-9054-c8fe";"241501";"72";"5";"miasto";"stały";"Szkoła Podstawowa Nr 3, Armii Krajowej 54, 44-370 Pszów";"m. Pszów";"wodzisławski";"śląskie";"1997";"2173";"665";"1332";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1332";"0";"0";"1332";"21";"4";"17";"0";"1311";"797";"514"
"5a50-d639-5d36-7823-5e85-d26f-8ed0-528f";"241502";"72";"1";"miasto";"stały";"Szkoła Podstawowa Nr 3, ul. Józefa Rymera 170, 44-310 Radlin";"m. Radlin";"wodzisławski";"śląskie";"1697";"1885";"578";"1119";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1119";"0";"0";"1119";"26";"12";"14";"0";"1093";"696";"397"
"cba6-a52e-0a1c-7013-818f-b047-754e-a118";"241502";"72";"2";"miasto";"stały";"Szkoła Podstawowa Nr 3, ul. Józefa Rymera 170, 44-310 Radlin";"m. Radlin";"wodzisławski";"śląskie";"1552";"1695";"503";"1049";"2";"3";"0";"0";"0";"0";"0";"0";"0";"1048";"0";"0";"1048";"11";"3";"8";"0";"1037";"510";"527"
"55bc-ce4a-01a1-9408-eb22-f4f2-7133-fda2";"241502";"72";"3";"miasto";"stały";"MOSIR ""Sokolnia"", ul. Sokolska 6, 44-310 Radlin";"m. Radlin";"wodzisławski";"śląskie";"904";"937";"330";"574";"1";"1";"0";"0";"0";"0";"0";"0";"0";"574";"0";"0";"574";"17";"2";"15";"0";"557";"288";"269"
"b7a5-44d9-bc02-9fdd-5836-c13e-0e1d-1dc5";"241502";"72";"4";"miasto";"stały";"Miejski Ośrodek Kultury, ul. Mariacka 9, 44-310 Radlin";"m. Radlin";"wodzisławski";"śląskie";"1851";"1970";"556";"1295";"3";"2";"0";"0";"0";"0";"0";"0";"0";"1295";"0";"0";"1295";"28";"8";"20";"0";"1267";"624";"643"
"c79e-3184-a160-7e29-5663-8381-a8ac-496c";"241502";"72";"5";"miasto";"stały";"Sportowa Szkoła Podstawowa nr 2, ul. mjr Piotra Iwanowicza Rogozina 55, 44-310 Radlin";"m. Radlin";"wodzisławski";"śląskie";"1600";"1701";"528";"1072";"2";"7";"0";"0";"0";"0";"0";"0";"0";"1072";"0";"0";"1072";"24";"18";"6";"0";"1048";"489";"559"
"99e0-e41f-ee74-0d11-4e30-358c-96b0-72f7";"241502";"72";"6";"miasto";"stały";"MOSIR Dom Sportu, ul. Wojciecha Korfantego 17, 44-310 Radlin";"m. Radlin";"wodzisławski";"śląskie";"854";"891";"289";"565";"0";"5";"0";"0";"0";"0";"0";"0";"0";"563";"0";"0";"563";"19";"2";"17";"0";"544";"244";"300"
"27a8-28b4-57d5-7478-7b4a-d396-1c03-280e";"241502";"72";"7";"miasto";"stały";"MOSIR Dom Sportu, ul. Wojciecha Korfantego 17, 44-310 Radlin";"m. Radlin";"wodzisławski";"śląskie";"1655";"1782";"597";"1058";"0";"2";"0";"0";"0";"0";"0";"0";"0";"1058";"0";"0";"1058";"46";"8";"38";"0";"1012";"475";"537"
"8736-0ece-8722-9233-3507-7c9f-386e-5d42";"241502";"72";"8";"miasto";"stały";"Przedszkole Publiczne nr 2, ul. Andrzeja Mielęckiego 13, 44-310 Radlin";"m. Radlin";"wodzisławski";"śląskie";"1652";"1796";"727";"925";"1";"1";"0";"0";"0";"0";"0";"0";"0";"925";"0";"0";"925";"28";"9";"19";"0";"897";"514";"383"
"8b9e-c4ad-64be-7d66-bd27-a860-0763-2a69";"241502";"72";"9";"miasto";"stały";"Hala Zborna Koksownia ""Radlin"", ul. Hutnicza 1, 44-310 Radlin";"m. Radlin";"wodzisławski";"śląskie";"855";"897";"340";"515";"2";"2";"0";"0";"0";"0";"0";"0";"0";"515";"0";"0";"515";"11";"5";"6";"0";"504";"234";"270"
"d019-5375-d326-7b1d-0fe8-fec0-ac5f-83ce";"241502";"72";"10";"miasto";"zakład leczniczy";"Zakład Pielęgnacyjno-Opiekuńczy SANUS, ul. Władysława Orkana 8, 44-310 Radlin";"m. Radlin";"wodzisławski";"śląskie";"53";"27";"48";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"0";"0";"5";"0";"0";"0";"0";"5";"4";"1"
"e182-d9bc-52a5-84fe-eed8-540b-807e-abc1";"241503";"72";"1";"miasto";"stały";"Szkoła Podstawowa Nr 3, ul. Radoszowska 3, 44-280 Rydułtowy";"m. Rydułtowy";"wodzisławski";"śląskie";"1702";"1840";"561";"1141";"3";"1";"0";"0";"0";"0";"0";"0";"0";"1141";"0";"1";"1140";"22";"6";"16";"0";"1118";"606";"512"
"86a2-a8a5-35a8-34a1-0129-a724-0504-837c";"241503";"72";"2";"miasto";"stały";"Ochotnicza Straż Pożarna, ul. Radoszowska 35, 44-280 Rydułtowy";"m. Rydułtowy";"wodzisławski";"śląskie";"1304";"1421";"426";"878";"0";"1";"0";"0";"0";"0";"0";"0";"0";"878";"0";"0";"878";"16";"3";"13";"0";"862";"547";"315"
"43fa-6089-214e-48ad-089c-d4ef-1a9d-42e2";"241503";"72";"3";"miasto";"stały";"Publiczne Przedszkole Nr 4, ul. Osiedle Orłowiec 37, 44-280 Rydułtowy";"m. Rydułtowy";"wodzisławski";"śląskie";"1000";"1077";"332";"668";"0";"1";"0";"0";"0";"0";"0";"0";"0";"668";"0";"0";"668";"24";"4";"20";"0";"644";"365";"279"
"de78-c001-f61b-28d5-3fb3-0131-93a2-4de2";"241503";"72";"4";"miasto";"stały";"Zespół Szkół Ponadgimnazjalnych Nr 2, ul. Obywatelska 30, 44-280 Rydułtowy";"m. Rydułtowy";"wodzisławski";"śląskie";"950";"1007";"409";"541";"1";"1";"0";"0";"0";"0";"0";"0";"0";"541";"0";"0";"541";"12";"6";"6";"0";"529";"345";"184"
"91dd-9b43-b413-675b-3210-6cdc-fd38-af3c";"241503";"72";"5";"miasto";"stały";"Urząd Stanu Cywilnego, ul. Raciborska 369, 44-280 Rydułtowy";"m. Rydułtowy";"wodzisławski";"śląskie";"753";"815";"276";"477";"0";"0";"0";"0";"0";"0";"0";"0";"0";"476";"0";"0";"476";"12";"6";"6";"0";"464";"263";"201"
"5170-541d-c8a6-a31f-1c55-766b-2c4b-15d5";"241503";"72";"6";"miasto";"stały";"Biblioteka Publiczna Miasta Rydułtowy, ul. Adama Mickiewicza 33, 44-280 Rydułtowy";"m. Rydułtowy";"wodzisławski";"śląskie";"2050";"2245";"833";"1217";"0";"3";"0";"0";"0";"0";"0";"0";"0";"1217";"0";"0";"1217";"42";"9";"33";"0";"1175";"621";"554"
"f0de-f0b0-eaf6-e7b6-2b9f-faa4-43c4-7463";"241503";"72";"7";"miasto";"stały";"Szkoła Podstawowa Nr 4, ul. Strzelców Bytomskich 13, 44-280 Rydułtowy";"m. Rydułtowy";"wodzisławski";"śląskie";"851";"942";"263";"588";"0";"1";"0";"0";"0";"0";"0";"0";"0";"588";"0";"0";"588";"17";"7";"10";"0";"571";"260";"311"
"f57c-4c79-8a06-b04e-f78f-2cf6-e4a7-8aa3";"241503";"72";"8";"miasto";"stały";"Publiczne Przedszkole Nr 1, ul. Jana Kochanowskiego 25, 44-280 Rydułtowy";"m. Rydułtowy";"wodzisławski";"śląskie";"1400";"1510";"491";"909";"2";"0";"0";"0";"0";"0";"0";"0";"0";"909";"0";"0";"909";"31";"4";"27";"0";"878";"403";"475"
"1cca-a441-99ca-5bb1-7388-af05-abf3-69c4";"241503";"72";"9";"miasto";"stały";"Urząd Miasta, ul. Ofiar Terroru 36, 44-280 Rydułtowy";"m. Rydułtowy";"wodzisławski";"śląskie";"952";"1000";"360";"592";"1";"6";"1";"1";"0";"0";"0";"0";"1";"593";"1";"0";"593";"15";"4";"11";"0";"578";"280";"298"
"799d-5b87-8984-f0e4-7dd1-72fb-5d0f-2ede";"241503";"72";"10";"miasto";"stały";"Liceum Ogólnokształcące, ul. Skalna 1, 44-280 Rydułtowy";"m. Rydułtowy";"wodzisławski";"śląskie";"1103";"1191";"404";"699";"0";"0";"0";"0";"0";"0";"0";"0";"0";"699";"0";"0";"699";"17";"4";"13";"0";"682";"364";"318"
"99dd-15a5-07f7-dbc9-f777-daab-d8b6-bf64";"241503";"72";"11";"miasto";"stały";"Szkoła Podstawowa Nr 1, ul. Św. Maksymiliana Kolbe 5, 44-280 Rydułtowy";"m. Rydułtowy";"wodzisławski";"śląskie";"1500";"1613";"585";"915";"1";"2";"0";"0";"0";"0";"0";"0";"0";"915";"0";"0";"915";"29";"7";"22";"0";"886";"469";"417"
"017e-3c40-28f3-4fad-84cb-468a-6691-f63e";"241503";"72";"12";"miasto";"stały";"Szkoła Podstawowa Nr 1, ul. Św. Maksymiliana Kolbe 5, 44-280 Rydułtowy";"m. Rydułtowy";"wodzisławski";"śląskie";"1500";"1641";"546";"954";"3";"1";"0";"0";"0";"0";"0";"0";"0";"954";"0";"0";"954";"34";"7";"27";"0";"920";"492";"428"
"b17f-38c2-141c-bf4b-a4f4-b96c-75f0-b698";"241503";"72";"13";"miasto";"zakład leczniczy";"Szpital w Rydułtowach, wchodzący w skład Powiatowego Publicznego Zakładu Opieki Zdrowotnej w Rydułtowach i Wodzisławiu Śląskim, Plebiscytowa 47, 44-280 Rydułtowy";"m. Rydułtowy";"wodzisławski";"śląskie";"151";"35";"119";"32";"0";"3";"0";"0";"0";"0";"0";"0";"0";"32";"0";"0";"32";"2";"0";"2";"0";"30";"19";"11"
"fc88-48c7-4d9f-258b-5bee-db8b-7078-c6a9";"241504";"72";"1";"miasto";"stały";"Szkoła Podstawowa nr 1 w Wodzisławiu Śląskim, ul. Wałowa 5, 44-300 Wodzisław Śląski";"m. Wodzisław Śląski";"wodzisławski";"śląskie";"1349";"1429";"517";"832";"2";"4";"0";"0";"0";"0";"0";"0";"0";"832";"0";"0";"832";"27";"6";"21";"0";"805";"350";"455"
"1476-7e3b-95d4-f053-eb9b-c941-3335-9c1a";"241504";"72";"2";"miasto";"stały";"Szkoła Podstawowa nr 1 w Wodzisławiu Śląskim, ul. Wałowa 5, 44-300 Wodzisław Śląski";"m. Wodzisław Śląski";"wodzisławski";"śląskie";"1448";"1535";"428";"1020";"5";"2";"0";"0";"0";"0";"0";"0";"0";"1019";"0";"0";"1019";"28";"7";"21";"0";"991";"420";"571"
"622d-1146-e96c-7fe4-e023-f371-925e-4f9a";"241504";"72";"3";"miasto";"stały";"Zespół Placówek Szkolno-Wychowawczo-Rewalidacyjnych w Wodzisławiu Śląskim, ul. Mikołaja Kopernika 71, 44-300 Wodzisław Śląski";"m. Wodzisław Śląski";"wodzisławski";"śląskie";"1396";"1520";"323";"1073";"1";"2";"0";"0";"0";"0";"0";"0";"0";"1073";"0";"0";"1073";"21";"8";"13";"0";"1052";"505";"547"
"c11f-b94b-986d-f9a8-3bdc-e913-1823-f960";"241504";"72";"4";"miasto";"stały";"Szkoła Podstawowa nr 3 w Wodzisławiu Śląskim, ul. 26 Marca 9, 44-300 Wodzisław Śląski";"m. Wodzisław Śląski";"wodzisławski";"śląskie";"1747";"1887";"782";"965";"0";"0";"0";"0";"0";"0";"0";"0";"0";"964";"0";"0";"964";"36";"11";"25";"0";"928";"483";"445"
"2b76-ae38-4382-29be-c90d-e03c-258b-87f6";"241504";"72";"5";"miasto";"stały";"Zespół Szkolno-Przedszkolny nr 7 w Wodzisławiu Śląskim Szkoła Podstawowa nr 5, ul. Tysiąclecia 25, 44-300 Wodzisław Śląski";"m. Wodzisław Śląski";"wodzisławski";"śląskie";"1750";"1890";"763";"987";"4";"0";"0";"0";"0";"0";"0";"0";"0";"987";"0";"0";"987";"34";"10";"24";"0";"953";"507";"446"
"f8cb-1cc8-8513-ca8b-b692-c7f7-f926-b418";"241504";"72";"6";"miasto";"stały";"Zespół Szkół Ponadpodstawowych w Wodzisławiu Śląskim, ul. Kardynała Stefana Wyszyńskiego 41, 44-300 Wodzisław Śląski";"m. Wodzisław Śląski";"wodzisławski";"śląskie";"1395";"1530";"468";"927";"2";"6";"0";"0";"0";"0";"0";"0";"0";"927";"0";"0";"927";"42";"19";"23";"0";"885";"446";"439"
"f349-2961-e47c-5944-f258-9851-f7ec-5281";"241504";"72";"7";"miasto";"stały";"Zespół Szkolno-Przedszkolny nr 7 w Wodzisławiu Śląskim, ul. 26 Marca 66, 44-300 Wodzisław Śląski";"m. Wodzisław Śląski";"wodzisławski";"śląskie";"1903";"2036";"788";"1115";"1";"4";"0";"0";"0";"0";"0";"0";"0";"1114";"0";"0";"1114";"41";"9";"32";"0";"1073";"572";"501"
"0028-8fe2-4b32-ecc4-3289-8726-a275-c229";"241504";"72";"8";"miasto";"stały";"Zespół Poradni Specjalistycznych w Wodzisławiu Śląskim, ul. 26 Marca 164, 44-286 Wodzisław Śląski";"m. Wodzisław Śląski";"wodzisławski";"śląskie";"1597";"1702";"576";"1021";"3";"2";"0";"0";"0";"0";"0";"0";"0";"1021";"0";"0";"1021";"31";"9";"22";"0";"990";"467";"523"
"c807-747f-195d-817f-d337-a2fe-d2ff-396b";"241504";"72";"9";"miasto";"stały";"Publiczne Przedszkole nr 19 w Wodzisławiu Śląskim, Osiedle XXX Lecia 30, 44-286 Wodzisław Śląski";"m. Wodzisław Śląski";"wodzisławski";"śląskie";"1453";"1485";"403";"1050";"0";"6";"0";"0";"0";"0";"0";"0";"0";"1050";"0";"0";"1050";"24";"4";"20";"0";"1026";"445";"581"
"15d8-f07c-97fa-b267-822c-abd5-2ba8-987c";"241504";"72";"10";"miasto";"stały";"Szkoła Podstawowa nr 10 w Wodzisławiu Śląskim, Osiedle XXX Lecia 63, 44-286 Wodzisław Śląski";"m. Wodzisław Śląski";"wodzisławski";"śląskie";"1750";"1851";"512";"1238";"1";"4";"0";"0";"0";"0";"0";"0";"0";"1238";"0";"0";"1238";"48";"19";"29";"0";"1190";"527";"663"
"0ce8-b306-1ba4-e0ac-f904-6cbd-7b48-8dcc";"241504";"72";"11";"miasto";"stały";"Publiczne Przedszkole nr 16 w Wodzisławiu Śląskim, ul. Przemysława 10, 44-286 Wodzisław Śląski";"m. Wodzisław Śląski";"wodzisławski";"śląskie";"1250";"1311";"402";"848";"1";"3";"0";"0";"0";"0";"0";"0";"0";"848";"0";"0";"848";"24";"14";"10";"0";"824";"394";"430"
