"Kod TERYT";"Rodzaj jednostki";"Gmina";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Włodzimierz BERNACKI";"Mirosław Adam CHODUR";"Wojciech KOZAK";"Artur Stanisław KOZIOŁ";"Liczba obwodów"
"120101";"gmina miejska";"m. Bochnia";"bocheński";"małopolskie";21109;22856;6201;14908;27;99;0;0;0;0;0;0;0;14906;0;2;14904;283;73;210;0;14621;6917;1545;1996;4163;17
"120102";"gmina wiejska";"gm. Bochnia";"bocheński";"małopolskie";14157;15507;4524;9633;3;41;0;0;0;0;0;0;0;9632;0;0;9632;213;48;165;0;9419;5822;786;1323;1488;16
"120103";"gmina wiejska";"gm. Drwinia";"bocheński";"małopolskie";4825;5242;1506;3319;5;13;0;0;0;0;0;0;0;3319;0;0;3319;48;15;33;0;3271;2412;189;371;299;6
"120104";"gmina wiejska";"gm. Lipnica Murowana";"bocheński";"małopolskie";3972;4332;1323;2649;5;19;1;1;0;0;0;0;1;2650;1;0;2650;61;9;52;0;2589;1848;192;318;231;5
"120105";"gmina wiejska";"gm. Łapanów";"bocheński";"małopolskie";5756;6355;1860;3896;6;24;0;0;0;0;0;0;0;3895;0;0;3895;94;17;77;0;3801;2454;270;605;472;5
"120106";"gmina miejsko-wiejska";"gm. Nowy Wiśnicz";"bocheński";"małopolskie";10058;11044;2837;7220;6;54;0;0;0;0;0;0;0;7220;0;0;7220;125;19;106;0;7095;3825;1857;610;803;9
"120107";"gmina wiejska";"gm. Rzezawa";"bocheński";"małopolskie";8003;8776;2639;5364;5;27;0;0;0;0;0;0;0;5363;0;0;5363;96;22;74;0;5267;3655;362;583;667;9
"120108";"gmina wiejska";"gm. Trzciana";"bocheński";"małopolskie";3893;4318;1040;2853;1;17;0;0;0;0;0;0;0;2853;0;0;2853;41;6;35;0;2812;2012;197;387;216;5
"120109";"gmina wiejska";"gm. Żegocina";"bocheński";"małopolskie";3763;4117;903;2860;3;23;0;0;0;0;0;0;0;2860;0;0;2860;42;4;38;0;2818;2200;174;251;193;4
"120201";"gmina wiejska";"gm. Borzęcin";"brzeski";"małopolskie";6088;6744;2412;3676;4;16;0;0;0;0;0;0;0;3675;0;0;3675;107;16;91;0;3568;2352;226;514;476;7
"120202";"gmina miejsko-wiejska";"gm. Brzesko";"brzeski";"małopolskie";26371;28488;9103;17267;7;62;2;2;0;0;0;0;2;17262;2;1;17261;374;73;301;0;16887;9471;1012;2766;3638;22
"120203";"gmina miejsko-wiejska";"gm. Czchów";"brzeski";"małopolskie";6915;7467;2368;4547;7;56;0;0;0;0;0;0;0;4547;0;1;4546;92;17;75;0;4454;2983;271;640;560;8
