"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Henryk Władysław CAREWICZ";"Janusz GROMEK";"Grażyna Anna SZTARK"
"1b3d-4aef-711f-ba33-5a70-9ec5-3101-c264";"320101";"99";"1";"miasto";"stały";"Komenda Powiatowa Państwowej Straży Pożarnej w Białogardzie, ul. Szosa Połczyńska 1, 78-200 Białogard";"m. Białogard";"białogardzki";"zachodniopomorskie";"1220";"1327";"435";"785";"0";"1";"0";"0";"0";"0";"0";"0";"0";"785";"0";"0";"785";"21";"8";"13";"0";"764";"246";"302";"216"
"4776-f8fe-fece-6a6e-2559-4727-013f-2429";"320101";"99";"2";"miasto";"stały";"Szkoła Podstawowa Nr 3 im. Bolesława Krzywoustego w Białogardzie, ul. Chopina 8, 78-200 Białogard";"m. Białogard";"białogardzki";"zachodniopomorskie";"1150";"1257";"456";"694";"0";"5";"0";"0";"0";"0";"0";"0";"0";"694";"0";"1";"693";"12";"3";"9";"0";"681";"220";"241";"220"
"b1e1-0bab-66c2-f6d1-13b9-0d0c-b218-b1c6";"320101";"99";"3";"miasto";"stały";"Szkoła Podstawowa Nr 3 im. Bolesława Krzywoustego w Białogardzie, ul. Chopina 8, 78-200 Białogard";"m. Białogard";"białogardzki";"zachodniopomorskie";"1060";"1136";"379";"681";"2";"0";"0";"0";"0";"0";"0";"0";"0";"680";"0";"0";"680";"13";"5";"8";"0";"667";"183";"264";"220"
"75ad-31c1-2751-09c3-a837-d09b-2f90-d71b";"320101";"99";"4";"miasto";"stały";"Szkoła Podstawowa Nr 4 im. Mikołaja Kopernika w Białogardzie, ul. Grunwaldzka 53, 78-200 Białogard";"m. Białogard";"białogardzki";"zachodniopomorskie";"1360";"1460";"554";"806";"1";"2";"0";"0";"0";"0";"0";"0";"0";"806";"0";"0";"806";"22";"7";"15";"0";"784";"239";"305";"240"
"d7ef-52f2-7423-4617-e753-6ea2-8513-4743";"320101";"99";"5";"miasto";"stały";"Klub Osiedlowy Białogardzkiej Spółdzielni Mieszkaniowej w Białogardzie, Kochanowskiego 26, 78-200 Białogard";"m. Białogard";"białogardzki";"zachodniopomorskie";"1319";"1415";"423";"896";"4";"4";"1";"1";"0";"0";"0";"0";"1";"896";"1";"0";"896";"15";"1";"14";"0";"881";"267";"371";"243"
"62f4-8257-2ee4-8b52-80df-f8da-2c15-c68c";"320101";"99";"6";"miasto";"stały";"Centrum Kultury i Spotkań Europejskich w Białogardzie, ul. 1 Maja 15, 78-200 Białogard";"m. Białogard";"białogardzki";"zachodniopomorskie";"1300";"1407";"481";"819";"1";"6";"0";"0";"0";"0";"0";"0";"0";"819";"0";"0";"819";"29";"7";"22";"0";"790";"238";"322";"230"
"499c-3bec-c514-97f3-e795-241a-6ddb-84e6";"320101";"99";"7";"miasto";"stały";"Zespół Szkół Ponadgimnazjalnych w Białogardzie, ul. Stefana Kardynała Wyszyńskiego 14, 78-200 Białogard";"m. Białogard";"białogardzki";"zachodniopomorskie";"1540";"1680";"511";"1029";"2";"6";"0";"0";"0";"0";"0";"0";"0";"1029";"0";"0";"1029";"27";"10";"17";"0";"1002";"329";"381";"292"
"f8da-97f3-b253-e753-3e3f-907c-b8cd-53c8";"320101";"99";"8";"miasto";"stały";"Szkoła Podstawowa nr 4 im. Mikołaja Kopernika w Białogardzie, ul. Kościelna 1, 78-200 Białogard";"m. Białogard";"białogardzki";"zachodniopomorskie";"699";"764";"360";"339";"1";"0";"0";"0";"0";"0";"0";"0";"0";"339";"0";"0";"339";"24";"0";"24";"0";"315";"102";"112";"101"
"5b80-9eb3-34d3-b19d-292e-af38-e61e-2772";"320101";"99";"9";"miasto";"stały";"Szkoła Podstawowa nr 4 im. Mikołaja Kopernika w Białogardzie, ul. Kościelna 1, 78-200 Białogard";"m. Białogard";"białogardzki";"zachodniopomorskie";"1030";"1122";"478";"552";"2";"0";"0";"0";"0";"0";"0";"0";"0";"552";"0";"0";"552";"17";"3";"14";"0";"535";"159";"170";"206"
"4735-1afe-f429-4bd3-2cff-f664-c978-b349";"320101";"99";"10";"miasto";"stały";"Szkoła Podstawowa nr 1 im. Marii Skłodowskiej-Curie w Białogardzie, ul. Świdwińska 7, 78-200 Białogard";"m. Białogard";"białogardzki";"zachodniopomorskie";"1235";"1350";"474";"761";"1";"5";"0";"0";"0";"0";"0";"0";"0";"761";"0";"0";"761";"14";"2";"12";"0";"747";"253";"236";"258"
"9718-2b07-c203-8465-bff1-5940-be89-1ce8";"320101";"99";"11";"miasto";"stały";"Zakład Doświadczalny Oceny Odmian w Białogardzie, ul. Kisielice Duże 28, 78-200 Białogard";"m. Białogard";"białogardzki";"zachodniopomorskie";"710";"775";"223";"487";"1";"4";"0";"0";"0";"0";"0";"0";"0";"487";"0";"0";"487";"14";"6";"8";"0";"473";"181";"142";"150"
"ef55-039b-9d36-e9d3-a9a9-e62f-f954-dfc2";"320101";"99";"12";"miasto";"stały";"Szkoła Podstawowa nr 5 im. Władysława Broniewskiego w Białogardzie, ul. Kołobrzeska 23, 78-200 Białogard";"m. Białogard";"białogardzki";"zachodniopomorskie";"951";"1025";"380";"571";"1";"3";"0";"0";"0";"0";"0";"0";"0";"571";"0";"0";"571";"12";"6";"6";"0";"559";"155";"203";"201"
"dccd-2ce5-e84f-9218-b654-b0bb-9888-6fc2";"320101";"99";"13";"miasto";"stały";"Klub Osiedlowy Białogardzkiej Spółdzielni Mieszkaniowej w Białogardzie, ul. Władysława Komara 25, 78-200 Białogard";"m. Białogard";"białogardzki";"zachodniopomorskie";"1520";"1648";"496";"1024";"2";"4";"0";"0";"0";"0";"0";"0";"0";"1023";"0";"0";"1023";"24";"6";"18";"0";"999";"320";"382";"297"
"9ccc-84f5-8a4c-8a17-c591-3e56-5ae8-5a40";"320101";"99";"14";"miasto";"stały";"Państwowa Szkoła Muzyczna I stopnia w Białogardzie, ul. Dworcowa 4, 78-200 Białogard";"m. Białogard";"białogardzki";"zachodniopomorskie";"1280";"1390";"563";"717";"2";"0";"0";"0";"0";"0";"0";"0";"0";"717";"0";"0";"717";"22";"7";"15";"0";"695";"262";"221";"212"
"db7a-342f-3994-48c7-1ba2-e8b7-dfd6-3adf";"320101";"99";"15";"miasto";"zakład leczniczy";"Regionalne Centrum Medyczne w Białogardzie, Chopina 29, 78-200 Białogard";"m. Białogard";"białogardzki";"zachodniopomorskie";"132";"130";"72";"60";"0";"2";"0";"0";"0";"0";"0";"0";"0";"60";"0";"0";"60";"5";"1";"4";"0";"55";"25";"18";"12"
"4426-d192-9597-24f9-c70c-8969-af82-f66f";"320101";"99";"16";"miasto";"zakład leczniczy";"Regionalne Centrum Medyczne w Białogardzie, Szpitalna 7, 78-200 Białogard";"m. Białogard";"białogardzki";"zachodniopomorskie";"24";"19";"19";"5";"0";"1";"0";"0";"0";"0";"0";"0";"0";"5";"0";"0";"5";"1";"0";"1";"0";"4";"2";"1";"1"
"7085-b6a5-b71c-d140-4232-afac-33cf-7e17";"320101";"99";"17";"miasto";"dom pomocy społecznej";"Dom Pomocy Społecznej w Białogardzie, Mickiewicza 6, 78-200 Białogard";"m. Białogard";"białogardzki";"zachodniopomorskie";"40";"46";"14";"26";"0";"0";"0";"0";"0";"0";"0";"0";"0";"26";"0";"0";"26";"1";"0";"1";"0";"25";"8";"14";"3"
"b85c-28a0-bcf8-c01c-bcf8-f852-2f73-27bb";"320101";"99";"18";"miasto";"dom pomocy społecznej";"Dom Pomocy Społecznej w Białogardzie, Świętego Brata Alberta 1, 78-200 Białogard";"m. Białogard";"białogardzki";"zachodniopomorskie";"118";"119";"61";"57";"0";"1";"0";"0";"0";"0";"0";"0";"0";"57";"0";"0";"57";"13";"0";"13";"0";"44";"29";"7";"8"
"4d59-a334-9727-09ab-35ec-4530-a223-8be8";"320102";"99";"1";"wieś";"stały";"Świetlica Wiejska w Redlinie, Redlino 7, 78-200 Białogard";"gm. Białogard";"białogardzki";"zachodniopomorskie";"700";"765";"355";"345";"0";"1";"0";"0";"0";"0";"0";"0";"0";"344";"0";"0";"344";"7";"2";"5";"0";"337";"132";"113";"92"
"80ff-c6f6-2792-7821-654d-3347-7271-fc84";"320102";"99";"2";"wieś";"stały";"Szkoła Podstawowa im. ppor. Ryszarda Kuleszy w Pomianowie, Pomianowo 6, 78-200 Białogard";"gm. Białogard";"białogardzki";"zachodniopomorskie";"1080";"1186";"526";"555";"1";"1";"0";"0";"0";"0";"0";"0";"0";"555";"0";"0";"555";"11";"2";"9";"0";"544";"191";"171";"182"
"5abc-31b2-f43c-63de-a8ca-d285-fc21-c15b";"320102";"99";"3";"wieś";"stały";"Szkoła Podstawowa im. Jana Brzechwy w Rogowie, Rogowo 63, 78-200 Białogard";"gm. Białogard";"białogardzki";"zachodniopomorskie";"1320";"1452";"724";"596";"0";"2";"0";"0";"0";"0";"0";"0";"0";"596";"0";"0";"596";"13";"4";"9";"0";"583";"227";"159";"197"
"4e21-f60c-e8fa-18f5-3d92-d5ff-b4b7-4896";"320102";"99";"4";"wieś";"stały";"Szkoła Podstawowa w Stanominie, Stanomino 30, 78-217 Stanomino";"gm. Białogard";"białogardzki";"zachodniopomorskie";"1400";"1551";"764";"636";"0";"4";"0";"0";"0";"0";"0";"0";"0";"636";"0";"0";"636";"12";"1";"11";"0";"624";"216";"196";"212"
"682f-0e34-2b98-73ab-9090-0661-5afa-d322";"320102";"99";"5";"wieś";"stały";"Świetlica Wiejska w Kościernicy, Kościernica 7, 78-200 Białogard";"gm. Białogard";"białogardzki";"zachodniopomorskie";"840";"919";"386";"454";"0";"0";"0";"0";"0";"0";"0";"0";"0";"454";"0";"0";"454";"9";"2";"7";"0";"445";"185";"140";"120"
"4f0c-addd-5be1-1ccc-98c6-e370-fd94-513b";"320103";"99";"1";"miasto";"stały";"Karliński Ośrodek Kultury w Karlinie, ul. Parkowa 1, 78-230 Karlino";"gm. Karlino";"białogardzki";"zachodniopomorskie";"1030";"1108";"604";"426";"0";"2";"0";"0";"0";"0";"0";"0";"0";"426";"0";"0";"426";"16";"4";"12";"0";"410";"142";"113";"155"
"c5ae-64e2-b97f-f376-92df-8aef-7885-5f99";"320103";"99";"2";"miasto";"stały";"Szkoła Podstawowa, ul. Traugutta 2, 78-230 Karlino";"gm. Karlino";"białogardzki";"zachodniopomorskie";"1670";"1824";"804";"866";"2";"4";"0";"0";"0";"0";"0";"0";"0";"866";"0";"0";"866";"19";"3";"16";"0";"847";"290";"268";"289"
"fd53-3ede-7d1d-69c9-cc3a-788e-7748-c000";"320103";"99";"3";"miasto";"stały";"Warsztat Terapii Zajęciowej w Karlinie, ul. Kościuszki 3, 78-230 Karlino";"gm. Karlino";"białogardzki";"zachodniopomorskie";"1370";"1481";"506";"864";"1";"2";"0";"0";"0";"0";"0";"0";"0";"864";"0";"0";"864";"26";"6";"20";"0";"838";"303";"241";"294"
"d1ce-1291-39a7-4d12-56d3-162c-69a0-9a61";"320103";"99";"4";"wieś";"stały";"Szkoła Podstawowa, Daszewo 56, 78-230 Karlino";"gm. Karlino";"białogardzki";"zachodniopomorskie";"740";"833";"450";"290";"0";"2";"0";"0";"0";"0";"0";"0";"0";"290";"0";"0";"290";"9";"2";"7";"0";"281";"134";"65";"82"
"07ca-caf4-eb22-d120-ec94-f56c-0dce-ff24";"320103";"99";"5";"wieś";"stały";"Szkoła Podstawowa, Karścino 18, 78-230 Karlino";"gm. Karlino";"białogardzki";"zachodniopomorskie";"991";"1080";"645";"346";"0";"2";"0";"0";"0";"0";"0";"0";"0";"346";"0";"0";"346";"9";"4";"5";"0";"337";"149";"84";"104"
"e433-1c7c-b3e2-cda5-039b-9a49-b7a7-d0f7";"320103";"99";"6";"wieś";"stały";"Szkoła Podstawowa, Karwin 23, 78-230 Karlino";"gm. Karlino";"białogardzki";"zachodniopomorskie";"500";"558";"263";"236";"0";"10";"0";"0";"0";"0";"0";"0";"0";"237";"0";"0";"237";"8";"1";"7";"0";"229";"91";"63";"75"
"b71c-7aaa-ae42-b8f5-3195-3f5b-e648-0c3f";"320104";"99";"1";"wieś";"stały";"Świetlica wiejska, Sadkowo 55, 78-220 Tychowo";"gm. Tychowo";"białogardzki";"zachodniopomorskie";"740";"822";"345";"395";"2";"2";"0";"0";"0";"0";"0";"0";"0";"395";"0";"0";"395";"7";"0";"7";"0";"388";"137";"135";"116"
"e5fe-793d-d769-7134-1e53-8f65-c1dd-0703";"320104";"99";"2";"wieś";"stały";"Świetlica wiejska, Warnino 9, 78-220 Tychowo";"gm. Tychowo";"białogardzki";"zachodniopomorskie";"640";"701";"387";"253";"0";"2";"0";"0";"0";"0";"0";"0";"0";"253";"0";"0";"253";"4";"1";"3";"0";"249";"97";"55";"97"
"b66d-42a2-ff29-b9e6-560c-9052-0f59-0239";"320104";"99";"3";"miasto";"stały";"Szkoła Podstawowa im. Adama Mickiewicza, ul. Dworcowa 11, 78-220 Tychowo";"gm. Tychowo";"białogardzki";"zachodniopomorskie";"1380";"1508";"695";"685";"0";"9";"0";"0";"0";"0";"0";"0";"0";"685";"0";"0";"685";"23";"10";"13";"0";"662";"259";"158";"245"
"a134-af48-84bc-4c7c-b023-4855-aeb1-30d2";"320104";"99";"4";"miasto";"stały";"Urząd Miejski w Tychowie, ul. Bobolicka 17, 78-220 Tychowo";"gm. Tychowo";"białogardzki";"zachodniopomorskie";"960";"1023";"353";"607";"1";"2";"0";"0";"0";"0";"0";"0";"0";"607";"0";"0";"607";"12";"7";"5";"0";"595";"187";"181";"227"
"4f37-791e-9a80-e0ad-27bf-4c2b-3de7-e102";"320104";"99";"5";"wieś";"stały";"Świetlica Wiejska, Dobrowo 28B, 78-220 Tychowo";"gm. Tychowo";"białogardzki";"zachodniopomorskie";"1040";"1150";"566";"474";"0";"1";"0";"0";"0";"0";"0";"0";"0";"474";"0";"0";"474";"10";"4";"6";"0";"464";"156";"116";"192"
"5dd3-f358-3645-f67e-e2e5-e5da-d5b7-5180";"320104";"99";"6";"wieś";"oddział zewnętrzny aresztu śledczego";"Oddział Zewnętrzny Dobrowo Aresztu Śledczego Koszalin, Dobrowo 53, 78-220 Tychowo";"gm. Tychowo";"białogardzki";"zachodniopomorskie";"416";"413";"268";"148";"0";"0";"0";"0";"0";"0";"0";"0";"0";"148";"0";"0";"148";"3";"0";"3";"0";"145";"42";"73";"30"
"ba38-2d35-a359-62d4-cc3d-e0ab-6c60-df01";"320201";"99";"1";"wieś";"stały";"Zespół Szkolno-Przedszkolny Szkoła Podstawowa w Bierzwniku im. Dziedzictwa Cystersów Bierzwnickich, ul. Szkolna 18, 73-240 Bierzwnik";"gm. Bierzwnik";"choszczeński";"zachodniopomorskie";"1581";"1700";"705";"876";"1";"7";"0";"0";"0";"0";"0";"0";"0";"876";"0";"0";"876";"31";"2";"29";"0";"845";"350";"356";"139"
"da86-9067-1d88-a77f-ee23-1c8e-0784-1a32";"320201";"99";"2";"wieś";"stały";"Świetlica Wiejska w Breniu, Breń 30A, 73-240 Bierzwnik";"gm. Bierzwnik";"choszczeński";"zachodniopomorskie";"1170";"1279";"613";"557";"0";"2";"0";"0";"0";"0";"0";"0";"0";"557";"0";"0";"557";"18";"5";"13";"0";"539";"289";"164";"86"
"747c-9c40-e6b8-e0ff-0379-2c76-64b5-9c7b";"320201";"99";"3";"wieś";"stały";"Szkoła Podstawowa w Zieleniewie, Zieleniewo 37, 73-240 Bierzwnik";"gm. Bierzwnik";"choszczeński";"zachodniopomorskie";"700";"773";"345";"355";"0";"4";"0";"0";"0";"0";"0";"0";"0";"355";"0";"0";"355";"9";"1";"8";"0";"346";"170";"127";"49"
"6bb4-842c-cfd2-546d-f9aa-4b09-3aae-3f0e";"320202";"99";"1";"miasto";"stały";"Choszczeński Dom Kultury, ul. Bohaterów Warszawy 17, 73-200 Choszczno";"gm. Choszczno";"choszczeński";"zachodniopomorskie";"820";"894";"350";"470";"4";"3";"0";"0";"0";"0";"0";"0";"0";"470";"0";"0";"470";"4";"1";"3";"0";"466";"177";"219";"70"
"c2f5-60f8-60b1-7c19-d6f3-9e2a-e1ad-8c66";"320202";"99";"2";"miasto";"stały";"Publiczne Przedszkole Nr 4, ul. Mur Południowy 4, 73-200 Choszczno";"gm. Choszczno";"choszczeński";"zachodniopomorskie";"1160";"1240";"440";"720";"0";"0";"0";"0";"0";"0";"0";"0";"0";"720";"0";"0";"720";"18";"3";"15";"0";"702";"272";"316";"114"
"292b-ca64-6c21-1602-8d11-c1a7-3115-3200";"320202";"99";"3";"miasto";"stały";"Publiczne Przedszkole Nr 5, ul. Energetyków 7, 73-200 Choszczno";"gm. Choszczno";"choszczeński";"zachodniopomorskie";"970";"1054";"319";"651";"2";"9";"0";"0";"0";"0";"0";"0";"0";"651";"0";"0";"651";"8";"4";"4";"0";"643";"217";"329";"97"
"053f-f607-8a6c-283f-61f1-b94e-3354-1c8a";"320202";"99";"4";"miasto";"stały";"Szkoła Podstawowa Nr 3, ul. Wolności 62, 73-200 Choszczno";"gm. Choszczno";"choszczeński";"zachodniopomorskie";"900";"1014";"374";"526";"0";"0";"0";"0";"0";"0";"0";"0";"0";"526";"0";"0";"526";"8";"5";"3";"0";"518";"189";"250";"79"
"fa0d-0d70-2662-1498-49ef-43f9-61fc-acae";"320202";"99";"5";"miasto";"stały";"Publiczne Przedszkole Nr 2, ul. Sucharskiego 9, 73-200 Choszczno";"gm. Choszczno";"choszczeński";"zachodniopomorskie";"1210";"1287";"383";"827";"0";"5";"0";"0";"0";"0";"0";"0";"0";"827";"0";"0";"827";"19";"7";"12";"0";"808";"240";"434";"134"
"d5f0-bfeb-4f9b-8ed7-8ebc-ecec-c2c7-c668";"320202";"99";"6";"miasto";"stały";"Szkoła Podstawowa nr 1 w Choszcznie, ul. Obrońców Westerplatte 1A, 73-200 Choszczno";"gm. Choszczno";"choszczeński";"zachodniopomorskie";"1009";"1102";"322";"687";"2";"4";"1";"1";"0";"0";"0";"0";"1";"688";"1";"0";"688";"11";"2";"9";"0";"677";"236";"345";"96"
"4519-b3f4-3a4c-75ae-a751-e937-c747-cf4b";"320202";"99";"7";"miasto";"stały";"Środowiskowy Dom Samopomocy w Choszcznie, ul. Drawieńska 52, 73-200 Choszczno";"gm. Choszczno";"choszczeński";"zachodniopomorskie";"1120";"1209";"460";"660";"0";"4";"0";"0";"0";"0";"0";"0";"0";"660";"0";"0";"660";"13";"3";"10";"0";"647";"211";"326";"110"
"dc05-b043-a0b8-9c01-01ec-8778-9120-c26a";"320202";"99";"8";"miasto";"stały";"Miejska Biblioteka Publiczna im. Marii Dąbrowskiej, ul. Wolności 13, 73-200 Choszczno";"gm. Choszczno";"choszczeński";"zachodniopomorskie";"840";"907";"357";"483";"1";"1";"0";"0";"0";"0";"0";"0";"0";"483";"0";"0";"483";"16";"0";"16";"0";"467";"168";"219";"80"
"cc71-136d-7068-a088-1c01-f7d6-b75a-a579";"320202";"99";"9";"miasto";"stały";"Zespół Szkół Nr 3, ul. Grunwaldzka 30, 73-200 Choszczno";"gm. Choszczno";"choszczeński";"zachodniopomorskie";"1120";"1210";"379";"741";"0";"4";"0";"0";"0";"0";"0";"0";"0";"741";"0";"0";"741";"10";"1";"9";"0";"731";"300";"319";"112"
"fd76-45b1-6a49-4753-d517-4741-ad38-4997";"320202";"99";"10";"miasto";"stały";"Zespół Szkół Nr 1, ul. Bolesława Chrobrego 31A, 73-200 Choszczno";"gm. Choszczno";"choszczeński";"zachodniopomorskie";"690";"756";"300";"390";"0";"7";"0";"0";"0";"0";"0";"0";"0";"390";"0";"0";"390";"7";"2";"5";"0";"383";"118";"200";"65"
"15d6-ddba-bdca-d386-7733-6106-89cd-4ede";"320202";"99";"11";"miasto";"stały";"Przedszkole Nr 1 z Oddziałami Integracyjnymi, ul. Niedziałkowskiego 9, 73-200 Choszczno";"gm. Choszczno";"choszczeński";"zachodniopomorskie";"860";"939";"327";"533";"2";"1";"0";"0";"0";"0";"0";"0";"0";"533";"0";"0";"533";"6";"2";"4";"0";"527";"133";"295";"99"
"5391-5053-3e4e-8b3b-488b-5e0c-d0f5-0ae9";"320202";"99";"12";"wieś";"stały";"Szkoła Podstawowa, Sławęcin 60, 73-200 Choszczno";"gm. Choszczno";"choszczeński";"zachodniopomorskie";"810";"881";"397";"413";"1";"2";"0";"0";"0";"0";"0";"0";"0";"413";"0";"0";"413";"14";"1";"13";"0";"399";"163";"178";"58"
"8656-3c27-10a2-2d4c-395f-3151-a164-00ce";"320202";"99";"13";"wieś";"stały";"Szkoła Podstawowa, ul. Zwycięstwa 26, 73-222 Suliszewo";"gm. Choszczno";"choszczeński";"zachodniopomorskie";"910";"998";"513";"397";"0";"2";"0";"0";"0";"0";"0";"0";"0";"397";"0";"0";"397";"15";"1";"14";"0";"382";"201";"119";"62"
"3faf-d11b-50fa-0ea0-d511-25be-986e-02fc";"320202";"99";"14";"wieś";"stały";"Szkoła Podstawowa, Zamęcin 2, 73-200 Choszczno";"gm. Choszczno";"choszczeński";"zachodniopomorskie";"1140";"1242";"601";"539";"1";"3";"0";"0";"0";"0";"0";"0";"0";"539";"0";"0";"539";"14";"3";"11";"0";"525";"239";"214";"72"
"8165-265d-843e-45b5-c64d-4b1b-314d-3556";"320202";"99";"15";"wieś";"stały";"Szkoła Podstawowa, Korytowo ul. Szkolna 4, 73-222 Suliszewo";"gm. Choszczno";"choszczeński";"zachodniopomorskie";"1070";"1194";"654";"416";"1";"7";"0";"0";"0";"0";"0";"0";"0";"416";"0";"0";"416";"9";"0";"9";"0";"407";"203";"125";"79"
"da10-7592-45de-5614-66c8-f082-b750-64d6";"320202";"99";"16";"wieś";"stały";"Warsztat Terapii Zajęciowej, Piasecznik 82, 73-200 Choszczno";"gm. Choszczno";"choszczeński";"zachodniopomorskie";"530";"588";"302";"228";"0";"6";"0";"0";"0";"0";"0";"0";"0";"228";"0";"0";"228";"5";"0";"5";"0";"223";"114";"71";"38"
"8234-e86c-f66b-ce9a-b447-aa71-6b83-d159";"320202";"99";"17";"miasto";"zakład leczniczy";"Samodzielny Publiczny Zakład Opieki Zdrowotnej, ul. Niedziałkowskiego 4, 73-200 Choszczno";"gm. Choszczno";"choszczeński";"zachodniopomorskie";"250";"224";"105";"145";"0";"7";"0";"0";"0";"0";"0";"0";"0";"145";"0";"0";"145";"7";"2";"5";"0";"138";"59";"61";"18"
"a5f3-36b4-530a-1c5e-aa53-7f86-fdb8-84bc";"320203";"99";"1";"miasto";"stały";"Szkoła Podstawowa, ul. Szkolna 25, 73-220 Drawno";"gm. Drawno";"choszczeński";"zachodniopomorskie";"830";"917";"354";"476";"0";"2";"0";"0";"0";"0";"0";"0";"0";"476";"0";"0";"476";"11";"2";"9";"0";"465";"193";"189";"83"
"3040-6f7a-404c-769c-df09-20e3-8dd8-cbce";"320203";"99";"2";"miasto";"stały";"Szkoła Podstawowa, ul. Szkolna 25, 73-220 Drawno";"gm. Drawno";"choszczeński";"zachodniopomorskie";"1090";"1195";"562";"528";"0";"0";"0";"0";"0";"0";"0";"0";"0";"528";"0";"0";"528";"8";"2";"6";"0";"520";"211";"210";"99"
"762b-5ef0-159b-32be-6784-b427-90b2-a772";"320203";"99";"3";"wieś";"stały";"Świetlica wiejska, Barnimie 70, 73-220 Drawno";"gm. Drawno";"choszczeński";"zachodniopomorskie";"820";"901";"426";"394";"0";"10";"0";"0";"0";"0";"0";"0";"0";"394";"0";"0";"394";"21";"3";"18";"0";"373";"142";"169";"62"
