"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Henryk Władysław CAREWICZ";"Janusz GROMEK";"Grażyna Anna SZTARK"
"6159-dfa0-9a5b-8f42-5d69-0b73-a3df-4972";"320203";"99";"4";"wieś";"stały";"Świetlica wiejska, Brzeziny 61a, 73-220 Drawno";"gm. Drawno";"choszczeński";"zachodniopomorskie";"370";"406";"151";"219";"0";"0";"0";"0";"0";"0";"0";"0";"0";"219";"0";"0";"219";"9";"2";"7";"0";"210";"94";"66";"50"
"3d3b-583f-f160-0822-25ac-7194-90de-5b00";"320203";"99";"5";"wieś";"stały";"Świetlica wiejska, Święciechów 3d, 73-220 Drawno";"gm. Drawno";"choszczeński";"zachodniopomorskie";"620";"619";"334";"286";"1";"5";"0";"0";"0";"0";"0";"0";"0";"285";"0";"0";"285";"11";"1";"10";"0";"274";"114";"105";"55"
"e29b-0913-db01-f599-5683-d6f7-aa07-8770";"320203";"99";"6";"wieś";"dom pomocy społecznej";"Dom Pomocy Społecznej, Brzeziny 1, 73-220 Drawno";"gm. Drawno";"choszczeński";"zachodniopomorskie";"78";"77";"59";"19";"0";"0";"0";"0";"0";"0";"0";"0";"0";"19";"0";"0";"19";"6";"1";"5";"0";"13";"7";"3";"3"
"7177-226b-5ff3-5568-954f-b532-eeb4-df7f";"320204";"99";"1";"wieś";"stały";"Urząd Gminy, ul. Tylna 7, 73-231 Krzęcin";"gm. Krzęcin";"choszczeński";"zachodniopomorskie";"1450";"1570";"758";"692";"0";"0";"0";"0";"0";"0";"0";"0";"0";"692";"0";"0";"692";"21";"3";"18";"0";"671";"296";"227";"148"
"e989-b190-d791-a3aa-f2f2-5d80-aae7-29eb";"320204";"99";"2";"wieś";"stały";"Gminne Centrum Kultury, ul. Szkolna 2, 73-231 Krzęcin";"gm. Krzęcin";"choszczeński";"zachodniopomorskie";"1310";"1294";"808";"502";"0";"1";"0";"0";"0";"0";"0";"0";"0";"501";"0";"0";"501";"10";"1";"9";"0";"491";"200";"158";"133"
"94e5-d544-af12-5fd0-8e4a-c5be-9475-4ccb";"320205";"99";"1";"miasto";"stały";"Szkoła Podstawowa im. Mikołaja Kopernika w Pełczycach, ul. Kościelna 3, 73-260 Pełczyce";"gm. Pełczyce";"choszczeński";"zachodniopomorskie";"1890";"2059";"860";"1030";"3";"4";"0";"0";"0";"0";"0";"0";"0";"1030";"0";"0";"1030";"23";"3";"20";"0";"1007";"435";"395";"177"
"62ca-d025-7eae-cd82-317d-478f-b360-0d76";"320205";"99";"2";"wieś";"stały";"Szkoła Podstawowa w Lubianie, Lubiana 6, 73-260 Pełczyce";"gm. Pełczyce";"choszczeński";"zachodniopomorskie";"1369";"1506";"722";"647";"0";"0";"0";"0";"0";"0";"0";"0";"0";"647";"0";"0";"647";"12";"2";"10";"0";"635";"330";"194";"111"
"0d21-3fee-676a-cc69-58b5-e7a8-acca-b06d";"320205";"99";"3";"wieś";"stały";"Miejsko-Gminne Przedszkole w Pełczycach, ul. Bolesława Chrobrego 17, 73-260 Pełczyce";"gm. Pełczyce";"choszczeński";"zachodniopomorskie";"881";"970";"495";"386";"3";"1";"0";"0";"0";"0";"0";"0";"0";"386";"0";"0";"386";"3";"3";"0";"0";"383";"205";"124";"54"
"d448-24f5-31ea-7620-f3f2-f025-f55a-542d";"320205";"99";"4";"wieś";"stały";"Szkoła Podstawowa im. Jana Pawła II w Będargowie, Będargowo 14, 73-260 Pełczyce";"gm. Pełczyce";"choszczeński";"zachodniopomorskie";"1380";"1535";"829";"551";"0";"4";"0";"0";"0";"0";"0";"0";"0";"551";"0";"0";"551";"22";"7";"15";"0";"529";"259";"193";"77"
"1c67-c1d9-075f-f51c-1fba-0e7a-82c4-200d";"320206";"99";"1";"miasto";"stały";"Szkoła Podstawowa w Reczu, ul. Ratuszowa 29, 73-210 Recz";"gm. Recz";"choszczeński";"zachodniopomorskie";"1300";"1406";"616";"684";"1";"6";"0";"0";"0";"0";"0";"0";"0";"684";"0";"0";"684";"10";"2";"8";"0";"674";"281";"279";"114"
"88a3-fb13-11d9-3260-843a-8504-4c79-8007";"320206";"99";"2";"miasto";"stały";"Szkoła Podstawowa w Reczu, ul. Ratuszowa 29, 73-210 Recz";"gm. Recz";"choszczeński";"zachodniopomorskie";"1030";"1123";"477";"553";"2";"1";"0";"0";"0";"0";"0";"0";"0";"553";"0";"0";"553";"10";"3";"7";"0";"543";"261";"191";"91"
"bc92-5f16-4361-8798-eb4f-9391-ba10-30e7";"320206";"99";"3";"wieś";"stały";"Świetlica wiejska w Lubieniewie, Lubieniów 27a/8, 73-210 Recz";"gm. Recz";"choszczeński";"zachodniopomorskie";"810";"882";"529";"281";"0";"1";"0";"0";"0";"0";"0";"0";"0";"281";"0";"0";"281";"12";"1";"11";"0";"269";"130";"86";"53"
"4714-40fd-18e5-5e32-2718-74d3-4d14-a05b";"320206";"99";"4";"wieś";"stały";"Świetlica wiejska w Sokolińcu, Sokoliniec 32, 73-210 Recz";"gm. Recz";"choszczeński";"zachodniopomorskie";"740";"808";"426";"314";"1";"1";"0";"0";"0";"0";"0";"0";"0";"314";"0";"0";"314";"9";"3";"6";"0";"305";"171";"91";"43"
"9216-b737-f67b-f96c-5fb6-ad70-9db2-2ec0";"320301";"99";"1";"miasto";"stały";"Budynek Szkoły Podstawowej, ul. Słoneczna 27, 78-550 Czaplinek";"gm. Czaplinek";"drawski";"zachodniopomorskie";"1782";"2003";"771";"1011";"4";"9";"0";"0";"0";"0";"0";"0";"0";"1011";"0";"0";"1011";"26";"10";"16";"0";"985";"323";"399";"263"
"8a6e-621d-45af-860a-bbb2-fb48-f1b2-1ddb";"320301";"99";"2";"miasto";"stały";"Czaplinecki Ośrodek Kultury, ul. Pławieńska 1a, 78-550 Czaplinek";"gm. Czaplinek";"drawski";"zachodniopomorskie";"1170";"1272";"457";"713";"0";"4";"0";"0";"0";"0";"0";"0";"0";"713";"0";"0";"713";"10";"0";"10";"0";"703";"201";"274";"228"
"af33-b9d6-d108-3928-8bd7-5a91-315f-c0a6";"320301";"99";"3";"miasto";"stały";"Szkoła Podstawowa, ul. Wałecka 49, 78-550 Czaplinek";"gm. Czaplinek";"drawski";"zachodniopomorskie";"1010";"1077";"389";"621";"3";"3";"0";"0";"0";"0";"0";"0";"0";"621";"0";"0";"621";"10";"3";"7";"0";"611";"180";"258";"173"
"41db-ddd5-180a-4ec6-974e-6126-2533-ca89";"320301";"99";"4";"miasto";"stały";"Przedszkole Publiczne, ul. Grunwaldzka 5b, 78-550 Czaplinek";"gm. Czaplinek";"drawski";"zachodniopomorskie";"1180";"1323";"501";"679";"0";"4";"0";"0";"0";"0";"0";"0";"0";"679";"0";"0";"679";"21";"4";"17";"0";"658";"248";"243";"167"
"23c5-eae4-082e-1d32-d0ce-c895-d66e-47ef";"320301";"99";"5";"wieś";"stały";"SKR Czaplinek Spółka z o. o., ul. Pławieńska 18, 78-550 Czaplinek";"gm. Czaplinek";"drawski";"zachodniopomorskie";"1140";"1259";"572";"568";"0";"3";"0";"0";"0";"0";"0";"0";"0";"568";"0";"0";"568";"11";"2";"9";"0";"557";"246";"172";"139"
"afce-da97-2f99-9eda-c397-0273-bc17-ef0b";"320301";"99";"6";"wieś";"stały";"Sala wiejska, Siemczyno 63, 78-551 Siemczyno";"gm. Czaplinek";"drawski";"zachodniopomorskie";"540";"595";"266";"274";"0";"7";"0";"0";"0";"0";"0";"0";"0";"274";"0";"0";"274";"12";"2";"10";"0";"262";"132";"70";"60"
"7e02-8697-1f6f-f8d1-1bb9-8a4c-a1ad-45eb";"320301";"99";"7";"wieś";"stały";"Sala wiejska, ul. Białego Orła 25, 78-552 Kluczewo";"gm. Czaplinek";"drawski";"zachodniopomorskie";"780";"851";"414";"366";"0";"2";"0";"0";"0";"0";"0";"0";"0";"366";"0";"0";"366";"13";"7";"6";"0";"353";"140";"107";"106"
"ddfd-8bc2-aedc-1888-7ff3-2aa0-7c30-21b2";"320301";"99";"8";"wieś";"stały";"Świetlica wiejska, Broczyno 33, 78-553 Broczyno";"gm. Czaplinek";"drawski";"zachodniopomorskie";"860";"945";"483";"377";"0";"2";"0";"0";"0";"0";"0";"0";"0";"377";"0";"0";"377";"25";"5";"20";"0";"352";"151";"123";"78"
"df11-25a0-4ba3-94b6-8c85-ac89-e1e8-3d6b";"320302";"99";"1";"miasto";"stały";"Zespół Szkół Ponadgimnazjalnych w Drawsku Pomorskim Technikum i Zasadnicza Szkoła Zawodowa, ul. Połczyńska 7, 78-500 Drawsko Pomorskie";"gm. Drawsko Pomorskie";"drawski";"zachodniopomorskie";"730";"784";"278";"452";"0";"1";"0";"0";"0";"0";"0";"0";"0";"452";"0";"0";"452";"10";"4";"6";"0";"442";"111";"245";"86"
"7818-6e07-08d0-d532-1e69-f203-b50e-d56b";"320302";"99";"2";"miasto";"stały";"Świetlica Samorządu Mieszkańców Nr 2 w Drawsku Pomorskim, ul. Gierymskiego 3, 78-500 Drawsko Pomorskie";"gm. Drawsko Pomorskie";"drawski";"zachodniopomorskie";"800";"867";"280";"520";"0";"2";"0";"0";"0";"0";"0";"0";"0";"520";"0";"0";"520";"12";"3";"9";"0";"508";"163";"243";"102"
"0fae-51e6-c6dd-5e28-0f93-566a-de13-7208";"320302";"99";"3";"miasto";"stały";"Przedszkole w Drawsku Pomorskim, ul. Obr. Westerplatte 47 - 49, 78-500 Drawsko Pomorskie";"gm. Drawsko Pomorskie";"drawski";"zachodniopomorskie";"920";"1010";"319";"601";"3";"12";"0";"0";"0";"0";"0";"0";"0";"601";"0";"0";"601";"8";"1";"7";"0";"593";"174";"318";"101"
"fdea-c887-bb60-ec88-b011-7b06-146d-fd7a";"320302";"99";"4";"miasto";"stały";"Szkoła Podstawowa nr 1 w Drawsku Pomorskim, ul. Obr. Westerplatte 13, 78-500 Drawsko Pomorskie";"gm. Drawsko Pomorskie";"drawski";"zachodniopomorskie";"809";"877";"367";"442";"0";"5";"1";"1";"0";"0";"0";"0";"1";"443";"1";"0";"443";"13";"2";"11";"0";"430";"146";"217";"67"
"f7a6-8596-fac1-df62-312d-f5ab-25bf-8eb8";"320302";"99";"5";"miasto";"stały";"Przedszkole w Drawsku Pomorskim, ul. Obr. Westerplatte 47 - 49, 78-500 Drawsko Pomorskie";"gm. Drawsko Pomorskie";"drawski";"zachodniopomorskie";"868";"941";"371";"497";"1";"1";"2";"2";"0";"0";"0";"0";"2";"499";"2";"0";"499";"6";"2";"4";"0";"493";"129";"269";"95"
"b10d-5a07-377c-caea-88ff-de2c-a121-a7a3";"320302";"99";"6";"miasto";"stały";"Szkoła Podstawowa Nr 1 w Drawsku Pomorskim, ul. Obr. Westerplatte 13, 78-500 Drawsko Pomorskie";"gm. Drawsko Pomorskie";"drawski";"zachodniopomorskie";"840";"906";"364";"476";"0";"0";"0";"0";"0";"0";"0";"0";"0";"476";"0";"0";"476";"17";"0";"17";"0";"459";"146";"227";"86"
"79b0-0952-ebbe-5e52-f6e7-9c25-b4dd-ffcc";"320302";"99";"7";"miasto";"stały";"Nadleśnictwo Drawsko w Drawsku Pomorskim, ul. Starogrodzka 30, 78-500 Drawsko Pomorskie";"gm. Drawsko Pomorskie";"drawski";"zachodniopomorskie";"850";"922";"264";"586";"0";"2";"0";"0";"0";"0";"0";"0";"0";"586";"0";"0";"586";"1";"1";"0";"0";"585";"172";"308";"105"
"b68d-16f3-f535-c715-f068-8fa7-568b-205e";"320302";"99";"8";"miasto";"stały";"Przedszkole w Drawsku Pomorskim, ul. B. Chrobrego 4a, 78-500 Drawsko Pomorskie";"gm. Drawsko Pomorskie";"drawski";"zachodniopomorskie";"899";"979";"326";"573";"1";"8";"1";"1";"0";"0";"0";"0";"1";"574";"1";"0";"574";"15";"4";"11";"0";"559";"157";"287";"115"
"7d61-b4c5-1785-0020-9275-de8f-b236-7481";"320302";"99";"9";"miasto";"stały";"Szkoła Podstawowa Nr 2 w Drawsku Pomorskim, ul. Dworcowa 2A, 78-500 Drawsko Pomorskie";"gm. Drawsko Pomorskie";"drawski";"zachodniopomorskie";"760";"853";"309";"451";"2";"9";"0";"0";"0";"0";"0";"0";"0";"451";"0";"0";"451";"9";"0";"9";"0";"442";"139";"229";"74"
"7a05-7220-1629-2044-10f8-7457-9186-cc58";"320302";"99";"10";"miasto";"stały";"Zespół Szkół Ponadgimnazjalnych w Drawsku Pomorskim Liceum Ogólnokształcące, ul. Złocieniecka 25, 78-500 Drawsko Pomorskie";"gm. Drawsko Pomorskie";"drawski";"zachodniopomorskie";"830";"896";"371";"459";"1";"2";"0";"0";"0";"0";"0";"0";"0";"459";"0";"0";"459";"10";"3";"7";"0";"449";"176";"186";"87"
"ee3d-6df0-9af7-352c-9b37-3c1f-d6dd-6ae1";"320302";"99";"11";"wieś";"stały";"Szkoła Podstawowa w Mielenku Drawskim, Mielenko Drawskie 47, 78-500 Drawsko Pomorskie";"gm. Drawsko Pomorskie";"drawski";"zachodniopomorskie";"970";"1074";"520";"450";"0";"20";"0";"0";"0";"0";"0";"0";"0";"450";"0";"0";"450";"10";"0";"10";"0";"440";"161";"192";"87"
"9b34-efb8-8141-594a-666a-7e29-7a49-f0c2";"320302";"99";"12";"wieś";"stały";"Świetlica Wiejska w Zarańsku, Zarańsko 1, 78-500 Drawsko Pomorskie";"gm. Drawsko Pomorskie";"drawski";"zachodniopomorskie";"720";"789";"387";"333";"0";"3";"0";"0";"0";"0";"0";"0";"0";"333";"0";"0";"333";"6";"2";"4";"0";"327";"149";"120";"58"
"f041-9f05-7828-5a70-ade2-477d-13e8-d5d5";"320302";"99";"13";"wieś";"stały";"Szkoła Podstawowa w Nętnie, Nętno 38, 78-500 Drawsko Pomorskie";"gm. Drawsko Pomorskie";"drawski";"zachodniopomorskie";"830";"903";"427";"403";"0";"1";"0";"0";"0";"0";"0";"0";"0";"403";"0";"0";"403";"11";"3";"8";"0";"392";"178";"145";"69"
"aeb2-22ca-d133-8626-3ef5-8235-3c94-cb40";"320302";"99";"14";"wieś";"stały";"Świetlica Wiejska w Suliszewie, Suliszewo 70A, 78-500 Drawsko Pomorskie";"gm. Drawsko Pomorskie";"drawski";"zachodniopomorskie";"1060";"1153";"559";"501";"0";"5";"0";"0";"0";"0";"0";"0";"0";"501";"0";"0";"501";"19";"6";"13";"0";"482";"197";"192";"93"
"73ac-d798-5764-0714-961b-4240-d581-9f1d";"320302";"99";"15";"wieś";"stały";"Szkoła Podstawowa w Ostrowicach, Ostrowice 3, 78-506 Ostrowice";"gm. Drawsko Pomorskie";"drawski";"zachodniopomorskie";"590";"662";"279";"311";"0";"26";"0";"0";"0";"0";"0";"0";"0";"311";"0";"0";"311";"16";"2";"14";"0";"295";"130";"122";"43"
"5f59-56af-4ab3-06e0-5050-dd89-7204-786f";"320302";"99";"16";"miasto";"zakład leczniczy";"Szpitale Polskie S. A.-Drawskie Centrum Specjalistyczne w Drawsku Pomorskim, ul. B. Chrobrego 4, 78-500 Drawsko Pomorskie";"gm. Drawsko Pomorskie";"drawski";"zachodniopomorskie";"50";"19";"41";"9";"0";"2";"0";"0";"0";"0";"0";"0";"0";"9";"0";"0";"9";"0";"0";"0";"0";"9";"3";"6";"0"
"9b68-17e4-ab63-2780-fda4-d06d-2a17-527e";"320303";"99";"1";"miasto";"stały";"Świetlica, ul. Dworcowa 51, 78-540 Kalisz Pomorski";"gm. Kalisz Pomorski";"drawski";"zachodniopomorskie";"700";"770";"306";"394";"0";"1";"0";"0";"0";"0";"0";"0";"0";"394";"0";"0";"394";"8";"2";"6";"0";"386";"145";"153";"88"
"1f98-a293-b7ab-1381-7f08-12e2-38b1-96fe";"320303";"99";"2";"miasto";"stały";"Nadleśnictwo, ul. al. prof. Leona Mroczkiewicza 1, 78-540 Kalisz Pomorski";"gm. Kalisz Pomorski";"drawski";"zachodniopomorskie";"640";"695";"289";"351";"0";"0";"0";"0";"0";"0";"0";"0";"0";"351";"0";"0";"351";"9";"2";"7";"0";"342";"122";"157";"63"
"f8ee-3306-67a6-8de5-2e12-d469-2322-390e";"320303";"99";"3";"wieś";"stały";"Miejsko Gminny Ośrodek Kultury, ul. Dworcowa 6, 78-540 Kalisz Pomorski";"gm. Kalisz Pomorski";"drawski";"zachodniopomorskie";"1090";"1201";"653";"437";"1";"6";"0";"0";"0";"0";"0";"0";"0";"437";"0";"0";"437";"7";"0";"7";"0";"430";"170";"177";"83"
"a9bd-15be-e26b-fbca-4092-9df6-6ae5-ec9b";"320303";"99";"4";"miasto";"stały";"Pałac, Wolności 31, 78-540 Kalisz Pomorski";"gm. Kalisz Pomorski";"drawski";"zachodniopomorskie";"970";"1048";"455";"515";"0";"4";"0";"0";"0";"0";"0";"0";"0";"515";"0";"0";"515";"12";"4";"8";"0";"503";"176";"217";"110"
"73c1-bd4a-3247-922a-7dd4-2208-df51-5472";"320303";"99";"5";"miasto";"stały";"Szkoła Podstawowa im. Kornela Makuszyńskiego, Toruńska 9, 78-540 Kalisz Pomorski";"gm. Kalisz Pomorski";"drawski";"zachodniopomorskie";"720";"779";"348";"372";"0";"2";"0";"0";"0";"0";"0";"0";"0";"372";"0";"0";"372";"12";"5";"7";"0";"360";"108";"169";"83"
"fc86-1ff0-7e07-cf5d-b77e-4cc9-ea66-3f4e";"320303";"99";"6";"wieś";"stały";"Szkoła Podstawowa, Pomierzyn 10, 78-540 Kalisz Pomorski";"gm. Kalisz Pomorski";"drawski";"zachodniopomorskie";"940";"1028";"492";"448";"1";"1";"0";"0";"0";"0";"0";"0";"0";"448";"0";"0";"448";"13";"1";"12";"0";"435";"175";"187";"73"
"93bd-b6b4-b1d3-e5da-4beb-3b4a-f40d-6bfd";"320305";"99";"1";"wieś";"stały";"Zespół Szkół, Świerczyna 85, 78-531 Świerczyna";"gm. Wierzchowo";"drawski";"zachodniopomorskie";"790";"860";"383";"407";"0";"1";"0";"0";"0";"0";"0";"0";"0";"407";"0";"0";"407";"13";"0";"13";"0";"394";"179";"136";"79"
"8b69-73c2-8b5b-202a-123e-9931-cba9-3b53";"320305";"99";"2";"wieś";"stały";"Świetlica Wiejska, Plac Orła Białego 4, 78-530 Wierzchowo";"gm. Wierzchowo";"drawski";"zachodniopomorskie";"640";"699";"343";"297";"0";"1";"0";"0";"0";"0";"0";"0";"0";"297";"0";"0";"297";"7";"2";"5";"0";"290";"131";"94";"65"
"2b34-6d56-cdbf-4f3e-f0cd-56ea-e195-72b8";"320305";"99";"3";"wieś";"stały";"Szkoła Podstawowa, ul. Długa 26a, 78-530 Wierzchowo";"gm. Wierzchowo";"drawski";"zachodniopomorskie";"840";"914";"389";"451";"0";"0";"0";"0";"0";"0";"0";"0";"0";"451";"0";"0";"451";"17";"0";"17";"0";"434";"170";"160";"104"
"860c-e450-913b-09cd-71fd-e522-c5fd-85b2";"320305";"99";"4";"wieś";"stały";"Sala Wiejska ""Lasek Arkoński"", Parkowa 7, 78-530 Wierzchowo";"gm. Wierzchowo";"drawski";"zachodniopomorskie";"860";"933";"417";"443";"0";"3";"0";"0";"0";"0";"0";"0";"0";"442";"0";"0";"442";"10";"4";"6";"0";"432";"200";"149";"83"
"500c-9196-cd0c-084c-7f9b-fc08-492b-ed19";"320305";"99";"5";"wieś";"zakład karny";"Zakład Karny w Wierzchowie, Szkolna 8, 78-530 Wierzchowo";"gm. Wierzchowo";"drawski";"zachodniopomorskie";"471";"471";"224";"247";"0";"0";"0";"0";"0";"0";"0";"0";"0";"247";"0";"0";"247";"7";"1";"6";"0";"240";"51";"134";"55"
"95c9-cad4-ad13-a400-933d-af75-43a3-312a";"320306";"99";"1";"miasto";"stały";"Zakład Gospodarki Mieszkaniowej Sp. z o. o., ul. Piaskowa 1, 78-520 Złocieniec";"gm. Złocieniec";"drawski";"zachodniopomorskie";"770";"814";"282";"488";"0";"1";"0";"0";"0";"0";"0";"0";"0";"488";"0";"0";"488";"10";"3";"7";"0";"478";"104";"222";"152"
"551b-578a-b196-ccba-40c5-4645-b186-41a4";"320306";"99";"2";"miasto";"stały";"Przedszkole, ul. Stefana Okrzei 4, 78-520 Złocieniec";"gm. Złocieniec";"drawski";"zachodniopomorskie";"730";"765";"297";"433";"1";"1";"0";"0";"0";"0";"0";"0";"0";"433";"0";"0";"433";"5";"1";"4";"0";"428";"159";"184";"85"
"d121-da25-2009-a726-90ed-6d18-a64f-b1fd";"320306";"99";"3";"miasto";"stały";"Szkola Podstawowa nr 1, ul. Chopina 10, 78-520 Złocieniec";"gm. Złocieniec";"drawski";"zachodniopomorskie";"760";"829";"335";"425";"2";"2";"0";"0";"0";"0";"0";"0";"0";"424";"0";"0";"424";"11";"5";"6";"0";"413";"166";"169";"78"
"88f4-9dc8-3df2-f186-0034-cfa8-8815-c765";"320306";"99";"4";"miasto";"stały";"Szkoła Podstawowa Nr 1, ul. Fryderyka Chopina 10, 78-520 Złocieniec";"gm. Złocieniec";"drawski";"zachodniopomorskie";"830";"898";"396";"434";"1";"2";"0";"0";"0";"0";"0";"0";"0";"434";"0";"0";"434";"8";"1";"7";"0";"426";"173";"168";"85"
"04d5-eb0d-78a4-4ea1-c6e6-2de5-2d6c-9245";"320306";"99";"5";"miasto";"stały";"Biblioteka Publiczna, ul. Obrońców Westerplatte 3, 78-520 Złocieniec";"gm. Złocieniec";"drawski";"zachodniopomorskie";"790";"838";"290";"500";"1";"2";"0";"0";"0";"0";"0";"0";"0";"500";"0";"0";"500";"11";"1";"10";"0";"489";"223";"167";"99"
"48d0-d1a0-2cb3-bd7c-58a4-9353-0823-fe7a";"320306";"99";"6";"miasto";"stały";"Spółdzielnia Mieszkaniowa ""Postęp"", ul. Obrońców Westerplatte 3, 78-520 Złocieniec";"gm. Złocieniec";"drawski";"zachodniopomorskie";"1490";"1603";"571";"919";"0";"3";"0";"0";"0";"0";"0";"0";"0";"919";"0";"0";"919";"29";"9";"20";"0";"890";"359";"343";"188"
"5f31-3718-5681-4715-10f1-3cb3-f731-32a2";"320306";"99";"7";"miasto";"stały";"Szkoła Podstawowa Nr 1, ul. I Dywizji WP 4, 78-520 Złocieniec";"gm. Złocieniec";"drawski";"zachodniopomorskie";"861";"932";"350";"511";"2";"5";"0";"0";"0";"0";"0";"0";"0";"511";"0";"0";"511";"14";"1";"13";"0";"497";"203";"193";"101"
"eb3a-e4f8-1039-0d2d-c7da-070d-009f-ce33";"320306";"99";"8";"miasto";"stały";"Sala Widowiskowa, ul. Wolności 6, 78-520 Złocieniec";"gm. Złocieniec";"drawski";"zachodniopomorskie";"790";"846";"385";"405";"2";"1";"0";"0";"0";"0";"0";"0";"0";"405";"0";"0";"405";"16";"1";"15";"0";"389";"148";"173";"68"
"5bfd-3431-832f-476d-e2ee-0450-4c63-15b8";"320306";"99";"9";"miasto";"stały";"Urząd Miejski, Stary Rynek 3, 78-520 Złocieniec";"gm. Złocieniec";"drawski";"zachodniopomorskie";"1520";"1638";"632";"888";"1";"7";"0";"0";"0";"0";"0";"0";"0";"888";"0";"0";"888";"17";"4";"13";"0";"871";"323";"366";"182"
"3376-5f67-bda6-b7a0-f711-0449-226e-a636";"320306";"99";"10";"miasto";"stały";"Szkoła Podstawowa Nr 3, Czwartaków 2, 78-520 Złocieniec";"gm. Złocieniec";"drawski";"zachodniopomorskie";"720";"785";"390";"430";"0";"5";"0";"0";"0";"0";"0";"0";"0";"430";"0";"0";"430";"13";"1";"12";"0";"417";"135";"200";"82"
"c981-70e5-6c5b-2f2d-2941-0308-83c1-eba0";"320306";"99";"11";"wieś";"stały";"Świetlica Wiejska, Bobrowo 14, 78-520 Złocieniec";"gm. Złocieniec";"drawski";"zachodniopomorskie";"230";"253";"106";"124";"0";"0";"0";"0";"0";"0";"0";"0";"0";"124";"0";"0";"124";"5";"0";"5";"0";"119";"61";"43";"15"
"84b2-81db-699b-82fa-fa6f-3289-d142-be41";"320306";"99";"12";"wieś";"stały";"Świetlica Wiejska, Stare Worowo 7, 78-523 Nowe Worowo";"gm. Złocieniec";"drawski";"zachodniopomorskie";"580";"649";"272";"308";"0";"3";"0";"0";"0";"0";"0";"0";"0";"308";"0";"0";"308";"9";"3";"6";"0";"299";"128";"104";"67"
"0ff5-0204-d644-e733-7eb7-a5e5-ca4b-be2a";"320306";"99";"13";"wieś";"stały";"Dom Pomocy Społecznej, Darskowo 7, 78-520 Złocieniec";"gm. Złocieniec";"drawski";"zachodniopomorskie";"510";"562";"269";"241";"2";"0";"0";"0";"0";"0";"0";"0";"0";"241";"0";"0";"241";"4";"0";"4";"0";"237";"107";"75";"55"
"4f49-353f-df6f-0a74-6f16-b4c2-e874-1c82";"320306";"99";"14";"wieś";"stały";"Świetlica Wiejska, Lubieszewo 30, 78-520 Złocieniec";"gm. Złocieniec";"drawski";"zachodniopomorskie";"330";"362";"143";"187";"0";"7";"0";"0";"0";"0";"0";"0";"0";"187";"0";"0";"187";"5";"1";"4";"0";"182";"68";"79";"35"
"9eec-b49e-1b73-d69e-b5c9-9d2e-b1f0-5cb7";"320306";"99";"15";"wieś";"stały";"Świetlica Wiejska, ul. Aleja Wolności 2, 78-523 Nowe Worowo";"gm. Złocieniec";"drawski";"zachodniopomorskie";"810";"879";"420";"390";"0";"3";"0";"0";"0";"0";"0";"0";"0";"390";"0";"0";"390";"6";"0";"6";"0";"384";"216";"111";"57"
"2736-7d4f-42dd-7675-6c39-a665-4821-07ad";"320306";"99";"16";"miasto";"zakład leczniczy";"Samodzielny Publiczny Zakład Opieki Zdrowotnej Szpital Specjalistyczny MSWiA, ul. Kańsko 1, 78-520 Złocieniec";"gm. Złocieniec";"drawski";"zachodniopomorskie";"100";"112";"15";"85";"0";"11";"0";"0";"0";"0";"0";"0";"0";"85";"0";"0";"85";"3";"0";"3";"0";"82";"34";"30";"18"
"5808-0d92-3b6d-c464-c3af-9e24-7735-0e47";"320801";"99";"1";"miasto";"stały";"Szkoła Podstawowa nr 1 z Oddziałami Integracyjnymi im. Bolesława Chrobrego w Kołobrzegu, ul. Portowa 37, 78-100 Kołobrzeg";"m. Kołobrzeg";"kołobrzeski";"zachodniopomorskie";"1891";"1806";"85";"1806";"1";"1015";"0";"0";"0";"0";"0";"0";"0";"1806";"0";"0";"1806";"33";"11";"22";"0";"1773";"652";"955";"166"
