"Kod TERYT";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Zdzisław Stanisław PUPA";"Tadeusz Bronisław URBAN";"Liczba obwodów"
"180300";"dębicki";"podkarpackie";97877;106401;34056;63822;88;233;2;2;0;0;0;0;2;63810;2;1;63809;1825;525;1300;0;61984;44704;17280;109
"180600";"kolbuszowski";"podkarpackie";46014;49533;18421;27594;48;78;3;3;0;0;0;0;3;27596;3;0;27596;827;212;615;0;26769;20722;6047;64
"181100";"mielecki";"podkarpackie";98259;106690;34552;63707;98;216;9;9;0;0;0;0;9;63697;9;1;63696;1830;492;1338;0;61866;42585;19281;117
"181500";"ropczycko-sędziszowski";"podkarpackie";53509;58327;17699;35810;52;103;0;0;0;0;0;0;0;35807;0;0;35807;1180;359;821;0;34627;26963;7664;69
"181900";"strzyżowski";"podkarpackie";45115;49164;17073;28041;46;131;0;0;0;0;0;0;0;28038;0;6;28032;747;176;571;0;27285;20430;6855;63
