"Kod TERYT";"Rodzaj jednostki";"Gmina";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów z różnych list";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok nazwiska kandydata na liście, której rejestracja została unieważniona";"Liczba głosów ważnych oddanych łącznie na wszystkie listy kandydatów";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI - ZPOW-601-6/19";"Maria Małgorzata JANYSKA - nr na liście 1";"Jakub Adam RUTNICKI - nr na liście 2";"Iwona Maria KAMIŃSKA-LECH - nr na liście 3";"Zbigniew Czesław AJCHLER - nr na liście 4";"Killion Munzele MUNYAMA - nr na liście 5";"Henryk Marian SZOPIŃSKI - nr na liście 6";"Dorota Ewa TUŁODZIECKA-ADAMS - nr na liście 7";"Janusz MROZKOWIAK - nr na liście 8";"Karolina URYZAJ - nr na liście 9";"Krzysztof POSZWA - nr na liście 10";"Artur Łukasz WRÓBLEWSKI - nr na liście 11";"Tomasz Marek WOJCIECHOWSKI - nr na liście 12";"Lidia NOWAKOWSKA - nr na liście 13";"Arkadiusz Jerzy DOLECKI - nr na liście 14";"Magdalena SROKA - nr na liście 15";"Agnieszka Małgorzata KOWALSKA - nr na liście 16";"Maria Małgorzata JEWSZEL-CHABERSKA - nr na liście 17";"Rafał Maciej LIPSKI - nr na liście 18";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ - ZPOW-601-5/19";"Adam URBAŃSKI - nr na liście 1";"Jerzy Józef MOEGLICH - nr na liście 2";"Patrycja Martyna STEMPNIAK - nr na liście 3";"Małgorzata JĘDRYCH - nr na liście 4";"Agata Jadwiga OSTASZEWSKA - nr na liście 5";"Radosław MUSIAŁ - nr na liście 6";"Justyna Tamara WIATR - nr na liście 7";"Marcin Marian MAHSEL - nr na liście 8";"Radosław KOS - nr na liście 9";"Weronika DOMAGAŁA - nr na liście 10";"Daniel WŁUDARCZAK - nr na liście 11";"Adam FELDMANN - nr na liście 12";"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE - ZPOW-601-19/19";"Krzysztof Michał PASZYK - nr na liście 1";"Błażej Łukasz PARDA - nr na liście 2";"Tadeusz Krzysztof TETERUS - nr na liście 3";"Jarosław Zygmunt MACIEJEWSKI - nr na liście 4";"Tomasz Bronisław KRANC - nr na liście 5";"Marcin PISZCZEK - nr na liście 6";"Agnieszka LINKIEWICZ-MENDEL - nr na liście 7";"Józef Kazimierz KWAŚNIEWICZ - nr na liście 8";"Anna KORPIK - nr na liście 9";"Julian Marian HERMASZCZUK - nr na liście 10";"Jolanta Jadwiga LUBIŃSKA - nr na liście 11";"Małgorzata Anna BEJMA - nr na liście 12";"Lucyna Hanna NAWROT - nr na liście 13";"Sławomira Jadwiga KRÓL - nr na liście 14";"Daniel SZTYCH - nr na liście 15";"Maria Teresa GALAS - nr na liście 16";"Radosław Paweł ŁANOSZKA - nr na liście 17";"Bartłomiej Wojciech GÓRNY - nr na liście 18";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ - ZPOW-601-9/19";"Krzysztof Władysław CZARNECKI - nr na liście 1";"Marta Ryszarda KUBIAK - nr na liście 2";"Grzegorz PIECHOWIAK - nr na liście 3";"Marcin Bartosz PORZUCEK - nr na liście 4";"Michał Witold ZIELIŃSKI - nr na liście 5";"Dorota BANAŚ - nr na liście 6";"Bogdan Włodzimierz FLEMING - nr na liście 7";"Danuta Maria NIJAKA - nr na liście 8";"Maja Małgorzata JANKOWSKA - nr na liście 9";"Józef FELCYN - nr na liście 10";"Maria Lidia MILER - nr na liście 11";"Robert Piotr KASPRZAK - nr na liście 12";"Andrzej Janusz OKPISZ - nr na liście 13";"Rafał PRĘTKOWSKI - nr na liście 14";"Wiesław PIETRUCZUK - nr na liście 15";"Emilia MUZYKA - nr na liście 16";"Maria Joanna KARDASZ - nr na liście 17";"Krzysztof Jakub BŁASZCZYK - nr na liście 18";"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ - ZPOW-601-1/19";"Dariusz Marian STANDERSKI - nr na liście 1";"Romuald Kazimierz AJCHLER - nr na liście 2";"Kamil Bartosz BOCIAN - nr na liście 3";"Agnieszka Magdalena GRZECHOWIAK - nr na liście 4";"Katarzyna JÓZEFOWSKA - nr na liście 5";"Anna Elżbieta WILK-BARAN - nr na liście 6";"Jacek Tadeusz FLIEGER - nr na liście 7";"Karolina SMYKOWSKA - nr na liście 8";"Stanisław Tomasz ŚLIWAK - nr na liście 9";"Paulina BIRULA - nr na liście 10";"Andrzej MELIŃSKI - nr na liście 11";"Natalia Ewa MINGE - nr na liście 12";"Maksym KAPLANSKYY - nr na liście 13";"Patrycja Monika BUŚKO - nr na liście 14";"Marta Grażyna BILON - nr na liście 15";"Jakub Paweł MIĘSIKOWSKI - nr na liście 16";"Hanna MAŃKOWSKA - nr na liście 17";"Adam Roman CUKIER - nr na liście 18";"Liczba obwodów"
"300206";"gmina wiejska";"gm. Połajewo";"czarnkowsko-trzcianecki";"wielkopolskie";4387;4814;1724;2662;1;6;0;0;0;0;0;0;0;2663;0;0;2663;80;63;17;0;2583;595;347;122;16;46;9;4;5;3;4;4;4;2;12;0;4;3;1;9;168;65;9;14;10;9;10;9;2;9;23;2;6;419;155;20;120;10;4;15;8;17;18;1;6;10;11;10;1;7;0;6;1167;455;97;54;330;54;70;6;5;20;5;9;9;8;3;3;15;4;20;234;68;75;11;24;7;6;2;7;4;2;2;7;2;4;2;0;2;9;4
"300207";"gmina miejsko-wiejska";"gm. Trzcianka";"czarnkowsko-trzcianecki";"wielkopolskie";16886;18425;6007;10878;19;78;1;1;0;0;0;0;1;10879;1;2;10877;164;138;26;0;10713;2623;1820;362;68;144;36;23;7;9;13;11;8;28;24;6;17;17;7;23;578;320;36;31;47;28;15;23;7;10;23;11;27;2511;159;111;2108;11;3;14;14;7;13;7;10;8;23;10;2;1;4;6;3771;3249;97;38;233;9;66;1;12;15;12;2;4;0;3;2;8;6;14;1230;449;326;64;60;13;16;11;15;8;192;5;21;4;14;3;4;10;15;14
"300208";"gmina miejsko-wiejska";"gm. Wieleń";"czarnkowsko-trzcianecki";"wielkopolskie";8768;9605;3604;5164;3;36;0;0;0;0;0;0;0;5164;0;0;5164;123;73;50;0;5041;1102;674;132;24;164;9;5;3;3;9;4;5;7;12;6;23;11;0;11;290;96;13;17;88;12;15;13;2;5;10;4;15;917;286;35;286;16;8;18;8;5;28;3;7;4;187;7;3;3;1;12;2140;1066;109;64;577;31;115;9;13;35;5;13;19;3;12;5;18;10;36;592;129;275;37;27;7;24;6;10;3;4;4;12;0;35;3;1;3;12;10
"300501";"gmina wiejska";"gm. Granowo";"grodziski";"wielkopolskie";3529;3865;1280;2249;2;11;0;0;0;0;0;0;0;2249;0;0;2249;61;31;30;0;2188;564;40;62;10;5;419;4;0;3;5;3;1;3;3;0;2;2;0;2;169;82;9;25;5;11;10;4;2;3;6;6;6;220;91;6;5;11;2;18;15;4;12;2;6;3;5;7;2;12;1;18;1062;322;87;109;48;60;49;8;268;13;3;10;9;3;10;4;12;14;33;173;47;18;13;19;4;3;2;6;1;0;1;11;2;3;2;1;33;7;4
"300502";"gmina miejsko-wiejska";"gm. Grodzisk Wielkopolski";"grodziski";"wielkopolskie";13848;15102;4683;9165;4;44;1;1;0;0;0;0;1;9165;1;0;9165;149;98;51;0;9016;2932;183;698;21;29;1849;6;12;29;36;6;4;9;9;6;18;5;2;10;619;282;29;37;37;29;48;24;17;28;55;10;23;740;221;105;14;20;11;29;106;17;38;2;15;11;20;17;5;44;8;57;3318;1192;259;151;191;295;288;22;489;72;5;21;39;10;8;3;56;121;96;1407;308;125;63;62;20;17;17;14;5;5;5;65;7;17;5;4;626;42;10
"300503";"gmina wiejska";"gm. Kamieniec";"grodziski";"wielkopolskie";4663;5092;1800;2863;2;13;0;0;0;0;0;0;0;2863;0;0;2863;80;60;20;0;2783;836;36;46;6;7;714;5;0;1;7;0;2;2;3;1;2;2;1;1;164;72;7;25;11;9;15;6;2;4;12;0;1;320;128;23;6;12;4;11;26;2;12;1;16;5;10;8;1;17;5;33;1241;473;98;145;79;94;59;8;137;31;4;10;16;5;7;3;16;33;23;222;65;42;9;7;4;1;6;7;4;2;4;11;0;1;1;1;50;7;5
"300504";"gmina miejsko-wiejska";"gm. Rakoniewice";"grodziski";"wielkopolskie";9124;9941;3455;5669;2;12;0;0;0;0;0;0;0;5668;0;0;5668;116;84;32;0;5552;1457;149;534;16;26;522;3;4;128;6;10;5;6;7;5;12;9;0;15;464;242;24;28;24;22;37;19;14;10;24;6;14;892;186;48;10;19;14;31;412;7;36;6;15;13;12;18;5;10;7;43;2249;578;225;87;194;256;76;22;261;47;3;11;12;5;8;6;12;383;63;490;143;72;32;34;16;4;11;13;4;7;1;22;2;11;7;2;59;50;6
"300505";"gmina miejsko-wiejska";"gm. Wielichowo";"grodziski";"wielkopolskie";4962;5315;1847;3115;2;5;0;0;0;0;0;0;0;3114;0;0;3114;58;36;22;0;3056;719;70;151;8;12;423;4;1;20;4;3;2;4;2;3;1;1;0;10;235;108;19;17;12;18;14;7;6;8;18;2;6;424;136;31;3;24;0;24;64;9;20;3;9;5;9;6;4;9;10;58;1440;345;101;57;127;187;49;6;400;22;3;16;19;6;5;4;13;50;30;238;71;32;17;10;12;4;6;1;1;6;3;17;4;3;1;0;41;9;5
"301401";"gmina wiejska";"gm. Chrzypsko Wielkie";"międzychodzki";"wielkopolskie";2387;2685;1009;1378;0;18;0;0;0;0;0;0;0;1378;0;0;1378;37;24;13;0;1341;397;18;256;3;105;3;0;1;0;0;0;1;0;7;0;1;0;0;2;57;28;4;2;3;2;6;1;0;2;3;0;6;123;55;2;2;3;3;5;1;33;8;0;1;2;4;2;1;0;0;1;545;156;115;25;99;37;15;8;6;11;1;7;3;0;35;1;14;1;11;219;16;172;4;2;4;4;0;4;0;2;0;1;0;2;6;0;1;1;3
"301402";"gmina wiejska";"gm. Kwilcz";"międzychodzki";"wielkopolskie";4503;4951;1777;2726;4;5;0;0;0;0;0;0;0;2726;0;0;2726;69;59;10;0;2657;773;46;578;4;90;15;4;2;0;3;3;2;4;7;1;6;2;0;6;124;66;4;5;9;5;10;9;3;4;5;1;3;442;95;20;3;9;3;12;5;8;247;3;2;4;5;4;2;6;3;11;992;251;66;44;80;238;29;3;7;12;4;8;5;2;196;2;18;5;22;326;41;175;6;11;6;4;4;6;0;3;3;12;14;3;23;1;10;4;3
