"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Henryk KIERZKOWSKI";"Józef Marian LEWANDOWSKI";"Józef Mikołaj ŁYCZAK";"Jerzy Jan WENDERLICH";"Łukasz ZBONIKOWSKI"
"0c96-e463-4554-2839-3a1a-cebd-8581-9a14";"041106";"13";"1";"wieś";"stały";"Świetlica wiejska w Bieganowie, Bieganowo 9a, 88-200 Radziejów";"gm. Radziejów";"radziejowski";"kujawsko-pomorskie";"701";"769";"306";"395";"0";"0";"0";"0";"0";"0";"0";"0";"0";"395";"0";"0";"395";"7";"4";"3";"0";"388";"26";"30";"225";"71";"36"
"cd15-df15-4559-1b73-fcd7-90e7-f9d5-4d27";"041106";"13";"2";"wieś";"stały";"Świetlica wiejska w Czołowie, Czołowo 83a, 88-200 Radziejów";"gm. Radziejów";"radziejowski";"kujawsko-pomorskie";"290";"327";"89";"201";"2";"1";"0";"0";"0";"0";"0";"0";"0";"201";"0";"0";"201";"3";"0";"3";"0";"198";"16";"8";"90";"60";"24"
"05c6-ad12-1a55-7f2f-8376-b366-f118-73e9";"041106";"13";"3";"wieś";"stały";"Szkoła Podstawowa w Płowcach, Płowce 94, 88-200 Radziejów";"gm. Radziejów";"radziejowski";"kujawsko-pomorskie";"361";"407";"170";"191";"1";"1";"0";"0";"0";"0";"0";"0";"0";"190";"0";"0";"190";"3";"0";"3";"0";"187";"17";"16";"79";"58";"17"
"739d-1677-7e2e-d809-381a-da07-c60c-fb6b";"041106";"13";"4";"wieś";"stały";"Remiza OSP w Broniewie, Broniewo 8, 88-200 Radziejów";"gm. Radziejów";"radziejowski";"kujawsko-pomorskie";"541";"593";"226";"315";"0";"0";"0";"0";"0";"0";"0";"0";"0";"315";"0";"0";"315";"3";"2";"1";"0";"312";"21";"15";"163";"80";"33"
"a608-9fb8-f8b7-c699-bfb7-0b93-cfc4-3660";"041106";"13";"5";"wieś";"stały";"Świetlica wiejska w Starym Radziejowie, Stary Radziejów 22b, 88-200 Radziejów";"gm. Radziejów";"radziejowski";"kujawsko-pomorskie";"540";"589";"246";"294";"0";"0";"1";"1";"0";"0";"0";"0";"1";"295";"1";"0";"295";"9";"4";"5";"0";"286";"33";"17";"154";"58";"24"
"7ad5-7897-bf83-fbb1-d302-d949-5a8a-7f42";"041106";"13";"6";"wieś";"stały";"Świetlica wiejska w Zagorzycach, Zagorzyce 21a, 88-200 Radziejów";"gm. Radziejów";"radziejowski";"kujawsko-pomorskie";"370";"423";"146";"224";"1";"0";"0";"0";"0";"0";"0";"0";"0";"224";"0";"0";"224";"8";"0";"8";"0";"216";"15";"8";"106";"65";"22"
"630b-a1ec-1ec8-06cf-effe-be95-9862-88c7";"041106";"13";"7";"wieś";"stały";"Przedszkole Gminne w Skibinie, Skibin 53, 88-200 Radziejów";"gm. Radziejów";"radziejowski";"kujawsko-pomorskie";"409";"444";"194";"215";"1";"0";"0";"0";"0";"0";"0";"0";"0";"215";"0";"0";"215";"1";"0";"1";"0";"214";"28";"24";"77";"66";"19"
"c24a-ae80-a698-90f0-5b0b-f25a-64aa-1c31";"041107";"13";"1";"wieś";"stały";"Świetlica Wiejska w Kamieńcu, Kamieniec 16a, 87-875 Topólka";"gm. Topólka";"radziejowski";"kujawsko-pomorskie";"429";"470";"207";"222";"0";"2";"0";"0";"0";"0";"0";"0";"0";"222";"0";"0";"222";"5";"2";"3";"0";"217";"11";"25";"117";"49";"15"
"5ad3-078b-8eb3-9cdf-7334-8cd3-a577-320b";"041107";"13";"2";"wieś";"stały";"Szkoła Podstawowa w Paniewie, Paniewo 18, 87-875 Topólka";"gm. Topólka";"radziejowski";"kujawsko-pomorskie";"730";"808";"337";"393";"1";"0";"0";"0";"0";"0";"0";"0";"0";"393";"0";"0";"393";"12";"4";"8";"0";"381";"22";"33";"199";"108";"19"
"5641-5127-fb55-379d-a868-bda0-e9cc-298e";"041107";"13";"3";"wieś";"stały";"Gminny Ośrodek Kultury w Topólce, Topólka 19, 87-875 Topólka";"gm. Topólka";"radziejowski";"kujawsko-pomorskie";"739";"805";"270";"469";"2";"0";"0";"0";"0";"0";"0";"0";"0";"469";"0";"0";"469";"6";"1";"5";"0";"463";"28";"36";"209";"152";"38"
"e088-93fa-7a24-12c9-2d83-0fe0-7edf-902d";"041107";"13";"4";"wieś";"stały";"Budynek byłej Szkoły Podstawowej w Znaniewie, Znaniewo 2, 87-875 Topólka";"gm. Topólka";"radziejowski";"kujawsko-pomorskie";"490";"539";"208";"282";"0";"2";"0";"0";"0";"0";"0";"0";"0";"282";"0";"0";"282";"9";"4";"5";"0";"273";"29";"21";"132";"64";"27"
"d877-2bf1-6232-5c78-f77c-8f50-569f-9d0b";"041107";"13";"5";"wieś";"stały";"Świetlica Wiejska w Sierakowach, Sierakowy 54, 87-875 Topólka";"gm. Topólka";"radziejowski";"kujawsko-pomorskie";"380";"421";"194";"186";"0";"3";"0";"0";"0";"0";"0";"0";"0";"186";"0";"0";"186";"4";"0";"4";"0";"182";"10";"14";"106";"28";"24"
"d522-4c3c-9245-3874-6256-1aa1-d730-ec2a";"041107";"13";"6";"wieś";"stały";"Remiza OSP w Orlu, Orle 54, 87-875 Topólka";"gm. Topólka";"radziejowski";"kujawsko-pomorskie";"280";"314";"105";"175";"0";"4";"0";"0";"0";"0";"0";"0";"0";"175";"0";"0";"175";"3";"1";"2";"0";"172";"9";"6";"82";"59";"16"
"640e-84a0-e226-2d07-53a4-537b-a181-9509";"041107";"13";"7";"wieś";"stały";"Szkoła Podstawowa w Topólce, Topólka 26, 87-875 Topólka";"gm. Topólka";"radziejowski";"kujawsko-pomorskie";"580";"648";"223";"357";"0";"6";"0";"0";"0";"0";"0";"0";"0";"357";"0";"0";"357";"13";"2";"11";"0";"344";"20";"25";"195";"72";"32"
"3444-807f-073c-0278-eff1-bc12-c5a4-80fa";"041801";"13";"1";"miasto";"stały";"Zespół Szkół CKR, Kazimierza Wielkiego 11, 87-820 Kowal";"m. Kowal";"włocławski";"kujawsko-pomorskie";"870";"946";"335";"535";"0";"1";"0";"0";"0";"0";"0";"0";"0";"535";"0";"0";"535";"12";"7";"5";"0";"523";"107";"31";"152";"149";"84"
"76f9-cead-6f74-a700-70c9-25fd-b680-18b3";"041801";"13";"2";"miasto";"stały";"Centrum Społeczno-Kulturalne Miasta Kowala, Kazimierza Wielkiego 10, 87-820 Kowal";"m. Kowal";"włocławski";"kujawsko-pomorskie";"831";"886";"330";"501";"2";"3";"0";"0";"0";"0";"0";"0";"0";"501";"0";"0";"501";"9";"1";"8";"0";"492";"99";"43";"110";"175";"65"
"7c66-7986-1d93-bf69-b4b0-eac6-b825-4efe";"041801";"13";"3";"miasto";"stały";"Remiza OSP, Zamkowa 4, 87-820 Kowal";"m. Kowal";"włocławski";"kujawsko-pomorskie";"809";"874";"317";"492";"1";"2";"0";"0";"0";"0";"0";"0";"0";"492";"0";"0";"492";"11";"4";"7";"0";"481";"99";"41";"104";"170";"67"
"701b-ccf8-8f8e-e082-b7c7-0b63-8397-58d3";"041801";"13";"4";"miasto";"dom pomocy społecznej";"Świetlica Domu Pomocy Społecznej w Kowalu, Kopernika 19, 87-820 Kowal";"m. Kowal";"włocławski";"kujawsko-pomorskie";"85";"70";"30";"55";"0";"0";"0";"0";"0";"0";"0";"0";"0";"55";"0";"0";"55";"1";"0";"1";"0";"54";"6";"5";"7";"8";"28"
"eb73-2357-21b8-ea58-e9b3-46f2-9d2e-5608";"041802";"13";"1";"wieś";"stały";"świetlica Zespołu Szkolno-Przedszkolnego, Baruchowo 19A, 87-821 Baruchowo";"gm. Baruchowo";"włocławski";"kujawsko-pomorskie";"630";"702";"221";"409";"0";"1";"0";"0";"0";"0";"0";"0";"0";"409";"0";"0";"409";"12";"2";"10";"0";"397";"76";"36";"130";"100";"55"
"2554-81c8-78dc-5c1c-28bf-fc69-4e6d-571d";"041802";"13";"2";"wieś";"stały";"świetlica Zespołu Szkolno-Przedszkolnego, Baruchowo 19A, 87-821 Baruchowo";"gm. Baruchowo";"włocławski";"kujawsko-pomorskie";"632";"695";"317";"315";"1";"5";"0";"0";"0";"0";"0";"0";"0";"315";"0";"0";"315";"9";"0";"9";"0";"306";"81";"8";"128";"56";"33"
"f0be-e53a-ef78-4730-f5c4-d4a9-1d0b-c3bd";"041802";"13";"3";"wieś";"stały";"Gminny Ośrodek Kultury, Sportu i Rekreacji, Baruchowo 19B, 87-821 Baruchowo";"gm. Baruchowo";"włocławski";"kujawsko-pomorskie";"473";"528";"221";"252";"2";"4";"0";"0";"0";"0";"0";"0";"0";"252";"0";"0";"252";"7";"1";"6";"0";"245";"47";"11";"114";"43";"30"
"19ce-7077-213d-39c9-3834-7ba4-1206-864f";"041802";"13";"4";"wieś";"stały";"Środowiskowy Dom Samopomocy, Czarne 11, 87-821 Baruchowo";"gm. Baruchowo";"włocławski";"kujawsko-pomorskie";"740";"837";"331";"409";"0";"16";"0";"0";"0";"0";"0";"0";"0";"409";"0";"0";"409";"9";"1";"8";"0";"400";"116";"19";"145";"58";"62"
"12c3-c47d-d578-a18c-06e9-f2c5-8e14-d174";"041802";"13";"5";"wieś";"dom pomocy społecznej";"Dom Pomocy Społecznej w Kurowie, Kurowo-Parcele 44, 87-821 Baruchowo";"gm. Baruchowo";"włocławski";"kujawsko-pomorskie";"46";"43";"14";"32";"0";"0";"0";"0";"0";"0";"0";"0";"0";"32";"0";"0";"32";"1";"1";"0";"0";"31";"2";"4";"19";"2";"4"
"f8c7-963e-c67c-86e2-e0f2-c06a-982f-ef7e";"041803";"13";"1";"wieś";"stały";"Szkoła Podstawowa w Boniewie, Szkolna 32, 87-851 Boniewo";"gm. Boniewo";"włocławski";"kujawsko-pomorskie";"702";"775";"345";"357";"1";"1";"0";"0";"0";"0";"0";"0";"0";"357";"0";"0";"357";"9";"0";"9";"0";"348";"33";"29";"165";"90";"31"
"de50-1d2d-4eaf-8c2b-1d8c-5c33-d2d3-61e6";"041803";"13";"2";"wieś";"stały";"Sala posiedzeń przy Hali Sportowej w Boniewie, Szkolna 32, 87-851 Boniewo";"gm. Boniewo";"włocławski";"kujawsko-pomorskie";"572";"635";"287";"285";"0";"4";"0";"0";"0";"0";"0";"0";"0";"285";"0";"0";"285";"7";"0";"7";"0";"278";"17";"15";"134";"73";"39"
"796e-8780-23b5-1fa5-6f23-c9b1-b27d-af14";"041803";"13";"3";"wieś";"stały";"Świetlica wiejska w Lubominie, Lubomin 52, 87-851 Boniewo";"gm. Boniewo";"włocławski";"kujawsko-pomorskie";"410";"457";"186";"224";"0";"1";"0";"0";"0";"0";"0";"0";"0";"224";"0";"0";"224";"5";"1";"4";"0";"219";"29";"15";"104";"45";"26"
"37b7-7fa8-16a2-ea75-29f4-97b9-1bcf-1e75";"041803";"13";"4";"wieś";"stały";"Budynek po Szkole Podstawowej w Osieczu Małym, Osiecz Mały 32, 87-851 Boniewo";"gm. Boniewo";"włocławski";"kujawsko-pomorskie";"502";"559";"255";"247";"1";"0";"0";"0";"0";"0";"0";"0";"0";"247";"0";"0";"247";"7";"1";"6";"0";"240";"27";"10";"110";"68";"25"
"dbdd-a8ec-247f-aa86-0bc0-9f9f-6f1b-7b7c";"041803";"13";"5";"wieś";"stały";"Świetlica wiejska w Kaniewie, Kaniewo 20, 87-890 Lubraniec";"gm. Boniewo";"włocławski";"kujawsko-pomorskie";"300";"333";"149";"151";"0";"0";"0";"0";"0";"0";"0";"0";"0";"151";"0";"0";"151";"2";"0";"2";"0";"149";"9";"5";"86";"33";"16"
"5b39-7e7b-7143-fb7c-8417-26ae-f36c-7656";"041804";"13";"1";"miasto";"stały";"Szkoła Podstawowa Nr 1, Królewska 21, 87-880 Brześć Kujawski";"gm. Brześć Kujawski";"włocławski";"kujawsko-pomorskie";"1039";"1115";"382";"657";"1";"9";"0";"0";"0";"0";"0";"0";"0";"657";"0";"0";"657";"16";"4";"12";"0";"641";"54";"36";"209";"292";"50"
"7988-5088-69ef-82ca-3a58-a298-5e33-6cb8";"041804";"13";"2";"miasto";"stały";"Szkoła Podstawowa Nr 2, Konarskiego 63, 87-880 Brześć Kujawski";"gm. Brześć Kujawski";"włocławski";"kujawsko-pomorskie";"1341";"1462";"601";"740";"2";"0";"0";"0";"0";"0";"0";"0";"0";"740";"0";"0";"740";"19";"6";"13";"0";"721";"56";"61";"255";"296";"53"
"c7fb-1b51-4f83-79c9-57af-d8d5-a1da-795b";"041804";"13";"3";"wieś";"stały";"Brzeskie Centrum Kultury, Narutowicza 15, 87-880 Brześć Kujawski";"gm. Brześć Kujawski";"włocławski";"kujawsko-pomorskie";"919";"1004";"426";"493";"0";"5";"0";"0";"0";"0";"0";"0";"0";"493";"0";"0";"493";"12";"6";"6";"0";"481";"31";"22";"230";"147";"51"
"2cd4-a860-144d-16b5-4b0b-1c17-ef51-7a9a";"041804";"13";"4";"wieś";"stały";"Szkoła Podstawowa, Wieniec Szkolna 1, 87-880 Brześć Kujawski";"gm. Brześć Kujawski";"włocławski";"kujawsko-pomorskie";"1610";"2083";"282";"1328";"0";"314";"0";"0";"0";"0";"0";"0";"0";"1328";"0";"0";"1328";"25";"6";"19";"0";"1303";"105";"93";"488";"529";"88"
"ac1f-e78d-0466-0e19-67f7-4569-fd46-eadf";"041804";"13";"5";"wieś";"stały";"Szkoła Podstawowa, Brzezie 63, 87-880 Brześć Kujawski";"gm. Brześć Kujawski";"włocławski";"kujawsko-pomorskie";"689";"766";"348";"341";"0";"0";"0";"0";"0";"0";"0";"0";"0";"341";"0";"0";"341";"5";"1";"4";"0";"336";"34";"20";"153";"93";"36"
"9080-c49d-6d70-8c17-e5fd-a93d-c417-08a3";"041804";"13";"6";"wieś";"stały";"Szkoła Podstawowa Nr 2, Konarskiego 63, 87-880 Brześć Kujawski";"gm. Brześć Kujawski";"włocławski";"kujawsko-pomorskie";"560";"624";"281";"279";"1";"0";"0";"0";"0";"0";"0";"0";"0";"279";"0";"0";"279";"3";"2";"1";"0";"276";"23";"9";"148";"63";"33"
"0858-2bf7-86d9-0213-8dd4-fdb5-e157-dca7";"041804";"13";"7";"wieś";"stały";"Internat ZSCKR, Stary Brześć 14, 87-880 Brześć Kujawski";"gm. Brześć Kujawski";"włocławski";"kujawsko-pomorskie";"609";"684";"274";"335";"0";"1";"0";"0";"0";"0";"0";"0";"0";"335";"0";"0";"335";"9";"3";"6";"0";"326";"25";"25";"152";"102";"22"
"a575-ff7f-c5ee-5291-7786-eee0-0141-b912";"041804";"13";"8";"wieś";"stały";"Szkoła Podstawowa, Kąkowa Wola 22, 87-880 Brześć Kujawski";"gm. Brześć Kujawski";"włocławski";"kujawsko-pomorskie";"442";"482";"182";"260";"0";"0";"0";"0";"0";"0";"0";"0";"0";"260";"0";"0";"260";"8";"2";"6";"0";"252";"22";"22";"105";"66";"37"
"530c-b9c2-be27-2a7b-310a-da19-f184-7370";"041804";"13";"9";"miasto";"stały";"Szkoła Podstawowa Nr 1, Królewska 21, 87-880 Brześć Kujawski";"gm. Brześć Kujawski";"włocławski";"kujawsko-pomorskie";"1000";"1082";"490";"510";"0";"0";"0";"0";"0";"0";"0";"0";"0";"510";"0";"0";"510";"12";"4";"8";"0";"498";"64";"44";"155";"198";"37"
"fb7b-1b0c-6fdb-aafa-92fb-d9a9-3ca9-73dc";"041805";"13";"1";"wieś";"stały";"Szkoła Podstawowa, Sikorskiego 12, 87-850 Choceń";"gm. Choceń";"włocławski";"kujawsko-pomorskie";"1361";"1509";"633";"728";"1";"3";"0";"0";"0";"0";"0";"0";"0";"728";"0";"0";"728";"15";"5";"10";"0";"713";"68";"35";"288";"233";"89"
"5cdd-9cb4-d202-6286-c371-456f-75b8-7360";"041805";"13";"2";"wieś";"stały";"Szkoła Podstawowa, Sikorskiego 12, 87-850 Choceń";"gm. Choceń";"włocławski";"kujawsko-pomorskie";"842";"932";"425";"417";"1";"0";"0";"0";"0";"0";"0";"0";"0";"417";"0";"0";"417";"7";"1";"6";"0";"410";"33";"19";"205";"113";"40"
"8afd-0fcc-4472-7d5c-5e18-2778-09db-c7d7";"041805";"13";"3";"wieś";"stały";"Szkoła Podstawowa, Śmiłowice 98, 87-850 Choceń";"gm. Choceń";"włocławski";"kujawsko-pomorskie";"767";"845";"360";"407";"2";"2";"0";"0";"0";"0";"0";"0";"0";"407";"0";"0";"407";"9";"2";"7";"0";"398";"56";"14";"164";"121";"43"
"7add-2fc8-e3b0-660a-c118-01c2-afaa-96d5";"041805";"13";"4";"wieś";"stały";"Przedszkole, Czerniewice Świętego Antoniego 14, 87-850 Choceń";"gm. Choceń";"włocławski";"kujawsko-pomorskie";"942";"1120";"420";"522";"5";"0";"0";"0";"0";"0";"0";"0";"0";"522";"0";"0";"522";"18";"6";"12";"0";"504";"66";"38";"189";"161";"50"
"b78a-9515-82f7-f1c3-31e0-00b8-8755-05d7";"041805";"13";"5";"wieś";"stały";"Remiza OSP, Szczutkowo 29, 87-850 Choceń";"gm. Choceń";"włocławski";"kujawsko-pomorskie";"370";"409";"212";"158";"1";"0";"0";"0";"0";"0";"0";"0";"0";"158";"0";"0";"158";"7";"3";"4";"0";"151";"10";"6";"89";"27";"19"
"0535-abe0-cbb6-f39a-1c8b-13d0-ce0f-7df9";"041805";"13";"6";"wieś";"stały";"Świetlica, Szczytno 32, 87-850 Choceń";"gm. Choceń";"włocławski";"kujawsko-pomorskie";"359";"400";"186";"173";"2";"1";"0";"0";"0";"0";"0";"0";"0";"173";"0";"0";"173";"6";"0";"6";"0";"167";"23";"9";"73";"36";"26"
"9a29-ead5-908e-c2d5-e671-6787-90ce-2c71";"041805";"13";"7";"wieś";"stały";"Remiza OSP, Wichrowice 56, 87-850 Choceń";"gm. Choceń";"włocławski";"kujawsko-pomorskie";"390";"427";"212";"178";"0";"1";"0";"0";"0";"0";"0";"0";"0";"178";"0";"0";"178";"4";"2";"2";"0";"174";"26";"13";"50";"62";"23"
"f474-d2da-42f1-0504-039b-e350-eded-cce5";"041805";"13";"8";"wieś";"stały";"Szkoła Podstawowa, Wilkowice 35, 87-850 Choceń";"gm. Choceń";"włocławski";"kujawsko-pomorskie";"723";"792";"375";"348";"4";"1";"0";"0";"0";"0";"0";"0";"0";"348";"0";"0";"348";"4";"2";"2";"0";"344";"40";"23";"160";"71";"50"
"4384-f8e4-714a-8a34-43a0-b612-f75b-83ca";"041805";"13";"9";"wieś";"dom pomocy społecznej";"Świetlica Domu Pomocy Społecznej w Wilkowiczkach, Wilkowiczki 25, 87-850 Choceń";"gm. Choceń";"włocławski";"kujawsko-pomorskie";"38";"37";"15";"23";"0";"0";"0";"0";"0";"0";"0";"0";"0";"23";"0";"0";"23";"7";"3";"4";"0";"16";"7";"2";"3";"2";"2"
"6080-efce-ecc6-efe3-0cf1-db9e-b2ee-ef54";"041806";"13";"1";"miasto";"stały";"Szkoła Podstawowa im. Tadeusza Kościuszki w Chodczu, Waryńskiego 20, 87-860 Chodecz";"gm. Chodecz";"włocławski";"kujawsko-pomorskie";"883";"974";"346";"537";"0";"15";"0";"0";"0";"0";"0";"0";"0";"537";"0";"0";"537";"12";"0";"12";"0";"525";"73";"33";"209";"164";"46"
"8c38-4dda-1f40-466a-d72c-c6b9-729a-b567";"041806";"13";"2";"miasto";"stały";"Szkoła Podstawowa im. Tadeusza Kościuszki w Chodczu, Waryńskiego 20, 87-860 Chodecz";"gm. Chodecz";"włocławski";"kujawsko-pomorskie";"532";"566";"209";"323";"0";"3";"0";"0";"0";"0";"0";"0";"0";"323";"0";"0";"323";"9";"4";"5";"0";"314";"50";"20";"116";"91";"37"
"5cee-eab9-f8f7-7d98-073e-032c-a89c-24c9";"041806";"13";"3";"miasto";"stały";"Zespół Szkół im. Władysława Reymonta w Chodczu, Kaliska 9 - 11, 87-860 Chodecz";"gm. Chodecz";"włocławski";"kujawsko-pomorskie";"882";"959";"498";"384";"1";"0";"0";"0";"0";"0";"0";"0";"0";"384";"0";"0";"384";"7";"3";"4";"0";"377";"50";"22";"179";"86";"40"
"0966-8002-b6bc-f3e8-8c13-da0a-8c03-3053";"041806";"13";"4";"miasto";"stały";"Szkoła Podstawowa im. Tadeusza Kościuszki w Chodczu, Waryńskiego 20, 87-860 Chodecz";"gm. Chodecz";"włocławski";"kujawsko-pomorskie";"930";"1034";"539";"391";"0";"0";"0";"0";"0";"0";"0";"0";"0";"391";"0";"0";"391";"13";"5";"8";"0";"378";"37";"25";"186";"89";"41"
"7108-76bd-61b3-1245-1cdb-c0bb-0e14-4f25";"041806";"13";"5";"miasto";"stały";"Szkoła Podstawowa im. Tadeusza Kościuszki w Chodczu, Waryńskiego 20, 87-860 Chodecz";"gm. Chodecz";"włocławski";"kujawsko-pomorskie";"619";"705";"380";"239";"0";"6";"0";"0";"0";"0";"0";"0";"0";"239";"0";"0";"239";"9";"5";"4";"0";"230";"13";"15";"128";"49";"25"
"b094-5c6a-80ce-8b63-2bdb-710a-781d-7c6c";"041806";"13";"6";"wieś";"stały";"Remiza Ochotniczej Straży Pożarnej w Cettach, Cetty 40, 87-860 Chodecz";"gm. Chodecz";"włocławski";"kujawsko-pomorskie";"620";"680";"372";"248";"0";"0";"0";"0";"0";"0";"0";"0";"0";"248";"0";"0";"248";"3";"1";"2";"0";"245";"24";"15";"138";"37";"31"
"0ef7-a475-2ec2-bcef-a013-d28c-548c-5cee";"041807";"13";"1";"wieś";"stały";"Szkoła Podstawowa im. Kazimierza III Wielkiego, Szpetal Górny Szkolna 1, 87-811 Fabianki";"gm. Fabianki";"włocławski";"kujawsko-pomorskie";"1650";"1784";"473";"1177";"3";"8";"0";"0";"0";"0";"0";"0";"0";"1177";"0";"0";"1177";"20";"5";"15";"0";"1157";"87";"67";"297";"627";"79"
"0c10-d547-84ed-e0f7-f225-4d3d-a484-850b";"041807";"13";"2";"wieś";"stały";"Szkoła Podstawowa im. Orła Białego, Cyprianka 107, 87-811 Fabianki";"gm. Fabianki";"włocławski";"kujawsko-pomorskie";"1519";"1652";"754";"765";"0";"22";"0";"0";"0";"0";"0";"0";"0";"765";"0";"0";"765";"18";"12";"6";"0";"747";"56";"50";"289";"280";"72"
"f0b4-f89f-0007-561e-5da8-365e-9f01-f997";"041807";"13";"3";"wieś";"stały";"Szkoła Podstawowa, Nasiegniewo 68, 87-811 Fabianki";"gm. Fabianki";"włocławski";"kujawsko-pomorskie";"1260";"1357";"549";"711";"0";"0";"0";"0";"0";"0";"0";"0";"0";"711";"0";"0";"711";"13";"2";"11";"0";"698";"62";"47";"299";"226";"64"
"d264-a6e2-2818-e2e8-c125-777b-b140-2830";"041807";"13";"4";"wieś";"stały";"Szkoła Podstawowa im. Jerzego Pietrkiewicza, Fabianki 1, 87-811 Fabianki";"gm. Fabianki";"włocławski";"kujawsko-pomorskie";"1360";"1491";"674";"686";"1";"3";"0";"0";"0";"0";"0";"0";"0";"686";"0";"0";"686";"16";"5";"11";"0";"670";"49";"55";"237";"276";"53"
"74e7-b3b0-3c6a-fef3-85c8-fda9-0e67-5716";"041807";"13";"5";"wieś";"stały";"Szkoła Podstawowa im. Jerzego Pietrkiewicza, Fabianki 1, 87-811 Fabianki";"gm. Fabianki";"włocławski";"kujawsko-pomorskie";"1300";"1417";"540";"760";"1";"1";"0";"0";"0";"0";"0";"0";"0";"760";"0";"0";"760";"10";"3";"7";"0";"750";"70";"66";"215";"325";"74"
"afcf-415d-a362-3b53-61bf-c7dd-ce96-ca6a";"041808";"13";"1";"miasto";"stały";"Szkoła Podstawowa Nr 1, Tymieniecka 1, 87-865 Izbica Kujawska";"gm. Izbica Kujawska";"włocławski";"kujawsko-pomorskie";"1150";"1260";"508";"642";"0";"2";"0";"0";"0";"0";"0";"0";"0";"642";"0";"0";"642";"7";"0";"7";"0";"635";"55";"25";"306";"171";"78"
"1c93-ed7a-5ebb-866a-92ec-ca7c-dca9-09ea";"041808";"13";"2";"wieś";"stały";"Zespół Szkół w Izbicy Kujawskiej, Nowomiejska 5, 87-865 Izbica Kujawska";"gm. Izbica Kujawska";"włocławski";"kujawsko-pomorskie";"1199";"1325";"523";"676";"0";"0";"0";"0";"0";"0";"0";"0";"0";"676";"0";"0";"676";"19";"8";"11";"0";"657";"49";"39";"411";"112";"46"
"3a8d-33a9-1d3a-4153-9282-3133-cfc8-5663";"041808";"13";"3";"wieś";"stały";"Szkoła Podstawowa Nr 2, Nowomiejska 3, 87-865 Izbica Kujawska";"gm. Izbica Kujawska";"włocławski";"kujawsko-pomorskie";"649";"729";"322";"327";"0";"2";"0";"0";"0";"0";"0";"0";"0";"327";"0";"0";"327";"3";"1";"2";"0";"324";"20";"16";"190";"69";"29"
"ba44-6c75-95cc-83b4-cbc2-0eb9-5531-ee06";"041808";"13";"4";"wieś";"stały";"Szkoła Podstawowa w Błennie, Błenna 2, 87-865 Izbica Kujawska";"gm. Izbica Kujawska";"włocławski";"kujawsko-pomorskie";"1000";"1096";"479";"521";"0";"2";"0";"0";"0";"0";"0";"0";"0";"521";"0";"0";"521";"8";"1";"7";"0";"513";"34";"26";"348";"61";"44"
"865e-9f9f-8a62-9814-ab74-b38e-b945-13b9";"041808";"13";"5";"miasto";"stały";"Świetlica SM „Zgoda”, Polna 1a, 87-865 Izbica Kujawska";"gm. Izbica Kujawska";"włocławski";"kujawsko-pomorskie";"752";"811";"346";"406";"0";"0";"0";"0";"0";"0";"0";"0";"0";"406";"0";"0";"406";"4";"0";"4";"0";"402";"37";"25";"179";"114";"47"
"200b-5087-29a1-8fa9-2881-dafe-cf71-fc2e";"041808";"13";"6";"wieś";"stały";"Szkoła Podstawowa Nr 2, Nowomiejska 3, 87-865 Izbica Kujawska";"gm. Izbica Kujawska";"włocławski";"kujawsko-pomorskie";"738";"828";"344";"394";"0";"1";"0";"0";"0";"0";"0";"0";"0";"394";"0";"0";"394";"8";"2";"6";"0";"386";"26";"14";"252";"49";"45"
"2cce-134f-22b7-be9f-b802-1b0e-b18e-d5c2";"041809";"13";"1";"wieś";"stały";"Urząd Gminy w Kowalu, Piwna 33, 87-820 Kowal";"gm. Kowal";"włocławski";"kujawsko-pomorskie";"1190";"1311";"538";"652";"0";"5";"0";"0";"0";"0";"0";"0";"0";"652";"0";"0";"652";"12";"5";"7";"0";"640";"124";"30";"244";"125";"117"
