"Kod TERYT";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Artur Ryszard PIEGDOŃ";"Sławomir SADOWSKI";"Jerzy WCISŁA";"Liczba obwodów"
"280100";"bartoszycki";"warmińsko-mazurskie";43039;46275;20511;22528;22;215;0;0;0;0;0;0;0;22528;0;0;22528;611;116;495;0;21917;3800;9423;8694;45
"280200";"braniewski";"warmińsko-mazurskie";30358;32835;14356;16003;32;112;0;0;0;0;0;0;0;16002;0;0;16002;375;101;274;0;15627;3156;6292;6179;37
"280400";"elbląski";"warmińsko-mazurskie";41076;44717;19686;21390;19;94;1;1;0;0;1;0;0;21387;0;5;21382;425;93;332;0;20957;3319;9271;8367;43
"280900";"lidzbarski";"warmińsko-mazurskie";29774;32384;13270;16503;22;138;2;2;0;0;0;0;2;16504;2;0;16504;466;103;363;0;16038;2736;6685;6617;34
"286100";"Elbląg";"warmińsko-mazurskie";83772;90392;29492;54280;56;331;9;9;2;0;0;0;7;54281;7;1;54280;1038;272;766;0;53242;6699;19378;27165;62
