"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Jan Filip LIBICKI";"Jerzy Stanisław WIERZCHOWIECKI"
"6f7c-0f03-b946-4151-e765-d3d0-a5f6-511f";"300501";"89";"1";"wieś";"stały";"Zespół Szkolno-Przedszkolny, ul. Konstytucji 3 Maja 1, 62-066 Granowo";"gm. Granowo";"grodziski";"wielkopolskie";"1054";"1153";"364";"690";"1";"5";"0";"0";"0";"0";"0";"0";"0";"690";"0";"0";"690";"27";"10";"17";"0";"663";"346";"317"
"a992-c501-1b5f-79e9-c90a-c379-d602-8342";"300501";"89";"2";"wieś";"stały";"Zespół Szkolno-Przedszkolny, ul. Konstytucji 3 Maja 1, 62-066 Granowo";"gm. Granowo";"grodziski";"wielkopolskie";"850";"924";"227";"623";"0";"2";"0";"0";"0";"0";"0";"0";"0";"623";"0";"0";"623";"19";"4";"15";"0";"604";"328";"276"
"6c8d-101a-1e84-8de6-181c-4729-26ab-63ee";"300501";"89";"3";"wieś";"stały";"Szkoła Podstawowa, Bielawy, 62-066 Granowo";"gm. Granowo";"grodziski";"wielkopolskie";"416";"457";"167";"249";"0";"2";"0";"0";"0";"0";"0";"0";"0";"249";"0";"0";"249";"12";"1";"11";"0";"237";"99";"138"
"d26a-dcd8-5774-7ba5-2f38-757c-2e5b-7085";"300501";"89";"4";"wieś";"stały";"Zespół Szkolno-Przedszkolny, ul. Szkolna 4, 62-066 Granowo";"gm. Granowo";"grodziski";"wielkopolskie";"1196";"1331";"509";"687";"1";"2";"0";"0";"0";"0";"0";"0";"0";"687";"0";"0";"687";"33";"5";"28";"0";"654";"283";"371"
"5cf0-7d0d-76e4-a9d5-7e26-f3e5-fef4-e0bc";"300502";"89";"1";"miasto";"stały";"Szkoła Podstawowa Nr1, ul. Chopina 26, 62-065 Grodzisk Wielkopolski";"gm. Grodzisk Wielkopolski";"grodziski";"wielkopolskie";"1930";"2103";"510";"1420";"1";"11";"0";"0";"0";"0";"0";"0";"0";"1419";"0";"0";"1419";"38";"17";"21";"0";"1381";"892";"489"
"0019-912c-8cf0-9796-188e-13d8-7e10-58da";"300502";"89";"2";"miasto";"stały";"Centrum Kultury ""RONDO"", ul. Kolejowa 12, 62-065 Grodzisk Wielkopolski";"gm. Grodzisk Wielkopolski";"grodziski";"wielkopolskie";"1789";"1959";"540";"1249";"1";"9";"0";"0";"0";"0";"0";"0";"0";"1248";"0";"0";"1248";"34";"7";"27";"0";"1214";"724";"490"
"a63f-3e4b-9bd3-16e2-b55d-eef5-6c4e-0180";"300502";"89";"3";"miasto";"stały";"Szkoła Podstawowa Nr 2, ul. 3 Maja 5, 62-065 Grodzisk Wielkopolski";"gm. Grodzisk Wielkopolski";"grodziski";"wielkopolskie";"1040";"1141";"376";"664";"0";"2";"0";"0";"0";"0";"0";"0";"0";"664";"0";"0";"664";"28";"2";"26";"0";"636";"376";"260"
"9371-01dc-c29d-baf5-00cf-56c1-6b1e-51dc";"300502";"89";"4";"miasto";"stały";"Przedszkole Publiczne ""Chatka Puchatka"", ul. Winna 12, 62-065 Grodzisk Wielkopolski";"gm. Grodzisk Wielkopolski";"grodziski";"wielkopolskie";"1817";"1992";"416";"1401";"0";"7";"0";"0";"0";"0";"0";"0";"0";"1401";"0";"0";"1401";"43";"15";"28";"0";"1358";"849";"509"
"84a4-627c-5ba0-b19d-06df-c01c-bb8d-9c12";"300502";"89";"5";"miasto";"stały";"Świetlica Zespołu Szkół Technicznych, ul. Żwirki i Wigury 2, 62-065 Grodzisk Wielkopolski";"gm. Grodzisk Wielkopolski";"grodziski";"wielkopolskie";"1900";"2088";"531";"1369";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1369";"0";"0";"1369";"48";"14";"34";"0";"1321";"813";"508"
"3fda-0288-b804-d942-2f75-bd3a-5641-1731";"300502";"89";"6";"wieś";"stały";"Szkoła Podstawowa w Ptaszkowie, Ptaszkowo 31A, 62-065 Grodzisk Wielkopolski";"gm. Grodzisk Wielkopolski";"grodziski";"wielkopolskie";"909";"977";"412";"497";"0";"3";"0";"0";"0";"0";"0";"0";"0";"497";"0";"0";"497";"10";"0";"10";"0";"487";"229";"258"
"ebd3-6f6e-091c-bb08-c0c5-97e6-504a-6599";"300502";"89";"7";"wieś";"stały";"Szkoła Podstawowa Nr1, ul. Chopina 26, 62-065 Grodzisk Wielkopolski";"gm. Grodzisk Wielkopolski";"grodziski";"wielkopolskie";"1949";"2136";"899";"1048";"0";"3";"1";"1";"0";"0";"0";"0";"1";"1049";"1";"0";"1049";"31";"8";"23";"0";"1018";"564";"454"
"ef84-fafe-52b3-d530-a4f4-c658-8876-0686";"300502";"89";"8";"miasto";"stały";"Liceum Ogólnokształcące, ul. 3 Maja 7, 62-065 Grodzisk Wielkopolski";"gm. Grodzisk Wielkopolski";"grodziski";"wielkopolskie";"1670";"1816";"612";"1058";"1";"4";"0";"0";"0";"0";"0";"0";"0";"1058";"0";"0";"1058";"31";"22";"9";"0";"1027";"623";"404"
"15c2-a6ad-7ef6-f429-b98d-7a41-1819-0d34";"300502";"89";"9";"wieś";"stały";"Szkoła Podstawowa w Kąkolewie, Kąkolewo 64, 62-065 Grodzisk Wielkopolski";"gm. Grodzisk Wielkopolski";"grodziski";"wielkopolskie";"780";"849";"343";"437";"0";"3";"0";"0";"0";"0";"0";"0";"0";"437";"0";"0";"437";"13";"1";"12";"0";"424";"214";"210"
"8d3b-3b77-056b-9011-654f-d7a2-ac90-6d1a";"300502";"89";"10";"miasto";"zakład leczniczy";"Samodzielny Publiczny Zakład Opieki Zdrowotnej, ul. Mossego 3, 62-065 Grodzisk Wielkopolski";"gm. Grodzisk Wielkopolski";"grodziski";"wielkopolskie";"65";"41";"43";"22";"0";"1";"0";"0";"0";"0";"0";"0";"0";"22";"0";"0";"22";"1";"0";"1";"0";"21";"8";"13"
"4a57-4244-2944-dfde-ba99-c6f7-ad8b-159a";"300503";"89";"1";"wieś";"stały";"Szkoła Podstawowa, wejście ul. Słoneczna 2, 64-061 Kamieniec";"gm. Kamieniec";"grodziski";"wielkopolskie";"889";"979";"212";"677";"1";"5";"0";"0";"0";"0";"0";"0";"0";"677";"0";"0";"677";"10";"2";"8";"0";"667";"413";"254"
"f522-dd6f-fae3-8ee7-7bad-78ee-2da3-b88a";"300503";"89";"2";"wieś";"stały";"Szkoła Podstawowa, ul. Stawowa 28, 64-061 Kamieniec";"gm. Kamieniec";"grodziski";"wielkopolskie";"909";"995";"433";"476";"1";"4";"0";"0";"0";"0";"0";"0";"0";"476";"0";"0";"476";"17";"3";"14";"0";"459";"236";"223"
"1ff8-20b2-32c9-cecd-9ccf-43d1-77b2-1bd3";"300503";"89";"3";"wieś";"stały";"Szkoła Podstawowa, Konojad ul. Szkolna 15, 64-060 Wolkowo";"gm. Kamieniec";"grodziski";"wielkopolskie";"1038";"1143";"425";"613";"0";"2";"0";"0";"0";"0";"0";"0";"0";"613";"0";"0";"613";"24";"5";"19";"0";"589";"286";"303"
"35f9-ff90-1729-04f4-ee27-be58-5e14-cbea";"300503";"89";"4";"wieś";"stały";"Świetlica wiejska, Łęki Wielkie 57, 64-060 Wolkowo";"gm. Kamieniec";"grodziski";"wielkopolskie";"868";"966";"351";"517";"0";"2";"0";"0";"0";"0";"0";"0";"0";"517";"0";"0";"517";"12";"0";"12";"0";"505";"241";"264"
"5c09-b9f2-bed8-1a78-637c-3083-85a2-9f3b";"300503";"89";"5";"wieś";"stały";"Szkoła Podstawowa, Parzęczewo 25, 64-061 Kamieniec";"gm. Kamieniec";"grodziski";"wielkopolskie";"921";"1009";"341";"580";"0";"0";"0";"0";"0";"0";"0";"0";"0";"580";"0";"0";"580";"11";"1";"10";"0";"569";"312";"257"
"83aa-7951-e3ec-ca13-ce00-4869-b71a-5f8f";"300504";"89";"1";"miasto";"stały";"Dom Kultury, ul. Krystyny 30, 62-067 Rakoniewice";"gm. Rakoniewice";"grodziski";"wielkopolskie";"1730";"1868";"543";"1187";"2";"1";"0";"0";"0";"0";"0";"0";"0";"1187";"0";"0";"1187";"42";"7";"35";"0";"1145";"676";"469"
