"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Zbigniew KARCIŃSKI";"Dariusz Zbigniew KLICH";"Kazimierz Adam WIATR"
"8388-359d-5ff1-5dd0-1a66-0bf3-026e-9795";"120402";"35";"9";"wieś";"stały";"Dom Ludowy, Lipiny 46A, 33-206 Luszowice";"gm. Dąbrowa Tarnowska";"dąbrowski";"małopolskie";"499";"549";"189";"310";"0";"0";"0";"0";"0";"0";"0";"0";"0";"310";"0";"0";"310";"5";"0";"5";"0";"305";"44";"35";"226"
"823c-d618-7b77-155a-f344-cc58-4394-cfc5";"120402";"35";"10";"wieś";"stały";"Dom Ludowy, Nieczajna Dolna 35b, 33-205 Nieczajna Górna";"gm. Dąbrowa Tarnowska";"dąbrowski";"małopolskie";"452";"486";"230";"222";"0";"0";"0";"0";"0";"0";"0";"0";"0";"222";"0";"0";"222";"1";"0";"1";"0";"221";"30";"4";"187"
"007e-07c4-ea7f-1dbe-c230-026a-4a2b-62e1";"120402";"35";"11";"wieś";"stały";"Publiczna Szkoła Podstawowa, Nieczajna Górna 337, 33-205 Nieczajna Górna";"gm. Dąbrowa Tarnowska";"dąbrowski";"małopolskie";"1016";"1104";"490";"526";"0";"3";"0";"0";"0";"0";"0";"0";"0";"526";"0";"0";"526";"14";"2";"12";"0";"512";"75";"46";"391"
"da29-b06b-d99c-e2fa-1d3f-0faa-e2ea-e5da";"120402";"35";"12";"wieś";"stały";"Publiczna Szkoła Podstawowa, Smęgorzów 330, 33-202 Smęgorzów";"gm. Dąbrowa Tarnowska";"dąbrowski";"małopolskie";"926";"1015";"398";"528";"1";"1";"0";"0";"0";"0";"0";"0";"0";"528";"0";"0";"528";"10";"2";"8";"0";"518";"90";"24";"404"
"f1b1-9bb0-e0bb-7e0c-8cd4-659f-b23c-f235";"120402";"35";"13";"wieś";"stały";"Budynek byłej Szkoły Podstawowej, Sutków 88, 33-202 Smęgorzów";"gm. Dąbrowa Tarnowska";"dąbrowski";"małopolskie";"318";"351";"128";"190";"0";"0";"0";"0";"0";"0";"0";"0";"0";"190";"0";"0";"190";"8";"0";"8";"0";"182";"23";"8";"151"
"fed1-38bf-ae51-2be6-cadb-2e8f-ae71-ce8a";"120402";"35";"14";"wieś";"stały";"Publiczna Szkoła Podstawowa, Szarwark 2, 33-200 Dąbrowa Tarnowska";"gm. Dąbrowa Tarnowska";"dąbrowski";"małopolskie";"665";"732";"235";"430";"1";"2";"0";"0";"0";"0";"0";"0";"0";"430";"0";"0";"430";"7";"1";"6";"0";"423";"52";"40";"331"
"f8af-f534-008c-78de-393f-0de4-7570-bfdf";"120402";"35";"15";"wieś";"stały";"Centrum Kulturalno-Społeczne, Żelazówka 115A, 33-200 Dąbrowa Tarnowska";"gm. Dąbrowa Tarnowska";"dąbrowski";"małopolskie";"410";"444";"119";"291";"0";"0";"0";"0";"0";"0";"0";"0";"0";"291";"0";"0";"291";"13";"1";"12";"0";"278";"29";"12";"237"
"ae02-63b1-fa85-d9d1-2e12-f97a-9876-0b77";"120402";"35";"16";"wieś";"stały";"Publiczna Szkoła Podstawowa, Gruszów Wielki 210, 33-200 Dąbrowa Tarnowska";"gm. Dąbrowa Tarnowska";"dąbrowski";"małopolskie";"900";"989";"404";"496";"0";"1";"0";"0";"0";"0";"0";"0";"0";"496";"0";"0";"496";"17";"0";"17";"0";"479";"61";"38";"380"
"dcd3-03dd-b7c6-631d-7330-bf11-b861-887d";"120402";"35";"17";"wieś";"stały";"Centrum Kulturalno-Społeczne, Laskówka Chorąska ul. Centralna 111, 33-200 Dąbrowa Tarnowska";"gm. Dąbrowa Tarnowska";"dąbrowski";"małopolskie";"501";"551";"168";"333";"0";"1";"0";"0";"0";"0";"0";"0";"0";"333";"0";"0";"333";"7";"0";"7";"0";"326";"49";"35";"242"
"c921-439f-324f-52f6-2676-c550-5af4-6206";"120402";"35";"18";"wieś";"stały";"Budynek byłej Szkoły Podstawowej, Morzychna 69, 33-240 Żabno";"gm. Dąbrowa Tarnowska";"dąbrowski";"małopolskie";"274";"300";"69";"205";"0";"1";"0";"0";"0";"0";"0";"0";"0";"205";"0";"0";"205";"2";"1";"1";"0";"203";"24";"15";"164"
