"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Stanisław GOGACZ";"Arkadiusz KASZNIA";"Wojciech MATEŃKA";"Marcin WALASEK"
"7bc1-59d9-5d30-e5f4-1a6b-39ae-cc28-2a5b";"060801";"14";"1";"miasto";"stały";"Przedszkole Miejskie Nr 1, ul. 3 Maja 24b, 21-100 Lubartów";"m. Lubartów";"lubartowski";"lubelskie";"1900";"2044";"607";"1293";"2";"2";"0";"0";"0";"0";"0";"0";"0";"1293";"0";"0";"1293";"38";"16";"22";"0";"1255";"650";"445";"90";"70"
"0ff9-90aa-398a-feaf-f80f-2067-75bd-5e2d";"060801";"14";"2";"miasto";"stały";"Zespół Szkół Nr 2, ul. Chopina 6, 21-100 Lubartów";"m. Lubartów";"lubartowski";"lubelskie";"1839";"1976";"580";"1259";"1";"8";"0";"0";"0";"0";"0";"0";"0";"1259";"0";"0";"1259";"30";"7";"23";"0";"1229";"604";"461";"91";"73"
"ffd9-18e0-766e-636f-7137-59ae-1e69-f994";"060801";"14";"3";"miasto";"stały";"Szkoła Podstawowa Nr 4, ul. Kosmonautów 11, 21-100 Lubartów";"m. Lubartów";"lubartowski";"lubelskie";"1541";"1651";"499";"1042";"1";"8";"0";"0";"0";"0";"0";"0";"0";"1042";"0";"0";"1042";"27";"4";"23";"0";"1015";"577";"276";"98";"64"
"04d9-c5a9-1b36-6d57-b2de-3fe0-c606-2c06";"060801";"14";"4";"miasto";"stały";"Przedsiębiorstwo Gospodarki Komunalnej w Lubartowie Sp. z o. o., ul. Parkowa 6, 21-100 Lubartów";"m. Lubartów";"lubartowski";"lubelskie";"1373";"1494";"437";"936";"1";"5";"0";"0";"0";"0";"0";"0";"0";"936";"0";"0";"936";"29";"6";"23";"0";"907";"458";"335";"54";"60"
"298f-cdf5-0aed-d6af-4036-d321-8168-6029";"060801";"14";"5";"miasto";"stały";"Lubartowski Ośrodek Kultury w Lubartowie, ul. Rynek II 1, 21-100 Lubartów";"m. Lubartów";"lubartowski";"lubelskie";"1050";"1110";"378";"672";"5";"2";"0";"0";"0";"0";"0";"0";"0";"672";"0";"0";"672";"15";"2";"13";"0";"657";"325";"234";"49";"49"
"57a0-53cd-ce55-514d-bbe9-c343-4f3a-7fb0";"060801";"14";"6";"miasto";"stały";"Szkoła Podstawowa Nr 1, ul. Legionów 3, 21-100 Lubartów";"m. Lubartów";"lubartowski";"lubelskie";"1194";"1282";"407";"787";"4";"3";"0";"0";"0";"0";"0";"0";"0";"787";"0";"0";"787";"24";"8";"16";"0";"763";"357";"294";"55";"57"
"7705-ecb8-59bc-570b-5977-2df2-36ae-eded";"060801";"14";"7";"miasto";"stały";"Miejska Biblioteka Publiczna, ul. Lubelska 36, 21-100 Lubartów";"m. Lubartów";"lubartowski";"lubelskie";"1158";"1251";"345";"813";"0";"8";"0";"0";"0";"0";"0";"0";"0";"811";"0";"0";"811";"9";"3";"6";"0";"802";"405";"271";"75";"51"
"8310-4545-29c2-889c-bda4-c1a6-9765-9318";"060801";"14";"8";"miasto";"stały";"II Liceum Ogólnokształcące, ul. Lubelska 68, 21-100 Lubartów";"m. Lubartów";"lubartowski";"lubelskie";"1308";"1420";"389";"919";"2";"7";"0";"0";"0";"0";"0";"0";"0";"918";"0";"0";"918";"21";"6";"15";"0";"897";"486";"282";"64";"65"
"9e81-617d-2b52-76ba-c126-0110-5821-238f";"060801";"14";"9";"miasto";"stały";"Regionalne Centrum Edukacji Zawodowej, ul. 1 Maja 82, 21-100 Lubartów";"m. Lubartów";"lubartowski";"lubelskie";"1583";"1700";"517";"1066";"3";"3";"0";"0";"0";"0";"0";"0";"0";"1066";"0";"0";"1066";"21";"5";"16";"0";"1045";"557";"362";"59";"67"
"8794-3ea2-a55b-9d5c-b0a1-abc9-cc8e-94c1";"060801";"14";"10";"miasto";"stały";"Szkoła Podstawowa Nr 3 w Lubartowie, ul. I Maja 66 - 74, 21-100 Lubartów";"m. Lubartów";"lubartowski";"lubelskie";"1406";"1511";"416";"990";"0";"4";"0";"0";"0";"0";"0";"0";"0";"990";"0";"0";"990";"24";"9";"15";"0";"966";"487";"358";"62";"59"
