"Kod TERYT";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Jan Maria JACKOWSKI";"Andrzej Juliusz KAMASA";"Piotr Daniel MIERZWA";"Liczba obwodów"
"140200";"ciechanowski";"mazowieckie";64822;71087;23977;40841;45;163;2;2;0;0;0;0;2;40838;2;0;40838;926;208;718;0;39912;22206;12525;5181;57
"141300";"mławski";"mazowieckie";52156;57065;20943;31222;37;171;2;2;0;0;0;0;2;31222;2;0;31222;792;150;642;0;30430;17670;8705;4055;53
"142000";"płoński";"mazowieckie";63055;69514;26275;36779;46;213;4;4;0;0;0;0;4;36779;4;1;36778;866;153;713;0;35912;20340;11432;4140;76
"142200";"przasnyski";"mazowieckie";37483;41166;15024;22459;33;98;0;0;0;0;0;0;0;22456;0;0;22456;536;73;463;0;21920;13799;5393;2728;61
"143700";"żuromiński";"mazowieckie";28430;31093;11708;16722;34;81;1;1;0;0;0;0;1;16722;1;1;16721;437;77;360;0;16284;9793;4598;1893;29
