"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Jarosław Wojciech OBREMSKI";"Dariusz Paweł STASIAK";"Bogdan Andrzej ZDROJEWSKI"
"6d92-7566-a7b8-00bc-1350-51b2-9d1b-f5fa";"020401";"6";"11";"wieś";"stały";"Zespół Szkoła Podstawowa i Przedszkole, Witoszyce 10, 56-200 Góra";"gm. Góra";"górowski";"dolnośląskie";"899";"1015";"476";"423";"0";"0";"0";"0";"0";"0";"0";"0";"0";"423";"0";"0";"423";"7";"1";"6";"0";"416";"218";"76";"122"
"6d0d-df08-985e-e146-81b8-4522-d65d-ef69";"020402";"6";"1";"wieś";"stały";"Dom Kultury, Luboszyce 15, 56-209 Jemielno";"gm. Jemielno";"górowski";"dolnośląskie";"900";"956";"444";"456";"0";"3";"0";"0";"0";"0";"0";"0";"0";"456";"0";"0";"456";"10";"1";"9";"0";"446";"243";"60";"143"
"5b58-a05e-63f0-7238-6ff3-6c69-b050-b37d";"020402";"6";"2";"wieś";"stały";"Urząd Gminy Jemielno, Jemielno 81, 56-209 Jemielno";"gm. Jemielno";"górowski";"dolnośląskie";"700";"818";"298";"402";"3";"2";"0";"0";"0";"0";"0";"0";"0";"402";"0";"0";"402";"11";"3";"8";"0";"391";"230";"107";"54"
"cf2a-acf8-02e9-c2d4-cb43-bcf4-4708-7308";"020402";"6";"3";"wieś";"stały";"Świetlica Wiejska, Psary 44, 56-209 Jemielno";"gm. Jemielno";"górowski";"dolnośląskie";"599";"631";"309";"290";"2";"2";"0";"0";"0";"0";"0";"0";"0";"290";"0";"0";"290";"5";"1";"4";"0";"285";"190";"39";"56"
"fa98-3267-c9dd-edb8-66ec-94a7-7789-ec86";"020403";"6";"1";"wieś";"stały";"Zespół Szkół w Sicinach, Siciny 78, 56-215 Niechlów";"gm. Niechlów";"górowski";"dolnośląskie";"1000";"1173";"452";"548";"1";"0";"0";"0";"0";"0";"0";"0";"0";"548";"0";"0";"548";"9";"1";"8";"0";"539";"313";"72";"154"
"a679-9222-fc68-2a9e-0d2a-5844-fbd1-124a";"020403";"6";"2";"wieś";"stały";"Gminny Ośrodek Kultury, ul. Dworcowa 9, 56-215 Niechlów";"gm. Niechlów";"górowski";"dolnośląskie";"901";"1000";"404";"497";"0";"0";"0";"0";"0";"0";"0";"0";"0";"497";"0";"0";"497";"5";"1";"4";"0";"492";"294";"71";"127"
"aa66-aeb7-1ce6-2dc6-9fd2-1cf7-3196-7c61";"020403";"6";"3";"wieś";"stały";"Świetlica wiejska, Lipowiec 16, 56-215 Niechlów";"gm. Niechlów";"górowski";"dolnośląskie";"800";"890";"391";"409";"0";"2";"0";"0";"0";"0";"0";"0";"0";"409";"0";"0";"409";"9";"2";"7";"0";"400";"260";"50";"90"
"6e66-b6f3-de3a-d9ff-95a9-5cb9-94ac-7476";"020403";"6";"4";"wieś";"stały";"Dom Pomocy Społecznej, Wroniniec 59, 56-215 Niechlów";"gm. Niechlów";"górowski";"dolnośląskie";"698";"708";"328";"370";"0";"0";"0";"0";"0";"0";"0";"0";"0";"370";"0";"0";"370";"3";"0";"3";"0";"367";"209";"40";"118"
"6df5-95f3-d457-9c36-922b-46e6-59fc-a05a";"020404";"6";"1";"wieś";"stały";"Szkoła Podstawowa, Czarnoborsko 10, 56-210 Wąsosz";"gm. Wąsosz";"górowski";"dolnośląskie";"1199";"1273";"555";"644";"2";"0";"0";"0";"0";"0";"0";"0";"0";"644";"0";"0";"644";"16";"4";"12";"0";"628";"350";"98";"180"
"31e3-fae9-47f8-c9c0-3553-50c1-ef7c-408c";"020404";"6";"2";"miasto";"stały";"Ośrodek Pomocy Społecznej, ul. Krzywa 11, 56-210 Wąsosz";"gm. Wąsosz";"górowski";"dolnośląskie";"2000";"2151";"845";"1155";"6";"2";"0";"0";"0";"0";"0";"0";"0";"1155";"0";"0";"1155";"28";"5";"23";"0";"1127";"448";"167";"512"
