"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Stanisław KARCZEWSKI";"Leszek Janusz PRZYBYTNIAK"
"2fd6-dc0c-ed65-ebad-7b67-141f-512e-75c8";"140604";"49";"2";"wieś";"stały";"Ochotnicza Straż Pożarna w Długowoli, Długowola 145, 05-610 Goszczyn";"gm. Goszczyn";"grójecki";"mazowieckie";"690";"763";"236";"454";"0";"0";"0";"0";"0";"0";"0";"0";"0";"454";"0";"0";"454";"1";"0";"1";"0";"453";"310";"143"
"789c-ec3a-1c6f-bb5d-48c3-8a63-c0f7-a337";"140604";"49";"3";"wieś";"stały";"Publiczna Szkoła Podstawowa w Bądkowie, Bądków 68, 05-610 Goszczyn";"gm. Goszczyn";"grójecki";"mazowieckie";"451";"489";"98";"353";"0";"0";"0";"0";"0";"0";"0";"0";"0";"353";"0";"0";"353";"6";"2";"4";"0";"347";"224";"123"
"4d2a-e788-85d7-37d9-0dd8-dbe4-3a24-b6d1";"140605";"49";"1";"miasto";"stały";"Publiczna Szkoła Podstawowa Nr 1 w Grójcu, ul. Józefa Piłsudskiego 68, 05-600 Grójec";"gm. Grójec";"grójecki";"mazowieckie";"1760";"1952";"472";"1288";"0";"15";"0";"0";"0";"0";"0";"0";"0";"1288";"0";"0";"1288";"39";"18";"21";"0";"1249";"415";"834"
"f3b5-6762-49cc-176b-2be4-55c6-12d1-0b0c";"140605";"49";"2";"miasto";"stały";"Starostwo Powiatowe w Grójcu, ul. Józefa Piłsudskiego 59, 05-600 Grójec";"gm. Grójec";"grójecki";"mazowieckie";"2028";"2208";"513";"1515";"3";"8";"0";"0";"0";"0";"0";"0";"0";"1515";"0";"0";"1515";"43";"15";"28";"0";"1472";"571";"901"
"c26b-c071-7fbc-7e50-cd9f-ac0b-a6df-84b5";"140605";"49";"3";"miasto";"stały";"Grójecki Ośrodek Kultury w Grójcu, ul. Józefa Piłsudskiego 3, 05-600 Grójec";"gm. Grójec";"grójecki";"mazowieckie";"2054";"2260";"547";"1506";"2";"9";"0";"0";"0";"0";"0";"0";"0";"1506";"0";"0";"1506";"33";"18";"15";"0";"1473";"614";"859"
"a864-8200-897a-fdd7-cca9-527a-d8ff-f50a";"140605";"49";"4";"miasto";"stały";"budynek byłego Publicznego Gimnazjum w Grójcu, ul. Polna 17, 05-600 Grójec";"gm. Grójec";"grójecki";"mazowieckie";"1630";"1792";"431";"1199";"3";"11";"0";"0";"0";"0";"0";"0";"0";"1199";"0";"0";"1199";"24";"9";"15";"0";"1175";"496";"679"
"0af5-3f57-ebd3-09ce-8133-65e6-56ac-af93";"140605";"49";"5";"miasto";"stały";"Publiczna Szkoła Podstawowa Nr 2 w Grójcu, ul. Polna 17A, 05-600 Grójec";"gm. Grójec";"grójecki";"mazowieckie";"1527";"1677";"388";"1137";"2";"12";"0";"0";"0";"0";"0";"0";"0";"1137";"0";"0";"1137";"32";"12";"20";"0";"1105";"415";"690"
"3aff-35d8-ec02-fda8-d613-81d9-9d38-c00b";"140605";"49";"6";"miasto";"stały";"Ratusz Miejski w Grójcu, Plac Wolności 2, 05-600 Grójec";"gm. Grójec";"grójecki";"mazowieckie";"1430";"1565";"472";"958";"1";"5";"0";"0";"0";"0";"0";"0";"0";"958";"0";"0";"958";"29";"12";"17";"0";"929";"414";"515"
"971d-7e0b-a9f3-f8ec-0b04-c1b2-0f6b-9ff6";"140605";"49";"7";"miasto";"stały";"Publiczna Szkoła Podstawowa Nr 3 w Grójcu, ul. Armii Krajowej 34, 05-600 Grójec";"gm. Grójec";"grójecki";"mazowieckie";"1551";"1689";"533";"1018";"0";"11";"0";"0";"0";"0";"0";"0";"0";"1018";"0";"0";"1018";"28";"12";"16";"0";"990";"438";"552"
"2d1b-c089-23e2-dbee-95e6-8bea-0398-55f7";"140605";"49";"8";"wieś";"stały";"Siedziba byłej Publicznej Szkoły Podstawowej w Słomczynie, Słomczyn 42, 05-600 Grójec";"gm. Grójec";"grójecki";"mazowieckie";"495";"539";"180";"315";"1";"4";"0";"0";"0";"0";"0";"0";"0";"315";"0";"0";"315";"8";"3";"5";"0";"307";"136";"171"
"e91f-6f9b-86e1-9e8a-ced5-aae5-fffa-014c";"140605";"49";"9";"wieś";"stały";"Regionalna Dyrekcja Lasów Państwowych w Radomiu Nadleśnictwo Grójec, Podole 91, 05-600 Grójec";"gm. Grójec";"grójecki";"mazowieckie";"1083";"1198";"298";"785";"0";"0";"0";"0";"0";"0";"0";"0";"0";"785";"0";"0";"785";"15";"5";"10";"0";"770";"385";"385"
"a941-4612-42cc-1dac-0bf6-e379-ac79-faff";"140605";"49";"10";"wieś";"stały";"Publiczna Szkoła Podstawowa w Lesznowoli, Lesznowola ul. Szkolna 1, 05-600 Grójec";"gm. Grójec";"grójecki";"mazowieckie";"1493";"1649";"454";"1039";"0";"10";"0";"0";"0";"0";"0";"0";"0";"1039";"0";"0";"1039";"26";"7";"19";"0";"1013";"444";"569"
"00d2-45c6-4e95-9b59-3fd5-2aa7-2d28-8233";"140605";"49";"11";"wieś";"stały";"Publiczna Szkoła Podstawowa w Częstoniewie, Częstoniew 60, 05-600 Grójec";"gm. Grójec";"grójecki";"mazowieckie";"570";"632";"263";"307";"0";"2";"0";"0";"0";"0";"0";"0";"0";"307";"0";"0";"307";"8";"3";"5";"0";"299";"186";"113"
"f502-5c0d-b16a-41b9-8b07-dbfc-81f6-9aef";"140605";"49";"12";"wieś";"stały";"Publiczna Szkoła Podstawowa w Bikówku, Bikówek 21, 05-600 Grójec";"gm. Grójec";"grójecki";"mazowieckie";"990";"992";"297";"693";"0";"7";"0";"0";"0";"0";"0";"0";"0";"693";"0";"0";"693";"20";"9";"11";"0";"673";"324";"349"
"241a-1c04-e9f4-c955-fdca-1c40-de79-5244";"140605";"49";"13";"wieś";"stały";"Ochotnicza Staż Pożarna w Pabierowicach, Pabierowice 39B, 05-600 Grójec";"gm. Grójec";"grójecki";"mazowieckie";"683";"743";"225";"458";"0";"2";"0";"0";"0";"0";"0";"0";"0";"458";"0";"0";"458";"11";"2";"9";"0";"447";"211";"236"
"aacd-434f-f339-6a93-8208-78b2-10a1-9596";"140605";"49";"14";"wieś";"stały";"SGGW w Warszawie Ośrodek Szkoleniowy Wypoczynkowy w Kociszewie, Kociszew 1E, 05-600 Grójec";"gm. Grójec";"grójecki";"mazowieckie";"570";"625";"196";"374";"0";"1";"0";"0";"0";"0";"0";"0";"0";"374";"0";"5";"369";"7";"1";"6";"0";"362";"204";"158"
"d4af-818a-6a25-95a8-e3e6-f0a8-6b3d-4842";"140605";"49";"15";"miasto";"areszt śledczy";"Areszt Śledczy w Grójcu, ul. Armii Krajowej 21, 05-600 Grójec";"gm. Grójec";"grójecki";"mazowieckie";"183";"186";"49";"134";"0";"0";"0";"0";"0";"0";"0";"0";"0";"134";"0";"0";"134";"6";"0";"6";"0";"128";"29";"99"
"98f1-cf79-9a7d-206b-e6f5-5c49-2591-9767";"140605";"49";"16";"miasto";"zakład leczniczy";"Powiatowe Centrum Medyczne w Grójcu, ul. Księdza Piotra Skargi 10, 05-600 Grójec";"gm. Grójec";"grójecki";"mazowieckie";"39";"58";"12";"27";"0";"0";"0";"0";"0";"0";"0";"0";"0";"27";"0";"0";"27";"2";"0";"2";"0";"25";"17";"8"
"e71a-7bdf-619b-4bbc-fb7e-524f-f81a-12b7";"140606";"49";"1";"wieś";"stały";"Gminna Biblioteka Publiczna w Jasieńcu, ul. Warecka 42, 05-604 Jasieniec";"gm. Jasieniec";"grójecki";"mazowieckie";"2073";"2267";"659";"1413";"2";"5";"0";"0";"0";"0";"0";"0";"0";"1414";"0";"0";"1414";"44";"7";"37";"0";"1370";"664";"706"
"6326-bad4-8c79-47ed-755a-9862-60db-2eb1";"140606";"49";"2";"wieś";"stały";"Publiczna Szkoła Podstawowa w Zbroszy Dużej, Zbrosza Duża 30, 05-604 Jasieniec";"gm. Jasieniec";"grójecki";"mazowieckie";"721";"781";"216";"505";"0";"1";"0";"0";"0";"0";"0";"0";"0";"505";"0";"0";"505";"14";"3";"11";"0";"491";"307";"184"
"224f-4340-8d50-aa42-bf0f-8ad7-079e-8e15";"140606";"49";"3";"wieś";"stały";"Ochotnicza Straż Pożarna w Boglewicach, Boglewice 46, 05-604 Jasieniec";"gm. Jasieniec";"grójecki";"mazowieckie";"1097";"1200";"429";"668";"0";"1";"0";"0";"0";"0";"0";"0";"0";"666";"0";"0";"666";"18";"5";"13";"0";"648";"396";"252"
"d94f-fc99-4ba4-1495-5865-8830-9b01-6ab9";"140607";"49";"1";"miasto";"stały";"Zespół Szkół Ogólnokształcących w Mogielnicy, ul. Nowomiejska 1, 05-640 Mogielnica";"gm. Mogielnica";"grójecki";"mazowieckie";"1108";"1202";"462";"646";"2";"3";"0";"0";"0";"0";"0";"0";"0";"645";"0";"0";"645";"15";"4";"11";"0";"630";"385";"245"
"37ba-4c5f-6546-0dbd-3353-e915-64e0-6d58";"140607";"49";"2";"miasto";"stały";"Budynek OSP Mogielnica Sala Widowiskowa, Plac Poświętne 11, 05-640 Mogielnica";"gm. Mogielnica";"grójecki";"mazowieckie";"880";"983";"285";"595";"5";"3";"0";"0";"0";"0";"0";"0";"0";"595";"0";"0";"595";"20";"5";"15";"0";"575";"370";"205"
"c882-9686-92e7-773c-1d6c-3d7e-98b6-f30a";"140607";"49";"3";"wieś";"stały";"Publiczna Szkoła Podstawowa w Mogielnicy, ul. Przylesie 10, 05-640 Mogielnica";"gm. Mogielnica";"grójecki";"mazowieckie";"1300";"1443";"455";"845";"2";"2";"0";"0";"0";"0";"0";"0";"0";"845";"0";"0";"845";"6";"2";"4";"0";"839";"559";"280"
"62dd-8919-cbf8-4d7b-f27e-c37c-9158-6b03";"140607";"49";"4";"wieś";"stały";"Publiczna Szkoła Podstawowa w Borowem, Borowe 29, 05-640 Mogielnica";"gm. Mogielnica";"grójecki";"mazowieckie";"614";"681";"253";"361";"0";"2";"0";"0";"0";"0";"0";"0";"0";"360";"0";"0";"360";"6";"4";"2";"0";"354";"242";"112"
"1562-986a-83ff-9c45-2903-7e29-e128-2da8";"140607";"49";"5";"wieś";"stały";"Publiczna Szkoła Podstawowa w Michałowicach, Michałowice 4, 05-640 Mogielnica";"gm. Mogielnica";"grójecki";"mazowieckie";"502";"565";"157";"345";"0";"4";"0";"0";"0";"0";"0";"0";"0";"345";"0";"0";"345";"3";"1";"2";"0";"342";"240";"102"
"e3f7-d8b4-2701-72f0-2a94-c720-a370-9758";"140607";"49";"6";"wieś";"stały";"Publiczna Szkoła Podstawowa w Brzostowcu, Brzostowiec 55, 05-640 Mogielnica";"gm. Mogielnica";"grójecki";"mazowieckie";"544";"596";"209";"335";"0";"2";"0";"0";"0";"0";"0";"0";"0";"335";"0";"0";"335";"11";"3";"8";"0";"324";"264";"60"
"703a-b617-df3a-b9d6-9811-3025-900e-4d67";"140607";"49";"7";"wieś";"stały";"Budynek OSP w Miechowicach, Miechowice 32, 05-640 Mogielnica";"gm. Mogielnica";"grójecki";"mazowieckie";"680";"746";"251";"429";"0";"1";"0";"0";"0";"0";"0";"0";"0";"428";"0";"0";"428";"10";"4";"6";"0";"418";"286";"132"
"1d1a-fb67-4860-6036-e0d1-2026-95d1-8eb2";"140607";"49";"8";"wieś";"stały";"Niepubliczna Szkoła Podstawowa w Kozietułach, Kozietuły 83, 05-640 Mogielnica";"gm. Mogielnica";"grójecki";"mazowieckie";"534";"590";"157";"377";"1";"0";"0";"0";"0";"0";"0";"0";"0";"377";"0";"0";"377";"6";"5";"1";"0";"371";"256";"115"
"48bf-adcd-8e1d-136c-5a03-b069-276d-cd8a";"140607";"49";"9";"wieś";"stały";"Dom Pomocy Społecznej w Tomczycach, Tomczyce 40, 05-640 Mogielnica";"gm. Mogielnica";"grójecki";"mazowieckie";"409";"472";"158";"251";"0";"6";"0";"0";"0";"0";"0";"0";"0";"251";"0";"0";"251";"3";"0";"3";"0";"248";"154";"94"
"c405-ddf4-0421-413e-70b4-14bb-d01e-36f6";"140608";"49";"1";"miasto";"stały";"Zespół Szkolno-Przedszkolny im. Karola Wojtyły w Nowym Mieście nad Pilicą, ul. Ogrodowa 16, 26-420 Nowe Miasto nad Pilicą";"gm. Nowe Miasto nad Pilicą";"grójecki";"mazowieckie";"1494";"1528";"498";"996";"9";"7";"0";"0";"0";"0";"0";"0";"0";"993";"0";"0";"993";"15";"9";"6";"0";"978";"660";"318"
"fd11-3401-46db-e2f7-1399-7f83-2087-42e2";"140608";"49";"2";"miasto";"stały";"Przychodnia Rejonowa w Nowym Mieście nad Pilicą, ul. Spacerowa 1, 26-420 Nowe Miasto nad Pilicą";"gm. Nowe Miasto nad Pilicą";"grójecki";"mazowieckie";"1318";"1430";"337";"980";"2";"10";"0";"0";"0";"0";"0";"0";"0";"981";"0";"0";"981";"19";"8";"11";"0";"962";"552";"410"
"0f4b-0132-0d7d-01e4-769e-83ca-42c0-0c58";"140608";"49";"3";"wieś";"stały";"Publiczna Szkoła Podstawowa w Żdżarach, Żdżary 75B, 26-420 Nowe Miasto nad Pilicą";"gm. Nowe Miasto nad Pilicą";"grójecki";"mazowieckie";"1108";"1194";"372";"736";"0";"1";"0";"0";"0";"0";"0";"0";"0";"736";"0";"4";"732";"13";"2";"11";"0";"719";"547";"172"
"c007-b72a-9473-5850-b635-f404-839a-40c8";"140608";"49";"4";"wieś";"stały";"Remiza OSP w Łęgonicach, Łęgonice 119, 26-420 Nowe Miasto nad Pilicą";"gm. Nowe Miasto nad Pilicą";"grójecki";"mazowieckie";"843";"926";"310";"533";"1";"9";"0";"0";"0";"0";"0";"0";"0";"533";"0";"0";"533";"5";"5";"0";"0";"528";"423";"105"
"fcce-14ff-d36a-7854-bec1-f229-f9aa-edb1";"140608";"49";"5";"wieś";"stały";"Publiczna Szkoła Podstawowa w Nowym Mieście nad Pilicą, ul. Szkolna 4, 26-420 Nowe Miasto nad Pilicą";"gm. Nowe Miasto nad Pilicą";"grójecki";"mazowieckie";"1150";"1235";"402";"748";"1";"12";"0";"0";"0";"0";"0";"0";"0";"748";"0";"0";"748";"5";"4";"1";"0";"743";"454";"289"
"08cd-3e1f-da21-25b1-18e5-7165-9560-b679";"140608";"49";"6";"miasto";"zakład leczniczy";"Samodzielny Publiczny Zakład Opieki Zdrowotnej w Nowym Mieście nad Pilicą, ul. Tomaszowska 43, 26-420 Nowe Miasto nad Pilicą";"gm. Nowe Miasto nad Pilicą";"grójecki";"mazowieckie";"91";"39";"71";"20";"0";"10";"0";"0";"0";"0";"0";"0";"0";"20";"0";"0";"20";"0";"0";"0";"0";"20";"15";"5"
"e3a7-b4f8-06b6-3239-2067-32fb-0d28-4c2e";"140608";"49";"7";"miasto";"dom pomocy społecznej";"Dom Pomocy Społecznej im. Natalii Nitosławskiej w Nowym Mieście nad Pilicą, ul. Bielińskiego 26, 26-420 Nowe Miasto nad Pilicą";"gm. Nowe Miasto nad Pilicą";"grójecki";"mazowieckie";"60";"56";"9";"51";"0";"0";"0";"0";"0";"0";"0";"0";"0";"51";"0";"0";"51";"0";"0";"0";"0";"51";"47";"4"
"cdb0-9300-ea56-1ae7-d307-4c22-a5bd-5bdf";"140608";"49";"8";"miasto";"dom pomocy społecznej";"Dom Pomocy Społecznej w Nowym Mieście nad Pilicą, ul. Ogrodowa 18, 26-420 Nowe Miasto nad Pilicą";"gm. Nowe Miasto nad Pilicą";"grójecki";"mazowieckie";"70";"46";"52";"18";"0";"0";"0";"0";"0";"0";"0";"0";"0";"18";"0";"0";"18";"2";"2";"0";"0";"16";"10";"6"
"bff7-052f-e1f1-d401-a816-eb6f-54ad-b116";"140609";"49";"1";"wieś";"stały";"Publiczna Szkoła Podstawowa w Karolewie, Karolew 3, 05-652 Pniewy";"gm. Pniewy";"grójecki";"mazowieckie";"917";"1034";"256";"661";"0";"13";"0";"0";"0";"0";"0";"0";"0";"661";"0";"0";"661";"15";"3";"12";"0";"646";"342";"304"
"a550-e7bf-0318-c93e-98de-d709-e240-64e9";"140609";"49";"2";"wieś";"stały";"Publiczna Szkoła Podstawowa w Ciechlinie, Ciechlin 39A, 05-652 Pniewy";"gm. Pniewy";"grójecki";"mazowieckie";"592";"662";"211";"381";"0";"2";"0";"0";"0";"0";"0";"0";"0";"381";"0";"0";"381";"16";"11";"5";"0";"365";"161";"204"
"0aaf-3eac-4723-e178-4067-2058-3731-405d";"140609";"49";"3";"wieś";"stały";"Publiczna Szkoła Podstawowa w Jeziorze, Jeziora 45A, 05-652 Pniewy";"gm. Pniewy";"grójecki";"mazowieckie";"715";"815";"196";"519";"0";"29";"0";"0";"0";"0";"0";"0";"0";"519";"0";"0";"519";"13";"3";"10";"0";"506";"215";"291"
"fdd9-d6dd-77f6-2e62-9077-ef04-0c4d-1baf";"140609";"49";"4";"wieś";"stały";"Publiczna Szkoła Podstawowa w Kruszewie, Kruszew 57A, 05-652 Pniewy";"gm. Pniewy";"grójecki";"mazowieckie";"1290";"1399";"440";"850";"0";"0";"0";"0";"0";"0";"0";"0";"0";"850";"0";"0";"850";"22";"9";"13";"0";"828";"479";"349"
"3d7e-02a4-3203-7489-bfee-52ea-b786-fd8c";"140611";"49";"1";"miasto";"stały";"Szkoła Podstawowa Nr 1 w Warce, ul. Warszawska 24, 05-660 Warka";"gm. Warka";"grójecki";"mazowieckie";"1623";"1759";"549";"1074";"3";"13";"0";"0";"0";"0";"0";"0";"0";"1074";"0";"0";"1074";"38";"15";"23";"0";"1036";"564";"472"
"117c-dd1a-5f57-6b3a-f4bc-e687-cb15-150b";"140611";"49";"2";"miasto";"stały";"Publiczna Szkoła Podstawowa Nr 2 w Warce, ul. Polna 17, 05-660 Warka";"gm. Warka";"grójecki";"mazowieckie";"1524";"1687";"432";"1092";"0";"8";"0";"0";"0";"0";"0";"0";"0";"1092";"0";"0";"1092";"24";"8";"16";"0";"1068";"632";"436"
"373e-b63a-8640-2f61-b243-3b07-342b-9d31";"140611";"49";"3";"miasto";"stały";"Centrum Sportu i Rekreacji w Warce, ul. Warszawska 45, 05-660 Warka";"gm. Warka";"grójecki";"mazowieckie";"1152";"1264";"275";"877";"0";"0";"0";"0";"0";"0";"0";"0";"0";"877";"0";"0";"877";"24";"9";"15";"0";"853";"434";"419"
"44c8-b589-c08d-eed2-6aa7-636c-9251-3a85";"140611";"49";"4";"miasto";"stały";"Zespół Szkół Ponadgimnazjalnych w Warce, ul. Obwodowa 2, 05-660 Warka";"gm. Warka";"grójecki";"mazowieckie";"1040";"1152";"307";"733";"0";"4";"0";"0";"0";"0";"0";"0";"0";"733";"0";"0";"733";"19";"14";"5";"0";"714";"408";"306"
"4e3f-d160-18d8-984a-8f50-56de-74b4-b71f";"140611";"49";"5";"miasto";"stały";"Przedszkole Samorządowe Nr 1 w Warce, ul. Armii Krajowej 10, 05-660 Warka";"gm. Warka";"grójecki";"mazowieckie";"1430";"1537";"391";"1039";"0";"6";"0";"0";"0";"0";"0";"0";"0";"1039";"0";"0";"1039";"26";"10";"16";"0";"1013";"615";"398"
"1c62-1a46-2210-81fd-aa8e-cb78-f9c2-3d4b";"140611";"49";"6";"miasto";"stały";"Muzeum im. Kazimierza Pułaskiego w Warce (w budynku Centrum Edukacyjno-Muzealnym), ul. Kazimierza Pułaskiego 24, 05-660 Warka";"gm. Warka";"grójecki";"mazowieckie";"1635";"1772";"392";"1243";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1243";"0";"0";"1243";"19";"13";"6";"0";"1224";"696";"528"
"f993-a99b-3100-f84b-7279-5d78-5d6c-98de";"140611";"49";"7";"wieś";"stały";"Publiczna Szkoła Podstawowa w Michałowie, Michałów-Parcele 23, 05-660 Warka";"gm. Warka";"grójecki";"mazowieckie";"606";"664";"287";"319";"0";"2";"0";"0";"0";"0";"0";"0";"0";"319";"0";"0";"319";"11";"3";"8";"0";"308";"147";"161"
"c5b5-3e27-818f-4464-53aa-0ebf-2bba-3d0f";"140611";"49";"8";"wieś";"stały";"Publiczna Szkoła Podstawowa we Wrociszewie, Wrociszew 20, 05-660 Warka";"gm. Warka";"grójecki";"mazowieckie";"1090";"1177";"405";"685";"2";"4";"0";"0";"0";"0";"0";"0";"0";"685";"0";"0";"685";"16";"5";"11";"0";"669";"293";"376"
"38c9-77b1-51c7-0d2f-351f-1806-bf1f-bce3";"140611";"49";"9";"wieś";"stały";"Zespół Szkolno-Przedszkolny w Nowej Wsi, Nowa Wieś 69, 05-660 Warka";"gm. Warka";"grójecki";"mazowieckie";"505";"553";"180";"325";"0";"3";"0";"0";"0";"0";"0";"0";"0";"324";"0";"0";"324";"10";"2";"8";"0";"314";"145";"169"
"5d50-0154-df39-f0bd-1d59-be10-dc69-fa12";"140611";"49";"10";"wieś";"stały";"Świetlica wiejska w Laskach, Laski 2, 05-660 Warka";"gm. Warka";"grójecki";"mazowieckie";"542";"594";"178";"364";"0";"0";"0";"0";"0";"0";"0";"0";"0";"364";"0";"0";"364";"8";"0";"8";"0";"356";"209";"147"
"c8a3-b9b9-f52f-5c9d-154e-e794-792f-8c21";"140611";"49";"11";"wieś";"stały";"Świetlica wiejska w Gośniewicach, Gośniewice 49, 05-660 Warka";"gm. Warka";"grójecki";"mazowieckie";"541";"597";"162";"379";"0";"1";"0";"0";"0";"0";"0";"0";"0";"379";"0";"0";"379";"8";"3";"5";"0";"371";"194";"177"
"c4c2-15cf-0486-b78f-7679-4056-60f9-32f7";"140611";"49";"12";"wieś";"stały";"Publiczna Szkoła Podstawowa w Ostrołęce (w budynku w Dębnowoli), Dębnowola 67, 05-660 Warka";"gm. Warka";"grójecki";"mazowieckie";"779";"843";"284";"495";"0";"1";"0";"0";"0";"0";"0";"0";"0";"495";"0";"0";"495";"6";"4";"2";"0";"489";"273";"216"
"29e6-da61-52c2-c711-72fd-24fb-e765-87bf";"140611";"49";"13";"wieś";"stały";"Publiczna Szkoła Podstawowa w Ostrołęce, Ostrołęka 3A, 05-660 Warka";"gm. Warka";"grójecki";"mazowieckie";"482";"525";"169";"313";"1";"3";"0";"0";"0";"0";"0";"0";"0";"313";"0";"0";"313";"8";"0";"8";"0";"305";"167";"138"
"2975-c1c4-b734-3ce7-dc2e-069c-7368-92e6";"140611";"49";"14";"wieś";"stały";"Publiczna Szkoła Podstawowa w Konarach, Konary 20, 05-660 Warka";"gm. Warka";"grójecki";"mazowieckie";"760";"833";"198";"562";"2";"1";"0";"0";"0";"0";"0";"0";"0";"562";"0";"0";"562";"12";"7";"5";"0";"550";"284";"266"
"d920-7bf0-5fa8-75a0-36f3-7465-c7e9-ba6b";"140701";"49";"1";"wieś";"stały";"Przedszkole Samorządowe ""Pod Sosnową Szyszką"", ul. Ignacego Krasickiego 4, 26-930 Garbatka-Letnisko";"gm. Garbatka-Letnisko";"kozienicki";"mazowieckie";"512";"564";"162";"350";"0";"4";"0";"0";"0";"0";"0";"0";"0";"350";"0";"0";"350";"5";"4";"1";"0";"345";"203";"142"
"7c23-2508-f3bd-83fc-1757-cd09-0d46-1bde";"140701";"49";"2";"wieś";"stały";"Publiczna Szkoła Podstawowa im. Królowej Jadwigi, ul. Hanki Lewandowicz 2, 26-930 Garbatka-Letnisko";"gm. Garbatka-Letnisko";"kozienicki";"mazowieckie";"1095";"1196";"355";"740";"6";"9";"0";"0";"0";"0";"0";"0";"0";"740";"0";"0";"740";"15";"6";"9";"0";"725";"479";"246"
"96ab-78d4-5cb3-ec90-f220-67de-3342-ae82";"140701";"49";"3";"wieś";"stały";"Budynek byłej Gminnej Świetlicy, ul. Jana Kochanowskiego 135, 26-930 Garbatka-Letnisko";"gm. Garbatka-Letnisko";"kozienicki";"mazowieckie";"1380";"1469";"446";"934";"3";"5";"0";"0";"0";"0";"0";"0";"0";"929";"0";"0";"929";"20";"10";"10";"0";"909";"604";"305"
"32a1-c07e-6dfa-bf76-74bf-1d55-ea1c-2f19";"140701";"49";"4";"wieś";"stały";"Publiczna Szkoła Podstawowa, Bogucin 53a, 26-930 Garbatka-Letnisko";"gm. Garbatka-Letnisko";"kozienicki";"mazowieckie";"440";"493";"204";"236";"3";"11";"0";"0";"0";"0";"0";"0";"0";"236";"0";"0";"236";"6";"0";"6";"0";"230";"150";"80"
"3eaf-39d7-49f9-0c16-edcb-3ea6-023c-b81f";"140701";"49";"5";"wieś";"stały";"Świetlico-Remiza, Bąkowiec 50, 26-930 Garbatka-Letnisko";"gm. Garbatka-Letnisko";"kozienicki";"mazowieckie";"423";"459";"177";"246";"1";"1";"0";"0";"0";"0";"0";"0";"0";"246";"0";"0";"246";"7";"7";"0";"0";"239";"202";"37"
"dd19-b324-37fd-3b8f-eb13-8904-a46c-7455";"140701";"49";"6";"wieś";"zakład karny";"Zakład Karny, Żytkowice 1, 26-930 Garbatka-Letnisko";"gm. Garbatka-Letnisko";"kozienicki";"mazowieckie";"433";"412";"244";"189";"0";"0";"0";"0";"0";"0";"0";"0";"0";"189";"0";"0";"189";"12";"0";"12";"0";"177";"55";"122"
"3e17-fc2e-a1fd-3118-fd31-6e87-70ef-1a1e";"140702";"49";"1";"wieś";"stały";"Publiczna Szkoła Podstawowa w Brzózie, Brzóza ul. Aleja Lipowa 4, 26-903 Głowaczów";"gm. Głowaczów";"kozienicki";"mazowieckie";"1469";"1614";"464";"1005";"4";"5";"1";"1";"0";"0";"0";"0";"1";"1006";"1";"0";"1006";"22";"7";"15";"0";"984";"698";"286"
"e969-d28d-f133-1590-0586-b77a-d2f3-192f";"140702";"49";"2";"wieś";"stały";"Ochotnicza Straż Pożarna w Mariampolu, Mariampol 8, 26-903 Głowaczów";"gm. Głowaczów";"kozienicki";"mazowieckie";"390";"422";"142";"248";"1";"0";"0";"0";"0";"0";"0";"0";"0";"248";"0";"0";"248";"6";"0";"6";"0";"242";"186";"56"
"45e2-d50b-88e0-0640-5619-5470-94f1-0e5f";"140702";"49";"3";"wieś";"stały";"Publiczna Szkoła Podstawowa w Głowaczowie, ul. Warecka 10, 26-903 Głowaczów";"gm. Głowaczów";"kozienicki";"mazowieckie";"1430";"1486";"493";"937";"4";"10";"0";"0";"0";"0";"0";"0";"0";"937";"0";"0";"937";"19";"7";"12";"0";"918";"667";"251"
