"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Marzena Magdalena DĘBNIAK";"Dariusz Adam LORANTY";"Jarosław RUSIECKI"
"83c1-7f93-fd73-4402-5f56-cc09-59e1-c406";"260702";"82";"2";"wieś";"stały";"Publiczna Szkoła Podstawowa im. Legionów Polskich w Okole, Okół 82, 27-423 Bałtów";"gm. Bałtów";"ostrowiecki";"świętokrzyskie";"571";"621";"273";"298";"1";"0";"0";"0";"0";"0";"0";"0";"0";"298";"0";"0";"298";"4";"1";"3";"0";"294";"129";"27";"138"
"843d-a689-f2ee-46c8-f605-98ac-cb15-eba0";"260702";"82";"3";"wieś";"stały";"Budynek byłej Szkoły Podstawowej w Pętkowicach, Pętkowice 49, 27-423 Bałtów";"gm. Bałtów";"ostrowiecki";"świętokrzyskie";"600";"658";"209";"391";"0";"2";"0";"0";"0";"0";"0";"0";"0";"391";"0";"0";"391";"3";"0";"3";"0";"388";"149";"34";"205"
"88f6-e781-af33-86e5-dafb-bcf8-51e5-fe5b";"260702";"82";"4";"wieś";"stały";"Szkoła Podstawowa w Bałtowie budynek Wólka Bałtowska, Wólka Bałtowska 30, 27-423 Bałtów";"gm. Bałtów";"ostrowiecki";"świętokrzyskie";"490";"531";"212";"278";"1";"0";"0";"0";"0";"0";"0";"0";"0";"278";"0";"0";"278";"3";"2";"1";"0";"275";"62";"24";"189"
"4fe1-af9d-f909-0b0c-c7a4-e680-db1f-a911";"260702";"82";"5";"wieś";"stały";"Świetlica Wiejska w Michałowie, Michałów 11, 27-423 Bałtów";"gm. Bałtów";"ostrowiecki";"świętokrzyskie";"81";"82";"31";"50";"0";"0";"0";"0";"0";"0";"0";"0";"0";"50";"0";"0";"50";"2";"0";"2";"0";"48";"18";"0";"30"
"d1c2-c2c9-7d23-6420-bf9d-c1c8-6a27-5bb6";"260703";"82";"1";"wieś";"stały";"Publiczna Szkoła Podstawowa im. W. Stefańskiego w Bodzechowie, ul. Szkolna 12, 27-420 Bodzechów";"gm. Bodzechów";"ostrowiecki";"świętokrzyskie";"1178";"1281";"497";"681";"0";"3";"0";"0";"0";"0";"0";"0";"0";"681";"0";"0";"681";"8";"2";"6";"0";"673";"309";"83";"281"
"26c0-8872-8669-803a-0141-2792-272a-4ecb";"260703";"82";"2";"wieś";"stały";"Publiczna Szkoła Podstawowa w Miłkowie, Miłków ul. Szkolna 13, 27-400 Ostrowiec Świętokrzyski";"gm. Bodzechów";"ostrowiecki";"świętokrzyskie";"680";"733";"269";"411";"0";"3";"0";"0";"0";"0";"0";"0";"0";"411";"0";"0";"411";"6";"2";"4";"0";"405";"164";"70";"171"
"33f9-6752-7f4a-f5ba-9ecf-bfd3-040a-5c71";"260703";"82";"3";"wieś";"stały";"Publiczna Szkoła Podstawowa w Szwarszowicach, Szwarszowice 20A, 27-400 Ostrowiec Świętokrzyski";"gm. Bodzechów";"ostrowiecki";"świętokrzyskie";"1178";"1282";"548";"630";"0";"0";"0";"0";"0";"0";"0";"0";"0";"630";"0";"0";"630";"17";"4";"13";"0";"613";"222";"75";"316"
"35ab-6ddb-bf0b-3588-a219-3623-6fba-c499";"260703";"82";"4";"wieś";"stały";"Zespół Szkół Publicznych w Szewnie, Szewna ul. Langiewicza 3, 27-400 Ostrowiec Świętokrzyski";"gm. Bodzechów";"ostrowiecki";"świętokrzyskie";"1672";"1804";"576";"1096";"0";"10";"0";"0";"0";"0";"0";"0";"0";"1096";"0";"0";"1096";"15";"7";"8";"0";"1081";"527";"102";"452"
"59ce-77d5-5f96-1600-9dc2-255d-b1c7-8e5e";"260703";"82";"5";"wieś";"stały";"Świetlica Wiejska w Jędrzejowicach, Jędrzejowice 17A, 27-400 Ostrowiec Świętokrzyski";"gm. Bodzechów";"ostrowiecki";"świętokrzyskie";"924";"1016";"437";"487";"0";"4";"0";"0";"0";"0";"0";"0";"0";"487";"0";"0";"487";"6";"0";"6";"0";"481";"205";"68";"208"
"9dcd-425e-8308-2602-5957-e692-f0f3-78ee";"260703";"82";"6";"wieś";"stały";"Publiczna Szkoła Podstawowa im. Jana Brzechwy w Chmielowie, Chmielów ul. Spacerowa 2, 27-400 Ostrowiec Świętokrzyski";"gm. Bodzechów";"ostrowiecki";"świętokrzyskie";"682";"735";"296";"386";"0";"0";"0";"0";"0";"0";"0";"0";"0";"386";"0";"0";"386";"4";"2";"2";"0";"382";"164";"59";"159"
"2834-a5c6-5dff-82a0-7729-9dea-fa2e-c387";"260703";"82";"7";"wieś";"stały";"Zespół Szkół Publicznych w Sarnówku, Sarnówek Duży 11, 27-400 Ostrowiec Świętokrzyski";"gm. Bodzechów";"ostrowiecki";"świętokrzyskie";"812";"873";"344";"468";"2";"3";"0";"0";"0";"0";"0";"0";"0";"468";"0";"0";"468";"14";"2";"12";"0";"454";"202";"66";"186"
"0ecb-e683-5921-102d-065e-78b5-919b-0089";"260703";"82";"8";"wieś";"stały";"Ośrodek Szkoleniowo-Wypoczynkowy ""Leśne Kąty"" w Sudole, Sudół 3, 27-400 Ostrowiec Świętokrzyski";"gm. Bodzechów";"ostrowiecki";"świętokrzyskie";"831";"899";"417";"414";"0";"1";"0";"0";"0";"0";"0";"0";"0";"414";"0";"0";"414";"16";"8";"8";"0";"398";"159";"51";"188"
"665f-cc6b-5c9d-0fa2-67a5-7231-0627-573a";"260703";"82";"9";"wieś";"stały";"Świetlica Wiejska w Goździelinie, Goździelin 70B, 27-420 Bodzechów";"gm. Bodzechów";"ostrowiecki";"świętokrzyskie";"512";"556";"214";"298";"0";"0";"0";"0";"0";"0";"0";"0";"0";"298";"0";"0";"298";"6";"0";"6";"0";"292";"144";"35";"113"
"577e-318b-7ecb-9a1d-6d10-dd02-27a4-14ed";"260703";"82";"10";"wieś";"stały";"Leśniczówka ""Sowia Góra"" w Przyborowiu, Przyborów 1, 27-420 Bodzechów";"gm. Bodzechów";"ostrowiecki";"świętokrzyskie";"551";"594";"219";"332";"0";"1";"0";"0";"0";"0";"0";"0";"0";"332";"0";"0";"332";"6";"1";"5";"0";"326";"136";"24";"166"
"77bb-2d8b-e43e-08f9-c99f-3744-ef56-08c0";"260703";"82";"11";"wieś";"stały";"PPH JANDAR SP. J., Denkówek 93, 27-420 Bodzechów";"gm. Bodzechów";"ostrowiecki";"świętokrzyskie";"672";"715";"268";"404";"0";"0";"0";"0";"0";"0";"0";"0";"0";"404";"0";"0";"404";"6";"4";"2";"0";"398";"192";"37";"169"
"5ed2-86d0-793c-e593-e83d-701d-7b05-aa7e";"260703";"82";"12";"wieś";"stały";"Strażnica OSP w Gromadzicach, Gromadzice ul. Szewieńska 37, 27-400 Ostrowiec Świętokrzyski";"gm. Bodzechów";"ostrowiecki";"świętokrzyskie";"349";"374";"171";"178";"0";"0";"0";"0";"0";"0";"0";"0";"0";"178";"0";"0";"178";"4";"1";"3";"0";"174";"60";"19";"95"
"2b2e-8791-f7e0-1b74-fae9-7f75-b177-766b";"260704";"82";"1";"miasto";"stały";"Dom Kultury im. W Gombrowicza w Ćmielowie, ul. Rynek 50, 27-440 Ćmielów";"gm. Ćmielów";"ostrowiecki";"świętokrzyskie";"1211";"1325";"553";"658";"2";"3";"0";"0";"0";"0";"0";"0";"0";"658";"0";"0";"658";"7";"0";"7";"0";"651";"237";"91";"323"
"d649-b11b-155a-7555-4a4b-7624-c788-b615";"260704";"82";"2";"miasto i wieś";"stały";"Szkoła Podstawowa nr 1 im. Krzysztofa Szydłowieckiego w Ćmielowie, ul. Długa 164, 27-440 Ćmielów";"gm. Ćmielów";"ostrowiecki";"świętokrzyskie";"1593";"1744";"745";"846";"2";"3";"0";"0";"0";"0";"0";"0";"0";"848";"0";"0";"848";"11";"3";"8";"0";"837";"360";"95";"382"
"5f1c-47de-fe31-3a7e-a4a9-27f7-62ae-6d79";"260704";"82";"3";"wieś";"stały";"Publiczna Szkoła Podstawowa im. prof. Mariana Raciborskiego w Brzóstowej, Brzóstowa 200A, 27-440 Ćmielów";"gm. Ćmielów";"ostrowiecki";"świętokrzyskie";"1700";"1852";"857";"843";"0";"5";"0";"0";"0";"0";"0";"0";"0";"843";"0";"0";"843";"18";"7";"11";"0";"825";"367";"98";"360"
"65d0-8afc-c314-e925-4b70-22bb-dcf9-094a";"260704";"82";"4";"wieś";"stały";"Świetlica Wiejska w Rudzie Kościelnej, Ruda Kościelna 13, 27-440 Ćmielów";"gm. Ćmielów";"ostrowiecki";"świętokrzyskie";"330";"356";"137";"193";"0";"5";"0";"0";"0";"0";"0";"0";"0";"193";"0";"0";"193";"6";"0";"6";"0";"187";"81";"34";"72"
"0561-bbeb-d045-95d6-d8b4-4514-b5cb-352f";"260704";"82";"5";"wieś";"stały";"Szkoła Podstawowa w Podgórzu, Podgórze 55, 27-440 Ćmielów";"gm. Ćmielów";"ostrowiecki";"świętokrzyskie";"323";"343";"146";"177";"2";"0";"0";"0";"0";"0";"0";"0";"0";"177";"0";"0";"177";"5";"1";"4";"0";"172";"41";"22";"109"
"0775-18a4-53b0-3468-2515-0df0-dd02-15e5";"260704";"82";"6";"wieś";"stały";"Budynek po byłej Szkole Podstawowej w Przeuszynie, Przeuszyn 70A, 27-440 Ćmielów";"gm. Ćmielów";"ostrowiecki";"świętokrzyskie";"330";"375";"133";"197";"0";"0";"0";"0";"0";"0";"0";"0";"0";"197";"0";"0";"197";"9";"2";"7";"0";"188";"76";"28";"84"
"45f2-2da3-0883-8672-8207-05ce-d3fa-46da";"260705";"82";"1";"wieś";"stały";"Budynek po Szkole Podstawowej w Bukowiu, Bukowie 23, 27-415 Kunów";"gm. Kunów";"ostrowiecki";"świętokrzyskie";"409";"442";"171";"238";"0";"0";"0";"0";"0";"0";"0";"0";"0";"238";"0";"0";"238";"1";"1";"0";"0";"237";"62";"50";"125"
"b068-2b19-7b80-8df1-be6a-4429-5789-5dda";"260705";"82";"2";"wieś";"stały";"Budynek Straży Pożarnej w Prawęcinie, Prawęcin 22a, 27-415 Kunów";"gm. Kunów";"ostrowiecki";"świętokrzyskie";"519";"569";"250";"269";"0";"1";"0";"0";"0";"0";"0";"0";"0";"269";"0";"0";"269";"6";"0";"6";"0";"263";"70";"50";"143"
"fda2-f9f5-553d-b87c-c3de-ed18-8035-4b25";"260705";"82";"3";"wieś";"stały";"Publiczna Szkoła Podstawowa im. W. Gombrowicza w Dołach Biskupich, Doły Biskupie 42, 27-415 Kunów";"gm. Kunów";"ostrowiecki";"świętokrzyskie";"322";"353";"142";"180";"0";"0";"0";"0";"0";"0";"0";"0";"0";"180";"0";"0";"180";"5";"0";"5";"0";"175";"36";"22";"117"
"a2b7-5c89-2bdd-ceec-679a-ba7a-e696-1a55";"260705";"82";"4";"wieś";"stały";"Zespół Szkolno-Przedszkolny w Janiku, Janik ul. Szkolna 21, 27-415 Kunów";"gm. Kunów";"ostrowiecki";"świętokrzyskie";"1060";"1143";"443";"617";"2";"0";"0";"0";"0";"0";"0";"0";"0";"617";"0";"0";"617";"11";"1";"10";"0";"606";"192";"88";"326"
"9e89-2d87-2b1e-05b4-86a5-25bc-d45d-48a3";"260705";"82";"5";"miasto";"stały";"Publiczna Szkoła Podstawowa im. Antoniego Hedy ""Szarego"" w Kunowie, ul. Szkolna 1, 27-415 Kunów";"gm. Kunów";"ostrowiecki";"świętokrzyskie";"1000";"1079";"375";"625";"0";"8";"0";"0";"0";"0";"0";"0";"0";"625";"0";"0";"625";"9";"3";"6";"0";"616";"156";"223";"237"
"8104-85d3-cadd-39c6-70e4-ae09-aef4-a6c4";"260705";"82";"6";"miasto i wieś";"stały";"Publiczna Szkoła Podstawowa im. Antoniego Hedy ""Szarego"" w Kunowie, ul. Fabryczna 1, 27-415 Kunów";"gm. Kunów";"ostrowiecki";"świętokrzyskie";"1635";"1694";"667";"968";"0";"3";"0";"0";"0";"0";"0";"0";"0";"968";"0";"0";"968";"13";"3";"10";"0";"955";"288";"246";"421"
"4c88-62e2-a83e-6e22-ccad-7d6f-f32e-abf6";"260705";"82";"7";"wieś";"stały";"Lokal prywatny Restauracja Gościna, Boksycka 114, 27-415 Kunów";"gm. Kunów";"ostrowiecki";"świętokrzyskie";"514";"570";"215";"299";"0";"1";"0";"0";"0";"0";"0";"0";"0";"299";"0";"0";"299";"3";"1";"2";"0";"296";"119";"49";"128"
"e946-6184-5912-8c52-7f99-5cc2-0f7e-8885";"260705";"82";"8";"wieś";"stały";"Publiczna Szkoła Podstawowa w Wymysłowie, Wymysłów ul. Wesoła 43, 27-415 Kunów";"gm. Kunów";"ostrowiecki";"świętokrzyskie";"408";"450";"167";"241";"2";"3";"0";"0";"0";"0";"0";"0";"0";"241";"0";"0";"241";"4";"0";"4";"0";"237";"79";"36";"122"
"b708-43cd-4c5c-7971-77d4-13f8-e17c-8110";"260705";"82";"9";"wieś";"stały";"Szkoła Podstawowa im. St. Staszica w Nietulisku Dużym, Nietulisko Duże 30, 27-415 Kunów";"gm. Kunów";"ostrowiecki";"świętokrzyskie";"570";"616";"220";"350";"0";"3";"0";"0";"0";"0";"0";"0";"0";"349";"0";"0";"349";"4";"1";"3";"0";"345";"97";"62";"186"
"e963-57a4-4002-2bd2-791d-2900-cf45-ca73";"260705";"82";"10";"wieś";"stały";"Remiza OSP w Nietulisku Małym, Nietulisko Małe 83 a, 27-415 Kunów";"gm. Kunów";"ostrowiecki";"świętokrzyskie";"540";"578";"234";"306";"0";"0";"0";"0";"0";"0";"0";"0";"0";"306";"0";"0";"306";"7";"2";"5";"0";"299";"71";"68";"160"
"7af6-835e-7adf-a23f-38b4-fc87-1651-5da7";"260705";"82";"11";"wieś";"stały";"Budynek po Szkole Podstawowej w Miłkowskiej Karczmie, Miłkowska Karczma 64, 27-415 Kunów";"gm. Kunów";"ostrowiecki";"świętokrzyskie";"390";"417";"177";"213";"0";"2";"0";"0";"0";"0";"0";"0";"0";"213";"0";"0";"213";"4";"1";"3";"0";"209";"91";"34";"84"
"e0c2-1fe1-5e43-484f-f331-c7e6-c284-f8d4";"260706";"82";"1";"wieś";"stały";"Publiczna Szkoła Podstawowa w Waśniowie, ul. Kunowska 2, 27-425 Waśniów";"gm. Waśniów";"ostrowiecki";"świętokrzyskie";"1030";"1120";"460";"570";"0";"3";"0";"0";"0";"0";"0";"0";"0";"570";"0";"0";"570";"14";"3";"11";"0";"556";"160";"95";"301"
"3135-86a7-792f-cc3c-3649-284f-d573-4f0a";"260706";"82";"2";"wieś";"stały";"Publiczna Szkoła Podstawowa w Waśniowie, ul. Kunowska 2, 27-425 Waśniów";"gm. Waśniów";"ostrowiecki";"świętokrzyskie";"642";"692";"307";"335";"1";"1";"0";"0";"0";"0";"0";"0";"0";"335";"0";"0";"335";"9";"1";"8";"0";"326";"83";"45";"198"
"7fea-fc78-1828-a18d-103d-6867-0f26-5678";"260706";"82";"3";"wieś";"stały";"Publiczna Szkoła Podstawowa w Boleszynie, Boleszyn 74, 27-425 Waśniów";"gm. Waśniów";"ostrowiecki";"świętokrzyskie";"540";"579";"224";"316";"0";"0";"0";"0";"0";"0";"0";"0";"0";"316";"0";"0";"316";"9";"1";"8";"0";"307";"65";"36";"206"
"6073-fb8d-c9cb-8161-296c-f303-0299-2c82";"260706";"82";"4";"wieś";"stały";"Budynek po zlikwidowanej Gminnej Bibliotece w Sarniej Zwoli, Sarnia Zwola 30b, 27-425 Waśniów";"gm. Waśniów";"ostrowiecki";"świętokrzyskie";"1335";"1449";"678";"657";"0";"0";"0";"0";"0";"0";"0";"0";"0";"657";"0";"0";"657";"11";"2";"9";"0";"646";"127";"76";"443"
"526b-f64f-a830-313f-7e65-1a44-9dd0-264d";"260706";"82";"5";"wieś";"stały";"Publiczna Szkoła Podstawowa w Mominie im. mjr. Jana Piwnika ""Ponurego"", Momina 20, 27-425 Waśniów";"gm. Waśniów";"ostrowiecki";"świętokrzyskie";"700";"754";"337";"363";"0";"0";"0";"0";"0";"0";"0";"0";"0";"362";"0";"0";"362";"10";"4";"6";"0";"352";"82";"43";"227"
"e76e-d0dd-45ee-456c-82e1-b42f-55b8-4ec9";"260706";"82";"6";"wieś";"stały";"Budynek po zlikwidowanej Szkole Podstawowej w Janowicach, Janowice 31, 27-425 Waśniów";"gm. Waśniów";"ostrowiecki";"świętokrzyskie";"751";"824";"343";"408";"0";"2";"0";"0";"0";"0";"0";"0";"0";"408";"0";"0";"408";"7";"2";"5";"0";"401";"79";"25";"297"
"20be-b3ea-db20-2000-a0fa-b797-4b77-dbce";"260901";"82";"1";"miasto";"stały";"Port Kultury – Sandomierskie Centrum Kultury, ul. Portowa 24, 27-600 Sandomierz";"m. Sandomierz";"sandomierski";"świętokrzyskie";"1748";"1881";"677";"1071";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1071";"0";"2";"1069";"24";"5";"19";"0";"1045";"268";"258";"519"
"fc75-6dcd-a4ad-cef5-5d2f-614e-9f66-989f";"260901";"82";"2";"miasto";"stały";"Szkoła Podstawowa Nr 3 im. Armii Krajowej, ul. Flisaków 30, 27-600 Sandomierz";"m. Sandomierz";"sandomierski";"świętokrzyskie";"1427";"1560";"525";"902";"1";"1";"0";"0";"0";"0";"0";"0";"0";"902";"0";"0";"902";"32";"11";"21";"0";"870";"227";"242";"401"
"6670-697f-e104-7139-2c8d-face-886f-83aa";"260901";"82";"3";"miasto";"stały";"Urząd Miejski, Plac Poniatowskiego 1, 27-600 Sandomierz";"m. Sandomierz";"sandomierski";"świętokrzyskie";"891";"1055";"227";"664";"1";"109";"3";"3";"0";"0";"0";"0";"3";"667";"3";"0";"667";"4";"0";"4";"0";"663";"207";"152";"304"
"bc78-4d10-4161-0f2c-bd5e-62c7-b67c-b867";"260901";"82";"4";"miasto";"stały";"Miejski Stadion Sportowy, ul. Koseły 3a, 27-600 Sandomierz";"m. Sandomierz";"sandomierski";"świętokrzyskie";"656";"677";"230";"426";"0";"3";"0";"0";"0";"0";"0";"0";"0";"426";"0";"0";"426";"4";"1";"3";"0";"422";"143";"98";"181"
"f34f-5a7f-d180-3012-a8b8-328c-cdce-2a73";"260901";"82";"5";"miasto";"stały";"Szkoła Podstawowa nr 2 im. Króla Kazimierza Wielkiego, ul. Mickiewicza 9, 27-600 Sandomierz";"m. Sandomierz";"sandomierski";"świętokrzyskie";"1216";"1360";"399";"817";"0";"0";"0";"0";"0";"0";"0";"0";"0";"817";"0";"0";"817";"20";"4";"16";"0";"797";"241";"196";"360"
"f9b7-4def-9468-2893-b6c1-9608-4300-506a";"260901";"82";"6";"miasto";"stały";"Zespół Szkół Technicznych i Ogólnokształcących im. prof. Zbigniewa Strzeleckiego, ul. Słowackiego 37, 27-600 Sandomierz";"m. Sandomierz";"sandomierski";"świętokrzyskie";"1556";"1667";"626";"930";"2";"9";"0";"0";"0";"0";"0";"0";"0";"930";"0";"0";"930";"16";"5";"11";"0";"914";"254";"254";"406"
"350e-f037-f5eb-5488-bb9b-e987-faef-9677";"260901";"82";"7";"miasto";"stały";"Ośrodek Aktywności Kulturalnej (sala widowiskowa), ul. Armii Krajowej 1, 27-600 Sandomierz";"m. Sandomierz";"sandomierski";"świętokrzyskie";"919";"996";"292";"627";"0";"1";"0";"0";"0";"0";"0";"0";"0";"627";"0";"0";"627";"13";"5";"8";"0";"614";"208";"175";"231"
"d147-e00f-6f1a-6f81-0a20-4f1a-c319-2d76";"260901";"82";"8";"miasto";"stały";"Ośrodek Aktywności Kulturalnej (sala kameralna), ul. Armii Krajowej 1, 27-600 Sandomierz";"m. Sandomierz";"sandomierski";"świętokrzyskie";"1713";"1834";"625";"1088";"2";"8";"0";"0";"0";"0";"0";"0";"0";"1087";"0";"0";"1087";"27";"4";"23";"0";"1060";"349";"260";"451"
"118c-9119-322d-7166-785b-f326-e287-e74f";"260901";"82";"9";"miasto";"stały";"Komenda Powiatowa Państwowej Straży Pożarnej, ul. Mickiewicza 61, 27-600 Sandomierz";"m. Sandomierz";"sandomierski";"świętokrzyskie";"1505";"1586";"480";"1025";"1";"4";"0";"0";"0";"0";"0";"0";"0";"1024";"0";"0";"1024";"17";"5";"12";"0";"1007";"418";"273";"316"
"6ec0-be72-1380-cde2-cf73-4aa5-4c52-4729";"260901";"82";"10";"miasto";"stały";"Ponadgimnazjalny Zespół Szkół Ekonomicznych im. Eugeniusza Kwiatkowskiego, ul. Żeromskiego 8, 27-600 Sandomierz";"m. Sandomierz";"sandomierski";"świętokrzyskie";"966";"1081";"396";"570";"0";"27";"1";"1";"0";"0";"0";"0";"1";"571";"1";"0";"571";"11";"5";"6";"0";"560";"114";"162";"284"
"0749-d59c-33b1-4a18-7647-0007-d33c-4b0d";"260901";"82";"11";"miasto";"stały";"Bursa Szkolna, ul. Wojska Polskiego 22, 27-600 Sandomierz";"m. Sandomierz";"sandomierski";"świętokrzyskie";"1212";"1288";"400";"812";"0";"9";"2";"2";"0";"0";"0";"0";"2";"814";"2";"0";"814";"11";"3";"8";"0";"803";"299";"211";"293"
"27ef-fc03-d536-fc6c-b8b0-144a-4577-469f";"260901";"82";"12";"miasto";"stały";"Szkoła Podstawowa nr 4 im. Jarosława Iwaszkiewicza, ul. Mickiewicza 39, 27-600 Sandomierz";"m. Sandomierz";"sandomierski";"świętokrzyskie";"1777";"1894";"653";"1124";"1";"8";"0";"0";"0";"0";"0";"0";"0";"1123";"0";"0";"1123";"25";"15";"10";"0";"1098";"381";"305";"412"
"d5a8-0e93-1f87-35d6-07c5-4607-800f-c916";"260901";"82";"13";"miasto";"stały";"Wydział Zamiejscowy-Uniwersytet Jana Kochanowskiego w Kielcach, ul. Schinzla 13a, 27-600 Sandomierz";"m. Sandomierz";"sandomierski";"świętokrzyskie";"1790";"1935";"767";"1023";"0";"5";"0";"0";"0";"0";"0";"0";"0";"1023";"0";"0";"1023";"30";"19";"11";"0";"993";"331";"246";"416"
"c7fe-110b-f0ea-189b-e6e6-6c54-dffd-8416";"260901";"82";"14";"miasto";"zakład leczniczy";"Szpital Specjalistyczny Ducha Świętego w Sandomierzu, ul. Doktora Zygmunta Schinzla 13, 27-600 Sandomierz";"m. Sandomierz";"sandomierski";"świętokrzyskie";"400";"391";"308";"92";"0";"0";"0";"0";"0";"0";"0";"0";"0";"92";"0";"0";"92";"2";"0";"2";"0";"90";"20";"15";"55"
"d9ae-fafe-9f30-ffec-55e4-d0a4-089e-136f";"260901";"82";"15";"miasto";"dom pomocy społecznej";"Dom Pomocy Społecznej w Sandomierzu, ul. Czyżewskiego 1, 27-600 Sandomierz";"m. Sandomierz";"sandomierski";"świętokrzyskie";"111";"101";"45";"66";"0";"0";"0";"0";"0";"0";"0";"0";"0";"66";"0";"0";"66";"3";"2";"1";"0";"63";"21";"4";"38"
"252d-ba43-063a-33d0-39d1-8c28-5b01-1885";"260902";"82";"1";"wieś";"stały";"Urząd Gminy w Dwikozach, ul. Spółdzielcza 15, 27-620 Dwikozy";"gm. Dwikozy";"sandomierski";"świętokrzyskie";"1380";"1472";"628";"752";"0";"1";"0";"0";"0";"0";"0";"0";"0";"752";"0";"0";"752";"15";"8";"7";"0";"737";"197";"173";"367"
"ed48-8baa-da8c-d3b3-4606-d719-5adb-8972";"260902";"82";"2";"wieś";"stały";"budynek dawnej Szkoły Podstawowej w Dwikozach, ul. Sandomierska 55, 27-620 Dwikozy";"gm. Dwikozy";"sandomierski";"świętokrzyskie";"593";"641";"297";"296";"2";"1";"0";"0";"0";"0";"0";"0";"0";"296";"0";"0";"296";"3";"1";"2";"0";"293";"80";"53";"160"
"ae8b-603c-fc01-89eb-385b-d35b-840e-3e01";"260902";"82";"3";"wieś";"stały";"Szkoła Podstawowa w Starym Garbowie, Stary Garbów 82, 27-620 Dwikozy";"gm. Dwikozy";"sandomierski";"świętokrzyskie";"625";"713";"267";"358";"0";"3";"0";"0";"0";"0";"0";"0";"0";"358";"0";"0";"358";"5";"0";"5";"0";"353";"101";"89";"163"
"436a-c736-c390-0f84-a084-5fd8-285d-8312";"260902";"82";"4";"wieś";"stały";"Szkoła Podstawowa w Gierlachowie, Gierlachów 96, 27-600 Sandomierz";"gm. Dwikozy";"sandomierski";"świętokrzyskie";"579";"629";"231";"348";"0";"2";"0";"0";"0";"0";"0";"0";"0";"348";"0";"0";"348";"7";"1";"6";"0";"341";"80";"69";"192"
"e989-2275-ff5b-a374-e716-4f43-bbc8-f80a";"260902";"82";"5";"wieś";"stały";"Świetlica Wiejska w Górach Wysokich, Góry Wysokie 46, 27-620 Dwikozy";"gm. Dwikozy";"sandomierski";"świętokrzyskie";"920";"1014";"439";"481";"0";"0";"0";"0";"0";"0";"0";"0";"0";"481";"0";"0";"481";"10";"2";"8";"0";"471";"140";"100";"231"
"ddec-c6ec-8c9d-de51-d7bd-ad03-ab11-fede";"260902";"82";"6";"wieś";"stały";"Szkoła Podstawowa w Winiarach, Winiary 2, 27-620 Dwikozy";"gm. Dwikozy";"sandomierski";"świętokrzyskie";"511";"546";"291";"220";"0";"0";"0";"0";"0";"0";"0";"0";"0";"220";"0";"0";"220";"5";"0";"5";"0";"215";"71";"43";"101"
"0466-64de-36e8-d5ee-1e26-23e4-c369-ef4b";"260902";"82";"7";"wieś";"stały";"Szkoła Podstawowa w Słupczy, Słupcza 74, 27-620 Dwikozy";"gm. Dwikozy";"sandomierski";"świętokrzyskie";"882";"950";"442";"440";"0";"2";"0";"0";"0";"0";"0";"0";"0";"440";"0";"0";"440";"4";"1";"3";"0";"436";"145";"106";"185"
"9d27-4d4b-008b-e712-00ad-3198-b79c-c8ae";"260902";"82";"8";"wieś";"stały";"Szkoła Podstawowa w Mściowie, Mściów 100, 27-600 Sandomierz";"gm. Dwikozy";"sandomierski";"świętokrzyskie";"1081";"1175";"532";"549";"0";"4";"0";"0";"0";"0";"0";"0";"0";"549";"0";"0";"549";"10";"7";"3";"0";"539";"125";"105";"309"
"7beb-6287-da22-8ea8-95f9-99e6-2644-539f";"260903";"82";"1";"wieś";"stały";"Publiczna Szkoła Podstawowa im. J. Ossolińskiego budynek przy ul. Zysmana 9, ul. Zysmana 9, 27-640 Klimontów";"gm. Klimontów";"sandomierski";"świętokrzyskie";"1453";"1563";"646";"807";"4";"11";"0";"0";"0";"0";"0";"0";"0";"807";"0";"0";"807";"12";"4";"8";"0";"795";"209";"173";"413"
