"Kod TERYT";"Rodzaj jednostki";"Gmina";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Jolanta Emilia HIBNER";"Jan Krzysztof ŻARYN";"Liczba obwodów"
"140801";"gmina miejska";"m. Legionowo";"legionowski";"mazowieckie";36548;40164;7297;29241;24;178;9;9;0;0;0;0;9;29242;9;2;29240;938;230;708;0;28302;16760;11542;24
"140802";"gmina wiejska";"gm. Jabłonna";"legionowski";"mazowieckie";12468;13963;2244;10224;10;81;0;0;0;0;0;0;0;10222;0;0;10222;299;84;215;0;9923;6236;3687;9
"140803";"gmina wiejska";"gm. Nieporęt";"legionowski";"mazowieckie";10348;11319;1859;8489;12;69;0;0;0;0;0;0;0;8487;0;0;8487;194;47;147;0;8293;4785;3508;13
"140804";"gmina miejsko-wiejska";"gm. Serock";"legionowski";"mazowieckie";10597;12023;2612;7985;6;115;0;0;0;0;0;0;0;7985;0;0;7985;246;70;176;0;7739;4165;3574;8
"140805";"gmina wiejska";"gm. Wieliszew";"legionowski";"mazowieckie";10293;11638;2026;8267;1;119;0;0;0;0;0;0;0;8264;0;0;8264;255;76;179;0;8009;4410;3599;8
"141401";"gmina miejska";"m. Nowy Dwór Mazowiecki";"nowodworski";"mazowieckie";19584;21622;5665;13918;13;97;0;0;0;0;0;0;0;13919;0;1;13918;421;87;334;0;13497;7953;5544;13
"141402";"gmina wiejska";"gm. Czosnów";"nowodworski";"mazowieckie";7332;8092;1907;5425;3;46;0;0;0;0;0;0;0;5424;0;0;5424;213;42;171;0;5211;2766;2445;6
"141403";"gmina wiejska";"gm. Leoncin";"nowodworski";"mazowieckie";4081;4536;1284;2797;6;33;0;0;0;0;0;0;0;2797;0;1;2796;80;18;62;0;2716;1025;1691;4
"141404";"gmina miejsko-wiejska";"gm. Nasielsk";"nowodworski";"mazowieckie";14170;15565;5317;8853;8;54;0;0;0;0;0;0;0;8851;0;0;8851;289;56;233;0;8562;3363;5199;16
"141405";"gmina wiejska";"gm. Pomiechówek";"nowodworski";"mazowieckie";6571;7325;1785;4786;2;56;0;0;0;0;0;0;0;4786;0;0;4786;161;45;116;0;4625;2270;2355;8
"141406";"gmina miejsko-wiejska";"gm. Zakroczym";"nowodworski";"mazowieckie";4619;5049;1969;2650;2;31;1;1;0;0;0;0;1;2649;1;0;2649;94;24;70;0;2555;1142;1413;5
