"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Jacek Piotr DUDEK";"Joanna SEKUŁA"
"7011-54f2-a71b-ffaa-4958-970e-49ad-f957";"246801";"77";"34";"miasto";"stały";"Szkoła Podstawowa Nr 18, ul. ks. Andrzeja Mroczka 53c, 43-600 Jaworzno";"m. Jaworzno";"Jaworzno";"śląskie";"1850";"1990";"599";"1251";"0";"4";"0";"0";"0";"0";"0";"0";"0";"1251";"0";"0";"1251";"44";"19";"25";"0";"1207";"609";"598"
"34ab-dd51-8f61-e97d-525e-d906-0a19-d4d7";"246801";"77";"35";"miasto";"stały";"Szkoła Podstawowa nr 19, ul. Kasztanowa 33, 43-600 Jaworzno";"m. Jaworzno";"Jaworzno";"śląskie";"1550";"1731";"441";"1109";"2";"5";"0";"0";"0";"0";"0";"0";"0";"1109";"0";"0";"1109";"38";"11";"27";"0";"1071";"525";"546"
"db7f-9cf2-3043-1654-6cd1-e58e-0d69-3af9";"246801";"77";"36";"miasto";"stały";"Szkoła Podstawowa Nr 3, ul. Marcina Kasprzaka 6, 43-600 Jaworzno";"m. Jaworzno";"Jaworzno";"śląskie";"1000";"1073";"320";"680";"1";"3";"0";"0";"0";"0";"0";"0";"0";"680";"0";"0";"680";"22";"5";"17";"0";"658";"335";"323"
"7de8-39c9-9b02-cb47-5932-7c31-5701-541d";"246801";"77";"37";"miasto";"stały";"Państwowa Szkoła Muzyczna I stopnia, ul. Inwalidów Wojennych 2a, 43-600 Jaworzno";"m. Jaworzno";"Jaworzno";"śląskie";"1300";"1404";"537";"763";"0";"4";"0";"0";"0";"0";"0";"0";"0";"763";"0";"0";"763";"15";"3";"12";"0";"748";"354";"394"
"85ff-6ecc-7dca-d5c4-06d3-7c7f-c02a-a38a";"246801";"77";"38";"miasto";"stały";"II Liceum Ogólnokształcące, ul. Marii Curie-Skłodowskiej 6, 43-600 Jaworzno";"m. Jaworzno";"Jaworzno";"śląskie";"1449";"1555";"601";"848";"4";"6";"1";"1";"1";"0";"0";"0";"0";"848";"0";"0";"848";"32";"10";"22";"0";"816";"364";"452"
"86c8-afee-7ae6-477b-be0b-e062-fb97-deab";"246801";"77";"39";"miasto";"stały";"Zespół Szkół Ponadpodstawowych Nr 4, ul. Armii Krajowej 5, 43-600 Jaworzno";"m. Jaworzno";"Jaworzno";"śląskie";"1350";"1497";"551";"800";"0";"1";"0";"0";"0";"0";"0";"0";"0";"799";"0";"0";"799";"31";"4";"27";"0";"768";"400";"368"
"b40f-06d2-4ca9-6aef-9b3d-685d-c641-2e91";"246801";"77";"40";"miasto";"stały";"Zespół Szkół Ponadpodstawowych Nr 4, ul. Armii Krajowej 5, 43-600 Jaworzno";"m. Jaworzno";"Jaworzno";"śląskie";"1500";"1636";"466";"1034";"0";"5";"0";"0";"0";"0";"0";"0";"0";"1033";"0";"0";"1033";"35";"4";"31";"0";"998";"474";"524"
"0042-8cd7-4c6b-5c11-2932-f970-e293-3036";"246801";"77";"41";"miasto";"stały";"Szkoła Podstawowa Nr 17, ul. Starowiejska 15, 43-600 Jaworzno";"m. Jaworzno";"Jaworzno";"śląskie";"1700";"1834";"430";"1270";"0";"5";"0";"0";"0";"0";"0";"0";"0";"1270";"0";"0";"1270";"24";"13";"11";"0";"1246";"537";"709"
"752f-2574-5f2e-93ce-fdb2-5659-0404-2293";"246801";"77";"42";"miasto";"stały";"Państwowa Szkoła Muzyczna I stopnia, ul. Inwalidów Wojennych 2a, 43-600 Jaworzno";"m. Jaworzno";"Jaworzno";"śląskie";"400";"440";"207";"193";"2";"0";"0";"0";"0";"0";"0";"0";"0";"193";"0";"0";"193";"4";"0";"4";"0";"189";"81";"108"
"1714-b5d8-382e-9882-3cb5-8c86-cebe-9ebb";"246801";"77";"43";"miasto";"stały";"Szkoła Podstawowa Nr 8, ul. Spółdzielcza 9, 43-600 Jaworzno";"m. Jaworzno";"Jaworzno";"śląskie";"1999";"2216";"510";"1489";"6";"6";"1";"1";"0";"0";"0";"0";"1";"1490";"1";"0";"1490";"48";"8";"40";"0";"1442";"603";"839"
"ae57-aeb7-de83-e5ef-6c18-ad88-eb21-ff81";"246801";"77";"44";"miasto";"stały";"Szkoła Podstawowa Nr 8, ul. Spółdzielcza 9, 43-600 Jaworzno";"m. Jaworzno";"Jaworzno";"śląskie";"1599";"1742";"582";"1017";"2";"4";"0";"0";"0";"0";"0";"0";"0";"1017";"0";"0";"1017";"35";"10";"25";"0";"982";"399";"583"
"5781-0635-c632-8cb6-a19c-0947-b826-9791";"246801";"77";"45";"miasto";"stały";"Ośrodek Rehabilitacyjno-Wychowawczy dla Dzieci Niepełnosprawnych, ul. ks. Jana Sulińskiego 41, 43-600 Jaworzno";"m. Jaworzno";"Jaworzno";"śląskie";"650";"695";"299";"351";"0";"1";"1";"1";"0";"0";"0";"0";"1";"352";"1";"0";"352";"11";"2";"9";"0";"341";"167";"174"
"3941-c591-2778-02a4-9ebc-b867-24cc-848d";"246801";"77";"46";"miasto";"dom pomocy społecznej";"Dom Pomocy Społecznej, ul. Obrońców Poczty Gdańskiej 63, 43-600 Jaworzno";"m. Jaworzno";"Jaworzno";"śląskie";"103";"102";"59";"44";"0";"0";"0";"0";"0";"0";"0";"0";"0";"44";"0";"0";"44";"5";"0";"5";"0";"39";"30";"9"
"2f6f-3124-dc3d-2749-1e40-b50b-30ef-b182";"246801";"77";"47";"miasto";"zakład leczniczy";"SP ZOZ Szpital Wielospecjalistyczny, ul. Chełmońskiego 28, 43-600 Jaworzno";"m. Jaworzno";"Jaworzno";"śląskie";"100";"171";"26";"74";"0";"5";"0";"0";"0";"0";"0";"0";"0";"74";"0";"0";"74";"4";"0";"4";"0";"70";"39";"31"
"1842-6f18-bc2c-4e5d-5b53-b609-d355-3e8e";"246801";"77";"48";"miasto";"dom pomocy społecznej";"Dom Seniora ""Jesień na Letniej"", ul. Letnia 1D, 43-600 Jaworzno";"m. Jaworzno";"Jaworzno";"śląskie";"60";"53";"36";"24";"0";"0";"0";"0";"0";"0";"0";"0";"0";"24";"0";"0";"24";"2";"0";"2";"0";"22";"5";"17"
"4357-f087-f71d-39d7-ab6b-d66a-f81a-9bda";"247501";"77";"1";"miasto";"stały";"Przedszkole Miejskie Nr 11, ul. Krzysztofa Kamila Baczyńskiego 16, 41-203 Sosnowiec";"m. Sosnowiec";"Sosnowiec";"śląskie";"950";"1037";"245";"705";"0";"4";"0";"0";"0";"0";"0";"0";"0";"705";"0";"0";"705";"13";"2";"11";"0";"692";"236";"456"
"9485-d78e-3094-5f86-9876-f1f5-f2e2-aa6d";"247501";"77";"2";"miasto";"stały";"Szkoła Podstawowa Nr 12 (dawny Zespół Szkół Ogólnokształcących Nr 13), ul. Krzysztofa Kamila Baczyńskiego 14, 41-203 Sosnowiec";"m. Sosnowiec";"Sosnowiec";"śląskie";"1510";"1625";"407";"1103";"0";"8";"0";"0";"0";"0";"0";"0";"0";"1103";"0";"0";"1103";"37";"13";"24";"0";"1066";"374";"692"
"d97c-4b7f-4275-3a2f-f060-9edb-02ad-3bb7";"247501";"77";"3";"miasto";"stały";"Regionalne Centrum Kształcenia Ustawicznego w Sosnowcu, ul. Stalowa 9a, 41-214 Sosnowiec";"m. Sosnowiec";"Sosnowiec";"śląskie";"1900";"2081";"574";"1326";"0";"5";"0";"0";"0";"0";"0";"0";"0";"1326";"0";"0";"1326";"45";"19";"26";"0";"1281";"507";"774"
"2037-7568-5926-75a9-eb8d-8e6d-f079-1c2e";"247501";"77";"4";"miasto";"stały";"Szkoła Podstawowa Specjalna Nr 30 (dawny Zespół Szkół Specjalnych Nr 2), ul. Sucha 21, 41-205 Sosnowiec";"m. Sosnowiec";"Sosnowiec";"śląskie";"954";"1022";"229";"725";"2";"9";"0";"0";"0";"0";"0";"0";"0";"724";"0";"0";"724";"24";"7";"17";"0";"700";"203";"497"
"2370-048e-5c30-2a74-374a-a44a-1ff5-79c6";"247501";"77";"5";"miasto";"stały";"Uniwersytet Śląski Wydział Informatyki i Nauki o Materiałach, Instytut Informatyki, Sosnowiec, Pogoń ul. Będzińska 39, 41-205 Sosnowiec";"m. Sosnowiec";"Sosnowiec";"śląskie";"1500";"1648";"459";"1041";"7";"10";"0";"0";"0";"0";"0";"0";"0";"1041";"0";"1";"1040";"27";"2";"25";"0";"1013";"372";"641"
"b3a9-4891-a56a-0997-17ec-942d-620f-8b78";"247501";"77";"6";"miasto";"stały";"Szkoła Podstawowa Nr 3 (dawny Zespół Szkół Ogólnokształcących Nr 8), Sosnowiec, Pogoń ul. Hutnicza 6, 41-205 Sosnowiec";"m. Sosnowiec";"Sosnowiec";"śląskie";"1359";"1460";"594";"765";"0";"7";"0";"0";"0";"0";"0";"0";"0";"765";"0";"0";"765";"39";"8";"31";"0";"726";"258";"468"
"afd5-6e39-db8d-799c-5cd2-7cb3-79cb-e35c";"247501";"77";"7";"miasto";"stały";"Miejski Klub im. Jana Kiepury, Sosnowiec, Pogoń ul. Będzińska 6, 41-205 Sosnowiec";"m. Sosnowiec";"Sosnowiec";"śląskie";"1050";"1143";"268";"782";"2";"5";"1";"1";"0";"0";"0";"1";"0";"782";"0";"0";"782";"14";"1";"13";"0";"768";"241";"527"
"7750-ad42-8eba-d464-030c-daef-9386-d858";"247501";"77";"8";"miasto";"stały";"I Liceum Ogólnokształcące im. Walentego Roździeńskiego w Sosnowcu (dawny Zespół Szkół Ogólnokształcących Nr 1), ul. Stanisława Staszica 62, 41-200 Sosnowiec";"m. Sosnowiec";"Sosnowiec";"śląskie";"920";"1016";"500";"420";"0";"4";"0";"0";"0";"0";"0";"0";"0";"420";"0";"0";"420";"16";"0";"16";"0";"404";"186";"218"
"6876-5b88-91f2-6d45-36f6-8fbc-ad3a-0b1d";"247501";"77";"9";"miasto";"stały";"Centrum Kształcenia Zawodowego i Ustawicznego w Sosnowcu, Technikum Nr 1 Ekonomiczne (dawny Zespół Szkół Ekonomicznych), ul. gen. Stefana Grota-Roweckiego 66, 41-214 Sosnowiec";"m. Sosnowiec";"Sosnowiec";"śląskie";"2250";"2474";"591";"1659";"1";"8";"0";"0";"0";"0";"0";"0";"0";"1659";"0";"0";"1659";"58";"45";"13";"0";"1601";"504";"1097"
"4dbb-904f-da3a-8b76-2ab5-ba7e-9edc-7b7c";"247501";"77";"10";"miasto";"stały";"Centrum Kształcenia Zawodowego i Ustawicznego w Sosnowcu (dawny Zespół Szkół Projektowania i Stylizacji Ubioru), ul. gen. Stefana Grota-Roweckiego 64, 41-214 Sosnowiec";"m. Sosnowiec";"Sosnowiec";"śląskie";"1200";"1293";"382";"818";"2";"4";"0";"0";"0";"0";"0";"0";"0";"818";"0";"0";"818";"25";"7";"18";"0";"793";"279";"514"
"aed8-8c1f-adb9-5179-57d4-cffe-11f0-4637";"247501";"77";"11";"miasto";"stały";"VI Liceum Ogólnokształcące (dawne Gimnazjum Nr 13), ul. Ludwika Zamenhofa 15, 41-214 Sosnowiec";"m. Sosnowiec";"Sosnowiec";"śląskie";"1700";"1879";"514";"1186";"0";"3";"0";"0";"0";"0";"0";"0";"0";"1186";"0";"0";"1186";"31";"13";"18";"0";"1155";"438";"717"
"4701-30bc-d58e-b95f-ab44-86b5-c72c-7e79";"247501";"77";"12";"miasto";"stały";"Przedszkole Miejskie Nr 3, ul. Henryka Dietla 1, 41-214 Sosnowiec";"m. Sosnowiec";"Sosnowiec";"śląskie";"1300";"1434";"467";"833";"0";"3";"1";"0";"0";"0";"0";"0";"0";"833";"0";"0";"833";"35";"9";"26";"0";"798";"276";"522"
"c79a-cf4b-b500-4b85-304a-ab65-90d8-361b";"247501";"77";"13";"miasto";"stały";"Szkoła Podstawowa Nr 27, ul. Grabowa 2, 41-209 Sosnowiec";"m. Sosnowiec";"Sosnowiec";"śląskie";"1804";"1927";"384";"1420";"0";"6";"0";"0";"0";"0";"0";"0";"0";"1419";"0";"0";"1419";"43";"21";"22";"0";"1376";"558";"818"
"98a1-31a6-95c2-c5de-e28c-22dd-9de8-a262";"247501";"77";"14";"miasto";"stały";"Zespół Szkół Ogólnokształcących Nr 3, ul Marszałka Józefa Piłsudskiego 114, 41-209 Sosnowiec";"m. Sosnowiec";"Sosnowiec";"śląskie";"1518";"1666";"330";"1188";"4";"8";"0";"0";"0";"0";"0";"0";"0";"1188";"0";"0";"1188";"26";"13";"13";"0";"1162";"369";"793"
"50ee-6757-8b06-b440-c5d4-5e88-5902-ef41";"247501";"77";"15";"miasto";"stały";"Szkoła Podstawowa Nr 27, ul. Grabowa 2, 41-209 Sosnowiec";"m. Sosnowiec";"Sosnowiec";"śląskie";"950";"1042";"310";"640";"0";"2";"0";"0";"0";"0";"0";"0";"0";"639";"0";"0";"639";"31";"14";"17";"0";"608";"201";"407"
"d954-9352-9981-18a6-f3e1-a358-484a-a5bb";"247501";"77";"16";"miasto";"stały";"Centrum Kształcenia Zawodowego i Ustawicznego w Sosnowcu, Technikum Nr 4 Transportowe (dawny Zespół Szkół Technicznych i Licealnych), ul. Jana Kilińskiego 31, 41-209 Sosnowiec";"m. Sosnowiec";"Sosnowiec";"śląskie";"2405";"2643";"525";"1880";"2";"20";"1";"1";"0";"0";"0";"0";"1";"1881";"1";"0";"1881";"58";"16";"42";"0";"1823";"559";"1264"
"59e2-6c25-8355-2d22-0b1f-549e-48d6-910b";"247501";"77";"17";"miasto";"stały";"Szkoła Podstawowa Nr 19, Sosnowiec, Stary Sosnowiec ul. Składowa 5, 41-209 Sosnowiec";"m. Sosnowiec";"Sosnowiec";"śląskie";"1500";"1658";"357";"1143";"0";"13";"0";"0";"0";"0";"0";"0";"0";"1143";"0";"0";"1143";"37";"13";"24";"0";"1106";"442";"664"
"e414-5d78-425f-e00e-be09-e91e-d008-3891";"247501";"77";"18";"miasto";"stały";"Szkoła Podstawowa Nr 19, Sosnowiec, Stary Sosnowiec ul. Składowa 5, 41-209 Sosnowiec";"m. Sosnowiec";"Sosnowiec";"śląskie";"1650";"1806";"518";"1132";"2";"7";"0";"0";"0";"0";"0";"0";"0";"1132";"0";"0";"1132";"47";"13";"34";"0";"1085";"369";"716"
"f748-53f2-b388-1adc-b832-52d6-3fc3-e611";"247501";"77";"19";"miasto";"stały";"Szkoła Podstawowa Nr 45 (dawny Zespół Szkół Ogólnokształcących Nr 2), ul. Czeladzka 58, 41-214 Sosnowiec";"m. Sosnowiec";"Sosnowiec";"śląskie";"1909";"2074";"520";"1389";"0";"9";"0";"0";"0";"0";"0";"0";"0";"1389";"0";"0";"1389";"40";"12";"28";"0";"1349";"503";"846"
"cdc0-7864-a27b-9777-0987-241c-2173-9789";"247501";"77";"20";"miasto";"stały";"Uniwersytet Śląski Wydział Filologiczny, ul. Żytnia 10, 41-205 Sosnowiec";"m. Sosnowiec";"Sosnowiec";"śląskie";"1650";"1861";"551";"1099";"2";"14";"0";"0";"0";"0";"0";"0";"0";"1098";"0";"0";"1098";"32";"11";"21";"0";"1066";"403";"663"
"bdf3-9a75-7919-8615-1760-653e-4b95-f162";"247501";"77";"21";"miasto";"stały";"Szkoła Podstawowa Nr 10, Sosnowiec, Pogoń ul. Władysława Reymonta 36, 41-205 Sosnowiec";"m. Sosnowiec";"Sosnowiec";"śląskie";"1450";"1582";"471";"979";"3";"11";"1";"1";"0";"0";"0";"0";"1";"980";"1";"0";"980";"32";"12";"20";"0";"948";"315";"633"
"85c0-3179-6902-c555-a894-71aa-b3a0-0149";"247501";"77";"22";"miasto";"stały";"IV Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi (dawny Zespół Szkół Ogólnokształcących Nr 15), plac Waldemara Zillingera 1, 41-205 Sosnowiec";"m. Sosnowiec";"Sosnowiec";"śląskie";"1550";"1725";"617";"933";"2";"0";"0";"0";"0";"0";"0";"0";"0";"933";"0";"0";"933";"43";"11";"32";"0";"890";"303";"587"
"9f5c-9b94-c127-cfde-43b5-15ce-bf3c-91cf";"247501";"77";"23";"miasto";"stały";"Szkoła Podstawowa Nr 1, ul. Niepodległości 7, 41-205 Sosnowiec";"m. Sosnowiec";"Sosnowiec";"śląskie";"1550";"1735";"537";"1013";"2";"7";"1";"1";"1";"0";"0";"0";"0";"1013";"0";"0";"1013";"27";"7";"20";"0";"986";"314";"672"
"fac2-e72a-b8ee-3e7d-f26c-1ce1-5039-6d5d";"247501";"77";"24";"miasto";"stały";"Miejski Ośrodek Sportu i Rekreacji w Sosnowcu, ul. 3 Maja 41, 41-200 Sosnowiec";"m. Sosnowiec";"Sosnowiec";"śląskie";"1301";"1428";"392";"909";"0";"7";"0";"0";"0";"0";"0";"0";"0";"909";"0";"0";"909";"38";"10";"28";"0";"871";"326";"545"
"f820-2e25-12a4-f8dd-4a5f-aa55-f459-70d8";"247501";"77";"25";"miasto";"stały";"Sportowa Szkoła Podstawowa Nr 17 (dawny Zespół Szkół Nr 1), ul. Zamkowa 17, 41-200 Sosnowiec";"m. Sosnowiec";"Sosnowiec";"śląskie";"1700";"1885";"327";"1373";"1";"3";"0";"0";"0";"0";"0";"0";"0";"1371";"0";"0";"1371";"51";"16";"35";"0";"1320";"404";"916"
"5a1b-e974-5179-2bb2-50dc-efe7-4bdd-b719";"247501";"77";"26";"miasto";"stały";"Szkoła Podstawowa Nr 6, ul. Wawel 13, 41-200 Sosnowiec";"m. Sosnowiec";"Sosnowiec";"śląskie";"2410";"2635";"560";"1850";"4";"11";"1";"1";"0";"0";"0";"0";"1";"1851";"1";"0";"1851";"60";"15";"45";"0";"1791";"595";"1196"
"0a28-f7ef-a026-e4f1-3d44-6dca-4f30-38e6";"247501";"77";"27";"miasto";"stały";"Szkoła Podstawowa Nr 6 (dawne Gimnazjum Nr 16), ul. Legionów 21, 41-200 Sosnowiec";"m. Sosnowiec";"Sosnowiec";"śląskie";"1201";"1324";"310";"891";"1";"8";"0";"0";"0";"0";"0";"0";"0";"891";"0";"0";"891";"45";"45";"0";"0";"846";"313";"533"
"978a-1728-c2dd-fcf1-a9ef-edd3-2dad-cc74";"247501";"77";"28";"miasto";"stały";"Centrum Kształcenia Zawodowego i Ustawicznego w Sosnowcu, Technikum Nr 6 Grafiki, Logistyki i Środowiska (dawny Zespół Szkół Technicznych), ul. Legionów 9, 41-200 Sosnowiec";"m. Sosnowiec";"Sosnowiec";"śląskie";"1300";"1398";"353";"947";"2";"2";"0";"0";"0";"0";"0";"0";"0";"947";"0";"0";"947";"30";"9";"21";"0";"917";"334";"583"
"04dc-a858-813d-b289-9a5c-59ed-aa1a-91ed";"247501";"77";"29";"miasto";"stały";"Centrum Kształcenia Zawodowego i Ustawicznego w Sosnowcu, Technikum Nr 6 Grafiki, Logistyki i Środowiska (dawny Zespół Szkół Technicznych), ul. Legionów 9, 41-200 Sosnowiec";"m. Sosnowiec";"Sosnowiec";"śląskie";"1410";"1509";"352";"1058";"1";"4";"0";"0";"0";"0";"0";"0";"0";"1058";"0";"0";"1058";"25";"10";"15";"0";"1033";"350";"683"
"bb16-d3b9-ffa9-23bb-35b6-4949-0cc7-bde5";"247501";"77";"30";"miasto";"stały";"Przedszkole Miejskie Nr 12, ul. Ignacego Mościckiego 26a, 41-200 Sosnowiec";"m. Sosnowiec";"Sosnowiec";"śląskie";"1500";"1663";"504";"996";"2";"3";"0";"0";"0";"0";"0";"0";"0";"996";"0";"0";"996";"27";"8";"19";"0";"969";"321";"648"
"95b6-f0fc-91a2-141d-4547-dee0-320c-e7da";"247501";"77";"31";"miasto";"stały";"Szkoła Podstawowa Nr 22, ul. Anieli Urbanowicz 14, 41-200 Sosnowiec";"m. Sosnowiec";"Sosnowiec";"śląskie";"1650";"1799";"498";"1152";"2";"8";"1";"1";"0";"0";"0";"0";"1";"1153";"1";"0";"1153";"43";"9";"34";"0";"1110";"426";"684"
"1301-db1f-9fb7-977a-4bce-4b85-123b-d710";"247501";"77";"32";"miasto";"stały";"Urząd Miejski w Sosnowcu, ul. Stanisława Małachowskiego 3, 41-200 Sosnowiec";"m. Sosnowiec";"Sosnowiec";"śląskie";"1000";"1081";"429";"571";"0";"3";"0";"0";"0";"0";"0";"0";"0";"571";"0";"0";"571";"26";"10";"16";"0";"545";"199";"346"
"e6fb-e09f-1533-0efd-8e5d-eb0e-9a69-0718";"247501";"77";"33";"miasto";"stały";"Szkoła Podstawowa Nr 4, ul. Kościelna 9, 41-200 Sosnowiec";"m. Sosnowiec";"Sosnowiec";"śląskie";"700";"781";"396";"304";"0";"4";"0";"0";"0";"0";"0";"0";"0";"304";"0";"0";"304";"12";"3";"9";"0";"292";"116";"176"
"a3c3-3335-d09b-e103-3dd5-8725-5dd4-fc15";"247501";"77";"34";"miasto";"stały";"Przedszkole Miejskie Nr 28, ul. rtm. Witolda Pileckiego 9, 41-200 Sosnowiec";"m. Sosnowiec";"Sosnowiec";"śląskie";"1450";"1627";"499";"951";"1";"9";"0";"0";"0";"0";"0";"0";"0";"951";"0";"0";"951";"33";"11";"22";"0";"918";"367";"551"
"1cda-189f-0c08-a78c-0a73-25bc-bac5-26af";"247501";"77";"35";"miasto";"stały";"Szkoła Podstawowa Nr 8, ul. Teatralna 8, 41-200 Sosnowiec";"m. Sosnowiec";"Sosnowiec";"śląskie";"1950";"2183";"718";"1232";"4";"6";"0";"0";"0";"0";"0";"0";"0";"1232";"0";"0";"1232";"54";"16";"38";"0";"1178";"410";"768"
"6024-2a01-178a-0dcd-a207-6bb1-4496-c443";"247501";"77";"36";"miasto";"stały";"Przedszkole Miejskie Nr 55, ul. Akacjowa 81, 41-200 Sosnowiec";"m. Sosnowiec";"Sosnowiec";"śląskie";"1100";"1193";"239";"861";"0";"0";"0";"0";"0";"0";"0";"0";"0";"861";"0";"0";"861";"24";"10";"14";"0";"837";"263";"574"
"6c92-f5d0-01ff-01f9-479d-2901-94ef-b9cc";"247501";"77";"37";"miasto";"stały";"Przedszkole Miejskie Nr 55 (wejście od parkingu przedszkola), ul. Akacjowa 81, 41-200 Sosnowiec";"m. Sosnowiec";"Sosnowiec";"śląskie";"1700";"1838";"460";"1240";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1240";"0";"0";"1240";"28";"16";"12";"0";"1212";"393";"819"
"ca7c-fb0d-19de-fbac-cebf-7763-7469-8e2a";"247501";"77";"38";"miasto";"stały";"Szkoła Podstawowa Nr 4, ul. Kościelna 9, 41-200 Sosnowiec";"m. Sosnowiec";"Sosnowiec";"śląskie";"1050";"1177";"263";"784";"0";"10";"0";"0";"0";"0";"0";"0";"0";"784";"0";"0";"784";"31";"8";"23";"0";"753";"215";"538"
"ecea-ca06-3257-0110-0193-78e4-3856-fdfd";"247501";"77";"39";"miasto";"stały";"Przedszkole Miejskie Nr 56, ul. Jagiellońska 13E, 41-200 Sosnowiec";"m. Sosnowiec";"Sosnowiec";"śląskie";"1450";"1607";"360";"1090";"0";"9";"0";"0";"0";"0";"0";"0";"0";"1090";"0";"0";"1090";"37";"13";"24";"0";"1053";"395";"658"
"a329-e15a-f346-97ca-faef-50c8-6444-ca45";"247501";"77";"40";"miasto";"stały";"Zespół Szkół Elektronicznych i Informatycznych, ul. Jagiellońska 13, 41-200 Sosnowiec";"m. Sosnowiec";"Sosnowiec";"śląskie";"2449";"2701";"590";"1859";"4";"9";"0";"0";"0";"0";"0";"0";"0";"1859";"0";"0";"1859";"45";"14";"31";"0";"1814";"611";"1203"
"95bc-77da-557a-d09f-cddf-7442-91f1-d771";"247501";"77";"41";"miasto";"stały";"Zespół Szkół Specjalnych Nr 4, ul. Franciszkańska 5a, 41-200 Sosnowiec";"m. Sosnowiec";"Sosnowiec";"śląskie";"1650";"1790";"554";"1096";"0";"4";"1";"1";"0";"0";"0";"0";"1";"1097";"1";"0";"1097";"30";"9";"21";"0";"1067";"385";"682"
"8fd5-86a2-a28b-52d8-e5d0-1603-db4c-3908";"247501";"77";"42";"miasto";"stały";"Zespół Szkół Nr 2 w Sosnowcu (dawna Szkoła Podstawowa Nr 42), ul. Bolesława Prusa 253a, 41-219 Sosnowiec";"m. Sosnowiec";"Sosnowiec";"śląskie";"1648";"1798";"380";"1268";"0";"8";"0";"0";"0";"0";"0";"0";"0";"1268";"0";"0";"1268";"32";"8";"24";"0";"1236";"429";"807"
"8de8-495f-91d9-3051-4ab6-4b87-babe-fe88";"247501";"77";"43";"miasto";"stały";"Przedszkole Miejskie Nr 52, ul. Stanisława Witkiewicza 1, 41-219 Sosnowiec";"m. Sosnowiec";"Sosnowiec";"śląskie";"1949";"2128";"506";"1443";"0";"3";"0";"0";"0";"0";"0";"0";"0";"1443";"0";"0";"1443";"41";"9";"32";"0";"1402";"583";"819"
"9e5e-2247-1247-3838-a764-e35f-32ad-9a7b";"247501";"77";"44";"miasto";"stały";"Szkoła Podstawowa Nr 16, ul. Okrzei 56, 41-219 Sosnowiec";"m. Sosnowiec";"Sosnowiec";"śląskie";"2048";"2245";"592";"1456";"0";"6";"1";"1";"0";"0";"0";"0";"1";"1457";"1";"0";"1457";"51";"30";"21";"0";"1406";"568";"838"
"4260-7d12-be53-248b-acf8-a412-b23a-758e";"247501";"77";"45";"miasto";"stały";"Zespół Szkół Nr 2 w Sosnowcu (dawna Szkoła Podstawowa Nr 42), ul. Bolesława Prusa 253a, 41-219 Sosnowiec";"m. Sosnowiec";"Sosnowiec";"śląskie";"1600";"1720";"355";"1245";"0";"2";"0";"0";"0";"0";"0";"0";"0";"1245";"0";"0";"1245";"28";"7";"21";"0";"1217";"463";"754"
"0172-9a4f-6117-3f20-b906-da2d-9e6d-6909";"247501";"77";"46";"miasto";"stały";"Zespół Szkół Nr 2 w Sosnowcu (dawne Przedszkole Miejskie Nr 51), ul. Bolesława Prusa 253a, 41-219 Sosnowiec";"m. Sosnowiec";"Sosnowiec";"śląskie";"1050";"1151";"272";"778";"1";"1";"0";"0";"0";"0";"0";"0";"0";"778";"0";"0";"778";"28";"7";"21";"0";"750";"274";"476"
"f81b-9017-1cd7-9899-daee-e897-25f8-5557";"247501";"77";"47";"miasto";"stały";"Powiatowy Urząd Pracy, ul. Rzeźnicza 12, 41-200 Sosnowiec";"m. Sosnowiec";"Sosnowiec";"śląskie";"2198";"2388";"552";"1646";"2";"8";"0";"0";"0";"0";"0";"0";"0";"1646";"0";"0";"1646";"38";"18";"20";"0";"1608";"557";"1051"
