"Kod TERYT";"Rodzaj jednostki";"Gmina";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Maria Zofia KOC";"Mirosław KRUSIEWICZ";"Krzysztof Paweł PROKOPCZYK";"Leszek Bogdan SZYMAŃSKI";"Liczba obwodów"
"140301";"gmina miejska";"m. Garwolin";"garwoliński";"mazowieckie";12172;13266;3102;9070;10;48;0;0;0;0;0;0;0;9066;0;0;9066;148;60;88;0;8918;4975;3019;451;473;16
"140302";"gmina miejska";"m. Łaskarzew";"garwoliński";"mazowieckie";3542;3867;1130;2412;5;9;0;0;0;0;0;0;0;2412;0;0;2412;54;14;40;0;2358;1551;604;97;106;4
"140303";"gmina wiejska";"gm. Borowie";"garwoliński";"mazowieckie";3777;4168;1211;2566;1;5;0;0;0;0;0;0;0;2566;0;0;2566;34;12;22;0;2532;1953;381;97;101;5
"140304";"gmina wiejska";"gm. Garwolin";"garwoliński";"mazowieckie";9033;9987;2642;6391;9;32;0;0;0;0;0;0;0;6390;0;0;6390;123;37;86;0;6267;4202;1426;309;330;12
"140305";"gmina wiejska";"gm. Górzno";"garwoliński";"mazowieckie";4656;5094;1404;3252;0;11;0;0;0;0;0;0;0;3252;0;0;3252;56;22;34;0;3196;2545;404;131;116;8
"140306";"gmina wiejska";"gm. Łaskarzew";"garwoliński";"mazowieckie";3876;4231;1287;2589;3;5;0;0;0;0;0;0;0;2589;0;0;2589;34;7;27;0;2555;1911;405;133;106;5
"140307";"gmina wiejska";"gm. Maciejowice";"garwoliński";"mazowieckie";5180;5675;1872;3308;2;25;0;0;0;0;0;0;0;3308;0;0;3308;62;16;46;0;3246;2575;452;107;112;8
"140308";"gmina wiejska";"gm. Miastków Kościelny";"garwoliński";"mazowieckie";3459;3775;1101;2358;1;7;0;0;0;0;0;0;0;2358;0;0;2358;49;14;35;0;2309;1777;362;79;91;6
"140309";"gmina wiejska";"gm. Parysów";"garwoliński";"mazowieckie";2930;3208;1083;1847;6;6;0;0;0;0;0;0;0;1847;0;0;1847;34;0;34;0;1813;1456;199;73;85;4
"140310";"gmina miejsko-wiejska";"gm. Pilawa";"garwoliński";"mazowieckie";7679;8410;2383;5296;5;27;0;0;0;0;0;0;0;5296;0;1;5295;93;19;74;0;5202;3602;1117;240;243;10
"140311";"gmina wiejska";"gm. Sobolew";"garwoliński";"mazowieckie";5799;6349;1899;3900;7;25;0;0;0;0;0;0;0;3899;0;0;3899;65;12;53;0;3834;3013;544;127;150;6
"140312";"gmina wiejska";"gm. Trojanów";"garwoliński";"mazowieckie";5310;5840;1658;3652;4;16;0;0;0;0;0;0;0;3652;0;0;3652;58;14;44;0;3594;2921;427;129;117;7
"140313";"gmina wiejska";"gm. Wilga";"garwoliński";"mazowieckie";3843;4282;1298;2545;0;11;0;0;0;0;0;0;0;2545;0;0;2545;53;15;38;0;2492;1581;663;120;128;5
"140314";"gmina miejsko-wiejska";"gm. Żelechów";"garwoliński";"mazowieckie";6015;6531;2005;4010;5;13;0;0;0;0;0;0;0;4010;0;0;4010;70;22;48;0;3940;3066;613;142;119;6
"141201";"gmina miejska";"m. Mińsk Mazowiecki";"miński";"mazowieckie";27758;30564;6234;21523;14;110;0;0;0;0;0;0;0;21516;0;22;21494;295;95;200;0;21199;8880;10507;948;864;22
"141204";"gmina wiejska";"gm. Cegłów";"miński";"mazowieckie";4371;4817;1318;3054;0;14;0;0;0;0;0;0;0;3052;0;0;3052;85;19;66;0;2967;1650;1047;144;126;7
"141205";"gmina wiejska";"gm. Dębe Wielkie";"miński";"mazowieckie";7260;7940;2193;5067;5;23;1;1;0;0;0;0;1;5065;1;0;5065;111;23;88;0;4954;2746;1646;276;286;6
"141206";"gmina wiejska";"gm. Dobre";"miński";"mazowieckie";4365;4817;1502;2863;3;20;0;0;0;0;0;0;0;2863;0;0;2863;41;5;36;0;2822;1895;718;111;98;5
"141207";"gmina miejsko-wiejska";"gm. Halinów";"miński";"mazowieckie";10885;12059;2614;8273;6;82;2;2;0;0;0;0;2;8272;2;0;8272;144;67;77;0;8128;4047;3268;407;406;10
