"Kod TERYT";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Jacek BOGUCKI";"Aldona Anna SKIRGIEŁŁO";"Igor ŁUKASZUK";"Liczba obwodów"
"200300";"bielski";"podlaskie";40952;45008;16838;24114;83;127;2;2;0;0;0;0;2;24116;2;0;24116;316;101;215;0;23800;12416;1055;10329;50
"200500";"hajnowski";"podlaskie";33732;36381;15845;17887;23;184;4;4;0;0;0;0;4;17890;4;0;17890;339;86;253;0;17551;5210;1287;11054;47
"201000";"siemiatycki";"podlaskie";33870;36496;15795;18075;42;176;2;2;0;0;0;0;2;18075;2;0;18075;309;62;247;0;17766;10119;1302;6345;48
"201300";"wysokomazowiecki";"podlaskie";42116;45730;15341;26775;39;143;1;1;0;0;0;0;1;26775;1;0;26775;528;167;361;0;26247;20512;1404;4331;60
