"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Adam Andrzej KOŚMIDER";"Mariusz Kazimierz TRAWKA";"Wojciech Stanisław ZIEMNIAK"
"6069-f69d-a749-5be7-187d-2732-2f99-d916";"300402";"94";"6";"miasto";"stały";"Szkoła Podstawowa Nr 2 (wejście od ul. Sądowej), ul. Wrocławska 264, 63-800 Gostyń";"gm. Gostyń";"gostyński";"wielkopolskie";"900";"974";"293";"607";"0";"1";"0";"0";"0";"0";"0";"0";"0";"607";"0";"0";"607";"18";"3";"15";"0";"589";"248";"60";"281"
"b472-dd67-0aec-67dd-4e4d-eafc-d900-4eb1";"300402";"94";"7";"miasto";"stały";"Szkoła Podstawowa Nr 1, ul. Stanisława Helsztyńskiego 8, 63-800 Gostyń";"gm. Gostyń";"gostyński";"wielkopolskie";"1001";"1081";"317";"684";"0";"2";"0";"0";"0";"0";"0";"0";"0";"684";"0";"0";"684";"10";"2";"8";"0";"674";"240";"88";"346"
"15c5-7ed9-8a25-c815-52a3-9bc6-e4a5-c018";"300402";"94";"8";"miasto";"stały";"Dzienny Dom Senior +, ul. Polna 72, 63-800 Gostyń";"gm. Gostyń";"gostyński";"wielkopolskie";"910";"977";"307";"603";"0";"4";"0";"0";"0";"0";"0";"0";"0";"603";"0";"0";"603";"21";"8";"13";"0";"582";"205";"55";"322"
"35d1-e714-d6c1-7e67-2072-0bab-17a0-206a";"300402";"94";"9";"miasto";"stały";"Gostyński Ośrodek Kultury ""Hutnik"", ul. Hutnika 4, 63-800 Gostyń";"gm. Gostyń";"gostyński";"wielkopolskie";"1052";"1133";"307";"745";"4";"4";"0";"0";"0";"0";"0";"0";"0";"745";"0";"0";"745";"16";"6";"10";"0";"729";"315";"83";"331"
"1b98-698e-0810-6721-e631-d260-1bad-21b6";"300402";"94";"10";"miasto";"stały";"Szkoła Podstawowa Nr 3 (wejście od ul. Leszczyńskiej), ul. Hutnika 3, 63-800 Gostyń";"gm. Gostyń";"gostyński";"wielkopolskie";"940";"1016";"316";"624";"0";"4";"0";"0";"0";"0";"0";"0";"0";"624";"0";"0";"624";"19";"5";"14";"0";"605";"204";"84";"317"
"9888-cd79-c3d6-4ad8-cb0e-0445-abf9-7234";"300402";"94";"11";"miasto";"stały";"Szkoła Podstawowa Nr 3, ul. Hutnika 3, 63-800 Gostyń";"gm. Gostyń";"gostyński";"wielkopolskie";"1060";"1132";"398";"662";"1";"3";"0";"0";"0";"0";"0";"0";"0";"662";"0";"0";"662";"16";"2";"14";"0";"646";"229";"64";"353"
"84e7-1285-0b3a-bd0b-9832-624a-1c3b-8003";"300402";"94";"12";"miasto";"stały";"Szkoła Podstawowa Nr 5, ul. Graniczna 1, 63-800 Gostyń";"gm. Gostyń";"gostyński";"wielkopolskie";"968";"1044";"322";"646";"2";"2";"0";"0";"0";"0";"0";"0";"0";"646";"0";"0";"646";"14";"5";"9";"0";"632";"244";"68";"320"
"f7ad-01e3-1f2c-ec59-9287-2787-913e-24ef";"300402";"94";"13";"miasto";"stały";"Zespół Szkół Zawodowych, ul. Juliana Tuwima 44, 63-800 Gostyń";"gm. Gostyń";"gostyński";"wielkopolskie";"1170";"1276";"271";"899";"2";"4";"0";"0";"0";"0";"0";"0";"0";"899";"0";"0";"899";"21";"3";"18";"0";"878";"314";"99";"465"
"43b6-75fb-a472-2d0e-4c26-06f0-ae4a-c2c8";"300402";"94";"14";"miasto";"stały";"Zespół Szkół Zawodowych, ul. Juliana Tuwima 44, 63-800 Gostyń";"gm. Gostyń";"gostyński";"wielkopolskie";"1150";"1260";"348";"802";"0";"1";"0";"0";"0";"0";"0";"0";"0";"802";"0";"0";"802";"9";"2";"7";"0";"793";"272";"106";"415"
"6dea-1de1-3cbe-2c21-0245-2114-6e98-f4e9";"300402";"94";"15";"miasto";"stały";"Szkoła Podstawowa Nr 2, ul. Wrocławska 264, 63-800 Gostyń";"gm. Gostyń";"gostyński";"wielkopolskie";"794";"859";"275";"519";"2";"1";"0";"0";"0";"0";"0";"0";"0";"519";"0";"0";"519";"14";"12";"2";"0";"505";"177";"50";"278"
