"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Jacek BURY";"Wojciech Jan GÓRSKI";"Krzysztof Stefan MICHAŁKIEWICZ"
"b578-fb7d-7e98-35ee-a0c3-6f3f-3a4f-1ba5";"066301";"16";"13";"miasto";"stały";"IV Liceum Ogólnokszatałcące im. Stefanii Sempołowskiej, ul. Szkolna 4, 20-124 Lublin";"m. Lublin";"Lublin";"lubelskie";"1248";"1387";"549";"699";"0";"9";"0";"0";"0";"0";"0";"0";"0";"699";"0";"0";"699";"9";"2";"7";"0";"690";"329";"62";"299"
"c32f-2dc6-e0b8-e589-73d9-a425-f9d1-ad9b";"066301";"16";"14";"miasto";"stały";"Polski Związek Motorowy, ul. Bolesława Prusa 8, 20-064 Lublin";"m. Lublin";"Lublin";"lubelskie";"1011";"1179";"312";"699";"4";"29";"0";"0";"0";"0";"0";"0";"0";"699";"0";"0";"699";"19";"3";"16";"0";"680";"319";"65";"296"
"f67c-1285-afe2-023b-36ac-28cf-836a-110d";"066301";"16";"15";"miasto";"stały";"Szkoła Podstawowa nr 19 im. Józefa Czechowicza, ul. Szkolna 6, 20-124 Lublin";"m. Lublin";"Lublin";"lubelskie";"614";"685";"315";"299";"0";"15";"0";"0";"0";"0";"0";"0";"0";"299";"0";"1";"298";"7";"3";"4";"0";"291";"128";"22";"141"
"798b-5aef-712f-36a4-55cd-dbee-8eff-f1f5";"066301";"16";"16";"miasto";"stały";"Urząd Miasta Lublin, ul. Wieniawska 14, 20-071 Lublin";"m. Lublin";"Lublin";"lubelskie";"601";"688";"162";"439";"2";"46";"0";"0";"0";"0";"0";"0";"0";"439";"0";"0";"439";"9";"5";"4";"0";"430";"246";"28";"156"
"f125-713c-440d-9f27-4142-0e47-09d5-9655";"066301";"16";"17";"miasto";"stały";"II Liceum Ogólnokształcące im. Hetmana Jana Zamoyskiego, ul. Ogrodowa 16, 20-075 Lublin";"m. Lublin";"Lublin";"lubelskie";"872";"953";"258";"614";"5";"16";"0";"0";"0";"0";"0";"0";"0";"614";"0";"0";"614";"19";"8";"11";"0";"595";"334";"35";"226"
"164c-91f9-95ae-a497-41d5-6f34-67fb-464a";"066301";"16";"18";"miasto";"stały";"Szkoła Podstawowa nr 24 im. Partyzantów Lubelszczyzny, ul. Niecała 1, 20-080 Lublin";"m. Lublin";"Lublin";"lubelskie";"852";"981";"261";"591";"2";"24";"0";"0";"0";"0";"0";"0";"0";"591";"0";"0";"591";"9";"2";"7";"0";"582";"290";"39";"253"
"f5ee-3abd-ee3a-51a2-f379-3976-3e97-ea15";"066301";"16";"19";"miasto";"stały";"Instytut Informatyki UMCS, ul. Akademicka 9, 20-033 Lublin";"m. Lublin";"Lublin";"lubelskie";"539";"539";"117";"422";"1";"38";"0";"0";"0";"0";"0";"0";"0";"422";"0";"0";"422";"8";"3";"5";"0";"414";"206";"28";"180"
"c226-7c75-163d-60d6-d201-7351-c35b-5ffd";"066301";"16";"20";"miasto";"stały";"V Liceum Ogólnokształcące im. Marii Skłodowskiej-Curie, ul. Lipowa 7, 20-020 Lublin";"m. Lublin";"Lublin";"lubelskie";"536";"644";"182";"354";"1";"22";"0";"0";"0";"0";"0";"0";"0";"353";"0";"0";"353";"8";"1";"7";"0";"345";"187";"35";"123"
"f022-af4e-703e-eed9-982e-6aab-1ecb-4eb8";"066301";"16";"21";"miasto";"stały";"Centrum Kultury w Lublinie, ul. Peowiaków 12, 20-007 Lublin";"m. Lublin";"Lublin";"lubelskie";"1179";"1315";"376";"803";"1";"36";"0";"0";"0";"0";"0";"0";"0";"801";"0";"0";"801";"19";"8";"11";"0";"782";"432";"48";"302"
"409e-13cf-bdb1-3ee6-59d6-dd1e-0140-706c";"066301";"16";"22";"miasto";"stały";"Młodzieżowy Dom Kultury nr 2, ul. Bernardyńska 14a, 20-109 Lublin";"m. Lublin";"Lublin";"lubelskie";"627";"710";"256";"371";"0";"12";"0";"0";"0";"0";"0";"0";"0";"371";"0";"0";"371";"13";"5";"8";"0";"358";"155";"34";"169"
