"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Jacek BURY";"Wojciech Jan GÓRSKI";"Krzysztof Stefan MICHAŁKIEWICZ"
"23a1-2fe0-704c-e253-a336-cf35-df84-6bb3";"066301";"16";"44";"miasto";"stały";"Lubelskie Hospicjum dla Dzieci im. „Małego Księcia”, ul. Lędzian 49, 20-828 Lublin";"m. Lublin";"Lublin";"lubelskie";"1207";"1338";"181";"1026";"1";"11";"0";"0";"0";"0";"0";"0";"0";"1026";"0";"0";"1026";"10";"0";"10";"0";"1016";"585";"61";"370"
"fcd9-9632-4e7c-17a7-72f1-5443-7c9a-c3ea";"066301";"16";"45";"miasto";"stały";"Zespół Szkół Elektronicznych, ul. Wojciechowska 38, 20-704 Lublin";"m. Lublin";"Lublin";"lubelskie";"886";"1027";"113";"773";"0";"14";"30";"30";"2";"0";"0";"0";"28";"798";"25";"0";"798";"14";"2";"12";"0";"784";"439";"54";"291"
"bdf8-15b8-1e49-66a8-dfec-c8e8-0940-dc59";"066301";"16";"46";"miasto";"stały";"Zespół Szkół Elektronicznych, ul. Wojciechowska 38, 20-704 Lublin";"m. Lublin";"Lublin";"lubelskie";"1473";"1586";"317";"1156";"1";"15";"0";"0";"0";"0";"0";"0";"0";"1156";"0";"0";"1156";"19";"10";"9";"0";"1137";"587";"92";"458"
"c689-a30a-d9ac-67a1-4e48-87a4-6f97-fefb";"066301";"16";"47";"miasto";"stały";"Szkoła Podstawowa nr 57 im. Jana Kochanowskiego, ul. Zygmunta Krasińskiego 7, 20-709 Lublin";"m. Lublin";"Lublin";"lubelskie";"1734";"1924";"338";"1396";"2";"13";"0";"0";"0";"0";"0";"0";"0";"1396";"0";"0";"1396";"22";"4";"18";"0";"1374";"717";"87";"570"
"082b-bb98-b6f0-5205-f414-0af9-27d3-b166";"066301";"16";"48";"miasto";"stały";"Wojewódzki Szpital Specjalistyczny im. Stefana Kardynała Wyszyńskiego SP ZOZ, al. Kraśnicka 100, 20-718 Lublin";"m. Lublin";"Lublin";"lubelskie";"1799";"2079";"410";"1389";"0";"28";"0";"0";"0";"0";"0";"0";"0";"1389";"0";"0";"1389";"17";"10";"7";"0";"1372";"710";"82";"580"
"5be3-e367-620b-95a4-6b2f-3f06-ea9d-7ff6";"066301";"16";"49";"miasto";"stały";"Szkoła Podstawowa nr 3 im. Juliusza Słowackiego, ul. Balladyny 22, 20-601 Lublin";"m. Lublin";"Lublin";"lubelskie";"1459";"1615";"338";"1121";"3";"14";"0";"0";"0";"0";"0";"0";"0";"1121";"0";"0";"1121";"10";"2";"8";"0";"1111";"543";"81";"487"
"10c6-a2cb-ae46-0a7f-5705-c8aa-05a1-e5e2";"066301";"16";"50";"miasto";"stały";"Przedszkole Integracyjne nr 39, ul. Balladyny 14, 20-601 Lublin";"m. Lublin";"Lublin";"lubelskie";"820";"906";"211";"609";"3";"5";"0";"0";"0";"0";"0";"0";"0";"609";"0";"0";"609";"14";"3";"11";"0";"595";"304";"48";"243"
"e8d7-dc37-21bd-4b98-850b-b938-5660-8e15";"066301";"16";"51";"miasto";"stały";"Szkoła Podstawowa nr 29 im. Adama Mickiewicza, ul. Wajdeloty 1, 20-604 Lublin";"m. Lublin";"Lublin";"lubelskie";"758";"848";"152";"606";"5";"9";"0";"0";"0";"0";"0";"0";"0";"606";"0";"0";"606";"17";"6";"11";"0";"589";"321";"49";"219"
"e75c-9666-ad73-b2bb-4877-048c-e4d1-41c0";"066301";"16";"52";"miasto";"stały";"XXX Liceum Ogólnokształcące im. księdza Jana Twardowskiego, ul. Wajdeloty 12, 20-604 Lublin";"m. Lublin";"Lublin";"lubelskie";"840";"913";"166";"674";"2";"12";"0";"0";"0";"0";"0";"0";"0";"674";"0";"0";"674";"16";"3";"13";"0";"658";"348";"33";"277"
"ddc1-2505-89c1-23b3-71d0-0315-428c-f822";"066301";"16";"53";"miasto";"stały";"XXX Liceum Ogólnokształcące im. księdza Jana Twardowskiego, ul. Wajdeloty 12, 20-604 Lublin";"m. Lublin";"Lublin";"lubelskie";"1025";"1157";"206";"819";"8";"10";"0";"0";"0";"0";"0";"0";"0";"819";"0";"0";"819";"17";"4";"13";"0";"802";"434";"63";"305"
"151a-ba42-bbce-3a77-cc2a-98ff-6bd3-6a14";"066301";"16";"54";"miasto";"stały";"Przedszkole nr 33 im. Kubusia Puchatka, ul. Grażyny 10, 20-605 Lublin";"m. Lublin";"Lublin";"lubelskie";"794";"860";"170";"624";"2";"5";"0";"0";"0";"0";"0";"0";"0";"624";"0";"0";"624";"15";"5";"10";"0";"609";"333";"49";"227"
"7ebd-58a8-0adc-28b5-a9d5-baae-f6b3-743e";"066301";"16";"55";"miasto";"stały";"Przedszkole nr 47, ul. Mieszka I nr 3, 20-610 Lublin";"m. Lublin";"Lublin";"lubelskie";"975";"1066";"226";"749";"2";"7";"0";"0";"0";"0";"0";"0";"0";"749";"0";"0";"749";"18";"1";"17";"0";"731";"361";"52";"318"
"7b7c-2923-e975-95ce-c8cd-29d8-0ef6-c88b";"066301";"16";"56";"miasto";"stały";"Młodzieżowy Dom Kultury „Pod Akacją”, ul. Bolesława Chrobrego 18, 20-611 Lublin";"m. Lublin";"Lublin";"lubelskie";"1308";"1442";"277";"1031";"4";"15";"0";"0";"0";"0";"0";"0";"0";"1031";"0";"0";"1031";"28";"8";"20";"0";"1003";"587";"60";"356"
"0735-5a30-496a-d678-7898-5587-915c-ef1c";"066301";"16";"57";"miasto";"stały";"Zespół Przedszkolny nr 1, ul. Zachodnia 7, 20-620 Lublin";"m. Lublin";"Lublin";"lubelskie";"1244";"1380";"315";"929";"0";"14";"0";"0";"0";"0";"0";"0";"0";"929";"0";"0";"929";"18";"2";"16";"0";"911";"436";"64";"411"
"8528-8033-b9a8-8c17-a458-8bbb-8f30-5e2e";"066301";"16";"58";"miasto";"stały";"Przedszkole Niepubliczne Akademia Poziomkowa w Lublinie, ul. Siewna 20, 20-617 Lublin";"m. Lublin";"Lublin";"lubelskie";"1209";"1332";"333";"876";"4";"11";"0";"0";"0";"0";"0";"0";"0";"876";"0";"0";"876";"15";"4";"11";"0";"861";"413";"79";"369"
"5a96-3905-c63e-70af-8fdc-4f62-c7dd-612d";"066301";"16";"59";"miasto";"stały";"Przedszkole nr 48, ul. Leonarda 15, 20-625 Lublin";"m. Lublin";"Lublin";"lubelskie";"822";"927";"177";"644";"1";"10";"0";"0";"0";"0";"0";"0";"0";"645";"0";"0";"645";"7";"2";"5";"0";"638";"303";"63";"272"
"04bb-62e3-d696-cf09-8044-b973-f750-bd23";"066301";"16";"60";"miasto";"stały";"Szkoła Podstawowa nr 38 im. Henryka Sienkiewicza, ul. Pana Wołodyjowskiego 13, 20-627 Lublin";"m. Lublin";"Lublin";"lubelskie";"943";"1050";"192";"751";"0";"9";"0";"0";"0";"0";"0";"0";"0";"751";"0";"0";"751";"12";"1";"11";"0";"739";"410";"58";"271"
"0d03-ebe1-da93-fa2b-052c-8127-2abd-0492";"066301";"16";"61";"miasto";"stały";"Przedszkole nr 46, ul. Pana Wołodyjowskiego 1, 20-627 Lublin";"m. Lublin";"Lublin";"lubelskie";"1042";"1131";"245";"797";"2";"8";"0";"0";"0";"0";"0";"0";"0";"797";"0";"0";"797";"12";"3";"9";"0";"785";"367";"66";"352"
"ef65-34f1-3f77-05b5-ae3f-6ec6-8605-4999";"066301";"16";"62";"miasto";"stały";"Szkoła Podstawowa nr 38 im. Henryka Sienkiewicza, ul. Pana Wołodyjowskiego 13, 20-627 Lublin";"m. Lublin";"Lublin";"lubelskie";"1773";"1935";"408";"1365";"2";"17";"0";"0";"0";"0";"0";"0";"0";"1365";"0";"0";"1365";"20";"3";"17";"0";"1345";"739";"87";"519"
"e3e3-c720-ac8f-2e40-238a-8899-69b1-1033";"066301";"16";"63";"miasto";"stały";"Przedszkole nr 49, ul. Pana Balcera 11, 20-631 Lublin";"m. Lublin";"Lublin";"lubelskie";"1529";"1694";"310";"1219";"1";"16";"0";"0";"0";"0";"0";"0";"0";"1219";"0";"0";"1219";"17";"3";"14";"0";"1202";"614";"85";"503"
"c3fd-8e66-d089-94ee-eb31-81e4-dc2f-7bc9";"066301";"16";"64";"miasto";"stały";"Przedszkole nr 57, ul. Ignacego Rzeckiego 12, 20-637 Lublin";"m. Lublin";"Lublin";"lubelskie";"1615";"1760";"356";"1259";"5";"9";"0";"0";"0";"0";"0";"0";"0";"1259";"0";"0";"1259";"19";"6";"13";"0";"1240";"588";"88";"564"
"96f4-2dda-6449-1463-1f82-6b1f-b330-b785";"066301";"16";"65";"miasto";"stały";"Zespół Szkół Ogólnokształcących nr 5, ul. Ignacego Rzeckiego 10, 20-637 Lublin";"m. Lublin";"Lublin";"lubelskie";"1531";"1650";"350";"1181";"4";"11";"0";"0";"0";"0";"0";"0";"0";"1181";"0";"0";"1181";"19";"4";"15";"0";"1162";"613";"64";"485"
"610c-d19a-6ccb-75f7-f564-dc43-af20-ba33";"066301";"16";"66";"miasto";"stały";"Politechnika Lubelska Wydział Mechaniczny, ul. Nadbystrzycka 36, 20-618 Lublin";"m. Lublin";"Lublin";"lubelskie";"1679";"1848";"482";"1197";"0";"32";"0";"0";"0";"0";"0";"0";"0";"1196";"0";"0";"1196";"25";"6";"19";"0";"1171";"638";"107";"426"
"ebaa-f79d-4b2f-613b-1e84-a23e-0104-614a";"066301";"16";"67";"miasto";"stały";"Zespół Szkół Ogólnokształcących nr 6, ul. Krochmalna 29, 20-401 Lublin";"m. Lublin";"Lublin";"lubelskie";"600";"648";"256";"344";"2";"2";"0";"0";"0";"0";"0";"0";"0";"344";"0";"0";"344";"9";"1";"8";"0";"335";"120";"31";"184"
"12b6-bec8-18b7-dfe7-6c81-b43d-2541-9eef";"066301";"16";"68";"miasto";"stały";"Zespół Szkół Ogólnokształcących nr 6, ul. Krochmalna 29, 20-401 Lublin";"m. Lublin";"Lublin";"lubelskie";"591";"653";"308";"283";"0";"6";"0";"0";"0";"0";"0";"0";"0";"283";"0";"0";"283";"5";"2";"3";"0";"278";"115";"23";"140"
"ff5d-fb15-436e-166b-9a9e-cb3d-740f-d5d3";"066301";"16";"69";"miasto";"stały";"Szkoła Podstawowa nr 20 im. Jarosława Dąbrowskiego, al. Józefa Piłsudskiego 26, 20-407 Lublin";"m. Lublin";"Lublin";"lubelskie";"586";"626";"307";"279";"0";"5";"0";"0";"0";"0";"0";"0";"0";"279";"0";"0";"279";"11";"5";"6";"0";"268";"120";"17";"131"
"0837-022a-38c9-d876-ca09-94a4-0c35-59a5";"066301";"16";"70";"miasto";"stały";"„AD-BUD” Sp. z o. o., ul. Gazowa 7/9, 20-406 Lublin";"m. Lublin";"Lublin";"lubelskie";"680";"759";"330";"350";"0";"9";"0";"0";"0";"0";"0";"0";"0";"350";"0";"0";"350";"3";"3";"0";"0";"347";"129";"41";"177"
"9eef-9118-e884-edae-3295-c763-994a-821b";"066301";"16";"71";"miasto";"stały";"Przedszkole nr 85, ul. Onyksowa 8, 20-582 Lublin";"m. Lublin";"Lublin";"lubelskie";"2036";"2348";"346";"1690";"1";"22";"0";"0";"0";"0";"0";"0";"0";"1690";"0";"0";"1690";"26";"13";"13";"0";"1664";"992";"187";"485"
"49ad-5470-eaac-4289-eb56-74ea-d4f7-897b";"066301";"16";"72";"miasto";"stały";"Przedszkole Niepubliczne „Koralik”, ul. Koralowa 19, 20-583 Lublin";"m. Lublin";"Lublin";"lubelskie";"2440";"2753";"534";"1906";"0";"20";"0";"0";"0";"0";"0";"0";"0";"1905";"0";"0";"1905";"32";"5";"27";"0";"1873";"1194";"139";"540"
"cf36-60d4-d1c5-0c03-2eb9-3944-021c-ced3";"066301";"16";"73";"miasto";"stały";"Szkoła Podstawowa nr 50 im. Kardynała Stefana Wyszyńskiego, ul. Roztocze 14, 20-722 Lublin";"m. Lublin";"Lublin";"lubelskie";"1010";"977";"266";"744";"0";"29";"0";"0";"0";"0";"0";"0";"0";"744";"0";"0";"744";"14";"7";"7";"0";"730";"381";"43";"306"
"3dd4-9a23-4140-d557-7627-9feb-206d-7617";"066301";"16";"74";"miasto";"stały";"Szkoła Podstawowa nr 50 im. Kardynała Stefana Wyszyńskiego, ul. Roztocze 14, 20-722 Lublin";"m. Lublin";"Lublin";"lubelskie";"1783";"1755";"386";"1397";"4";"3";"0";"0";"0";"0";"0";"0";"0";"1397";"0";"0";"1397";"26";"13";"13";"0";"1371";"718";"102";"551"
"d934-36fc-6c8b-0b23-bbff-37e6-aafd-c78b";"066301";"16";"75";"miasto";"stały";"Administracja Osiedla „BŁONIE”, ul. Dragonów 2, 20-554 Lublin";"m. Lublin";"Lublin";"lubelskie";"1449";"1590";"327";"1122";"0";"9";"0";"0";"0";"0";"0";"0";"0";"1122";"0";"0";"1122";"22";"6";"16";"0";"1100";"534";"96";"470"
"9ede-e047-adb1-90f7-c89a-894c-737f-9ea9";"066301";"16";"76";"miasto";"stały";"Biuro Obsługi Mieszkańców, ul. Szaserów 13 - 15, 20-553 Lublin";"m. Lublin";"Lublin";"lubelskie";"1881";"1985";"473";"1408";"3";"9";"0";"0";"0";"0";"0";"0";"0";"1407";"0";"0";"1407";"23";"3";"20";"0";"1384";"695";"122";"567"
"3b23-26cc-3dfd-68bd-1bac-9417-a133-8c2e";"066301";"16";"77";"miasto";"stały";"Szkoła Podstawowa nr 42 im. K. Ildefonsa Gałczyńskiego, ul. Rycerska 9, 20-552 Lublin";"m. Lublin";"Lublin";"lubelskie";"1550";"1616";"404";"1146";"1";"12";"0";"0";"0";"0";"0";"0";"0";"1146";"0";"0";"1146";"18";"4";"14";"0";"1128";"587";"77";"464"
"e8dd-546c-ff23-53df-93fe-c6b3-93bd-d412";"066301";"16";"78";"miasto";"stały";"Przedszkole nr 69, ul. Dziewanny 19, 20-539 Lublin";"m. Lublin";"Lublin";"lubelskie";"1865";"2035";"394";"1471";"0";"14";"0";"0";"0";"0";"0";"0";"0";"1471";"0";"0";"1471";"18";"4";"14";"0";"1453";"855";"73";"525"
"e066-12e3-c3e5-a1cf-fbd2-22bf-ba66-8226";"066301";"16";"79";"miasto";"stały";"Szkoła Podstawowa nr 46 im. Króla Jana III Sobieskiego, ul. Biedronki 13, 20-543 Lublin";"m. Lublin";"Lublin";"lubelskie";"770";"844";"136";"633";"3";"4";"0";"0";"0";"0";"0";"0";"0";"634";"0";"0";"634";"4";"0";"4";"0";"630";"324";"40";"266"
"5595-50c6-1694-e1e5-42a8-314b-1b92-0391";"066301";"16";"80";"miasto";"stały";"Zespół Szkół nr 10, ul. Biedronki 13, 20-543 Lublin";"m. Lublin";"Lublin";"lubelskie";"1469";"1565";"359";"1110";"2";"10";"0";"0";"0";"0";"0";"0";"0";"1110";"0";"0";"1110";"14";"5";"9";"0";"1096";"521";"81";"494"
"4942-7a53-16a1-d639-77cb-9799-d33e-3c2f";"066301";"16";"81";"miasto";"stały";"Przedszkole nr 31, ul. Tymiankowa 60, 20-542 Lublin";"m. Lublin";"Lublin";"lubelskie";"1580";"1713";"425";"1155";"0";"8";"0";"0";"0";"0";"0";"0";"0";"1155";"0";"0";"1155";"15";"1";"14";"0";"1140";"523";"84";"533"
"607a-c67e-6fa2-a65e-3522-1b5d-20af-b07c";"066301";"16";"82";"miasto";"stały";"Przedszkole nr 72, ul. Różana 9, 20-538 Lublin";"m. Lublin";"Lublin";"lubelskie";"1724";"1883";"473";"1251";"0";"14";"0";"0";"0";"0";"0";"0";"0";"1251";"0";"0";"1251";"20";"4";"16";"0";"1231";"619";"105";"507"
"f40c-55d2-0396-9be0-4a92-3a79-b48e-becb";"066301";"16";"83";"miasto";"stały";"Dom Kultury „Ruta”, ul. Różana 8, 20-538 Lublin";"m. Lublin";"Lublin";"lubelskie";"873";"961";"188";"685";"0";"10";"0";"0";"0";"0";"0";"0";"0";"685";"0";"0";"685";"11";"4";"7";"0";"674";"350";"40";"284"
"3a37-10fc-7a45-7b0d-84a4-91f5-ee81-a014";"066301";"16";"84";"miasto";"stały";"Spółdzielnia Mieszkaniowa „CZUBY”, ul. Watykańska 6, 20-538 Lublin";"m. Lublin";"Lublin";"lubelskie";"1392";"1514";"279";"1113";"0";"9";"0";"0";"0";"0";"0";"0";"0";"1113";"0";"0";"1113";"19";"10";"9";"0";"1094";"615";"69";"410"
"1d9f-292d-df2b-dfa2-e376-b3f7-4c95-66a3";"066301";"16";"85";"miasto";"stały";"Szkoła Podstawowa nr 28 z Oddziałami Integracyjnymi im. Synów Pułku Ziemi Lubelskiej, ul. Radości 13, 20-530 Lublin";"m. Lublin";"Lublin";"lubelskie";"1650";"1811";"410";"1240";"1";"11";"0";"0";"0";"0";"0";"0";"0";"1237";"0";"0";"1237";"15";"6";"9";"0";"1222";"538";"102";"582"
"82b1-d701-733e-6242-0213-b0a3-2ed7-2f9e";"066301";"16";"86";"miasto";"stały";"Przedszkole nr 77, ul. Radości 8, 20-530 Lublin";"m. Lublin";"Lublin";"lubelskie";"1800";"1924";"501";"1299";"3";"11";"0";"0";"0";"0";"0";"0";"0";"1299";"0";"0";"1299";"18";"7";"11";"0";"1281";"655";"75";"551"
"b6e9-8660-86d3-05ad-4c04-3151-f149-4dab";"066301";"16";"87";"miasto";"stały";"Przedszkole nr 73, ul. Uśmiechu 5, 20-534 Lublin";"m. Lublin";"Lublin";"lubelskie";"1515";"1646";"347";"1168";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1168";"0";"0";"1168";"11";"3";"8";"0";"1157";"597";"67";"493"
"de13-ab1f-c70d-d0d4-df8c-e64d-9fac-f83a";"066301";"16";"88";"miasto";"stały";"Szkoła Podstawowa nr 51 im. Jana Pawła II, ul. Bursztynowa 22, 20-576 Lublin";"m. Lublin";"Lublin";"lubelskie";"1258";"1393";"182";"1076";"0";"10";"0";"0";"0";"0";"0";"0";"0";"1075";"0";"0";"1075";"7";"2";"5";"0";"1068";"655";"67";"346"
"c0bf-fcdc-fe77-4948-960c-7b96-dbb3-8ef7";"066301";"16";"89";"miasto";"stały";"Niepubliczne Przedszkole Językowe „BURSZTYNEK”, ul. Bursztynowa 3a, 20-576 Lublin";"m. Lublin";"Lublin";"lubelskie";"1000";"1066";"273";"727";"0";"4";"0";"0";"0";"0";"0";"0";"0";"727";"0";"0";"727";"15";"6";"9";"0";"712";"374";"54";"284"
"30ec-beba-0860-1029-1835-ea0b-1b59-ac98";"066301";"16";"90";"miasto";"stały";"Administracja Osiedla „PORĘBA”, ul. Perłowa 8/70, 20-574 Lublin";"m. Lublin";"Lublin";"lubelskie";"1568";"1695";"319";"1249";"0";"5";"0";"0";"0";"0";"0";"0";"0";"1249";"0";"0";"1249";"28";"7";"21";"0";"1221";"702";"99";"420"
"5a55-e58d-5176-f52f-8b57-9a94-e001-8b08";"066301";"16";"91";"miasto";"stały";"Dom Pomocy Społecznej im. Św. Jana Pawła II, ul. Ametystowa 22, 20-577 Lublin";"m. Lublin";"Lublin";"lubelskie";"854";"892";"217";"637";"0";"5";"0";"0";"0";"0";"0";"0";"0";"637";"0";"0";"637";"10";"1";"9";"0";"627";"379";"50";"198"
"fd16-6a78-9e40-0281-1358-785e-7d39-0703";"066301";"16";"92";"miasto";"stały";"Przedszkole Nr 63, ul. Szmaragdowa 22, 20-570 Lublin";"m. Lublin";"Lublin";"lubelskie";"1635";"1784";"395";"1240";"1";"7";"0";"0";"0";"0";"0";"0";"0";"1240";"0";"0";"1240";"16";"3";"13";"0";"1224";"590";"102";"532"
"ec9a-fd44-966b-0260-6039-0b6c-f514-602b";"066301";"16";"93";"miasto";"stały";"Szkoła Podstawowa nr 51 im. Jana Pawła II, ul. Bursztynowa 22, 20-576 Lublin";"m. Lublin";"Lublin";"lubelskie";"886";"960";"184";"702";"0";"22";"0";"0";"0";"0";"0";"0";"0";"702";"0";"2";"700";"12";"4";"8";"0";"688";"358";"64";"266"
"77b9-dafb-d92f-8f00-9c2a-a16e-e0d2-acd1";"066301";"16";"94";"miasto";"stały";"Szkoła Podstawowa nr 51 im. Jana Pawła II, ul. Bursztynowa 22, 20-576 Lublin";"m. Lublin";"Lublin";"lubelskie";"1244";"1348";"232";"1012";"2";"6";"0";"0";"0";"0";"0";"0";"0";"1012";"0";"0";"1012";"17";"3";"14";"0";"995";"551";"97";"347"
"2a16-7758-69a4-268c-549c-2ebf-8f25-d739";"066301";"16";"95";"miasto";"stały";"Przedszkole nr 81, ul. Wyżynna 10, 20-560 Lublin";"m. Lublin";"Lublin";"lubelskie";"1754";"1901";"454";"1300";"2";"9";"0";"0";"0";"0";"0";"0";"0";"1300";"0";"0";"1300";"22";"4";"18";"0";"1278";"621";"118";"539"
"e6f3-a4a8-e2b3-8738-5c8f-a574-cb10-fe68";"066301";"16";"96";"miasto";"stały";"Administracja SM „WĘGLINEK”, ul. Wyżynna 19/1, 20-560 Lublin";"m. Lublin";"Lublin";"lubelskie";"1190";"1275";"323";"867";"0";"5";"0";"0";"0";"0";"0";"0";"0";"867";"0";"0";"867";"13";"2";"11";"0";"854";"416";"85";"353"
"857b-16d8-9c45-7106-b847-b515-f0c4-d352";"066301";"16";"97";"miasto";"stały";"Niepubliczna Szkoła Podstawowa Montessori, ul. Nadbystrzycka 162, 20-506 Lublin";"m. Lublin";"Lublin";"lubelskie";"1042";"1126";"197";"845";"0";"9";"0";"0";"0";"0";"0";"0";"0";"845";"0";"0";"845";"7";"2";"5";"0";"838";"434";"75";"329"
"8af8-512a-b16a-3410-f808-1492-8f38-93ea";"066301";"16";"98";"miasto";"stały";"Społeczna Szkoła Podstawowa im. Sebastiana Fabiana Klonowica, al. Warszawska 94, 20-824 Lublin";"m. Lublin";"Lublin";"lubelskie";"2182";"2332";"552";"1630";"4";"14";"0";"0";"0";"0";"0";"0";"0";"1630";"0";"0";"1630";"33";"17";"16";"0";"1597";"780";"126";"691"
"ce46-6006-c059-e8c6-d838-7708-40a9-f32a";"066301";"16";"99";"miasto";"stały";"Ośrodek Wsparcia dla Osób z Niepełnosprawnością „Benjamin”, ul. Zbożowa 22a, 20-827 Lublin";"m. Lublin";"Lublin";"lubelskie";"2214";"2489";"484";"1730";"1";"16";"0";"0";"0";"0";"0";"0";"0";"1730";"0";"0";"1730";"29";"12";"17";"0";"1701";"923";"122";"656"
"581d-cbd9-c2e8-e500-09df-9bed-b28c-1a9e";"066301";"16";"100";"miasto";"stały";"Miejska Biblioteka Publiczna im. Hieronima Łopacińskiego Filia nr 38, ul. Relaksowa 25, 20-819 Lublin";"m. Lublin";"Lublin";"lubelskie";"2432";"2750";"530";"1902";"2";"17";"0";"0";"0";"0";"0";"0";"0";"1899";"0";"15";"1884";"19";"8";"11";"0";"1865";"1111";"189";"565"
"cf98-14aa-aa1a-8f6e-626c-1869-8139-d5c4";"066301";"16";"101";"miasto";"stały";"Przedszkole Prywatne „CHATKA PUCHATKA”, ul. Kaskadowa 11, 20-819 Lublin";"m. Lublin";"Lublin";"lubelskie";"1979";"2170";"455";"1524";"0";"23";"0";"0";"0";"0";"0";"0";"0";"1521";"0";"0";"1521";"35";"13";"22";"0";"1486";"793";"114";"579"
"e525-9311-446b-f9fb-e2b2-bbcd-aa11-e614";"066301";"16";"102";"miasto";"stały";"Administracja Osiedla im. Karola Szymanowskiego, ul. Harnasie 11, 20-857 Lublin";"m. Lublin";"Lublin";"lubelskie";"2225";"2422";"634";"1591";"6";"16";"0";"0";"0";"0";"0";"0";"0";"1591";"0";"1";"1590";"18";"1";"17";"0";"1572";"842";"104";"626"
"2b3a-fd8b-ed8a-2189-e662-8104-ed01-8e7b";"066301";"16";"103";"miasto";"stały";"Spółdzielnia Budowlano–Mieszkaniowa „CHOINY”, ul. Gorczańska 2, 20-868 Lublin";"m. Lublin";"Lublin";"lubelskie";"1738";"1829";"351";"1387";"0";"6";"0";"0";"0";"0";"0";"0";"0";"1387";"0";"0";"1387";"28";"5";"23";"0";"1359";"876";"64";"419"
"9a9e-6649-c7a7-bc90-3367-b3bf-ca6c-39db";"066301";"16";"104";"miasto";"stały";"Przedszkole nr 37, ul. Zakopiańska 3, 20-858 Lublin";"m. Lublin";"Lublin";"lubelskie";"1415";"1530";"347";"1068";"1";"10";"0";"0";"0";"0";"0";"0";"0";"1068";"0";"0";"1068";"29";"2";"27";"0";"1039";"502";"80";"457"
"2f08-b519-959f-bc3d-9097-918d-7623-c4ee";"066301";"16";"105";"miasto";"stały";"Przedszkole nr 76, ul. Ignacego Jana Paderewskiego 12, 20-860 Lublin";"m. Lublin";"Lublin";"lubelskie";"1353";"1457";"351";"1002";"1";"6";"0";"0";"0";"0";"0";"0";"0";"1002";"0";"0";"1002";"27";"4";"23";"0";"975";"471";"68";"436"
"0606-6869-afba-7a09-0bdb-5e02-e395-25b6";"066301";"16";"106";"miasto";"stały";"Szkoła Podstawowa nr 43 im. Ignacego Jana Paderewskiego, ul. Józefa Śliwińskiego 5, 20-861 Lublin";"m. Lublin";"Lublin";"lubelskie";"1303";"1399";"335";"968";"0";"12";"0";"0";"0";"0";"0";"0";"0";"968";"0";"0";"968";"22";"5";"17";"0";"946";"461";"61";"424"
"4b42-0f57-084b-c194-4c6b-e148-7f67-264a";"066301";"16";"107";"miasto";"stały";"Szkoła Podstawowa nr 43 im. Ignacego Jana Paderewskiego, ul. Józefa Śliwińskiego 5, 20-861 Lublin";"m. Lublin";"Lublin";"lubelskie";"1291";"1420";"299";"992";"0";"3";"0";"0";"0";"0";"0";"0";"0";"992";"0";"0";"992";"12";"3";"9";"0";"980";"471";"69";"440"
"0101-7451-1ee4-9599-d64d-a43e-94f6-3867";"066301";"16";"108";"miasto";"stały";"Szkoła Podstawowa nr 16 im. Fryderyka Chopina, ul. Poturzyńska 2, 20-853 Lublin";"m. Lublin";"Lublin";"lubelskie";"1620";"1760";"413";"1207";"1";"18";"0";"0";"0";"0";"0";"0";"0";"1206";"0";"0";"1206";"20";"5";"15";"0";"1186";"633";"86";"467"
"5c05-0072-a70c-8d26-d6ba-ab45-5b99-e544";"066301";"16";"109";"miasto";"stały";"Przedszkole nr 75, ul. Żelazowej Woli 24, 20-853 Lublin";"m. Lublin";"Lublin";"lubelskie";"1628";"1772";"350";"1278";"4";"18";"0";"0";"0";"0";"0";"0";"0";"1278";"0";"0";"1278";"17";"4";"13";"0";"1261";"615";"64";"582"
