"Kod TERYT";"Rodzaj jednostki";"Gmina";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Barbara BORYS-DAMIĘCKA";"Monika Anna JARUZELSKA";"Lech Włodzimierz JAWORSKI";"Liczba obwodów"
"146505";"dzielnica w m.st. Warszawa";"Mokotów";"Warszawa";"mazowieckie";154771;176443;18904;135909;157;2746;29;28;0;1;0;0;28;135923;27;48;135875;2900;1036;1864;0;132975;68324;28715;35936;99
"146513";"dzielnica w m.st. Warszawa";"Ursynów";"Warszawa";"mazowieckie";107287;117006;11585;95882;75;1293;18;17;2;0;0;0;15;95835;15;27;95808;1884;678;1206;0;93924;51756;18280;23888;65
"146514";"dzielnica w m.st. Warszawa";"Wawer";"Warszawa";"mazowieckie";53755;58958;7606;46141;49;541;3;3;0;0;0;0;3;46117;3;27;46090;921;340;581;0;45169;22222;6650;16297;34
"146516";"dzielnica w m.st. Warszawa";"Wilanów";"Warszawa";"mazowieckie";27762;29147;2933;24825;20;555;3;3;0;0;0;0;3;24822;3;10;24812;407;187;220;0;24405;15057;4301;5047;20
