"Kod TERYT";"Rodzaj jednostki";"Gmina";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Jan AUGUSTYN";"Adam Stanisław SZEJNFELD";"Jolanta Małgorzata TURCZYNOWICZ-KIERYŁŁO";"Liczba obwodów"
"302802";"gmina wiejska";"gm. Damasławek";"wągrowiecki";"wielkopolskie";3863;4174;1581;2282;1;4;0;0;0;0;0;0;0;2282;0;0;2282;56;15;41;0;2226;279;782;1165;4
"302803";"gmina miejsko-wiejska";"gm. Gołańcz";"wągrowiecki";"wielkopolskie";5724;6259;2341;3383;3;8;0;0;0;0;0;0;0;3382;0;0;3382;106;44;62;0;3276;600;1212;1464;7
"302804";"gmina wiejska";"gm. Mieścisko";"wągrowiecki";"wielkopolskie";4243;4643;1705;2538;1;5;0;0;0;0;0;0;0;2538;0;1;2537;69;12;57;0;2468;402;946;1120;5
"302805";"gmina miejsko-wiejska";"gm. Skoki";"wągrowiecki";"wielkopolskie";6595;7397;2431;4164;3;30;0;0;0;0;0;0;0;4164;0;0;4164;67;16;51;0;4097;573;2025;1499;9
"302806";"gmina wiejska";"gm. Wapno";"wągrowiecki";"wielkopolskie";2133;2334;966;1167;0;2;0;0;0;0;0;0;0;1167;0;0;1167;30;8;22;0;1137;249;435;453;2
"302807";"gmina wiejska";"gm. Wągrowiec";"wągrowiecki";"wielkopolskie";8390;9325;3492;4898;2;22;0;0;0;0;0;0;0;4898;0;0;4898;127;29;98;0;4771;878;1871;2022;7
"303101";"gmina miejska";"m. Złotów";"złotowski";"wielkopolskie";13527;14476;4744;8783;13;49;2;2;0;0;0;0;2;8784;2;0;8784;178;57;121;0;8606;1596;4079;2931;10
"303102";"gmina miejsko-wiejska";"gm. Jastrowie";"złotowski";"wielkopolskie";7986;8731;3686;4300;7;34;1;1;0;0;0;0;1;4301;1;0;4301;119;17;102;0;4182;663;1797;1722;6
"303103";"gmina miejsko-wiejska";"gm. Krajenka";"złotowski";"wielkopolskie";5363;5789;2059;3304;4;25;0;0;0;0;0;0;0;3304;0;0;3304;101;27;74;0;3203;648;1270;1285;8
"303104";"gmina wiejska";"gm. Lipka";"złotowski";"wielkopolskie";3899;4292;1814;2085;2;8;0;0;0;0;0;0;0;2085;0;0;2085;45;11;34;0;2040;434;739;867;4
"303105";"gmina miejsko-wiejska";"gm. Okonek";"złotowski";"wielkopolskie";6204;6711;3032;3172;2;26;0;0;0;0;0;0;0;3172;0;0;3172;98;22;76;0;3074;470;1288;1316;8
"303106";"gmina wiejska";"gm. Tarnówka";"złotowski";"wielkopolskie";2152;2364;906;1245;0;6;0;0;0;0;0;0;0;1246;0;0;1246;34;8;26;0;1212;209;469;534;3
"303107";"gmina wiejska";"gm. Zakrzewo";"złotowski";"wielkopolskie";3551;3904;1352;2199;0;8;0;0;0;0;0;0;0;2199;0;0;2199;48;9;39;0;2151;393;799;959;4
"303108";"gmina wiejska";"gm. Złotów";"złotowski";"wielkopolskie";6642;7290;2959;3683;1;15;0;0;0;0;0;0;0;3683;0;0;3683;99;15;84;0;3584;648;1404;1532;5
