"Kod TERYT";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Włodzimierz BERNACKI";"Mirosław Adam CHODUR";"Wojciech KOZAK";"Artur Stanisław KOZIOŁ";"Liczba obwodów"
"120100";"bocheński";"małopolskie";75536;82547;22833;52702;61;317;1;1;0;0;0;0;1;52698;1;2;52696;1003;213;790;0;51693;31145;5572;6444;8532;76
"120200";"brzeski";"małopolskie";66934;72776;23780;43149;46;233;2;2;0;0;0;0;2;43143;2;2;43141;1001;164;837;0;42140;26528;2465;6458;6689;70
"121400";"proszowicki";"małopolskie";31974;34916;12665;19310;22;68;0;0;0;0;0;0;0;19309;0;0;19309;386;91;295;0;18923;11325;832;4417;2349;41
"121900";"wielicki";"małopolskie";88072;97917;24212;63859;51;427;1;1;0;0;0;0;1;63855;1;6;63849;1022;308;714;0;62827;28650;3241;9251;21685;82
