"Kod TERYT";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Magdalena Maria KOCHAN";"Edward KOSMAL";"Liczba obwodów"
"320400";"goleniowski";"zachodniopomorskie";58448;64455;23528;34920;26;223;1;1;0;0;0;0;1;34910;1;4;34906;1374;310;1064;0;33532;20023;13509;51
"320500";"gryficki";"zachodniopomorskie";43319;47704;18838;24481;44;755;0;0;0;0;0;0;0;24469;0;3;24466;857;202;655;0;23609;13844;9765;45
"320600";"gryfiński";"zachodniopomorskie";58294;63395;25324;32970;27;147;1;1;0;0;0;0;1;32963;1;3;32960;1396;305;1091;0;31564;17571;13993;62
"320700";"kamieński";"zachodniopomorskie";34598;38175;14139;20459;13;1147;2;2;0;0;0;0;2;20460;2;0;20460;683;194;489;0;19777;12146;7631;43
"321000";"myśliborski";"zachodniopomorskie";46560;50617;20579;25981;46;104;0;0;0;0;0;0;0;25981;0;1;25980;1010;226;784;0;24970;14605;10365;53
"321200";"pyrzycki";"zachodniopomorskie";28158;30631;12354;15804;26;40;3;2;0;0;0;0;2;15798;2;1;15797;650;158;492;0;15147;7215;7932;27
"321400";"stargardzki";"zachodniopomorskie";84155;91920;31577;52577;66;285;4;4;0;0;0;0;4;52573;4;2;52571;1924;527;1397;0;50647;29318;21329;75
"321800";"łobeski";"zachodniopomorskie";26045;28283;12403;13642;29;89;2;2;0;0;0;0;2;13644;2;0;13644;502;97;405;0;13142;7491;5651;29
"326300";"Świnoujście";"zachodniopomorskie";29689;32269;9687;20002;22;1390;1;1;0;1;0;0;1;19999;1;2;19997;716;189;527;0;19281;12828;6453;27
