"Kod TERYT";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Robert DOWHAN";"Zbigniew KOŚCIK";"Liczba obwodów"
"080200";"krośnieński";"lubuskie";39426;42919;16622;22804;20;153;1;1;0;0;0;0;1;22803;1;3;22800;847;179;668;0;21953;14142;7811;50
"080800";"świebodziński";"lubuskie";39853;42974;15847;24004;23;192;4;4;0;0;0;0;4;24006;4;9;23997;852;205;647;0;23145;14110;9035;38
"080900";"zielonogórski";"lubuskie";53759;58487;20432;33315;34;202;5;5;0;0;0;0;5;33329;5;7;33322;1182;300;882;0;32140;20388;11752;51
"086200";"Zielona Góra";"lubuskie";96804;105352;25015;71779;89;559;11;11;0;0;0;0;11;71769;11;48;71721;2342;682;1660;0;69379;48758;20621;76
