"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Robert DOWHAN";"Zbigniew KOŚCIK"
"b4ac-18c2-2e26-5995-2882-8f62-02f2-27c2";"080201";"20";"1";"miasto";"stały";"Zespół Szkół Ogólnokształcących, ul. Piastowska 26, 66-620 Gubin";"m. Gubin";"krośnieński";"lubuskie";"1630";"1776";"626";"1004";"0";"6";"0";"0";"0";"0";"0";"0";"0";"1004";"0";"0";"1004";"47";"10";"37";"0";"957";"707";"250"
"daaf-1e97-e83a-3f50-fe94-c844-56eb-554c";"080201";"20";"2";"miasto";"stały";"Przedszkole Miejskie nr 3, ul. Wojska Polskiego 16, 66-620 Gubin";"m. Gubin";"krośnieński";"lubuskie";"1900";"2042";"663";"1237";"5";"11";"0";"0";"0";"0";"0";"0";"0";"1237";"0";"0";"1237";"44";"11";"33";"0";"1193";"860";"333"
"626b-f903-f249-f1ce-a68d-948d-8420-2fc4";"080201";"20";"3";"miasto";"stały";"Przedsiębiorstwo Oczyszczania Ścieków, ul. Spokojna 1, 66-620 Gubin";"m. Gubin";"krośnieński";"lubuskie";"820";"881";"361";"459";"1";"2";"0";"0";"0";"0";"0";"0";"0";"459";"0";"0";"459";"13";"3";"10";"0";"446";"322";"124"
"32c5-179c-c8a8-8f80-864f-88dc-b286-ffa3";"080201";"20";"4";"miasto";"stały";"Szkoła Podstawowa nr 2, ul. Szkolna 1, 66-620 Gubin";"m. Gubin";"krośnieński";"lubuskie";"1210";"1295";"533";"677";"0";"5";"0";"0";"0";"0";"0";"0";"0";"677";"0";"0";"677";"30";"3";"27";"0";"647";"431";"216"
"2db7-24da-20ac-e61b-fbfd-017e-4ec6-9978";"080201";"20";"5";"miasto";"stały";"Szkoła Podstawowa nr 3 z Oddziałami Integracyjnymi, ul. Kresowa 48, 66-620 Gubin";"m. Gubin";"krośnieński";"lubuskie";"2060";"2248";"812";"1248";"0";"6";"1";"1";"0";"0";"0";"0";"1";"1249";"1";"0";"1249";"42";"9";"33";"0";"1207";"863";"344"
"3ba7-8eae-308b-325a-46a3-a9d5-baea-4b5c";"080201";"20";"6";"miasto";"stały";"Gubiński Dom Kultury, ul. Westerplatte 14, 66-620 Gubin";"m. Gubin";"krośnieński";"lubuskie";"1410";"1527";"589";"821";"1";"14";"0";"0";"0";"0";"0";"0";"0";"821";"0";"0";"821";"35";"9";"26";"0";"786";"561";"225"
"0f13-e186-6281-fa04-536f-c21b-7135-bc65";"080201";"20";"7";"miasto";"stały";"Miejski Ośrodek Sportu (kryta pływalnia), ul. Generała Władysława Andersa 5, 66-620 Gubin";"m. Gubin";"krośnieński";"lubuskie";"830";"908";"399";"431";"0";"4";"0";"0";"0";"0";"0";"0";"0";"431";"0";"0";"431";"21";"1";"20";"0";"410";"303";"107"
"99a0-a1c4-b94f-bf59-3d72-aab2-083f-84fa";"080201";"20";"8";"miasto";"stały";"Żłobek Miejski, ul. Racławicka 2, 66-620 Gubin";"m. Gubin";"krośnieński";"lubuskie";"890";"986";"376";"514";"1";"3";"0";"0";"0";"0";"0";"0";"0";"514";"0";"0";"514";"12";"1";"11";"0";"502";"349";"153"
"cf49-9833-9c19-0755-48aa-59ed-0cda-fc71";"080201";"20";"9";"miasto";"stały";"Szkoła Podstawowa nr 3 z Oddziałami Integracyjnymi, ul. Kresowa 48, 66-620 Gubin";"m. Gubin";"krośnieński";"lubuskie";"870";"944";"295";"575";"0";"6";"0";"0";"0";"0";"0";"0";"0";"575";"0";"0";"575";"10";"3";"7";"0";"565";"425";"140"
"e940-570c-5f81-0576-c45f-77ce-d8f1-5224";"080201";"20";"10";"miasto";"zakład leczniczy";"Zakład Opiekuńczo-Leczniczy w Gubinie, Śląska 35, 66-620 Gubin";"m. Gubin";"krośnieński";"lubuskie";"38";"33";"30";"8";"0";"0";"0";"0";"0";"0";"0";"0";"0";"8";"0";"0";"8";"0";"0";"0";"0";"8";"3";"5"
