"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Robert Adam MAMĄTOW";"Tadeusz NALEWAJK"
"472a-636e-a24d-9691-437a-3f69-291c-6542";"141101";"46";"1";"miasto";"stały";"Szkoła Podstawowa Nr 1, ul. Sportowa 9, 06-200 Maków Mazowiecki";"m. Maków Mazowiecki";"makowski";"mazowieckie";"1080";"1196";"379";"701";"1";"7";"0";"0";"0";"0";"0";"0";"0";"701";"0";"0";"701";"16";"5";"11";"0";"685";"368";"317"
"0197-540c-f6b3-28c9-e21d-2afb-0f3c-f37e";"141101";"46";"2";"miasto";"stały";"Szkoła Podstawowa Nr 2, ul. Gen. Pułaskiego 15, 06-200 Maków Mazowiecki";"m. Maków Mazowiecki";"makowski";"mazowieckie";"1179";"1299";"518";"661";"1";"1";"0";"0";"0";"0";"0";"0";"0";"661";"0";"0";"661";"22";"4";"18";"0";"639";"324";"315"
"3d6e-2c9c-f4e1-ea6d-442e-ce44-f246-cb21";"141101";"46";"3";"miasto";"stały";"Liceum Ogólnokształcące Nr 1, ul. Kopernika 2, 06-200 Maków Mazowiecki";"m. Maków Mazowiecki";"makowski";"mazowieckie";"1647";"1832";"622";"1025";"1";"5";"0";"0";"0";"0";"0";"0";"0";"1025";"0";"0";"1025";"38";"9";"29";"0";"987";"507";"480"
"5442-c49f-614d-42bb-96dd-14ef-e37f-6264";"141101";"46";"4";"miasto";"stały";"Zespół Szkół, ul. Duńskiego Czerwonego Krzyża 3, 06-200 Maków Mazowiecki";"m. Maków Mazowiecki";"makowski";"mazowieckie";"1550";"1725";"444";"1106";"0";"3";"0";"0";"0";"0";"0";"0";"0";"1106";"0";"0";"1106";"35";"12";"23";"0";"1071";"586";"485"
"cdc4-10eb-71fd-168f-0f95-9f59-ecc6-e618";"141101";"46";"5";"miasto";"stały";"Miejski Dom Kultury, ul. Moniuszki 2, 06-200 Maków Mazowiecki";"m. Maków Mazowiecki";"makowski";"mazowieckie";"1452";"1603";"546";"906";"4";"10";"0";"0";"0";"0";"0";"0";"0";"906";"0";"0";"906";"28";"9";"19";"0";"878";"453";"425"
"cf3b-9f50-d9a1-f0ed-afa0-2e85-1e05-ee76";"141101";"46";"6";"miasto";"zakład leczniczy";"Samodzielny Publiczny Zakład Opieki Zdrowotnej Zespół Zakładów w Makowie Mazowieckim, ul. Wincentego Witosa 2, 06-200 Maków Mazowiecki";"m. Maków Mazowiecki";"makowski";"mazowieckie";"153";"211";"100";"53";"0";"0";"0";"0";"0";"0";"0";"0";"0";"53";"0";"0";"53";"0";"0";"0";"0";"53";"38";"15"
"a28c-f18e-3147-e1b1-0b6a-1711-8e22-38aa";"141101";"46";"7";"miasto";"dom pomocy społecznej";"Dom Pomocy Społecznej w Makowie Mazowieckim, ul. Mazowiecka 2, 06-200 Maków Mazowiecki";"m. Maków Mazowiecki";"makowski";"mazowieckie";"36";"43";"13";"23";"0";"0";"0";"0";"0";"0";"0";"0";"0";"23";"0";"0";"23";"1";"0";"1";"0";"22";"17";"5"
"9782-0903-14b1-6e65-94ae-7cd9-0f2c-e777";"141102";"46";"1";"wieś";"stały";"Szkoła Podstawowa im. Marii Konopnickiej w Czerwonce, Czerwonka Włościańska 37A, 06-232 Czerwonka";"gm. Czerwonka";"makowski";"mazowieckie";"929";"1013";"336";"593";"6";"7";"0";"0";"0";"0";"0";"0";"0";"592";"0";"0";"592";"12";"1";"11";"0";"580";"426";"154"
"1bd7-90ba-22ab-6b31-1bbd-f55b-e635-8a09";"141102";"46";"2";"wieś";"stały";"Świetlica Wiejska w Budzynie Walędziętach, Budzyno Walędzięta 31, 06-200 Maków Mazowiecki";"gm. Czerwonka";"makowski";"mazowieckie";"700";"772";"263";"437";"0";"3";"0";"0";"0";"0";"0";"0";"0";"437";"0";"0";"437";"19";"1";"18";"0";"418";"304";"114"
"abf7-e11a-9d5c-220d-1f1e-e713-6984-c779";"141102";"46";"3";"wieś";"stały";"Świetlica Wiejska w Krzyżewo Markach, Krzyżewo-Marki 2A, 06-232 Czerwonka";"gm. Czerwonka";"makowski";"mazowieckie";"140";"152";"67";"73";"0";"0";"0";"0";"0";"0";"0";"0";"0";"73";"0";"0";"73";"2";"0";"2";"0";"71";"61";"10"
