"Kod TERYT";"Rodzaj jednostki";"Gmina";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Beniamin Wincenty GODYLA";"Roman Jacek KOLEK";"Bogdan Stanisław TOMASZEK";"Liczba obwodów"
"160501";"gmina miejsko-wiejska";"gm. Gogolin";"krapkowicki";"opolskie";9021;9885;4733;4288;2;27;0;0;0;0;0;0;0;4288;0;0;4288;86;19;67;0;4202;1611;1313;1278;12
"160502";"gmina miejsko-wiejska";"gm. Krapkowice";"krapkowicki";"opolskie";16654;17987;7718;8936;8;38;0;0;0;0;0;0;0;8932;0;0;8932;169;35;134;0;8763;3798;2296;2669;18
"160503";"gmina wiejska";"gm. Strzeleczki";"krapkowicki";"opolskie";5531;6015;3076;2455;1;18;0;0;0;0;0;0;0;2455;0;0;2455;72;9;63;0;2383;615;1163;605;6
"160504";"gmina wiejska";"gm. Walce";"krapkowicki";"opolskie";4076;4467;2347;1729;1;4;0;0;0;0;0;0;0;1729;0;0;1729;28;7;21;0;1701;390;955;356;6
"160505";"gmina miejsko-wiejska";"gm. Zdzieszowice";"krapkowicki";"opolskie";10925;11808;5184;5741;5;21;0;0;0;0;0;0;0;5740;0;0;5740;153;30;123;0;5587;2579;1298;1710;10
"160801";"gmina miejsko-wiejska";"gm. Dobrodzień";"oleski";"opolskie";7238;7897;3956;3282;2;26;0;0;0;0;0;0;0;3281;0;0;3281;90;25;65;0;3191;1165;910;1116;7
"160802";"gmina miejsko-wiejska";"gm. Gorzów Śląski";"oleski";"opolskie";5371;5898;2768;2603;1;44;0;0;0;0;0;0;0;2602;0;0;2602;66;12;54;0;2536;1163;526;847;7
"160803";"gmina miejsko-wiejska";"gm. Olesno";"oleski";"opolskie";13213;14244;6343;6870;10;38;0;0;0;0;0;0;0;6869;0;0;6869;184;40;144;0;6685;3360;1373;1952;18
"160804";"gmina miejsko-wiejska";"gm. Praszka";"oleski";"opolskie";9968;10934;3273;6695;9;37;0;0;0;0;0;0;0;6695;0;0;6695;136;27;109;0;6559;3183;276;3100;10
"160805";"gmina wiejska";"gm. Radłów";"oleski";"opolskie";3150;3447;1804;1346;0;8;0;0;0;0;0;0;0;1346;0;0;1346;37;6;31;0;1309;438;498;373;3
"160806";"gmina wiejska";"gm. Rudniki";"oleski";"opolskie";6075;6611;2317;3758;2;18;0;0;0;0;0;0;0;3758;0;0;3758;101;23;78;0;3657;1447;179;2031;5
"160807";"gmina wiejska";"gm. Zębowice";"oleski";"opolskie";2689;2923;1666;1023;2;5;0;0;0;0;0;0;0;1022;0;0;1022;22;6;16;0;1000;346;378;276;4
"161101";"gmina wiejska";"gm. Izbicko";"strzelecki";"opolskie";3940;4304;1957;1983;5;4;0;0;0;0;0;0;0;1983;0;0;1983;50;10;40;0;1933;465;1088;380;6
"161102";"gmina wiejska";"gm. Jemielnica";"strzelecki";"opolskie";5425;5930;2916;2509;2;13;0;0;0;0;0;0;0;2509;0;0;2509;35;6;29;0;2474;309;1634;531;7
"161103";"gmina miejsko-wiejska";"gm. Kolonowskie";"strzelecki";"opolskie";4386;4799;2429;1957;2;4;0;0;0;0;0;0;0;1957;0;0;1957;36;8;28;0;1921;496;880;545;6
"161104";"gmina miejsko-wiejska";"gm. Leśnica";"strzelecki";"opolskie";5637;6139;2725;2912;5;24;0;0;0;0;0;0;0;2912;0;0;2912;70;14;56;0;2842;738;1280;824;8
"161105";"gmina miejsko-wiejska";"gm. Strzelce Opolskie";"strzelecki";"opolskie";23070;24980;10649;12421;6;55;1;1;0;0;0;0;1;12420;1;0;12420;298;46;252;0;12122;4729;3868;3525;33
"161106";"gmina miejsko-wiejska";"gm. Ujazd";"strzelecki";"opolskie";4608;5041;2283;2325;2;3;0;0;0;0;0;0;0;2324;0;0;2324;51;18;33;0;2273;506;992;775;7
"161107";"gmina miejsko-wiejska";"gm. Zawadzkie";"strzelecki";"opolskie";8426;9254;4321;4105;4;14;0;0;0;0;0;0;0;4105;0;0;4105;78;25;53;0;4027;940;1494;1593;5
