"Kod TERYT";"Rodzaj jednostki";"Gmina";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów z różnych list";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok nazwiska kandydata na liście, której rejestracja została unieważniona";"Liczba głosów ważnych oddanych łącznie na wszystkie listy kandydatów";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI - ZPOW-601-6/19";"Joanna JAŚKOWIAK - nr na liście 1";"Rafał Szymon GRUPIŃSKI - nr na liście 2";"Adam Stanisław SZŁAPKA - nr na liście 3";"Waldy DZIKOWSKI - nr na liście 4";"Agata Hanna GUTORSKA - nr na liście 5";"Szymon Jerzy ZIÓŁKOWSKI - nr na liście 6";"Izabela Anna JANICKA - nr na liście 7";"Marta MAZUREK - nr na liście 8";"Maciej Maria WITUSKI - nr na liście 9";"Arkady Elpidio FIEDLER - nr na liście 10";"Karolina Urszula FABIŚ-SZULC - nr na liście 11";"Marek Jerzy PANKOWSKI - nr na liście 12";"Magdalena Anna KOSAKOWSKA - nr na liście 13";"Nina Magdalena WIECZOREK - nr na liście 14";"Bartłomiej Zdzisław IGNASZEWSKI - nr na liście 15";"Dawid Paweł MURAWA - nr na liście 16";"Beata KARCZEWSKA-KRZEMIŃSKA - nr na liście 17";"Wioletta CYBULSKA - nr na liście 18";"Izabela SADYŚ - nr na liście 19";"Franciszek Wojciech STERCZEWSKI - nr na liście 20";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ - ZPOW-601-5/19";"Jakub Piotr MIERZEJEWSKI - nr na liście 1";"Ryszard OSZMIAN - nr na liście 2";"Paweł Stefan MĄCZKA - nr na liście 3";"Paweł ZIMMER - nr na liście 4";"Grzegorz Michał SAKOWICZ - nr na liście 5";"Aldona MUSZAK - nr na liście 6";"Justyna Anna SOCHA - nr na liście 7";"Sylwia SZCZESIAK - nr na liście 8";"Michał ANDRZEJEWSKI - nr na liście 9";"Marcin DOMBKOWSKI - nr na liście 10";"Katarzyna Elżbieta ANDRZEJCZAK - nr na liście 11";"Jan Aleksander PAECH - nr na liście 12";"Alicja Maria DUDZIAK - nr na liście 13";"Michał Aleksander FRANKOWSKI - nr na liście 14";"Ewa Grażyna HEIDRYCH - nr na liście 15";"Jędrzej SPIESZALSKI - nr na liście 16";"Szymon ŚWIERGIEL - nr na liście 17";"Krystyna Grażyna PULIK - nr na liście 18";"Radosław KARBOWSKI - nr na liście 19";"Paweł Dawid MALICKI - nr na liście 20";"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE - ZPOW-601-19/19";"Wojciech JANKOWIAK - nr na liście 1";"Włodzimierz Andrzej ZYDORCZAK - nr na liście 2";"Julia Maria KRAKOWIAK - nr na liście 3";"Marcin Krzysztof KALEMBA - nr na liście 4";"Marek Piotr BAUMGART - nr na liście 5";"Agnieszka Adriana BRZEZIŃSKA - nr na liście 6";"Arkadiusz Stanisław BŁOCHOWIAK - nr na liście 7";"Grażyna Maria MANIKOWSKA-KRAWIEC - nr na liście 8";"Sylwester PAWAŁOWSKI - nr na liście 9";"Wojciech Tadeusz WOŚKOWIAK - nr na liście 10";"Aneta Iwona WICHER - nr na liście 11";"Szymon FRĄCKOWIAK - nr na liście 12";"Urszula Teresa KACZMAREK - nr na liście 13";"Miranda Beata PAWŁOWSKA - nr na liście 14";"Rafał KLIMEK - nr na liście 15";"Michał Bartłomiej TOMCZAK - nr na liście 16";"Martyna Maria WŁODARCZYK - nr na liście 17";"Olga Sara KOSTANIAK - nr na liście 18";"Marek Stanisław BEER - nr na liście 19";"Paweł Czesław SIEMIŃSKI - nr na liście 20";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ - ZPOW-601-9/19";"Jadwiga Katarzyna EMILEWICZ - nr na liście 1";"Tadeusz Antoni DZIUBA - nr na liście 2";"Szymon Andrzej SZYNKOWSKI VEL SĘK - nr na liście 3";"Małgorzata Irena STRYJSKA - nr na liście 4";"Tadeusz ZYSK - nr na liście 5";"Bartłomiej Piotr WRÓBLEWSKI - nr na liście 6";"Jacek SOMMERFELD - nr na liście 7";"Zbigniew CZERWIŃSKI - nr na liście 8";"Mateusz Kacper RACZKOWSKI - nr na liście 9";"Filip ŻELAZNY - nr na liście 10";"Anna STACHOWIAK-GAUDEN - nr na liście 11";"Iwona Anna BRZOZOWSKA - nr na liście 12";"Ewa Urszula KRZYŻANOWSKA-WALASZCZYK - nr na liście 13";"Piotr Adam SZELĄGOWSKI - nr na liście 14";"Wojciech BRATKOWSKI - nr na liście 15";"Ewa KULECZKA-DRZEWIECKA - nr na liście 16";"Marian Jan MARKIEWICZ - nr na liście 17";"Marta Ewa DALESZYŃSKA - nr na liście 18";"Katarzyna Barbara WŁODARCZAK - nr na liście 19";"Krzysztof Henryk DEMBIŃSKI - nr na liście 20";"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ - ZPOW-601-1/19";"Katarzyna UEBERHAN - nr na liście 1";"Anna Małgorzata WACHOWSKA-KUCHARSKA - nr na liście 2";"Katarzyna Maria KRETKOWSKA - nr na liście 3";"Henryk KANIA - nr na liście 4";"Beata Kinga URBAŃSKA - nr na liście 5";"Maciej Karol SZLINDER - nr na liście 6";"Magdalena Adrianna WOJCIECHOWSKA - nr na liście 7";"Dawid MAJEWSKI - nr na liście 8";"Marek Ireneusz MONDRY - nr na liście 9";"Halina Maria OWSIANNA - nr na liście 10";"Renata Teresa BORUSIŃSKA - nr na liście 11";"Zuzanna Sara LEWANDOWSKA - nr na liście 12";"Łukasz Mateusz DYLEWICZ - nr na liście 13";"Adrianna PALUS - nr na liście 14";"Maciej Jarosław WRÓBLEWSKI - nr na liście 15";"Grzegorz Andrzej KRYSTEK - nr na liście 16";"Dariusz Radosław JÓŹWIK - nr na liście 17";"Marcin STANIEWSKI - nr na liście 18";"Jakub Marcin SKURZYŃSKI - nr na liście 19";"Agnieszka Maria ZIÓŁKOWSKA - nr na liście 20";"Liczba obwodów"
"302101";"gmina miejska";"m. Luboń";"poznański";"wielkopolskie";21456;23781;3888;17568;13;105;2;2;0;0;0;0;2;17559;2;0;17559;167;97;70;0;17392;7637;2143;545;1763;557;105;612;116;160;43;493;77;34;79;51;24;216;27;29;31;532;1256;559;34;48;89;47;32;149;39;35;19;18;23;38;15;10;8;29;11;9;44;1094;429;37;97;82;36;66;30;19;18;19;32;35;38;9;31;47;17;13;13;26;4562;1689;465;760;100;224;753;68;81;28;67;26;49;25;23;28;37;18;23;47;51;2843;1066;228;445;137;94;61;74;45;65;53;24;125;33;45;39;86;6;30;17;170;14
"302102";"gmina miejska";"m. Puszczykowo";"poznański";"wielkopolskie";7238;7965;1236;6002;11;42;0;0;0;0;0;0;0;6001;0;4;5997;50;27;23;0;5947;3081;553;124;920;157;13;104;30;44;7;571;10;31;64;2;8;40;5;4;5;389;287;148;16;9;16;6;3;34;5;8;7;3;2;10;3;2;2;2;2;3;6;301;143;13;28;24;11;11;5;5;12;8;3;6;5;3;6;6;2;4;2;4;1544;496;122;306;22;73;399;13;17;11;13;6;10;2;9;4;6;6;5;7;17;734;313;43;101;26;12;10;21;4;35;6;2;28;7;3;7;11;1;6;6;92;7
"302103";"gmina miejsko-wiejska";"gm. Buk";"poznański";"wielkopolskie";8799;9666;2441;6358;4;49;0;0;0;0;0;0;0;6356;0;0;6356;103;67;36;0;6253;2078;505;174;643;291;46;73;32;54;9;41;15;9;13;19;4;62;8;7;12;61;415;168;12;19;28;10;16;53;8;15;7;6;13;13;6;3;3;16;0;6;13;791;453;5;29;153;14;12;9;8;7;6;10;15;17;4;15;8;4;2;11;9;2250;582;208;260;29;70;849;14;22;15;27;16;18;8;10;12;11;19;16;28;36;719;277;47;142;40;23;13;12;21;13;11;7;31;8;9;20;1;3;7;1;33;6
"302104";"gmina wiejska";"gm. Czerwonak";"poznański";"wielkopolskie";19090;21020;4079;15011;7;115;3;3;0;0;0;0;3;15000;3;4;14996;149;95;54;0;14847;6605;1827;666;1555;482;93;574;109;166;29;176;65;24;83;23;20;148;17;23;29;496;881;378;42;38;50;23;24;122;20;30;12;16;3;40;15;2;5;26;6;4;25;956;399;26;89;71;44;48;23;16;17;8;20;33;26;12;22;30;15;14;18;25;4230;932;250;494;46;81;446;1771;32;5;16;18;21;14;19;8;14;2;17;18;26;2175;771;197;455;85;65;34;69;45;40;53;9;98;22;21;31;9;10;16;17;128;13
"302105";"gmina wiejska";"gm. Dopiewo";"poznański";"wielkopolskie";18825;19765;3542;15283;15;139;1;1;0;0;0;0;1;15282;1;0;15282;140;87;53;0;15142;7385;1985;489;1790;821;229;271;100;122;41;172;193;76;66;31;26;183;30;18;29;713;965;418;43;59;39;34;53;124;15;21;13;23;10;19;16;6;2;21;7;13;29;1313;931;17;40;67;21;30;12;9;12;15;22;10;20;10;9;27;14;8;24;15;3434;1061;297;489;58;111;1046;32;39;15;39;22;24;15;23;16;22;1;13;77;34;2045;911;151;315;89;51;38;39;34;44;31;9;86;29;31;31;11;14;19;14;98;13
"302106";"gmina wiejska";"gm. Kleszczewo";"poznański";"wielkopolskie";5920;6312;1242;4678;3;25;0;0;0;0;0;0;0;4674;0;2;4672;63;38;25;0;4609;1847;602;128;415;132;21;152;23;27;2;48;21;14;34;9;5;55;12;8;20;119;342;165;19;12;13;12;7;46;6;10;4;6;3;9;6;2;6;2;1;0;13;429;164;14;36;41;33;13;8;8;7;4;10;29;8;3;12;6;5;9;8;11;1356;303;142;233;24;64;462;13;6;3;23;12;9;2;6;5;6;11;4;5;23;635;262;60;90;23;18;9;30;15;10;11;2;27;5;10;12;6;5;10;3;27;3
"302107";"gmina wiejska";"gm. Komorniki";"poznański";"wielkopolskie";19575;21302;3308;16266;6;149;2;2;0;0;0;0;2;16264;2;5;16259;142;76;66;0;16117;8007;2358;574;1646;611;148;574;147;173;58;360;106;42;118;38;25;242;32;24;35;696;1109;545;34;49;54;40;28;129;29;29;13;22;14;32;12;8;4;26;5;6;30;1130;459;36;121;80;24;51;29;10;22;29;29;32;42;11;25;44;24;23;18;21;3362;1255;367;471;74;130;680;33;59;13;53;18;37;12;17;16;25;9;27;31;35;2509;1072;189;337;105;76;51;64;35;58;56;15;110;37;37;32;18;14;19;15;169;15
"302108";"gmina miejsko-wiejska";"gm. Kostrzyn";"poznański";"wielkopolskie";12952;14217;4174;8778;2;27;0;0;0;0;0;0;0;8776;0;0;8776;126;79;47;0;8650;2875;799;248;386;196;25;197;45;56;17;74;19;15;25;24;6;70;15;7;524;127;725;346;24;18;39;19;18;97;15;35;15;9;4;16;11;8;3;22;6;8;12;892;236;20;37;68;44;24;12;10;16;3;26;310;16;8;19;7;5;10;6;15;3047;844;375;425;56;90;755;22;30;19;42;17;39;11;15;8;17;164;24;33;61;1111;384;77;167;61;53;27;71;31;17;14;8;49;20;13;27;10;5;9;4;64;11
"302109";"gmina miejsko-wiejska";"gm. Kórnik";"poznański";"wielkopolskie";19531;21167;4217;15314;10;101;0;0;0;0;0;0;0;15310;0;0;15310;151;97;54;0;15159;6621;2002;373;968;299;34;199;59;89;20;144;36;26;1724;24;13;114;10;11;23;453;1150;532;43;44;53;31;29;151;23;26;16;23;16;46;19;13;3;28;7;7;40;1095;499;40;83;79;47;36;18;16;24;17;28;31;27;18;16;38;18;19;21;20;4151;1097;625;603;72;150;578;27;43;14;694;16;34;21;18;12;18;17;27;32;53;2142;894;139;370;147;50;43;51;43;37;57;1;89;23;24;26;11;6;13;12;106;15
"302110";"gmina miejsko-wiejska";"gm. Mosina";"poznański";"wielkopolskie";22886;24886;5513;17373;7;107;2;2;0;0;0;0;2;17373;2;0;17373;211;150;61;0;17162;6779;1868;423;1393;409;56;724;95;131;38;703;40;30;215;31;31;111;18;20;21;422;1151;522;46;51;82;31;24;138;33;29;15;14;10;35;16;10;11;23;11;9;41;1285;512;63;132;104;55;53;31;24;15;31;29;35;22;11;37;38;21;29;19;24;5432;1778;502;822;157;166;1301;51;94;33;148;33;73;19;36;19;42;27;28;44;59;2515;1016;191;327;172;60;44;40;46;65;57;9;100;28;25;32;17;13;17;11;245;22
"302111";"gmina miejsko-wiejska";"gm. Murowana Goślina";"poznański";"wielkopolskie";12459;12925;3835;8624;1;43;0;0;0;0;0;0;0;8624;0;5;8619;106;74;32;0;8513;3362;1040;293;841;268;45;152;45;72;14;57;23;17;48;15;8;95;11;15;15;288;594;264;28;16;35;22;15;66;13;23;14;8;7;21;9;7;1;15;4;6;20;701;291;26;43;41;25;36;48;13;19;10;13;26;15;15;14;18;17;10;8;13;2509;802;186;341;32;58;523;375;26;11;20;9;20;12;12;7;8;7;14;18;28;1347;514;113;283;48;41;21;33;31;16;25;4;53;10;25;30;6;7;9;9;69;12
