"Kod TERYT";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Waldemar BONKOWSKI";"Dariusz DRELICH";"Stanisław Józef LAMCZYK";"Liczba obwodów"
"220100";"bytowski";"pomorskie";56712;60117;24140;32572;19;219;5;5;0;1;0;0;4;32570;4;0;32570;685;190;495;0;31885;4401;13367;14117;67
"220200";"chojnicki";"pomorskie";68984;73210;26075;42909;44;318;11;11;7;0;0;0;4;42908;4;0;42908;824;246;578;0;42084;4994;17997;19093;69
"220300";"człuchowski";"pomorskie";42359;44358;19587;22772;16;167;0;0;0;0;0;0;0;22771;0;1;22770;536;153;383;0;22234;3500;7903;10831;57
"220500";"kartuski";"pomorskie";91826;99529;26520;65306;37;805;11;11;0;0;0;0;11;65297;11;2;65295;1001;354;647;0;64294;6083;26904;31307;75
"220600";"kościerski";"pomorskie";50675;54689;17301;33373;21;298;9;9;0;0;0;0;9;33380;9;1;33379;735;216;519;0;32644;4203;13385;15056;48
