"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Maciej Józef KOŹBIAŁ";"Andrzej Michał PAJĄK"
"f5c9-d929-02e7-b877-a479-7f4e-8995-8d35";"120302";"30";"3";"wieś";"stały";"Zespół Szkół w Mętkowie, Mętków ul. Ks. Karola Wojtyły 21, 32-551 Babice";"gm. Babice";"chrzanowski";"małopolskie";"1040";"1143";"280";"760";"0";"1";"0";"0";"0";"0";"0";"0";"0";"759";"0";"0";"759";"19";"4";"15";"0";"740";"196";"544"
"a633-a593-9a6e-dddb-19e6-5ecd-f27b-d971";"120302";"30";"4";"wieś";"stały";"Przedszkole Samorządowe w Olszynach, Olszyny ul. Przedszkolna 4, 32-551  Babice";"gm. Babice";"chrzanowski";"małopolskie";"610";"671";"137";"473";"0";"0";"0";"0";"0";"0";"0";"0";"0";"473";"0";"0";"473";"22";"2";"20";"0";"451";"152";"299"
"34a0-2682-8c05-0c7e-91e5-48db-7cd2-dee7";"120302";"30";"5";"wieś";"stały";"Szkoła Podstawowa w Rozkochowie, Rozkochów ul. Chemików 4, 32-551 Babice";"gm. Babice";"chrzanowski";"małopolskie";"611";"664";"192";"419";"0";"2";"0";"0";"0";"0";"0";"0";"0";"419";"0";"0";"419";"15";"5";"10";"0";"404";"157";"247"
"5013-d3ca-ccdc-b58b-a6e0-3509-bf9b-0294";"120302";"30";"6";"wieś";"stały";"Dom Ludowy w Wygiełzowie, Wygiełzów ul. Lipowiecka 3, 32-551 Babice";"gm. Babice";"chrzanowski";"małopolskie";"549";"604";"124";"425";"0";"2";"0";"0";"0";"0";"0";"0";"0";"425";"0";"0";"425";"22";"8";"14";"0";"403";"220";"183"
"1172-059d-b8eb-58d0-62cf-a543-3855-1923";"120302";"30";"7";"wieś";"stały";"Przedszkole Samorządowe w Zagórzu, ul. Żelatowa 8, 32-555 Zagórze";"gm. Babice";"chrzanowski";"małopolskie";"450";"483";"177";"273";"0";"1";"0";"0";"0";"0";"0";"0";"0";"273";"0";"0";"273";"5";"1";"4";"0";"268";"138";"130"
"030b-31de-e4ca-31c4-3093-7f57-ccdc-118f";"120302";"30";"8";"wieś";"stały";"Szkoła Podstawowa w Zagórzu, ul. Marszałka Józefa Piłsudskiego 139, 32-555 Zagórze";"gm. Babice";"chrzanowski";"małopolskie";"889";"976";"295";"594";"0";"1";"0";"0";"0";"0";"0";"0";"0";"594";"0";"0";"594";"31";"9";"22";"0";"563";"276";"287"
"7af3-767b-071d-9366-ffe6-7853-a16f-2103";"120302";"30";"9";"wieś";"stały";"Szkoła Podstawowa w Zagórzu, ul. Marszałka Józefa Piłsudskiego 139, 32-555 Zagórze";"gm. Babice";"chrzanowski";"małopolskie";"899";"971";"331";"568";"0";"0";"0";"0";"0";"0";"0";"0";"0";"567";"0";"0";"567";"25";"5";"20";"0";"542";"274";"268"
"39a6-75e6-94af-da4f-45da-bda7-367c-1c35";"120303";"30";"1";"miasto";"stały";"Miejski Ośrodek Kultury, Sportu i Rekreacji w Chrzanowie, ul. W. Broniewskiego 4, 32-500 Chrzanów";"gm. Chrzanów";"chrzanowski";"małopolskie";"812";"936";"290";"522";"3";"6";"1";"1";"1";"0";"0";"0";"0";"522";"0";"0";"522";"13";"5";"8";"0";"509";"309";"200"
"5658-9cca-e822-0c5f-db2d-f8ea-b361-84f0";"120303";"30";"2";"miasto";"stały";"Szkoła Podstawowa Nr 3 w Chrzanowie, Aleja Henryka 45, 32-500 Chrzanów";"gm. Chrzanów";"chrzanowski";"małopolskie";"780";"851";"258";"522";"1";"2";"0";"0";"0";"0";"0";"0";"0";"522";"0";"0";"522";"13";"5";"8";"0";"509";"319";"190"
"a136-c1b7-e0ce-759d-eb87-8c25-1629-ec09";"120303";"30";"3";"miasto";"stały";"Szkoła Podstawowa Nr 3 w Chrzanowie, Aleja Henryka 45, 32-500 Chrzanów";"gm. Chrzanów";"chrzanowski";"małopolskie";"1240";"1369";"499";"741";"1";"10";"0";"0";"0";"0";"0";"0";"0";"741";"0";"0";"741";"32";"7";"25";"0";"709";"419";"290"
"2aed-ffb1-5191-db47-35a7-09c9-0350-7207";"120303";"30";"4";"miasto";"stały";"Przedszkole Samorządowe Nr 5 w Chrzanowie, ul. Kościuszki 27, 32-500 Chrzanów";"gm. Chrzanów";"chrzanowski";"małopolskie";"790";"863";"215";"575";"0";"4";"0";"0";"0";"0";"0";"0";"0";"575";"0";"0";"575";"16";"3";"13";"0";"559";"357";"202"
"0b98-f000-baa6-1d68-ac22-a947-7062-e9c7";"120303";"30";"5";"miasto";"stały";"I Liceum Ogólnokształcące w Chrzanowie, ul. J. Piłsudskiego 14, 32-500 Chrzanów";"gm. Chrzanów";"chrzanowski";"małopolskie";"992";"1073";"329";"663";"0";"3";"1";"1";"0";"0";"0";"0";"1";"664";"1";"0";"664";"22";"5";"17";"0";"642";"393";"249"
"a3b0-7227-43e5-e5cf-999f-abc3-cecb-928e";"120303";"30";"6";"miasto";"stały";"I Liceum Ogólnokształcące w Chrzanowie, ul. J. Piłsudskiego 14, 32-500 Chrzanów";"gm. Chrzanów";"chrzanowski";"małopolskie";"1241";"1356";"278";"963";"2";"0";"0";"0";"0";"0";"0";"0";"0";"963";"0";"0";"963";"25";"14";"11";"0";"938";"649";"289"
"d9ee-15c8-df5f-623f-3b1b-8775-10f7-01f0";"120303";"30";"7";"miasto";"stały";"Przedszkole Samorządowe Nr 1 w Chrzanowie, ul. Śląska 74b, 32-500 Chrzanów";"gm. Chrzanów";"chrzanowski";"małopolskie";"1231";"1316";"344";"887";"3";"2";"0";"0";"0";"0";"0";"0";"0";"885";"0";"0";"885";"29";"2";"27";"0";"856";"500";"356"
"0284-6d71-4c04-2dfa-e38c-c990-def4-b4c1";"120303";"30";"8";"miasto";"stały";"Szkoła Podstawowa Nr 5 w Chrzanowie, ul. Fabryczna 23a, 32-500 Chrzanów";"gm. Chrzanów";"chrzanowski";"małopolskie";"979";"1071";"403";"576";"2";"1";"0";"0";"0";"0";"0";"0";"0";"576";"0";"0";"576";"23";"7";"16";"0";"553";"308";"245"
"c243-8884-c575-7e61-d860-4344-8002-f3e6";"120303";"30";"9";"miasto";"stały";"Szkoła Podstawowa Nr 5 w Chrzanowie, ul. Fabryczna 23a, 32-500 Chrzanów";"gm. Chrzanów";"chrzanowski";"małopolskie";"930";"1001";"305";"625";"0";"1";"0";"0";"0";"0";"0";"0";"0";"625";"0";"0";"625";"23";"4";"19";"0";"602";"346";"256"
"d8ba-f66c-815f-e58a-f762-a92b-a5f0-23da";"120303";"30";"10";"miasto";"stały";"Miejski Ośrodek Kultury, Sportu i Rekreacji w Chrzanowie, ul. W. Broniewskiego 4, 32-500 Chrzanów";"gm. Chrzanów";"chrzanowski";"małopolskie";"1378";"1513";"458";"920";"3";"9";"0";"0";"0";"0";"0";"0";"0";"920";"0";"0";"920";"51";"16";"35";"0";"869";"477";"392"
"2f15-e9f0-93c3-8659-2711-dc72-b2f0-c450";"120303";"30";"11";"miasto";"stały";"Szkoła Podstawowa Nr 1 w Chrzanowie, ul. Zielona 15, 32-500 Chrzanów";"gm. Chrzanów";"chrzanowski";"małopolskie";"1390";"1504";"462";"928";"0";"0";"0";"0";"0";"0";"0";"0";"0";"928";"0";"0";"928";"42";"5";"37";"0";"886";"525";"361"
"0128-7f09-44d3-0624-e3e8-81dc-cd12-f9e2";"120303";"30";"12";"miasto";"stały";"Miejska Biblioteka Publiczna w Chrzanowie, ul. W. Broniewskiego 10C, 32-500 Chrzanów";"gm. Chrzanów";"chrzanowski";"małopolskie";"1377";"1503";"450";"927";"1";"4";"0";"0";"0";"0";"0";"0";"0";"927";"0";"0";"927";"30";"4";"26";"0";"897";"519";"378"
"bed8-ff16-650a-f221-152b-118e-0336-bb49";"120303";"30";"13";"miasto";"stały";"Szkoła Podstawowa Nr 1 w Chrzanowie, ul. Marcina Borelowskiego 1, 32-500 Chrzanów";"gm. Chrzanów";"chrzanowski";"małopolskie";"1210";"1409";"302";"908";"2";"2";"0";"0";"0";"0";"0";"0";"0";"908";"0";"0";"908";"41";"5";"36";"0";"867";"518";"349"
"d677-5bd5-3b05-90e7-c938-e5e8-5ba0-42d3";"120303";"30";"14";"miasto";"stały";"Szkoła Podstawowa Nr 10 w Chrzanowie, ul. Kardynała Wyszyńskiego 19, 32-500 Chrzanów";"gm. Chrzanów";"chrzanowski";"małopolskie";"690";"747";"209";"481";"0";"2";"0";"0";"0";"0";"0";"0";"0";"481";"0";"0";"481";"13";"4";"9";"0";"468";"288";"180"
"16c8-6b0e-c2e0-a5d9-4165-80b3-f473-de6f";"120303";"30";"15";"miasto";"stały";"Szkoła Podstawowa Nr 10 w Chrzanowie, ul. Kardynała Wyszyńskiego 19, 32-500 Chrzanów";"gm. Chrzanów";"chrzanowski";"małopolskie";"1149";"1246";"310";"839";"0";"3";"0";"0";"0";"0";"0";"0";"0";"839";"0";"0";"839";"21";"2";"19";"0";"818";"507";"311"
"5b70-8b39-ee35-542d-5d53-c174-e2a7-7ca1";"120303";"30";"16";"miasto";"stały";"Przedszkole Nr 10 w Chrzanowie, ul. Władysława Sikorskiego 6, 32-500 Chrzanów";"gm. Chrzanów";"chrzanowski";"małopolskie";"1510";"1638";"404";"1106";"1";"5";"0";"0";"0";"0";"0";"0";"0";"1106";"0";"0";"1106";"27";"9";"18";"0";"1079";"624";"455"
"bac1-3872-42f1-9c6f-c622-fc27-30bf-d4b0";"120303";"30";"17";"miasto";"stały";"Szkoła Podstawowa Nr 8 w Chrzanowie, ul. Pogorska 8c, 32-500 Chrzanów";"gm. Chrzanów";"chrzanowski";"małopolskie";"1119";"1223";"360";"759";"0";"1";"0";"0";"0";"0";"0";"0";"0";"759";"0";"0";"759";"20";"6";"14";"0";"739";"396";"343"
"7c9a-3b4e-baa0-8452-14ab-7143-e264-ce9d";"120303";"30";"18";"miasto";"stały";"Przedszkole Samorządowe Nr 9 w Chrzanowie, ul. Brzezina 14, 32-500 Chrzanów";"gm. Chrzanów";"chrzanowski";"małopolskie";"1479";"1607";"406";"1073";"0";"3";"0";"0";"0";"0";"0";"0";"0";"1072";"0";"0";"1072";"30";"10";"20";"0";"1042";"626";"416"
"3438-a6dd-2f83-ec85-50b5-f8d2-eac9-513b";"120303";"30";"19";"miasto";"stały";"Szkoła Podstawowa Nr 8 w Chrzanowie, ul. Pogorska 8c, 32-500 Chrzanów";"gm. Chrzanów";"chrzanowski";"małopolskie";"1390";"1498";"410";"980";"0";"1";"0";"0";"0";"0";"0";"0";"0";"980";"0";"0";"980";"32";"15";"17";"0";"948";"559";"389"
"6849-731f-76c9-1889-715f-cff3-c28b-1856";"120303";"30";"20";"miasto";"stały";"Przedszkole Samorządowe Nr 9 w Chrzanowie, ul. Brzezina 14, 32-500 Chrzanów";"gm. Chrzanów";"chrzanowski";"małopolskie";"1430";"1562";"442";"988";"1";"3";"0";"0";"0";"0";"0";"0";"0";"988";"0";"0";"988";"28";"8";"20";"0";"960";"559";"401"
"d89b-47f0-0116-4841-9c6d-e163-c5cb-1254";"120303";"30";"21";"miasto";"stały";"Centrum Usług Socjalnych w Chrzanowie, ul. Kolonia Stella 11, 32-500 Chrzanów";"gm. Chrzanów";"chrzanowski";"małopolskie";"510";"560";"241";"269";"0";"1";"0";"0";"0";"0";"0";"0";"0";"268";"0";"0";"268";"15";"1";"14";"0";"253";"125";"128"
"6a80-315c-2f30-35ad-a706-f0c2-edfa-3342";"120303";"30";"22";"miasto";"stały";"Szkoła Podstawowa Nr 6 w Chrzanowie, ul. Dworska 5, 32-500 Chrzanów";"gm. Chrzanów";"chrzanowski";"małopolskie";"2080";"2256";"504";"1576";"2";"9";"1";"1";"0";"0";"0";"0";"1";"1577";"1";"1";"1576";"43";"7";"36";"0";"1533";"867";"666"
"6656-0dac-e994-0ee1-81de-7e4d-262b-4d1b";"120303";"30";"23";"wieś";"stały";"Szkoła Podstawowa w Balinie, Balin ul. Jaworznicka 139, 32-500 Chrzanów";"gm. Chrzanów";"chrzanowski";"małopolskie";"1178";"1292";"412";"766";"0";"2";"0";"0";"0";"0";"0";"0";"0";"766";"0";"0";"766";"20";"12";"8";"0";"746";"374";"372"
"0cf5-4684-46f5-620a-141a-2ad4-019a-484f";"120303";"30";"24";"wieś";"stały";"Szkoła Podstawowa w Balinie, Balin ul. Jaworznicka 139, 32-500 Chrzanów";"gm. Chrzanów";"chrzanowski";"małopolskie";"1249";"1370";"434";"815";"0";"0";"0";"0";"0";"0";"0";"0";"0";"815";"0";"0";"815";"28";"8";"20";"0";"787";"417";"370"
"c5bc-5086-94a1-23be-88d4-a0ee-3848-632d";"120303";"30";"25";"wieś";"stały";"Szkoła Podstawowa w Luszowicach, Luszowice ul. Stanisława Przybyszewskiego 6, 32-500 Chrzanów";"gm. Chrzanów";"chrzanowski";"małopolskie";"1341";"1457";"480";"861";"0";"2";"0";"0";"0";"0";"0";"0";"0";"861";"0";"0";"861";"31";"7";"24";"0";"830";"425";"405"
"1b07-02e9-368b-f4b6-8360-0650-7241-724d";"120303";"30";"26";"wieś";"stały";"Szkoła Podstawowa w Płazie, ul. Wiosny Ludów 2, 32-552 Płaza";"gm. Chrzanów";"chrzanowski";"małopolskie";"1288";"1423";"405";"883";"0";"3";"0";"0";"0";"0";"0";"0";"0";"883";"0";"0";"883";"36";"17";"19";"0";"847";"393";"454"
"7813-e988-7fdd-fbb2-582a-3610-f489-aa91";"120303";"30";"27";"wieś";"stały";"Szkoła Podstawowa w Płazie, ul. Wiosny Ludów 2, 32-552 Płaza";"gm. Chrzanów";"chrzanowski";"małopolskie";"1149";"1261";"411";"738";"1";"2";"0";"0";"0";"0";"0";"0";"0";"738";"0";"0";"738";"19";"3";"16";"0";"719";"318";"401"
"adf8-7064-3a0a-c68b-6667-6ade-972c-4fe6";"120303";"30";"28";"wieś";"stały";"Szkoła Podstawowa w Pogorzycach, Pogorzyce ul. Karola Szymanowskiego 21, 32-500 Chrzanów";"gm. Chrzanów";"chrzanowski";"małopolskie";"1161";"1269";"402";"759";"1";"5";"0";"0";"0";"0";"0";"0";"0";"759";"0";"0";"759";"30";"9";"21";"0";"729";"315";"414"
"d65c-6e1a-ae8a-71f4-ecb9-0371-9e9f-702f";"120303";"30";"29";"miasto";"zakład leczniczy";"Szpital Powiatowy w Chrzanowie, ul. Topolowa 16, 32-500 Chrzanów";"gm. Chrzanów";"chrzanowski";"małopolskie";"430";"192";"315";"115";"0";"4";"0";"0";"0";"0";"0";"0";"0";"115";"0";"0";"115";"4";"1";"3";"0";"111";"51";"60"
"7896-df73-5ccf-a9ab-9a58-2995-09c7-0483";"120303";"30";"30";"wieś";"dom pomocy społecznej";"Powiatowy Dom Pomocy Społecznej im. Adama Starzeńskiego w Płazie, ul. Wiosny Ludów 4, 32-552 Płaza";"gm. Chrzanów";"chrzanowski";"małopolskie";"111";"74";"85";"26";"0";"0";"0";"0";"0";"0";"0";"0";"0";"26";"0";"0";"26";"2";"1";"1";"0";"24";"8";"16"
"7b7c-ef89-4aa6-cb81-3b38-3627-dac4-6b16";"120303";"30";"31";"miasto";"dom pomocy społecznej";"Zakład Opiekuńczo-Leczniczy w Chrzanowie, ul. Śląska 62a, 32-500 Chrzanów";"gm. Chrzanów";"chrzanowski";"małopolskie";"101";"97";"51";"50";"0";"2";"0";"0";"0";"0";"0";"0";"0";"50";"0";"0";"50";"0";"0";"0";"0";"50";"1";"49"
"6502-bb14-f2b0-6941-06e7-19d0-9a23-7636";"120304";"30";"1";"miasto";"stały";"Szkoła Podstawowa Nr 2 w Libiążu, Plac Zwycięstwa 2, 32-590 Libiąż";"gm. Libiąż";"chrzanowski";"małopolskie";"611";"672";"202";"409";"0";"0";"0";"0";"0";"0";"0";"0";"0";"409";"0";"0";"409";"18";"6";"12";"0";"391";"149";"242"
"a7d9-7309-d4e2-7e69-a2af-e592-2c48-9d7c";"120304";"30";"2";"miasto";"stały";"Ochotnicza Straż Pożarna Moczydło w Libiążu, ul. Władysława Andersa 9, 32-590 Libiąż";"gm. Libiąż";"chrzanowski";"małopolskie";"820";"901";"302";"518";"0";"2";"0";"0";"0";"0";"0";"0";"0";"518";"0";"0";"518";"23";"3";"20";"0";"495";"241";"254"
"0736-2a70-3256-362d-94a6-c7fe-e4c7-b546";"120304";"30";"3";"miasto";"stały";"Szkoła Podstawowa Nr 3 w Libiążu, ul. Świętej Barbary 5, 32-590 Libiąż";"gm. Libiąż";"chrzanowski";"małopolskie";"820";"889";"263";"557";"3";"2";"0";"0";"0";"0";"0";"0";"0";"556";"0";"0";"556";"14";"8";"6";"0";"542";"251";"291"
"08d8-020f-301c-171a-02ab-e9df-47e5-8b09";"120304";"30";"4";"miasto";"stały";"Libiąskie Centrum Kultury, ul. Górnicza 1, 32-590 Libiąż";"gm. Libiąż";"chrzanowski";"małopolskie";"1059";"1159";"281";"778";"0";"3";"0";"0";"0";"0";"0";"0";"0";"778";"0";"0";"778";"35";"9";"26";"0";"743";"352";"391"
"d5cc-15dc-e9fe-45d5-7ea9-8c3a-d307-2ded";"120304";"30";"5";"miasto";"stały";"Przedszkole Samorządowe Nr 4 w Libiążu, ul. Melchiora Wańkowicza 1a, 32-590 Libiąż";"gm. Libiąż";"chrzanowski";"małopolskie";"1740";"1899";"583";"1157";"3";"3";"0";"0";"0";"0";"0";"0";"0";"1157";"0";"0";"1157";"48";"27";"21";"0";"1109";"556";"553"
"b866-a9b2-5a48-f0c8-747b-9590-c229-9483";"120304";"30";"6";"miasto";"stały";"Miejska Biblioteka Publiczna w Libiążu, ul. Górnicza 11, 32-590 Libiąż";"gm. Libiąż";"chrzanowski";"małopolskie";"860";"943";"320";"540";"0";"0";"0";"0";"0";"0";"0";"0";"0";"540";"0";"0";"540";"19";"2";"17";"0";"521";"226";"295"
"fd3f-9df3-1a4b-0fbb-6e11-14d6-b46c-e0c6";"120304";"30";"7";"miasto";"stały";"Miejskie Centrum Medyczne w Libiążu, ul. 9 Maja 2, 32-590 Libiąż";"gm. Libiąż";"chrzanowski";"małopolskie";"600";"643";"191";"409";"0";"2";"0";"0";"0";"0";"0";"0";"0";"409";"0";"0";"409";"16";"7";"9";"0";"393";"235";"158"
"b690-f4f7-ce8a-366c-563e-7972-aa03-9eb6";"120304";"30";"8";"miasto";"stały";"Zespół Szkolno-Przedszkolny z Oddziałami Integracyjnymi w Libiążu, ul. Ignacego Paderewskiego 2, 32-590 Libiąż";"gm. Libiąż";"chrzanowski";"małopolskie";"1049";"1135";"302";"747";"1";"4";"0";"0";"0";"0";"0";"0";"0";"747";"0";"0";"747";"28";"12";"16";"0";"719";"385";"334"
"4e05-d47c-af26-02c8-43ff-c9c7-a9f4-ebe1";"120304";"30";"9";"miasto";"stały";"Zespół Szkolno-Przedszkolny z Oddziałami Integracyjnymi w Libiążu, ul. Ignacego Paderewskiego 2, 32-590 Libiąż";"gm. Libiąż";"chrzanowski";"małopolskie";"920";"1001";"229";"691";"1";"0";"0";"0";"0";"0";"0";"0";"0";"691";"0";"0";"691";"20";"3";"17";"0";"671";"339";"332"
"3638-0e47-a656-0bc1-1c7a-3c12-d1a4-987b";"120304";"30";"10";"miasto";"stały";"Szkoła Podstawowa Nr 1 w Libiążu, ul. Szkolna 1, 32-590 Libiąż";"gm. Libiąż";"chrzanowski";"małopolskie";"1000";"1082";"262";"738";"2";"3";"0";"0";"0";"0";"0";"0";"0";"738";"0";"0";"738";"25";"11";"14";"0";"713";"363";"350"
"34ab-ef00-585d-d286-5f37-dc97-d41a-b386";"120304";"30";"11";"miasto";"stały";"Szkoła Podstawowa Nr 1 w Libiążu, ul. Szkolna 1, 32-590 Libiąż";"gm. Libiąż";"chrzanowski";"małopolskie";"1291";"1386";"347";"944";"7";"5";"0";"0";"0";"0";"0";"0";"0";"944";"0";"0";"944";"37";"16";"21";"0";"907";"490";"417"
"1a8b-afe1-3fd6-bd40-319a-1383-06ce-021a";"120304";"30";"12";"miasto";"stały";"Szkoła Podstawowa Nr 2 w Libiążu, Plac Zwycięstwa 2, 32-590 Libiąż";"gm. Libiąż";"chrzanowski";"małopolskie";"1470";"1602";"385";"1085";"3";"2";"0";"0";"0";"0";"0";"0";"0";"1085";"0";"0";"1085";"33";"5";"28";"0";"1052";"508";"544"
"bcdf-d8fb-ab23-34e9-0178-3dd7-0f79-9b19";"120304";"30";"13";"wieś";"stały";"Zespół Szkół w Żarkach, ul. Astronautów 3, 32-593 Żarki";"gm. Libiąż";"chrzanowski";"małopolskie";"1409";"1540";"397";"1012";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1012";"0";"0";"1012";"36";"13";"23";"0";"976";"349";"627"
"2cbf-1f18-67a3-558d-c8fa-66f9-241c-d94f";"120304";"30";"14";"wieś";"stały";"Dom Kultury w Żarkach, ul. Klubowa 6, 32-593 Żarki";"gm. Libiąż";"chrzanowski";"małopolskie";"1362";"1488";"491";"871";"1";"1";"0";"0";"0";"0";"0";"0";"0";"871";"0";"0";"871";"29";"6";"23";"0";"842";"274";"568"
