"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Maciej Józef KOŹBIAŁ";"Andrzej Michał PAJĄK"
"8b81-2cb9-8c37-8367-6648-d0ab-febb-5c30";"120301";"30";"1";"miasto";"stały";"Szkoła Podstawowa im. Marii Skłodowskiej-Curie w Alwerni, ul. Marii Skłodowskiej-Curie 4, 32-566 Alwernia";"gm. Alwernia";"chrzanowski";"małopolskie";"1240";"1342";"404";"836";"1";"4";"0";"0";"0";"0";"0";"0";"0";"836";"0";"0";"836";"35";"8";"27";"0";"801";"432";"369"
"398f-1010-1aa9-36c8-0fbc-7c69-bb75-5040";"120301";"30";"2";"miasto";"stały";"Urząd Miejski w Alwerni, ul. Zbigniewa Gęsikowskiego 7, 32-566 Alwernia";"gm. Alwernia";"chrzanowski";"małopolskie";"1167";"1287";"358";"809";"0";"9";"0";"0";"0";"0";"0";"0";"0";"809";"0";"0";"809";"21";"8";"13";"0";"788";"389";"399"
"94f7-e173-651e-1084-b641-9aaf-ded4-dec8";"120301";"30";"3";"wieś";"stały";"Szkoła Podstawowa im. Henryka Sienkiewicza w Brodłach, Brodła ul. Edukacyjna 1, 32-566 Alwernia";"gm. Alwernia";"chrzanowski";"małopolskie";"730";"807";"277";"453";"0";"4";"0";"0";"0";"0";"0";"0";"0";"453";"0";"0";"453";"7";"1";"6";"0";"446";"162";"284"
"377c-6c19-329a-70fa-3a49-9377-7943-667a";"120301";"30";"4";"wieś";"stały";"Dom Ludowy w Grojcu, Grojec ul. Bartosza Głowackiego 13, 32-566 Alwernia";"gm. Alwernia";"chrzanowski";"małopolskie";"928";"1030";"292";"636";"0";"0";"0";"0";"0";"0";"0";"0";"0";"635";"0";"0";"635";"26";"9";"17";"0";"609";"253";"356"
"2ca1-e901-215f-5b60-8e12-9231-5bcc-877a";"120301";"30";"5";"wieś";"stały";"Szkoła Podstawowa im. Józefa Patelskiego w Kwaczale, Kwaczała ul. Jana Pawła II 2, 32-566 Awernia";"gm. Alwernia";"chrzanowski";"małopolskie";"1348";"1476";"421";"927";"0";"3";"0";"0";"0";"0";"0";"0";"0";"927";"0";"0";"927";"30";"8";"22";"0";"897";"356";"541"
"a791-58e4-5a29-0dec-b8ee-e283-8bab-7e7a";"120301";"30";"6";"wieś";"stały";"Dom Ludowy w Okleśnej, Okleśna ul. Nowowiejska 5, 32-566 Alwernia";"gm. Alwernia";"chrzanowski";"małopolskie";"1179";"1301";"405";"774";"1";"2";"0";"0";"0";"0";"0";"0";"0";"774";"0";"0";"774";"24";"7";"17";"0";"750";"267";"483"
"8517-a442-38dd-a4ef-4fb8-aff4-2e65-4561";"120301";"30";"7";"wieś";"stały";"Szkoła Podstawowa im. Stanisława Wyspiańskiego w Porębie-Żegoty, Poręba Żegoty ul. Szembeków 24, 32-566 Alwernia";"gm. Alwernia";"chrzanowski";"małopolskie";"880";"982";"320";"560";"0";"21";"0";"0";"0";"0";"0";"0";"0";"549";"0";"0";"549";"22";"8";"14";"0";"527";"247";"280"
"f6ff-6df7-c145-f3e2-1c5c-55f1-5a01-e430";"120301";"30";"8";"wieś";"stały";"Szkoła Podstawowa im. Tadeusza Kościuszki w Regulicach, Regulice Aleja Jana Pawła II 10, 32-566 Alwernia";"gm. Alwernia";"chrzanowski";"małopolskie";"1738";"1898";"471";"1262";"1";"3";"0";"0";"0";"0";"0";"0";"0";"1269";"0";"0";"1269";"38";"5";"33";"0";"1231";"587";"644"
"1494-9c08-ed29-ff1c-b482-f9ba-2068-b14a";"120302";"30";"1";"wieś";"stały";"Dom parafialny w Babicach, ul. dr Jana Gołąba 2, 32-551 Babice";"gm. Babice";"chrzanowski";"małopolskie";"1119";"1213";"296";"823";"0";"4";"0";"0";"0";"0";"0";"0";"0";"823";"0";"0";"823";"31";"5";"26";"0";"792";"362";"430"
"49e1-5f00-0002-2ea8-be78-334a-c428-d1d7";"120302";"30";"2";"wieś";"stały";"Dom Kultury w Jankowicach, Jankowice ul. Wadowicka 46, 32-551 Babice";"gm. Babice";"chrzanowski";"małopolskie";"550";"606";"153";"396";"0";"3";"0";"0";"0";"0";"0";"0";"0";"396";"0";"0";"396";"18";"6";"12";"0";"378";"126";"252"
