"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Elżbieta Agnieszka KOMOSA";"Marta Ewelina MICHALSKA-WILK";"Wojciech SKURKIEWICZ"
"99c1-fab2-ef4a-ce3f-8e62-b55d-21cf-e860";"143605";"50";"12";"wieś";"stały";"Publiczna Szkoła Podstawowa w Sycynie budynek w Sydole, Sydół 64, 26-700 Zwoleń";"gm. Zwoleń";"zwoleński";"mazowieckie";"500";"551";"221";"279";"0";"0";"0";"0";"0";"0";"0";"0";"0";"279";"0";"0";"279";"8";"2";"6";"0";"271";"27";"60";"184"
"b0d0-c901-cf3f-d798-56fc-fbe9-4597-9359";"143605";"50";"13";"wieś";"stały";"Świetlica Profilaktyczno-Wychowawcza w Strykowicach Błotnych, Strykowice Błotne 42, 26-700 Zwoleń";"gm. Zwoleń";"zwoleński";"mazowieckie";"334";"362";"140";"194";"0";"0";"0";"0";"0";"0";"0";"0";"0";"194";"0";"0";"194";"5";"1";"4";"0";"189";"17";"40";"132"
"18d3-bbcd-5a2a-d2fd-186c-1413-9172-c801";"143605";"50";"14";"miasto";"zakład leczniczy";"Szpital Rejonowy w Zwoleniu, ul. Władysława Jagiełły 12, 26-700 Zwoleń";"gm. Zwoleń";"zwoleński";"mazowieckie";"80";"53";"75";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"0";"0";"5";"0";"0";"0";"0";"5";"1";"0";"4"
"8026-e8c4-3cec-13dd-d159-296b-5ea5-8d99";"146301";"50";"1";"miasto";"stały";"V Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Romualda Traugutta, Radom, Śródmieście ul. Traugutta 52a, 26-600 Radom";"m. Radom";"Radom";"mazowieckie";"773";"831";"337";"436";"0";"5";"0";"0";"0";"0";"0";"0";"0";"436";"0";"0";"436";"7";"1";"6";"0";"429";"66";"178";"185"
"5517-eeef-a7c0-1002-a2f8-bcb4-658f-a5a7";"146301";"50";"2";"miasto";"stały";"III Liceum Ogólnokształcące im. płk. Dionizego Czachowskiego, Radom, Śródmieście ul. Traugutta 44, 26-600 Radom";"m. Radom";"Radom";"mazowieckie";"828";"886";"316";"512";"1";"6";"0";"0";"0";"0";"0";"0";"0";"512";"0";"0";"512";"8";"0";"8";"0";"504";"67";"223";"214"
"f450-7061-a423-ad62-9900-7a36-97e7-f318";"146301";"50";"3";"miasto";"stały";"Publiczna Szkoła Podstawowa Nr 13 z Oddziałami Integracyjnymi im. Ks. Józefa Poniatowskiego, Radom, Śródmieście ul. Henryka Sienkiewicza 30, 26-600 Radom";"m. Radom";"Radom";"mazowieckie";"1002";"1086";"319";"683";"2";"4";"1";"1";"0";"0";"0";"0";"1";"684";"1";"0";"684";"10";"3";"7";"0";"674";"75";"307";"292"
"9da3-153f-38b4-77b3-a055-64f2-640c-c8ae";"146301";"50";"4";"miasto";"stały";"Publiczna Szkoła Podstawowa Nr 7 im. Kazimierza Pułaskiego, Radom, Śródmieście ul. Tybla 7/11, 26-600 Radom";"m. Radom";"Radom";"mazowieckie";"903";"977";"309";"594";"0";"0";"0";"0";"0";"0";"0";"0";"0";"594";"0";"0";"594";"3";"2";"1";"0";"591";"69";"271";"251"
"2825-ea12-cddf-8fa6-e617-c390-1909-e9ce";"146301";"50";"5";"miasto";"stały";"Publiczna Szkoła Podstawowa Nr 13 z Oddziałami Integracyjnymi im. Ks. Józefa Poniatowskiego, Radom, Śródmieście ul. Henryka Sienkiewicza 30, 26-600 Radom";"m. Radom";"Radom";"mazowieckie";"941";"1021";"353";"588";"0";"5";"0";"0";"0";"0";"0";"0";"0";"588";"0";"0";"588";"8";"2";"6";"0";"580";"67";"248";"265"
"db8c-53df-8a85-1d33-134d-b32e-d6fb-724e";"146301";"50";"6";"miasto";"stały";"RTBS ""Administrator"" Spółka z o. o., Radom, Śródmieście ul. Waryńskiego 16A, 26-600 Radom";"m. Radom";"Radom";"mazowieckie";"905";"979";"310";"595";"2";"7";"0";"0";"0";"0";"0";"0";"0";"595";"0";"0";"595";"9";"4";"5";"0";"586";"62";"251";"273"
"eda9-2109-e06b-ff2c-1dbe-8016-9e19-8407";"146301";"50";"7";"miasto";"stały";"Publiczna Szkoła Podstawowa Nr 7 im. Kazimierza Pułaskiego, Radom, Stare Miasto ul. Tybla 7/11, 26-600 Radom";"m. Radom";"Radom";"mazowieckie";"641";"684";"241";"400";"0";"4";"0";"0";"0";"0";"0";"0";"0";"400";"0";"0";"400";"6";"2";"4";"0";"394";"38";"174";"182"
"15ac-ca61-c77f-6ea6-f24e-d811-5a68-b207";"146301";"50";"8";"miasto";"stały";"I Liceum Ogólnokształcące im. Mikołaja Kopernika, Radom, Śródmieście ul. Żeromskiego 10, 26-600 Radom";"m. Radom";"Radom";"mazowieckie";"640";"681";"277";"363";"0";"6";"0";"0";"0";"0";"0";"0";"0";"363";"0";"0";"363";"5";"2";"3";"0";"358";"43";"166";"149"
"af20-975f-ae30-fdc1-4897-01a3-d7ba-2a4f";"146301";"50";"9";"miasto";"stały";"Zespół Szkół Technicznych im. Tadeusza Kościuszki, Radom, Stare Miasto ul. Staromiejska 11, 26-600 Radom";"m. Radom";"Radom";"mazowieckie";"571";"615";"210";"361";"0";"2";"0";"0";"0";"0";"0";"0";"0";"361";"0";"0";"361";"4";"0";"4";"0";"357";"28";"169";"160"
"db81-a6db-ca8c-9bad-201d-1bde-83ca-0de8";"146301";"50";"10";"miasto";"stały";"Publiczna Szkoła Podstawowa Nr 28 im. Adama Mickiewicza, Radom, Planty ul. Jaracza 8, 26-600 Radom";"m. Radom";"Radom";"mazowieckie";"1625";"1742";"598";"1025";"0";"11";"1";"1";"0";"0";"0";"0";"1";"1027";"1";"1";"1026";"22";"6";"16";"0";"1004";"109";"460";"435"
"aca1-cf23-7e77-8fe8-6f81-2df1-4938-ee28";"146301";"50";"11";"miasto";"stały";"Zespół Szkół Budowlanych im. Kazimierza Wielkiego, Radom, Planty ul. Kościuszki 7, 26-600 Radom";"m. Radom";"Radom";"mazowieckie";"690";"758";"204";"486";"0";"6";"0";"0";"0";"0";"0";"0";"0";"486";"0";"0";"486";"6";"3";"3";"0";"480";"62";"222";"196"
"d54e-b3a7-590b-3fcd-ef4d-0dcb-9b90-2d14";"146301";"50";"12";"miasto";"stały";"Uniwersytet Technologiczno-Humanistyczny im. Kazimierza Pułaskiego, Wydział Sztuki, Radom, Śródmieście ul. Malczewskiego 22, 26-600 Radom";"m. Radom";"Radom";"mazowieckie";"453";"497";"202";"251";"0";"0";"0";"0";"0";"0";"0";"0";"0";"251";"0";"0";"251";"5";"0";"5";"0";"246";"16";"116";"114"
"5c9f-d279-abf4-3fc5-186b-34e1-8ac2-c4b3";"146301";"50";"13";"miasto";"stały";"Publiczna Szkoła Podstawowa Nr 5 im. Marii Dąbrowskiej, Radom, Śródmieście ul. gen. Józefa Sowińskiego 1, 26-600 Radom";"m. Radom";"Radom";"mazowieckie";"1376";"1486";"437";"939";"2";"5";"1";"1";"0";"0";"0";"0";"1";"940";"1";"0";"940";"12";"3";"9";"0";"928";"110";"408";"410"
"d3e2-2f21-2ffc-616e-6da1-b717-a163-3c93";"146301";"50";"14";"miasto";"stały";"Publiczna Szkoła Podstawowa Nr 5 im. Marii Dąbrowskiej, Radom, Śródmieście ul gen. Józefa Sowińskiego 1, 26-600 Radom";"m. Radom";"Radom";"mazowieckie";"1800";"1963";"512";"1287";"0";"5";"0";"0";"0";"0";"0";"0";"0";"1287";"0";"0";"1287";"24";"12";"12";"0";"1263";"159";"612";"492"
"0db3-c866-76f8-a07c-46e4-4c07-2547-5eba";"146301";"50";"15";"miasto";"stały";"Przedszkole Publiczne Nr 2, Radom, Śródmieście ul. Jasińskiego 4, 26-600 Radom";"m. Radom";"Radom";"mazowieckie";"1012";"1073";"318";"694";"2";"2";"0";"0";"0";"0";"0";"0";"0";"694";"0";"0";"694";"7";"0";"7";"0";"687";"58";"312";"317"
"bf19-9590-3cfe-85e9-11a2-cc05-fa74-916f";"146301";"50";"16";"miasto";"stały";"Publiczna Szkoła Podstawowa Nr 34, Radom, Śródmieście ul. Miła 18, 26-600 Radom";"m. Radom";"Radom";"mazowieckie";"1554";"1691";"440";"1114";"4";"8";"0";"0";"0";"0";"0";"0";"0";"1114";"0";"0";"1114";"24";"7";"17";"0";"1090";"110";"509";"471"
"60ab-665b-d249-6a9a-f10d-d0bc-f148-02e7";"146301";"50";"17";"miasto";"stały";"II Liceum Ogólnokształcące im. Marii Konopnickiej, Radom, Śródmieście ul. Kusocińskiego 8, 26-600 Radom";"m. Radom";"Radom";"mazowieckie";"926";"995";"279";"647";"2";"0";"1";"1";"0";"0";"0";"0";"1";"648";"1";"0";"648";"8";"2";"6";"0";"640";"68";"296";"276"
"a588-9a94-dacc-c3a3-6ccc-897f-3831-b388";"146301";"50";"18";"miasto";"stały";"XI Liceum Ogólnokształcące z Oddziałami Integracyjnymi im. St. Staszica, Radom, Śródmieście ul. 11 Listopada 27, 26-600 Radom";"m. Radom";"Radom";"mazowieckie";"1590";"1709";"590";"1000";"1";"4";"0";"0";"0";"0";"0";"0";"0";"1000";"0";"0";"1000";"18";"4";"14";"0";"982";"106";"378";"498"
"f2f4-7abe-f862-d959-7457-da1a-d594-fa5d";"146301";"50";"19";"miasto";"stały";"Przedszkole Publiczne Nr 15, Radom, Śródmieście ul. Kusocińskiego 10a, 26-600 Radom";"m. Radom";"Radom";"mazowieckie";"1257";"1338";"474";"783";"3";"3";"0";"0";"0";"0";"0";"0";"0";"783";"0";"0";"783";"12";"2";"10";"0";"771";"82";"303";"386"
"b03b-537b-b715-d4f8-dc04-e632-31e7-c57d";"146301";"50";"20";"miasto";"stały";"VI Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Jana Kochanowskiego, Radom, Śródmieście ul. Kilińskiego 25, 26-600 Radom";"m. Radom";"Radom";"mazowieckie";"824";"887";"371";"453";"1";"4";"0";"0";"0";"0";"0";"0";"0";"453";"0";"0";"453";"5";"2";"3";"0";"448";"62";"179";"207"
"f6ce-da63-4dcc-e37b-768a-cf6b-4988-cd7a";"146301";"50";"21";"miasto";"stały";"VI Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Jana Kochanowskiego, Radom, Śródmieście ul. Kilińskiego 25, 26-600 Radom";"m. Radom";"Radom";"mazowieckie";"892";"965";"339";"553";"0";"2";"0";"0";"0";"0";"0";"0";"0";"553";"0";"0";"553";"12";"4";"8";"0";"541";"46";"253";"242"
"fb87-043c-9eeb-009b-b42b-9752-4014-1033";"146301";"50";"22";"miasto";"stały";"Przedszkole Publiczne Nr. 4 im. Juliana Tuwima, Radom, Śródmieście ul. Kilińskiego 20, 26-600 Radom";"m. Radom";"Radom";"mazowieckie";"711";"787";"271";"440";"1";"2";"0";"0";"0";"0";"0";"0";"0";"440";"0";"0";"440";"6";"1";"5";"0";"434";"48";"209";"177"
"2e25-b1f0-5795-58de-a698-ee82-43d5-5f0a";"146301";"50";"23";"miasto";"stały";"XIII Liceum Ogólnokształcące z Odziałami Dwujęzycznymi im. Polskich Noblistów, Radom, Śródmieście ul. 25 Czerwca 79, 26-600 Radom";"m. Radom";"Radom";"mazowieckie";"1486";"1583";"427";"1062";"1";"4";"0";"0";"0";"0";"0";"0";"0";"1059";"0";"0";"1059";"9";"3";"6";"0";"1050";"74";"413";"563"
"4f28-e7a4-605c-d223-a183-3455-4c48-022a";"146301";"50";"24";"miasto";"stały";"Publiczna Szkoła Podstawowa Nr 33 im. Kawalerów Orderu Uśmiechu, Radom, Śródmieście ul. Oskara Kolberga 5, 26-600 Radom";"m. Radom";"Radom";"mazowieckie";"1503";"1507";"369";"1134";"4";"8";"0";"0";"0";"0";"0";"0";"0";"1134";"0";"0";"1134";"17";"4";"13";"0";"1117";"123";"542";"452"
"798e-c1b0-832f-b5c0-b005-c309-8c88-01cb";"146301";"50";"25";"miasto";"stały";"Publiczna Szkoła Podstawowa Nr 33 im. Kawalerów Orderu Uśmiechu, Radom, Śródmieście ul. Kolberga 5, 26-600 Radom";"m. Radom";"Radom";"mazowieckie";"1500";"1627";"442";"1058";"2";"2";"0";"0";"0";"0";"0";"0";"0";"1058";"0";"0";"1058";"17";"1";"16";"0";"1041";"103";"477";"461"
"ff9a-10a3-9008-826a-97da-8532-2d66-0a7f";"146301";"50";"26";"miasto";"stały";"Młodzieżowy Dom Kultury im. Heleny Stadnickiej, Radom, Śródmieście ul. Słowackiego 17, 26-600 Radom";"m. Radom";"Radom";"mazowieckie";"1446";"1556";"493";"953";"2";"0";"0";"0";"0";"0";"0";"0";"0";"953";"0";"0";"953";"11";"3";"8";"0";"942";"76";"378";"488"
"c709-0ebf-6b00-3334-8157-9763-7594-10f3";"146301";"50";"27";"miasto";"stały";"Młodzieżowy Dom Kultury im. Heleny Stadnickiej, Radom, Śródmieście ul. Słowackiego 17, 26-600 Radom";"m. Radom";"Radom";"mazowieckie";"1220";"1320";"444";"776";"1";"6";"0";"0";"0";"0";"0";"0";"0";"776";"0";"0";"776";"10";"4";"6";"0";"766";"87";"374";"305"
"6f07-ebef-1d0a-331d-c74f-f77c-4301-f293";"146301";"50";"28";"miasto";"stały";"Publiczna Szkoła Podstawowa Nr 6 z Oddziałami Integracyjnymi im. Orła Białego, Radom, Gołębiów ul. Rapackiego 24, 26-600 Radom";"m. Radom";"Radom";"mazowieckie";"1825";"1962";"455";"1370";"0";"5";"0";"0";"0";"0";"0";"0";"0";"1369";"0";"0";"1369";"22";"2";"20";"0";"1347";"172";"641";"534"
"4241-aa7f-db45-7ba7-073e-78a3-aaf2-3561";"146301";"50";"29";"miasto";"stały";"Publiczna Szkoła Podstawowa Nr 24 im. Kornela Makuszyńskiego, Radom, Gołębiów ul. Powstańców Śląskich 4, 26-600 Radom";"m. Radom";"Radom";"mazowieckie";"1478";"1588";"372";"1106";"3";"2";"0";"0";"0";"0";"0";"0";"0";"1106";"0";"0";"1106";"10";"3";"7";"0";"1096";"91";"389";"616"
"78e0-e486-d9e0-fb63-e964-b25a-f134-926b";"146301";"50";"30";"miasto";"stały";"Przedszkole Publiczne Nr 1 im. Marii Konopnickiej, Radom, Śródmieście ul. płk. Zientarskiego 3, 26-600 Radom";"m. Radom";"Radom";"mazowieckie";"1753";"1906";"419";"1334";"2";"2";"1";"1";"0";"0";"0";"0";"1";"1335";"1";"0";"1335";"19";"6";"13";"0";"1316";"136";"609";"571"
"f150-161c-d836-9ad3-9d4a-2efe-b7de-0f0f";"146301";"50";"31";"miasto";"stały";"Przedszkole Publiczne Nr 24 z Odziałami Integracyjnymi im. Janusza Korczaka, Radom, Gołębiów ul. Powstańców Śląskich 9, 26-600 Radom";"m. Radom";"Radom";"mazowieckie";"1630";"1753";"447";"1183";"0";"0";"1";"1";"0";"0";"0";"0";"1";"1184";"1";"0";"1184";"22";"11";"11";"0";"1162";"109";"490";"563"
"2011-3b5e-2b91-8429-e239-3829-015c-7299";"146301";"50";"32";"miasto";"stały";"Zespół Szkół Elektronicznych im. Bohaterów Westerplatte, Radom, Gołębiów ul. Sadkowska 19, 26-600 Radom";"m. Radom";"Radom";"mazowieckie";"1171";"1271";"306";"865";"2";"7";"0";"0";"0";"0";"0";"0";"0";"865";"0";"0";"865";"13";"2";"11";"0";"852";"83";"330";"439"
"6ec8-0213-23ab-c28f-90a9-bf77-cd38-3595";"146301";"50";"33";"miasto";"stały";"Przedszkole Publiczne Nr 3 z Oddziałami Specjalnymi im. Janiny Porazińskiej, Radom, Gołębiów ul. Olsztyńska 12, 26-600 Radom";"m. Radom";"Radom";"mazowieckie";"1800";"1941";"508";"1292";"1";"5";"0";"0";"0";"0";"0";"0";"0";"1292";"0";"0";"1292";"27";"10";"17";"0";"1265";"116";"558";"591"
"76d8-8f60-f00e-0564-7f36-4338-c0c8-a5f5";"146301";"50";"34";"miasto";"stały";"Publiczna Szkoła Podstawowa Nr 27, Radom, Gołębiów ul. Sadkowska 16, 26-600 Radom";"m. Radom";"Radom";"mazowieckie";"1244";"1342";"415";"829";"4";"2";"0";"0";"0";"0";"0";"0";"0";"829";"0";"0";"829";"12";"1";"11";"0";"817";"82";"339";"396"
"4516-35ec-87fd-ce76-9792-0412-aaa4-d7d3";"146301";"50";"35";"miasto";"stały";"Wodociągi Miejskie w Radomiu Sp. z o. o., Radom, Śródmieście ul. Filtrowa 4, 26-600 Radom";"m. Radom";"Radom";"mazowieckie";"1145";"1227";"453";"692";"0";"5";"2";"2";"0";"0";"0";"0";"2";"694";"2";"0";"694";"14";"4";"10";"0";"680";"94";"265";"321"
"89d2-f6c0-4426-f444-a824-249d-c673-7af6";"146301";"50";"36";"miasto";"stały";"Przedszkole Publiczne Nr 3 z Oddziałami Specjalnymi im. Janiny Porazińskiej, Radom, Śródmieście ul. Olsztyńska 12, 26-600 Radom";"m. Radom";"Radom";"mazowieckie";"1767";"1928";"543";"1224";"3";"10";"0";"0";"0";"0";"0";"0";"0";"1224";"0";"0";"1224";"21";"11";"10";"0";"1203";"120";"519";"564"
"14a4-9318-95bf-b208-076a-58f1-2cbe-c5ff";"146301";"50";"37";"miasto";"stały";"Dom Pomocy Społecznej ""Nad Potokiem"" im. Bohdany ""Danuty"" Kijewskiej, Radom, Śródmieście ul. Struga 88, 26-600 Radom";"m. Radom";"Radom";"mazowieckie";"129";"155";"66";"63";"0";"0";"0";"0";"0";"0";"0";"0";"0";"63";"0";"0";"63";"3";"0";"3";"0";"60";"5";"9";"46"
"765d-2ac7-75d5-50f9-a308-a6a6-378e-cc04";"146301";"50";"38";"miasto";"stały";"Tarnobrzeska Specjalna Strefa Ekonomiczna, Radom, Gołębiów ul. Tarnobrzeska 8, 26-600 Radom";"m. Radom";"Radom";"mazowieckie";"1953";"2120";"548";"1405";"1";"6";"0";"0";"0";"0";"0";"0";"0";"1405";"0";"0";"1405";"13";"3";"10";"0";"1392";"162";"518";"712"
"ea8b-84a2-eec6-c0d0-ad87-9659-8750-60e0";"146301";"50";"39";"miasto";"stały";"Publiczna Szkoła Podstawowa Nr 19 im. Edmunda Bakalarza, Radom, Stara Wola Gołębiowska ul. Energetyków 10, 26-600 Radom";"m. Radom";"Radom";"mazowieckie";"1222";"1341";"387";"835";"0";"2";"0";"0";"0";"0";"0";"0";"0";"835";"0";"0";"835";"14";"3";"11";"0";"821";"66";"126";"629"
"6d1d-0325-4016-792e-bd7d-9e11-d71d-c3cc";"146301";"50";"40";"miasto";"stały";"Publiczna Szkoła Podstawowa Nr 1 z Oddziałami Integracyjnymi im. Ignacego Daszyńskiego w Radomiu, Radom, Glinice ul. Odrodzenia 37, 26-600 Radom";"m. Radom";"Radom";"mazowieckie";"1522";"1620";"410";"1112";"2";"8";"0";"0";"0";"0";"0";"0";"0";"1112";"0";"0";"1112";"12";"3";"9";"0";"1100";"130";"487";"483"
"9fb8-3051-51be-4c3f-555b-137b-5975-ad59";"146301";"50";"41";"miasto";"stały";"Publiczna Szkoła Podstawowa Nr 1 z Oddziałami Integracyjnymi im. Ignacego Daszyńskiego w Radomiu, Radom, Glinice ul. Odrodzenia 37, 26-600 Radom";"m. Radom";"Radom";"mazowieckie";"1265";"1375";"365";"900";"0";"6";"0";"0";"0";"0";"0";"0";"0";"900";"0";"0";"900";"14";"2";"12";"0";"886";"81";"365";"440"
"de30-31dd-3968-435b-c69f-bc25-39f7-75d7";"146301";"50";"42";"miasto";"stały";"Przedszkole Publiczne Nr 9 im. Ewy Szelburg-Zarembiny, Radom, Glinice ul. Kalińska 4, 26-600 Radom";"m. Radom";"Radom";"mazowieckie";"1326";"1427";"492";"834";"1";"2";"0";"0";"0";"0";"0";"0";"0";"834";"0";"0";"834";"14";"4";"10";"0";"820";"93";"306";"421"
"c29f-b942-bd88-384d-51e6-64c9-f243-cb16";"146301";"50";"43";"miasto";"stały";"Zespół Szkolno-Przedszkolny Nr 3, Radom, Glinice ul. Długojowska 6, 26-600 Radom";"m. Radom";"Radom";"mazowieckie";"1691";"1818";"463";"1228";"2";"5";"0";"0";"0";"0";"0";"0";"0";"1228";"0";"0";"1228";"22";"4";"18";"0";"1206";"139";"410";"657"
"652e-5afd-c20f-57c6-767d-f1e5-0eea-cade";"146301";"50";"44";"miasto";"stały";"Zespół Szkół Plastycznych im. Józefa Brandta, Radom, Ustronie ul. Grzecznarowskiego 13, 26-600 Radom";"m. Radom";"Radom";"mazowieckie";"1120";"1228";"407";"713";"0";"6";"0";"0";"0";"0";"0";"0";"0";"713";"0";"0";"713";"10";"3";"7";"0";"703";"74";"294";"335"
"44ce-2dce-765a-f60e-bfae-b891-1991-46a5";"146301";"50";"45";"miasto";"stały";"Publiczna Szkoła Podstawowa Nr 31 im. Kardynała Stefana Wyszyńskiego, Radom, Idalin ul. Biała 6, 26-600 Radom";"m. Radom";"Radom";"mazowieckie";"862";"936";"285";"577";"1";"1";"0";"0";"0";"0";"0";"0";"0";"577";"0";"0";"577";"5";"3";"2";"0";"572";"45";"271";"256"
"a9c1-7f62-006c-d850-2a3b-8b65-9943-b6c8";"146301";"50";"46";"miasto";"stały";"Publiczna Szkoła Podstawowa Nr 31 im. Kardynała Stefana Wyszyńskiego, Radom, Idalin ul. Biała 6, 26-600 Radom";"m. Radom";"Radom";"mazowieckie";"1717";"1843";"514";"1203";"4";"6";"1";"0";"0";"0";"0";"0";"0";"1203";"0";"0";"1203";"24";"5";"19";"0";"1179";"170";"426";"583"
"21f8-2caf-f83e-9133-a7eb-455d-7db0-8bae";"146301";"50";"47";"miasto";"stały";"Publiczna Szkoła Podstawowa Nr 20 im. Obrońców Pokoju, Radom, Malenice ul. Malenicka 29, 26-600 Radom";"m. Radom";"Radom";"mazowieckie";"1774";"1934";"553";"1221";"2";"5";"0";"0";"0";"0";"0";"0";"0";"1221";"0";"0";"1221";"21";"13";"8";"0";"1200";"157";"349";"694"
"9c68-187b-c871-cad7-3e46-8ff5-41e9-0b4a";"146301";"50";"48";"miasto";"stały";"Publiczna Szkoła Podstawowa Nr 4 z Oddziałami Integracyjnymi im. św. Kazimierza Jagiellończyka, Radom, Ustronie ul. Wyścigowa 49, 26-600 Radom";"m. Radom";"Radom";"mazowieckie";"2115";"2303";"542";"1573";"4";"13";"0";"0";"0";"0";"0";"0";"0";"1573";"0";"0";"1573";"30";"8";"22";"0";"1543";"182";"608";"753"
"0b7b-ae7b-974b-b5a1-148d-5bc2-f691-0fab";"146301";"50";"49";"miasto";"stały";"Dom Kultury ""Idalin"", Radom, Idalin ul. Bluszczowa 4/8, 26-600 Radom";"m. Radom";"Radom";"mazowieckie";"1899";"2029";"533";"1366";"1";"7";"0";"0";"0";"0";"0";"0";"0";"1366";"0";"0";"1366";"25";"6";"19";"0";"1341";"170";"422";"749"
"6a41-cad1-5c70-1b1e-7d33-68e3-1a11-22eb";"146301";"50";"50";"miasto";"stały";"Publiczna Szkoła Podstawowa Nr 4 z Oddziałami Integracyjnymi im. św. Kazimierza Jagiellończyka, Radom, Ustronie ul. Wyścigowa 49, 26-600 Radom";"m. Radom";"Radom";"mazowieckie";"1914";"2072";"518";"1396";"0";"2";"0";"0";"0";"0";"0";"0";"0";"1396";"0";"0";"1396";"7";"3";"4";"0";"1389";"150";"391";"848"
"a9a4-f9c4-23c7-e694-f8b0-f5f3-ba9e-d095";"146301";"50";"51";"miasto";"stały";"Specjalny Ośrodek Szkolno-Wychowawczy im. Janusza Korczaka, Radom, Ustronie al. Grzecznarowskiego 15, 26-600 Radom";"m. Radom";"Radom";"mazowieckie";"1290";"1377";"341";"949";"0";"9";"0";"0";"0";"0";"0";"0";"0";"949";"0";"0";"949";"13";"3";"10";"0";"936";"96";"438";"402"
"0f1d-5900-4202-a103-66ec-f437-c516-297c";"146301";"50";"52";"miasto";"stały";"Przedszkole Publiczne Nr 16, Radom, Ustronie ul. Grenadierów 3, 26-600 Radom";"m. Radom";"Radom";"mazowieckie";"835";"897";"260";"575";"0";"2";"0";"0";"0";"0";"0";"0";"0";"575";"0";"0";"575";"10";"0";"10";"0";"565";"71";"257";"237"
"f062-00fe-3c39-e3d7-f0a7-e992-955b-7005";"146301";"50";"53";"miasto";"stały";"Zespół Szkolno-Przedszkolny Nr 2, Radom, Ustronie ul. Jurija Gagarina 19, 26-600 Radom";"m. Radom";"Radom";"mazowieckie";"1465";"1546";"385";"1080";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1080";"0";"0";"1080";"16";"5";"11";"0";"1064";"124";"471";"469"
"d85f-0afa-538f-d3b0-794f-4359-b73f-d065";"146301";"50";"54";"miasto";"stały";"Publiczna Szkoła Podstawowa Nr 9 im. Henryka Sienkiewicza, Radom, Ustronie ul. Sandomierska 19, 26-600 Radom";"m. Radom";"Radom";"mazowieckie";"1076";"1201";"226";"850";"0";"3";"0";"0";"0";"0";"0";"0";"0";"850";"0";"0";"850";"14";"5";"9";"0";"836";"83";"389";"364"
"0195-e41a-f4d2-1d71-253f-46e2-029b-9dbf";"146301";"50";"55";"miasto";"stały";"Publiczna Szkoła Podstawowa Nr 9 im. Henryka Sienkiewicza, Radom, Ustronie ul. Sandomierska 19, 26-600 Radom";"m. Radom";"Radom";"mazowieckie";"1454";"1569";"398";"1056";"0";"3";"0";"0";"0";"0";"0";"0";"0";"1056";"0";"0";"1056";"18";"6";"12";"0";"1038";"101";"506";"431"
"c1c7-5583-fe3a-18a9-71a1-22ae-aa25-50a3";"146301";"50";"56";"miasto";"stały";"Przedszkole Publiczne Nr 10 im. Jana Brzechwy, Radom, Ustronie ul. Osiedlowa 26, 26-600 Radom";"m. Radom";"Radom";"mazowieckie";"1325";"1429";"332";"993";"0";"3";"0";"0";"0";"0";"0";"0";"0";"993";"0";"0";"993";"12";"2";"10";"0";"981";"94";"414";"473"
"c08e-007b-7420-5a0c-00c7-2687-282d-ef7d";"146301";"50";"57";"miasto";"stały";"XII Liceum Ogólnokształcące z oddziałami sportowymi, Radom, Ustronie ul. Osiedlowa 36, 26-600 Radom";"m. Radom";"Radom";"mazowieckie";"1156";"1237";"312";"844";"1";"3";"0";"0";"0";"0";"0";"0";"0";"844";"0";"0";"844";"12";"3";"9";"0";"832";"77";"361";"394"
