"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Sergiusz KMIECIK";"Barbara Grażyna ZDROJEWSKA"
"dbbf-126a-5833-51d9-7860-15c0-bb28-3a8d";"026401";"8";"253";"miasto";"stały";"Przedszkole nr 149 ""Tęczowa Polanka"", ul. Obornicka 21, 51-113 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1000";"1137";"173";"829";"1";"9";"0";"0";"0";"0";"0";"0";"0";"829";"0";"0";"829";"36";"11";"25";"0";"793";"332";"461"
"8a23-bc8f-b3f6-03e9-ffa6-25b9-2e17-b316";"026401";"8";"254";"miasto";"stały";"Szkoła Podstawowa nr 50, ul. Czeska 38, 51-112 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1297";"1446";"303";"994";"0";"20";"0";"0";"0";"0";"0";"0";"0";"994";"0";"0";"994";"35";"10";"25";"0";"959";"369";"590"
"9c99-cfee-3490-51f6-ed1d-340e-9ed1-0ffd";"026401";"8";"255";"miasto";"stały";"Szkoła Podstawowa nr 50, ul. Czeska 38, 51-112 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"900";"958";"224";"676";"0";"0";"0";"0";"0";"0";"0";"0";"0";"676";"0";"0";"676";"27";"8";"19";"0";"649";"216";"433"
"61d5-2776-f98f-c647-6cae-1199-1180-683d";"026401";"8";"256";"miasto";"stały";"Liceum Ogólnokształcące nr X, ul. Piesza 1, 51-109 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1998";"2660";"106";"1892";"2";"17";"1";"1";"0";"0";"0";"0";"1";"1892";"1";"0";"1892";"54";"21";"33";"0";"1838";"507";"1331"
"b355-f56d-d812-9103-597a-a587-ecde-a412";"026401";"8";"257";"miasto";"stały";"Liceum Ogólnokształcące nr X, ul. Piesza 1, 51-109 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1696";"2020";"256";"1440";"2";"31";"0";"0";"0";"0";"0";"0";"0";"1440";"0";"0";"1440";"41";"13";"28";"0";"1399";"461";"938"
"c296-c3d6-d791-6266-664f-ed4e-29b4-794f";"026401";"8";"258";"miasto";"stały";"Szkoła Podstawowa nr 50, ul. Czeska 40, 51-112 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"700";"816";"78";"622";"1";"17";"0";"0";"0";"0";"0";"0";"0";"622";"0";"0";"622";"22";"4";"18";"0";"600";"221";"379"
"a015-0050-9848-d266-2b31-0754-9c16-4004";"026401";"8";"259";"miasto";"stały";"Szkoła Podstawowa nr 50, ul. Czeska 40, 51-112 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1400";"1579";"230";"1170";"1";"9";"0";"0";"0";"0";"0";"0";"0";"1170";"0";"0";"1170";"36";"12";"24";"0";"1134";"285";"849"
"dbba-8d43-5ee7-575e-e64f-27bf-f8a4-3d2d";"026401";"8";"260";"miasto";"stały";"Szkoła Podstawowa nr 50, ul. Czeska 40, 51-112 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1599";"1824";"252";"1347";"1";"17";"0";"0";"0";"0";"0";"0";"0";"1347";"0";"0";"1347";"41";"12";"29";"0";"1306";"487";"819"
"9424-18a7-8ed2-b562-bcc5-a994-24f9-6760";"026401";"8";"261";"miasto";"stały";"Szkoła Podstawowa nr 8, ul. Kowalska 105, 51-424 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1001";"1150";"206";"795";"1";"17";"0";"0";"0";"0";"0";"0";"0";"795";"0";"0";"795";"28";"13";"15";"0";"767";"338";"429"
"3e4d-581c-3b4e-a776-b76d-a1a0-1ed0-c8bc";"026401";"8";"262";"miasto";"stały";"Liceum Ogólnokształcące nr XIV, al. Aleksandra Brücknera 10, 51-410 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"600";"725";"103";"497";"0";"0";"0";"0";"0";"0";"0";"0";"0";"497";"0";"0";"497";"7";"0";"7";"0";"490";"168";"322"
"3ca8-37fc-13e2-0767-9ba6-8ba0-67ae-cc47";"026401";"8";"263";"miasto";"stały";"Przedszkole nr 140 ""Pod Platanem"", ul. Nadbrzeżna 14, 51-349 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1300";"1477";"201";"1099";"0";"9";"0";"0";"0";"0";"0";"0";"0";"1099";"0";"0";"1099";"32";"9";"23";"0";"1067";"438";"629"
"16ff-4c3b-6407-0fdf-52a3-dc5e-75c7-693a";"026401";"8";"264";"miasto";"stały";"Zespół Szkolno-Przedszkolny nr 3, ul. Inflancka 13, 51-354 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1700";"1964";"190";"1510";"0";"9";"0";"0";"0";"0";"0";"0";"0";"1510";"0";"0";"1510";"45";"11";"34";"0";"1465";"483";"982"
"f211-bb3d-5df3-2613-247f-93ae-4f69-141c";"026401";"8";"265";"miasto";"stały";"Zespół Szkolno-Przedszkolny nr 3, ul. Inflancka 13, 51-354 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1598";"1798";"320";"1278";"1";"11";"0";"0";"0";"0";"0";"0";"0";"1278";"0";"0";"1278";"47";"16";"31";"0";"1231";"414";"817"
"48b9-9f8b-ff7d-22a9-0b58-1b96-da96-3a16";"026401";"8";"266";"miasto";"stały";"Zespół Szkolno-Przedszkolny nr 3, ul. Inflancka 13, 51-354 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1499";"1689";"284";"1215";"0";"17";"0";"0";"0";"0";"0";"0";"0";"1215";"0";"0";"1215";"36";"11";"25";"0";"1179";"432";"747"
"ba9c-902a-69cc-9b8f-0ba0-c498-65d7-7ad5";"026401";"8";"267";"miasto";"stały";"Zespół Szkolno-Przedszkolny nr 3, ul. Inflancka 13, 51-354 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1700";"1978";"273";"1427";"0";"24";"0";"0";"0";"0";"0";"0";"0";"1427";"0";"0";"1427";"49";"15";"34";"0";"1378";"504";"874"
