"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Sergiusz KMIECIK";"Barbara Grażyna ZDROJEWSKA"
"d8be-4316-159c-dad2-69c7-4d8f-8269-98bc";"026401";"8";"34";"miasto";"stały";"Liceum Ogólnokształcące nr III, ul. Składowa 5, 50-209 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1099";"1274";"392";"707";"2";"8";"0";"0";"0";"0";"0";"0";"0";"707";"0";"0";"707";"18";"11";"7";"0";"689";"284";"405"
"7cd3-fc60-4640-e407-0d48-dd9e-5ca1-364a";"026401";"8";"35";"miasto";"stały";"Liceum Ogólnokształcące nr III, ul. Składowa 5, 50-209 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1400";"1535";"605";"795";"0";"6";"1";"1";"0";"0";"0";"0";"1";"796";"1";"0";"796";"34";"13";"21";"0";"762";"291";"471"
"bd34-ef4f-b6cf-9bd8-a168-a045-e1fe-59d5";"026401";"8";"36";"miasto";"stały";"Rada Osiedla Nadodrze, ul. Ludwika Rydygiera 43, 50-248 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1600";"1779";"594";"1006";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1006";"0";"18";"988";"33";"18";"15";"0";"955";"383";"572"
"1543-c135-bf30-2a31-c7cd-3665-3f2b-da8f";"026401";"8";"37";"miasto";"stały";"Szkoła Podstawowa nr 93, ul. Juliana Ursyna Niemcewicza 29 - 31, 50-238 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1497";"1675";"508";"989";"1";"32";"1";"1";"0";"0";"0";"0";"1";"990";"1";"0";"990";"42";"10";"32";"0";"948";"357";"591"
"8ed8-fd26-4521-cad3-84ea-6338-6c42-5ff0";"026401";"8";"38";"miasto";"stały";"Szkoła Podstawowa nr 108, ul. Bolesława Chrobrego 3, 50-254 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1600";"1845";"480";"1120";"3";"34";"2";"2";"0";"0";"0";"0";"2";"1122";"2";"0";"1122";"46";"17";"29";"0";"1076";"417";"659"
"cba6-d903-35f4-6464-cb74-92aa-7ca5-5bad";"026401";"8";"39";"miasto";"stały";"Szkoła Podstawowa nr 108, ul. Bolesława Chrobrego 3, 50-254 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1000";"1175";"290";"710";"2";"11";"0";"0";"0";"0";"0";"0";"0";"707";"0";"0";"707";"22";"6";"16";"0";"685";"283";"402"
"7212-7c1e-4937-7d47-0788-b897-f16e-c9fb";"026401";"8";"40";"miasto";"stały";"Zespół Szkolno-Przedszkolny nr 8, ul. Składowa 2 - 4, 50-209 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1600";"1833";"584";"1016";"2";"33";"0";"0";"0";"0";"0";"0";"0";"1016";"0";"0";"1016";"39";"8";"31";"0";"977";"390";"587"
"60b4-0108-0d3e-a246-4c20-8bfa-2f47-19af";"026401";"8";"41";"miasto";"stały";"Zespół Szkolno-Przedszkolny nr 8, ul. Składowa 2 - 4, 50-209 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1200";"1454";"320";"880";"0";"12";"0";"0";"0";"0";"0";"0";"0";"880";"0";"0";"880";"47";"14";"33";"0";"833";"312";"521"
"cbd6-0439-0560-ceca-21c8-fec8-e392-dd76";"026401";"8";"42";"miasto";"stały";"Zespół Szkolno-Przedszkolny nr 8, ul. Składowa 2 - 4, 50-209 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1899";"2359";"339";"1560";"1";"38";"1";"0";"0";"0";"0";"0";"0";"1560";"0";"0";"1560";"47";"11";"36";"0";"1513";"436";"1077"
"1a79-0c5e-a612-42cf-9f42-0787-1579-94b6";"026401";"8";"43";"miasto";"stały";"Szkoła Podstawowa nr 93, ul. Juliana Ursyna Niemcewicza 29 - 31, 50-238 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1900";"2196";"579";"1321";"0";"18";"0";"0";"0";"0";"0";"0";"0";"1321";"0";"0";"1321";"33";"17";"16";"0";"1288";"463";"825"
"e8dd-ed4c-5b5e-24fc-b835-cbb7-35c5-a09c";"026401";"8";"44";"miasto";"stały";"Klub ""Iskierka"", ul. Juliana Ursyna Niemcewicza 27, 50-238 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1599";"1877";"467";"1132";"1";"30";"0";"0";"0";"0";"0";"0";"0";"1132";"0";"0";"1132";"52";"18";"34";"0";"1080";"381";"699"
"b1e9-0f42-3c5d-c830-da17-552a-44b7-1da7";"026401";"8";"45";"miasto";"stały";"Publiczna Szkoła Podstawowa Leonardo, ul. Franklina Delano Roosevelta 15, 50-236 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1401";"1647";"418";"983";"0";"14";"0";"0";"0";"0";"0";"0";"0";"983";"0";"0";"983";"37";"10";"27";"0";"946";"374";"572"
"954e-920b-e256-117f-4e35-f2ec-21b2-156c";"026401";"8";"46";"miasto";"stały";"Szkoła Podstawowa nr 74, ul. Kleczkowska 2, 50-227 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"2349";"2905";"214";"2135";"1";"40";"0";"0";"0";"0";"0";"0";"0";"2135";"0";"0";"2135";"84";"29";"55";"0";"2051";"531";"1520"
"3632-7569-e466-4e77-ad89-75a0-0c85-d905";"026401";"8";"47";"miasto";"stały";"Szkoła Podstawowa nr 74, ul. Kleczkowska 2, 50-227 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1200";"1380";"392";"808";"0";"8";"0";"0";"0";"0";"0";"0";"0";"808";"0";"0";"808";"36";"9";"27";"0";"772";"307";"465"
"6081-e625-592e-2854-54e5-ff5d-045d-1fe6";"026401";"8";"48";"miasto";"stały";"Szkoła Podstawowa nr 74, ul. Kleczkowska 2, 50-227 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1401";"1688";"392";"1009";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1009";"0";"0";"1009";"29";"11";"18";"0";"980";"342";"638"
"3d91-1fd4-d3b6-68e8-4352-ea7e-e904-45f5";"026401";"8";"49";"miasto";"stały";"Zespół Szkolno-Przedszkolny nr 11, ul. Strachocińska 155 - 157, 51-518 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1197";"1307";"243";"954";"0";"14";"0";"0";"0";"0";"0";"0";"0";"954";"0";"0";"954";"19";"2";"17";"0";"935";"350";"585"
"ca89-c136-42ba-413b-fc6a-326b-45bf-6be9";"026401";"8";"50";"miasto";"stały";"Zespół Szkolno-Przedszkolny nr 11, ul. Strachocińska 155 - 157, 51-518 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1500";"1497";"292";"1208";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1207";"0";"0";"1207";"25";"15";"10";"0";"1182";"323";"859"
"7a1d-4683-3487-b865-672a-7f34-750b-6fa0";"026401";"8";"51";"miasto";"stały";"Rada Osiedla Strachocin-Swojczyce-Wojnów, ul. Swojczycka 118, 51-502 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"2305";"2839";"1";"2304";"0";"49";"0";"0";"0";"0";"0";"0";"0";"2298";"0";"3";"2295";"56";"22";"34";"0";"2239";"607";"1632"
"c7b1-2a26-9b43-5539-c2f2-bd81-3177-481a";"026401";"8";"52";"miasto";"stały";"Rada Osiedla Ołbin, ul. Na Szańcach 14, 50-320 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"999";"1032";"233";"766";"2";"33";"0";"0";"0";"0";"0";"0";"0";"766";"0";"0";"766";"19";"5";"14";"0";"747";"254";"493"
"2c30-0ce0-3b52-97f8-741e-a32e-5214-e516";"026401";"8";"53";"miasto";"stały";"Liceum Ogólnokształcące nr I, ul. Księcia Józefa Poniatowskiego 9, 50-326 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1595";"1843";"508";"1087";"1";"24";"1";"1";"0";"0";"0";"0";"1";"1088";"1";"0";"1088";"36";"22";"14";"0";"1052";"440";"612"
"8b68-3c42-dfcb-0142-59da-903f-c92d-5dae";"026401";"8";"54";"miasto";"stały";"Centrum Kreatywności TALENT (Poradnia Psychologiczno-Pedagogiczna nr 2), ul. Jedności Narodowej 117, 50-301 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1701";"1911";"476";"1225";"2";"21";"0";"0";"0";"0";"0";"0";"0";"1225";"0";"0";"1225";"39";"13";"26";"0";"1186";"417";"769"
"68b6-6d06-8822-c317-704c-1979-399d-e1fe";"026401";"8";"55";"miasto";"stały";"Centrum Kreatywności TALENT (Poradnia Psychologiczno-Pedagogiczna nr 2), ul. Jedności Narodowej 117, 50-301 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1501";"1714";"408";"1093";"1";"9";"0";"0";"0";"0";"0";"0";"0";"1093";"0";"0";"1093";"37";"9";"28";"0";"1056";"331";"725"
"89b3-8cbb-7e99-3adb-2ddb-f6fb-cf20-cbfd";"026401";"8";"56";"miasto";"stały";"Centrum Kreatywności TALENT (Poradnia Psychologiczno-Pedagogiczna nr 2), ul. Jedności Narodowej 117, 50-301 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1498";"1859";"335";"1163";"2";"26";"0";"0";"0";"0";"0";"0";"0";"1163";"0";"0";"1163";"53";"17";"36";"0";"1110";"349";"761"
"2153-fc09-d09a-ed2f-0d30-60b4-4264-1620";"026401";"8";"57";"miasto";"stały";"Szkoła Podstawowa nr 78, ul. Jedności Narodowej 195, 50-303 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1499";"1765";"264";"1235";"0";"25";"0";"0";"0";"0";"0";"0";"0";"1235";"0";"0";"1235";"44";"22";"22";"0";"1191";"384";"807"
"eeb6-3d72-f650-ecc8-340a-f3f9-3a8e-12b1";"026401";"8";"58";"miasto";"stały";"Szkoła Podstawowa nr 78, ul. Jednosci Narodowej 195, 50-303 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1500";"1725";"364";"1136";"0";"14";"0";"0";"0";"0";"0";"0";"0";"1136";"0";"0";"1136";"51";"17";"34";"0";"1085";"397";"688"
"5c89-8446-a34a-8918-a877-dd51-41e5-5175";"026401";"8";"59";"miasto";"stały";"Szkoła Podstawowa nr 78, ul. Jednosci Narodowej 195, 50-303 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1700";"1853";"221";"1479";"1";"35";"2";"2";"0";"0";"0";"0";"2";"1481";"2";"0";"1481";"55";"21";"34";"0";"1426";"356";"1070"
"a44d-01e3-d7b0-9c72-1555-acdb-f0d6-0378";"026401";"8";"60";"miasto";"stały";"Szkoła Podstawowa nr 1, ul. Nowowiejska 78, 50-315 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1599";"1818";"413";"1186";"1";"35";"0";"0";"0";"0";"0";"0";"0";"1186";"0";"0";"1186";"45";"5";"40";"0";"1141";"381";"760"
"d3f3-f3d4-93dc-c3cb-7cc4-1249-a45f-75fb";"026401";"8";"61";"miasto";"stały";"Przedszkole nr 55, ul. Nowowiejska 36, 50-315 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1199";"1433";"310";"889";"2";"20";"0";"0";"0";"0";"0";"0";"0";"889";"0";"0";"889";"27";"5";"22";"0";"862";"312";"550"
"f21a-c71e-d168-68ba-0b15-651d-2ac4-c764";"026401";"8";"62";"miasto";"stały";"Szkoła Podstawowa nr 1, ul. Nowowiejska 78, 50-315 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"800";"912";"207";"593";"0";"26";"0";"0";"0";"0";"0";"0";"0";"593";"0";"0";"593";"26";"7";"19";"0";"567";"210";"357"
"4046-3604-1e53-2f83-bce6-f0e9-c4b2-6e06";"026401";"8";"63";"miasto";"stały";"Szkoła Podstawowa nr 1, ul. Nowowiejska 78, 50-315 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1499";"1722";"417";"1082";"3";"11";"1";"1";"0";"0";"0";"0";"1";"1083";"1";"0";"1083";"38";"9";"29";"0";"1045";"391";"654"
"93cd-045f-a1b2-0d71-0043-8ee0-5535-c238";"026401";"8";"64";"miasto";"stały";"Szkoła Podstawowa nr 107, ul. Bolesława Prusa 64, 50-318 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1700";"2007";"370";"1330";"1";"35";"1";"1";"0";"0";"0";"0";"1";"1330";"1";"0";"1330";"64";"23";"41";"0";"1266";"447";"819"
"e667-aed9-e45e-203b-99a5-8b84-739f-f202";"026401";"8";"65";"miasto";"stały";"Szkoła Podstawowa nr 107, ul. Bolesława Prusa 64, 50-318 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1600";"1844";"465";"1135";"1";"21";"0";"0";"0";"0";"0";"0";"0";"1135";"0";"0";"1135";"33";"11";"22";"0";"1102";"424";"678"
"88d7-8241-bd0f-8173-84b5-b4de-84be-e015";"026401";"8";"66";"miasto";"stały";"Szkoła Podstawowa nr 84, ul. Łukasza Górnickiego 20, 50-337 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1500";"1806";"279";"1221";"5";"49";"1";"1";"0";"0";"0";"0";"1";"1222";"1";"0";"1222";"50";"24";"26";"0";"1172";"424";"748"
"6654-844a-59e8-4f84-5f05-711c-a6b6-866a";"026401";"8";"67";"miasto";"stały";"Przedszkole nr 109 z oddziałami integracyjnymi, ul. Nowowiejska 80A, 50-315 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1500";"1877";"184";"1316";"2";"32";"0";"0";"0";"0";"0";"0";"0";"1315";"0";"0";"1315";"42";"23";"19";"0";"1273";"375";"898"
"765a-c87c-12f0-a517-58d5-892c-80a6-7ba8";"026401";"8";"68";"miasto";"stały";"Politechnika Wrocławska Budynek F - 13, ul. Czerwonego Krzyża 2, 50-345 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1397";"1699";"178";"1219";"1";"36";"0";"0";"0";"0";"0";"0";"0";"1219";"0";"0";"1219";"38";"13";"25";"0";"1181";"389";"792"
"8639-b4c6-b279-2332-c080-1f12-dbb5-a025";"026401";"8";"166";"miasto";"stały";"Sportowa Szkoła Podstawowa nr 46, ul. Ścinawska 21, 53-628 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1495";"1758";"308";"1187";"1";"10";"0";"0";"0";"0";"0";"0";"0";"1187";"0";"0";"1187";"37";"13";"24";"0";"1150";"370";"780"
"d967-98b9-6df8-8b3b-ac32-f897-7732-a030";"026401";"8";"167";"miasto";"stały";"Sportowa Szkoła Podstawowa nr 46, ul. Ścinawska 21, 53-628 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"900";"1133";"150";"750";"1";"16";"1";"1";"0";"0";"0";"0";"1";"751";"1";"0";"751";"17";"2";"15";"0";"734";"277";"457"
"62f1-9b3d-2ca9-f326-e4a4-8365-f52e-507b";"026401";"8";"168";"miasto";"stały";"Sportowa Szkoła Podstawowa nr 46, ul. Ścinawska 21, 53-628 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1100";"1325";"177";"923";"2";"14";"0";"0";"0";"0";"0";"0";"0";"923";"0";"0";"923";"34";"10";"24";"0";"889";"278";"611"
"bbd4-f36a-4f74-8402-967c-a053-ea35-c59b";"026401";"8";"169";"miasto";"stały";"Wrocławski Zakład Aktywności Zawodowej, ul. Litomska 10, 53-641 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1200";"1335";"208";"992";"0";"0";"0";"0";"0";"0";"0";"0";"0";"992";"0";"0";"992";"29";"7";"22";"0";"963";"346";"617"
"8adb-b053-d90b-63df-8a34-1bb3-b1c1-de71";"026401";"8";"170";"miasto";"stały";"Wrocławski Zakład Aktywności Zawodowej, ul. Litomska 10, 53-641 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1300";"1392";"241";"1059";"3";"16";"0";"0";"0";"0";"0";"0";"0";"1059";"0";"0";"1059";"33";"8";"25";"0";"1026";"348";"678"
"3ff4-8a0f-be7c-efe1-4a2d-67ac-5288-2db7";"026401";"8";"171";"miasto";"stały";"Zespół Szkolno-Przedszkolny nr 18, ul. Poznańska 26, 53-630 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"900";"1055";"149";"751";"1";"15";"1";"1";"0";"0";"0";"0";"1";"752";"1";"1";"751";"24";"8";"16";"0";"727";"275";"452"
"a015-2a4a-4625-1876-1ee4-5d64-6f74-4c7b";"026401";"8";"172";"miasto";"stały";"Elektroniczne Zakłady Naukowe, ul. Braniborska 57, 53-680 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1800";"2112";"415";"1385";"0";"39";"0";"0";"0";"0";"0";"0";"0";"1385";"0";"0";"1385";"48";"13";"35";"0";"1337";"481";"856"
"075b-6194-c767-0f8e-fb72-b743-2519-a72c";"026401";"8";"173";"miasto";"stały";"Zespół Szkolno-Przedszkolny nr 18, ul. Poznańska 26, 53-630 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1000";"1117";"172";"828";"2";"18";"0";"0";"0";"0";"0";"0";"0";"828";"0";"0";"828";"31";"11";"20";"0";"797";"296";"501"
"4ff4-d4cd-4e1d-4748-f250-2254-d6e4-351c";"026401";"8";"174";"miasto";"stały";"Szkoła Podstawowa nr 14, ul. Zachodnia 2, 53-644 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1198";"1406";"155";"1043";"1";"43";"0";"0";"0";"0";"0";"0";"0";"1043";"0";"0";"1043";"39";"13";"26";"0";"1004";"352";"652"
"75d5-0e0c-7ad5-e18f-d3b5-f364-ab6f-859c";"026401";"8";"175";"miasto";"stały";"Szkoła Podstawowa nr 14, ul. Zachodnia 2, 53-644 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1000";"1199";"175";"825";"0";"17";"0";"0";"0";"0";"0";"0";"0";"825";"0";"0";"825";"23";"10";"13";"0";"802";"254";"548"
"2ef6-ae26-0ce4-059a-f14d-82fd-0266-0a4e";"026401";"8";"176";"miasto";"stały";"Zespół Szkolno-Przedszkolny nr 18, ul. Poznańska 26, 53-630 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1100";"1357";"174";"926";"1";"11";"0";"0";"0";"0";"0";"0";"0";"926";"0";"0";"926";"24";"8";"16";"0";"902";"319";"583"
"8705-a336-4edb-b904-4230-29f7-8b7f-9fa5";"026401";"8";"177";"miasto";"stały";"Elektroniczne Zakłady Naukowe, ul. Braniborska 57, 53-680 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"999";"1270";"221";"778";"1";"25";"0";"0";"0";"0";"0";"0";"0";"778";"0";"0";"778";"35";"8";"27";"0";"743";"261";"482"
"3c8a-0db5-9d53-2629-6f1d-61dd-2603-da8f";"026401";"8";"178";"miasto";"stały";"Elektroniczne Zakłady Naukowe, ul. Braniborska 57, 53-680 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1300";"1517";"414";"886";"1";"14";"1";"1";"0";"0";"0";"0";"1";"886";"1";"0";"886";"39";"13";"26";"0";"847";"292";"555"
"a9a7-bceb-e928-c859-139f-5003-b1b9-4f49";"026401";"8";"179";"miasto";"stały";"Zespół Szkół nr 20, ul. Klodnicka 36, 54-218 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1697";"1668";"404";"1293";"0";"15";"0";"0";"0";"0";"0";"0";"0";"1293";"0";"0";"1293";"53";"14";"39";"0";"1240";"446";"794"
"e25f-22e3-be6e-0ca0-4391-6a9d-2000-fbd9";"026401";"8";"180";"miasto";"stały";"Zespół Szkół nr 20, ul. Kłodnicka 36, 54-218 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1499";"1797";"92";"1407";"3";"31";"0";"0";"0";"0";"0";"0";"0";"1407";"0";"1";"1406";"47";"20";"27";"0";"1359";"473";"886"
"d211-b734-06c9-805a-f2b2-9eda-820f-9792";"026401";"8";"181";"miasto";"stały";"Zespół Szkół nr 20, ul. Kłodnicka 36, 54-218 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1800";"2003";"267";"1531";"1";"18";"0";"0";"0";"0";"0";"0";"0";"1531";"0";"0";"1531";"43";"17";"26";"0";"1488";"510";"978"
"87ee-37e7-79e8-70ea-794f-9f50-20aa-cbb7";"026401";"8";"182";"miasto";"stały";"Szkoła Podstawowa nr 118, bulw. Ikara 19, 54-130 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1700";"1892";"286";"1414";"3";"12";"0";"0";"0";"0";"0";"0";"0";"1413";"0";"0";"1413";"52";"24";"28";"0";"1361";"423";"938"
"c78e-9c4e-36e3-8906-f464-0fc4-5e34-6840";"026401";"8";"183";"miasto";"stały";"Szkoła Podstawowa nr 118, bulw. Ikara 19, 54-130 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1897";"2096";"284";"1613";"2";"23";"0";"0";"0";"0";"0";"0";"0";"1609";"0";"0";"1609";"71";"29";"42";"0";"1538";"469";"1069"
"2fe7-82dd-7b34-8d49-0d9c-e865-a900-07f7";"026401";"8";"184";"miasto";"stały";"Szkoła Podstawowa nr 118, bulw. Ikara 19, 54-130 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1897";"2205";"186";"1711";"0";"23";"0";"0";"0";"0";"0";"0";"0";"1711";"0";"0";"1711";"49";"21";"28";"0";"1662";"468";"1194"
"9b6e-56cc-2b5f-bc25-4771-89d1-d231-2000";"026401";"8";"185";"miasto";"stały";"Szkoła Podstawowa nr 118, bulw. Ikara 19, 54-130 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"2398";"2591";"334";"2066";"0";"35";"1";"1";"0";"0";"0";"0";"1";"2066";"1";"0";"2066";"58";"16";"42";"0";"2008";"593";"1415"
"6117-8c09-1bcd-6ecf-a729-7456-7868-9194";"026401";"8";"186";"miasto";"stały";"Szkoła Podstawowa nr 118, bulw. Ikara 19, 54-130 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1498";"1728";"177";"1321";"0";"19";"1";"1";"0";"0";"0";"0";"1";"1322";"1";"0";"1322";"23";"6";"17";"0";"1299";"465";"834"
"5d41-ced8-bb8f-bfc6-9f74-858b-3fcc-7eb0";"026401";"8";"187";"miasto";"stały";"Zespół Szkolno-Przedszkolny nr 2, ul. Eugeniusza Horbaczewskiego 61, 54-130 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1600";"1743";"329";"1271";"4";"8";"0";"0";"0";"0";"0";"0";"0";"1271";"0";"0";"1271";"29";"13";"16";"0";"1242";"497";"745"
"931a-0650-8284-f079-d1e3-645c-0fef-c5fa";"026401";"8";"188";"miasto";"stały";"Zespół Szkolno-Przedszkolny nr 2, ul. Eugeniusza Horbaczewskiego 61, 54-130 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1500";"1635";"281";"1219";"0";"11";"0";"0";"0";"0";"0";"0";"0";"1219";"0";"0";"1219";"34";"9";"25";"0";"1185";"445";"740"
"8b9d-a703-2efe-10c5-f94c-15d6-6f62-f0d6";"026401";"8";"189";"miasto";"stały";"Zespół Szkolno-Przedszkolny nr 2, ul. Eugeniusza Horbaczewskiego 61, 54-130 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1599";"1822";"238";"1361";"1";"6";"0";"0";"0";"0";"0";"0";"0";"1361";"0";"0";"1361";"30";"11";"19";"0";"1331";"470";"861"
"8973-b797-875e-9b7c-306c-c6f1-92b1-0eb8";"026401";"8";"190";"miasto";"stały";"Zespół Szkolno-Przedszkolny nr 7, ul. Koszykarska 2 - 4, 54-134 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1499";"1576";"369";"1130";"1";"14";"0";"0";"0";"0";"0";"0";"0";"1130";"0";"0";"1130";"27";"11";"16";"0";"1103";"408";"695"
"9ee9-c7bd-500f-b3af-dc0f-90d5-1d5e-7298";"026401";"8";"191";"miasto";"stały";"Liceum Ogólnokształcące nr VI, ul. Hutnicza 45, 54-139 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1199";"1355";"244";"956";"0";"10";"0";"0";"0";"0";"0";"0";"0";"955";"0";"0";"955";"23";"5";"18";"0";"932";"347";"585"
"2cc4-8333-9253-1960-fb24-9b29-16a9-4e43";"026401";"8";"192";"miasto";"stały";"Liceum Ogólnokształcące nr VI, ul. Hutnicza 45, 54-139 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"2098";"2463";"412";"1686";"0";"23";"1";"1";"0";"0";"0";"0";"1";"1686";"1";"0";"1686";"60";"23";"37";"0";"1626";"574";"1052"
"5c5d-4167-8323-2b45-df3a-c702-727c-ab57";"026401";"8";"193";"miasto";"stały";"Wrocławski Klub ""Anima"", ul. Pilczycka 47, 54-150 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1798";"2003";"272";"1526";"0";"18";"1";"1";"0";"0";"0";"0";"1";"1527";"1";"0";"1527";"51";"14";"37";"0";"1476";"511";"965"
"9071-9529-f60e-3b77-5c2b-3658-aec6-6cd4";"026401";"8";"194";"miasto";"stały";"Przedszkole nr 150 ""Wesołe Nutki"", ul. Piotra Ignuta 30, 54-151 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1898";"2096";"403";"1495";"1";"13";"0";"0";"0";"0";"0";"0";"0";"1494";"0";"0";"1494";"37";"11";"26";"0";"1457";"476";"981"
"0bed-76a7-ef52-2458-e38f-4c4d-842e-db7b";"026401";"8";"195";"miasto";"stały";"Zespół Szkół nr 21, ul. Piotra Ignuta 28, 54-151 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1699";"1918";"343";"1356";"1";"15";"0";"0";"0";"0";"0";"0";"0";"1355";"0";"0";"1355";"38";"11";"27";"0";"1317";"514";"803"
"945d-65ac-1567-0010-b0bd-07d8-f7bd-92b5";"026401";"8";"196";"miasto";"stały";"Zespół Szkół nr 21, ul. Piotra Ignuta 28, 54-151 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1500";"1490";"388";"1112";"1";"14";"0";"0";"0";"0";"0";"0";"0";"1112";"0";"0";"1112";"30";"5";"25";"0";"1082";"427";"655"
