"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów z różnych list";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok nazwiska kandydata na liście, której rejestracja została unieważniona";"Liczba głosów ważnych oddanych łącznie na wszystkie listy kandydatów";"Lista nr 1 - KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE - ZPOW-601-19/19";"Andrzej Marian GRZYB - nr na liście 1";"Piotr WALKOWSKI - nr na liście 2";"Bartosz Marek KOBUS - nr na liście 3";"Agnieszka Magdalena GÓRALCZYK - nr na liście 4";"Franciszek MARSZAŁEK - nr na liście 5";"Wiesława MAŁYCHA - nr na liście 6";"Jan GRZESIEK - nr na liście 7";"Grzegorz Piotr MARTYN - nr na liście 8";"Małgorzata BANAŚ - nr na liście 9";"Piotr PIERZCHLEWICZ - nr na liście 10";"Jacek KONOPKA - nr na liście 11";"Janusz Aleksander PERSKI - nr na liście 12";"Beata KUCHARSKA - nr na liście 13";"Karolina Justyna PIEKARSKA-NOWAK - nr na liście 14";"Agnieszka RYBACKA - nr na liście 15";"Alojzy Ignacy MOTYLEWSKI - nr na liście 16";"Małgorzata KRAKOWIAK - nr na liście 17";"Kinga KOŻAŃSKA - nr na liście 18";"Bożena Mariola WYSOTA - nr na liście 19";"Dorota Katarzyna KINAL - nr na liście 20";"Maciej Paweł WASIELEWSKI - nr na liście 21";"Joanna Jolanta KOBUS-MARCZAK - nr na liście 22";"Andrzej KUBIAK - nr na liście 23";"Krzysztof Andrzej GRABOWSKI - nr na liście 24";"Lista nr 2 - KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ - ZPOW-601-9/19";"Jan Michał DZIEDZICZAK - nr na liście 1";"Tomasz ŁAWNICZAK - nr na liście 2";"Jan MOSIŃSKI - nr na liście 3";"Marlena Magdalena MALĄG - nr na liście 4";"Piotr Marek KALETA - nr na liście 5";"Lidia CZECHAK - nr na liście 6";"Leszek Józef BIERŁA - nr na liście 7";"Marek Jan SOWA - nr na liście 8";"Romuald Michał MICHNIEWICZ - nr na liście 9";"Katarzyna SÓJKA - nr na liście 10";"Agnieszka Beata KUBIAK - nr na liście 11";"Jerzy KOZŁOWSKI - nr na liście 12";"Piotr Józef JANUSZKIEWICZ - nr na liście 13";"Krzysztof Józef DZIEDZIC - nr na liście 14";"Czesław Jan SZYMONIAK - nr na liście 15";"Alicja Maria ŚNIEGOCKA - nr na liście 16";"Sławomira Maria KALAK - nr na liście 17";"Dorota SŁOWIŃSKA - nr na liście 18";"Maciej Antoni JAGODZIŃSKI - nr na liście 19";"Teresa Małgorzata ANDRZEJEWSKA - nr na liście 20";"Joanna NAWROT - nr na liście 21";"Jan Franciszek SZCZERBAŃ - nr na liście 22";"Marek BĄKOWSKI - nr na liście 23";"Andrzej PLICHTA - nr na liście 24";"Lista nr 3 - KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ - ZPOW-601-1/19";"Wiesław Andrzej SZCZEPAŃSKI - nr na liście 1";"Marek Miłosz MAZUR - nr na liście 2";"Karolina Monika PAWLICZAK - nr na liście 3";"Beata BŁAŻEJCZAK-KLECZEWSKA - nr na liście 4";"Józef Włodzimierz WAJS - nr na liście 5";"Zbigniew Edward SŁODOWY - nr na liście 6";"Krzysztof KŁOSOWSKI - nr na liście 7";"Krzysztof SYNORACKI - nr na liście 8";"Zbigniew Stanisław ZALESIŃSKI - nr na liście 9";"Ewa KĘDZIA - nr na liście 10";"Bożena Maria HUMELT - nr na liście 11";"Sławomir TRĄBKA - nr na liście 12";"Arkadiusz STACHOWIAK - nr na liście 13";"Alina Bernadeta SZYMAŃSKA - nr na liście 14";"Elżbieta CIEŚLAK - nr na liście 15";"Violetta Małgorzata WITCZAK - nr na liście 16";"Grzegorz STĘPNIAK - nr na liście 17";"Monika GURDEK - nr na liście 18";"Angelika Justyna MACHOWSKA - nr na liście 19";"Karol HIBNER - nr na liście 20";"Bernardyna KAŹMIERCZAK - nr na liście 21";"Grażyna Antonina JASZCZYK - nr na liście 22";"Konrad NOWACKI - nr na liście 23";"Lista nr 4 - KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ - ZPOW-601-5/19";"Witold Adam STOCH - nr na liście 1";"Ireneusz Wojciech CZECH - nr na liście 2";"Dominik IDKOWIAK - nr na liście 3";"Antoni Jerzy WIECZOREK - nr na liście 4";"Piotr KOIS - nr na liście 5";"Dominik Jan DOLATA - nr na liście 6";"Michał Szymon PASEK - nr na liście 7";"Mariusz SKROBAŁA - nr na liście 8";"Mikołaj FIEBICH - nr na liście 9";"Rafał Dariusz WELKE - nr na liście 10";"Julia KURZAWSKA - nr na liście 11";"Lucyna Anna KROŚNIEWSKA - nr na liście 12";"Mikołaj MĄKA - nr na liście 13";"Joanna OSZMIAN - nr na liście 14";"Anna Bożena STOCH - nr na liście 15";"Danuta SKORUPIŃSKA - nr na liście 16";"Janina SPIESZALSKA - nr na liście 17";"Arkadiusz Krzysztof MAŚLAK - nr na liście 18";"Marta Anna KORDYLAS - nr na liście 19";"Andrzej Antoni KUŚWIK - nr na liście 20";"Lista nr 5 - KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI - ZPOW-601-6/19";"Mariusz Sebastian WITCZAK - nr na liście 1";"Jarosław Piotr URBANIAK - nr na liście 2";"Bożena Katarzyna HENCZYCA - nr na liście 3";"Grzegorz Stanisław RUSIECKI - nr na liście 4";"Marzena Katarzyna BUDNIK - nr na liście 5";"Milena Magdalena KOWALSKA - nr na liście 6";"Szymon JAKUBOWSKI - nr na liście 7";"Piotr KUSIAKIEWICZ - nr na liście 8";"Daniel Adam MOEGLICH - nr na liście 9";"Stanisław Franciszek MARTUZALSKI - nr na liście 10";"Aleksander Stanisław SOWA - nr na liście 11";"Marcin Andrzej GAGATEK - nr na liście 12";"Marzena Renata WODZIŃSKA - nr na liście 13";"Sławomir SZYMAŃSKI - nr na liście 14";"Wojciech WYSOGLĄD - nr na liście 15";"Marcin BARCZYK - nr na liście 16";"Aleksander Piotr KOŁODZIEJ - nr na liście 17";"Mariusz Marek CHOJNACKI - nr na liście 18";"Magdalena Izabela WALCZAK - nr na liście 19";"Ewa DZIUBKA - nr na liście 20";"Urszula Maria BALCER - nr na liście 21";"Adriana Irena MACHOWIAK - nr na liście 22";"Zuzanna MOCEK - nr na liście 23";"Alicja ŁUCZAK - nr na liście 24"
"3478-6985-7147-21fc-26ed-731d-7b61-c559";"300401";"36";"1";"miasto";"stały";"Miejsko-Gminny Ośrodek Kultury w Borku Wielkopolskim, ul. Powstańców Wielkopolskich 4, 63-810 Borek Wielkopolski";"gm. Borek Wielkopolski";"gostyński";"wielkopolskie";"1121";"1220";"349";"772";"0";"1";"0";"0";"0";"0";"0";"0";"0";"772";"0";"0";"772";"16";"14";"2";"0";"756";"113";"51";"2";"3";"5";"4";"1";"4";"1";"2";"1";"0";"0";"3";"1";"2";"1";"2";"1";"0";"0";"1";"1";"26";"1";"277";"137";"11";"13";"19";"5";"22";"3";"6";"1";"24";"10";"4";"0";"2";"1";"1";"4";"2";"0";"7";"1";"1";"0";"3";"119";"64";"7";"3";"4";"0";"0";"0";"1";"0";"9";"1";"6";"5";"2";"1";"3";"1";"2";"1";"2";"0";"1";"6";"84";"45";"5";"8";"3";"0";"1";"3";"3";"1";"0";"6";"1";"2";"0";"1";"0";"2";"0";"1";"2";"163";"87";"8";"3";"5";"5";"4";"28";"4";"0";"1";"1";"1";"4";"3";"1";"0";"1";"0";"3";"1";"0";"0";"0";"3"
"8e38-c7ca-7de1-d323-721d-b2d0-59fc-8f34";"300401";"36";"2";"miasto";"stały";"Miejsko-Gminny Ośrodek Kultury w Borku Wielkopolskim, ul. Powstańców Wielkopolskich 4, 63-810 Borek Wielkopolski";"gm. Borek Wielkopolski";"gostyński";"wielkopolskie";"1261";"1380";"428";"833";"2";"0";"0";"0";"0";"0";"0";"0";"0";"833";"0";"0";"833";"12";"9";"3";"0";"821";"96";"39";"0";"5";"3";"8";"1";"3";"2";"6";"2";"2";"0";"4";"1";"4";"0";"0";"2";"0";"1";"1";"0";"12";"0";"375";"171";"15";"15";"39";"21";"14";"5";"7";"1";"44";"6";"0";"2";"0";"2";"2";"0";"0";"1";"7";"4";"2";"9";"8";"118";"72";"7";"2";"6";"0";"2";"1";"0";"1";"10";"0";"2";"5";"0";"0";"4";"3";"0";"1";"0";"1";"0";"1";"52";"18";"1";"6";"5";"1";"5";"2";"4";"0";"2";"4";"0";"1";"0";"3";"0";"0";"0";"0";"0";"180";"82";"5";"10";"6";"5";"9";"26";"2";"1";"3";"5";"6";"4";"1";"0";"1";"2";"0";"2";"1";"0";"0";"2";"7"
"36c3-23c9-5be4-d427-55c1-4cd0-6346-7758";"300401";"36";"3";"miasto";"stały";"Urząd Miejski w Borku Wielkopolskim, Rynek 1, 63-810 Borek Wielkopolski";"gm. Borek Wielkopolski";"gostyński";"wielkopolskie";"1135";"1252";"588";"547";"0";"0";"0";"0";"0";"0";"0";"0";"0";"547";"0";"0";"547";"11";"6";"5";"0";"536";"101";"38";"2";"3";"1";"2";"1";"1";"0";"1";"1";"0";"0";"5";"1";"0";"0";"0";"1";"0";"0";"2";"3";"38";"1";"288";"142";"9";"10";"28";"12";"4";"0";"7";"0";"36";"2";"2";"0";"1";"2";"1";"0";"1";"4";"13";"5";"2";"3";"4";"46";"24";"5";"4";"1";"3";"0";"0";"0";"0";"2";"1";"1";"1";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0";"47";"19";"1";"3";"2";"1";"5";"0";"2";"2";"1";"4";"1";"2";"0";"2";"0";"0";"1";"1";"0";"54";"17";"2";"1";"1";"1";"6";"14";"1";"0";"1";"1";"0";"0";"0";"0";"2";"1";"1";"1";"2";"0";"0";"0";"2"
"a84f-af56-1cc3-8ecc-08cf-d4a7-3e58-4340";"300401";"36";"4";"wieś";"stały";"Zespół Szkolno-Przedszkolny w Borku Wielkopolskim Szkoła Podstawowa w Borku Wielkopolskim im. Władysława Jagiełły Szkoła filialna im. Edmunda Bojanowskiego w Wycisłowie, Wycisłowo 66, 63-810 Borek Wielkopolski";"gm. Borek Wielkopolski";"gostyński";"wielkopolskie";"680";"743";"397";"283";"1";"3";"0";"0";"0";"0";"0";"0";"0";"283";"0";"0";"283";"7";"7";"0";"0";"276";"28";"10";"1";"1";"1";"1";"0";"1";"0";"0";"0";"0";"1";"3";"0";"0";"0";"0";"0";"1";"0";"0";"0";"6";"2";"163";"94";"6";"1";"10";"9";"3";"3";"0";"0";"18";"2";"1";"2";"0";"1";"2";"0";"2";"0";"3";"2";"1";"1";"2";"24";"11";"2";"5";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"0";"1";"0";"0";"0";"0";"1";"22";"8";"1";"2";"2";"0";"3";"0";"0";"1";"0";"1";"0";"1";"0";"1";"1";"1";"0";"0";"0";"39";"16";"3";"3";"0";"2";"1";"7";"0";"0";"0";"3";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"59c1-bcff-98fc-532a-8a41-e19b-6fa4-1d5f";"300401";"36";"5";"wieś";"stały";"Zespół Szkolno-Przedszkolny w Zimnowodzie, Zimnowoda 7, 63-810 Borek Wielkopolski";"gm. Borek Wielkopolski";"gostyński";"wielkopolskie";"1171";"1280";"582";"589";"0";"1";"0";"0";"0";"0";"0";"0";"0";"589";"0";"0";"589";"15";"11";"4";"0";"574";"91";"45";"2";"3";"5";"3";"1";"0";"1";"2";"0";"0";"0";"1";"0";"3";"0";"1";"0";"0";"0";"5";"3";"15";"1";"345";"138";"20";"19";"41";"23";"24";"3";"4";"0";"44";"6";"5";"0";"3";"1";"3";"0";"3";"0";"2";"4";"0";"1";"1";"44";"16";"8";"2";"4";"1";"1";"3";"0";"0";"3";"2";"1";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";"35";"13";"1";"1";"2";"2";"3";"0";"0";"2";"1";"2";"0";"0";"1";"3";"0";"0";"0";"4";"0";"59";"29";"1";"1";"4";"1";"2";"17";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"1";"0";"0"
"c9f3-c7b6-0ebf-e58b-5bbd-4915-7fc1-49d9";"300402";"36";"1";"miasto";"stały";"Szkoła Podstawowa Nr 1, ul. Stanisława Helsztyńskiego 8, 63-800 Gostyń";"gm. Gostyń";"gostyński";"wielkopolskie";"859";"931";"256";"603";"0";"6";"0";"0";"0";"0";"0";"0";"0";"603";"0";"0";"603";"10";"10";"0";"0";"593";"47";"14";"1";"6";"3";"2";"1";"4";"0";"0";"2";"3";"0";"4";"0";"2";"0";"0";"0";"0";"0";"1";"1";"3";"0";"250";"176";"8";"10";"4";"11";"3";"0";"2";"2";"7";"5";"4";"2";"1";"1";"3";"0";"1";"1";"5";"2";"0";"1";"1";"82";"34";"9";"12";"4";"0";"4";"0";"0";"1";"4";"2";"3";"3";"2";"1";"1";"0";"0";"0";"0";"0";"0";"2";"63";"16";"1";"19";"9";"3";"1";"2";"3";"1";"0";"1";"1";"1";"1";"2";"0";"0";"0";"0";"2";"151";"66";"5";"1";"11";"2";"4";"40";"2";"0";"2";"1";"5";"1";"1";"0";"2";"0";"1";"0";"2";"0";"0";"0";"5"
"c958-2c12-552c-a9eb-8a59-972a-f02d-0942";"300402";"36";"2";"miasto";"stały";"Dzienny Dom Senior +, ul. Polna 72, 63-800 Gostyń";"gm. Gostyń";"gostyński";"wielkopolskie";"810";"872";"333";"477";"0";"0";"0";"0";"0";"0";"0";"0";"0";"477";"0";"0";"477";"3";"3";"0";"0";"474";"33";"10";"1";"4";"3";"2";"0";"1";"0";"2";"1";"1";"0";"2";"0";"0";"0";"0";"1";"0";"0";"2";"0";"1";"2";"170";"91";"7";"8";"13";"8";"4";"1";"5";"0";"12";"3";"2";"0";"5";"0";"2";"0";"1";"1";"1";"4";"1";"1";"0";"84";"51";"3";"9";"1";"0";"2";"3";"0";"0";"0";"0";"1";"5";"0";"1";"2";"0";"0";"0";"2";"0";"2";"2";"58";"31";"0";"15";"1";"1";"2";"0";"1";"1";"0";"2";"0";"1";"0";"0";"0";"0";"2";"1";"0";"129";"62";"5";"5";"13";"0";"5";"24";"3";"0";"0";"2";"1";"1";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"6"
"9b84-9e70-f617-bda2-d28e-e7e4-7b9d-0e45";"300402";"36";"3";"miasto";"stały";"Zespół Szkół Ogólnokształcących, ul. Wrocławska 10, 63-800 Gostyń";"gm. Gostyń";"gostyński";"wielkopolskie";"970";"1050";"342";"628";"1";"4";"0";"0";"0";"0";"0";"0";"0";"628";"0";"0";"628";"13";"5";"8";"0";"615";"79";"25";"4";"13";"3";"6";"2";"2";"1";"0";"4";"1";"0";"3";"0";"1";"0";"0";"1";"0";"3";"2";"0";"4";"4";"200";"102";"6";"2";"23";"21";"3";"1";"2";"0";"4";"4";"7";"1";"3";"0";"1";"0";"2";"3";"5";"2";"0";"3";"5";"103";"52";"5";"14";"3";"2";"1";"1";"0";"0";"5";"0";"3";"6";"1";"2";"1";"1";"0";"2";"1";"1";"0";"2";"69";"31";"2";"16";"0";"0";"4";"2";"1";"1";"0";"4";"1";"2";"1";"0";"0";"0";"1";"1";"2";"164";"58";"10";"6";"13";"1";"7";"49";"2";"1";"2";"1";"2";"1";"1";"0";"1";"1";"0";"2";"0";"1";"1";"0";"4"
"a829-1883-2a39-0b02-aedd-1071-a2c4-9a3d";"300402";"36";"4";"miasto";"stały";"Biblioteka Publiczna M i G, ul. Wrocławska 257, 63-800 Gostyń";"gm. Gostyń";"gostyński";"wielkopolskie";"889";"953";"304";"585";"2";"2";"0";"0";"0";"0";"0";"0";"0";"584";"0";"0";"584";"7";"5";"2";"0";"577";"52";"15";"2";"4";"3";"2";"2";"1";"1";"1";"3";"1";"0";"1";"0";"0";"0";"1";"0";"0";"2";"0";"2";"9";"2";"224";"133";"7";"11";"8";"11";"3";"1";"4";"1";"8";"2";"5";"1";"3";"0";"1";"1";"2";"3";"12";"1";"0";"2";"4";"95";"52";"5";"9";"6";"0";"2";"2";"2";"2";"3";"0";"0";"2";"0";"2";"0";"1";"2";"0";"3";"1";"0";"1";"69";"30";"1";"13";"3";"1";"2";"2";"0";"2";"0";"2";"2";"2";"2";"2";"0";"1";"1";"0";"3";"137";"56";"4";"5";"17";"2";"7";"26";"0";"0";"6";"3";"1";"0";"0";"0";"0";"0";"0";"2";"4";"0";"2";"0";"2"
"6b49-6652-8e92-432b-cc24-0e7a-8b68-3101";"300402";"36";"5";"miasto";"stały";"Świetlica osiedlowa, ul. Górna 30 b, 63-800 Gostyń";"gm. Gostyń";"gostyński";"wielkopolskie";"1121";"1241";"270";"851";"0";"2";"0";"0";"0";"0";"0";"0";"0";"851";"0";"0";"851";"15";"7";"8";"0";"836";"65";"30";"3";"10";"6";"2";"0";"2";"1";"2";"2";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"3";"2";"268";"158";"8";"12";"12";"15";"5";"0";"4";"0";"7";"5";"9";"1";"2";"1";"3";"1";"4";"0";"10";"6";"0";"4";"1";"169";"91";"16";"10";"10";"2";"2";"4";"0";"0";"5";"2";"2";"4";"2";"0";"4";"4";"3";"1";"4";"0";"0";"3";"121";"44";"2";"41";"1";"1";"5";"1";"2";"2";"5";"8";"0";"2";"0";"2";"1";"0";"4";"0";"0";"213";"88";"8";"3";"21";"5";"3";"55";"0";"1";"1";"2";"2";"3";"2";"2";"2";"1";"1";"1";"2";"0";"0";"2";"8"
